row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,14.532269,2047784.257505,0.0,0.010267,0.000661,0.999339,0.164389,0.164389,136.5,no_position,4001,passkey_exact
20,13.936458,1128565.592293,0.0,0.016472,0.002645,0.997355,0.166572,0.166572,130.6,no_position,4001,multi_needle
20,10.057307,23325.603752,0.0,0.034692,0.009835,0.990165,0.146022,0.146022,81.45,no_position,4001,aggregation
20,15.545566,5640966.014483,0.0,0.015933,0.002163,0.997837,0.19156,0.19156,142.3,no_position,4003,passkey_exact
20,14.063904,1281964.341585,0.0,0.023312,0.00482,0.99518,0.20453,0.20453,132.2,no_position,4003,multi_needle
20,10.84011,51027.011306,0.05,0.108538,0.022705,0.977295,0.193136,0.143136,85.8,no_position,4003,aggregation
20,10.712917,44932.495717,0.0,0.02953,0.004058,0.995942,0.107452,0.107452,128.35,no_position,4007,passkey_exact
20,11.077475,64697.285113,0.0,0.015837,0.003031,0.996969,0.095815,0.095815,131.65,no_position,4007,multi_needle
20,8.269875,3904.461648,0.0,0.032933,0.007137,0.992863,0.087167,0.087167,94.25,no_position,4007,aggregation
20,14.821834,2735524.252598,0.0,0.008997,0.000287,0.999713,0.153525,0.153525,147.4,no_position,4013,passkey_exact
20,13.584714,793901.336061,0.0,0.0175,0.002303,0.997697,0.168242,0.168242,131.45,no_position,4013,multi_needle
20,9.604354,14829.208188,0.0,0.035604,0.009231,0.990769,0.142822,0.142822,80.9,no_position,4013,aggregation
20,15.256104,4223201.412092,0.0,0.009461,0.000381,0.999619,0.16474,0.16474,144.5,no_position,4019,passkey_exact
20,14.202607,1472698.258622,0.0,0.015256,0.00192,0.99808,0.171476,0.171476,140.5,no_position,4019,multi_needle
20,10.193496,26728.772293,0.0,0.034929,0.007193,0.992807,0.146574,0.146574,87.45,no_position,4019,aggregation
20,13.861605,1047173.384574,0.0,0.011438,0.000558,0.999442,0.176049,0.176049,123.95,alibi,4001,passkey_exact
20,14.527794,2038640.896542,0.0,0.020044,0.003385,0.996615,0.175507,0.175507,126.85,alibi,4001,multi_needle
20,11.569128,105781.197756,0.05,0.066234,0.007315,0.992685,0.187813,0.137813,95.35,alibi,4001,aggregation
20,15.344361,4612870.140752,0.0,0.013459,0.001887,0.998113,0.154941,0.154941,140.7,alibi,4003,passkey_exact
20,13.960938,1156534.316406,0.0,0.027512,0.006167,0.993833,0.157639,0.157639,128.15,alibi,4003,multi_needle
20,10.899164,54131.11683,0.0,0.079498,0.019659,0.980341,0.141418,0.141418,88.55,alibi,4003,aggregation
20,15.148161,3791078.202358,0.0,0.020955,0.003097,0.996903,0.20625,0.20625,145.65,alibi,4007,passkey_exact
