row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,split
60,3.325427,27.810871,0.033333,0.131498,0.04042,0.04042,0.95958,0.063667,0.030334,16.216667,no_position,4103,test
60,3.325571,27.814874,0.033333,0.132073,0.040414,0.040414,0.959586,0.063704,0.03037,16.233333,no_position,4111,test
60,3.320969,27.687178,0.033333,0.134404,0.040604,0.040604,0.959396,0.062535,0.029202,16.316667,no_position,4127,test
60,3.322615,27.732774,0.033333,0.132654,0.040562,0.040562,0.959438,0.064081,0.030747,15.916667,no_position,4133,test
60,3.325713,27.818815,0.033333,0.134172,0.040461,0.040461,0.959539,0.062373,0.02904,16.45,no_position,4139,test
60,3.354345,28.626855,0.033333,0.121806,0.039919,0.039919,0.960081,0.065881,0.032548,17.066667,alibi,4103,test
60,3.333432,28.034385,0.033333,0.12626,0.040316,0.040316,0.959684,0.064319,0.030986,16.5,alibi,4111,test
60,3.339116,28.194181,0.033333,0.124584,0.040169,0.040169,0.959831,0.064795,0.031462,16.716667,alibi,4127,test
60,3.339554,28.206539,0.033333,0.127818,0.040177,0.040177,0.959823,0.064206,0.030872,16.8,alibi,4133,test
60,3.339811,28.213782,0.033333,0.122353,0.040138,0.040138,0.959862,0.064558,0.031225,16.883333,alibi,4139,test
60,0.000119,1.000119,1.0,1.0,0.999881,0.999881,0.000119,0.999881,0.000119,1.0,rope_relative,4103,test
60,4.9e-05,1.000049,1.0,1.0,0.999952,0.999952,4.8e-05,0.999952,4.8e-05,1.0,rope_relative,4111,test
60,0.000109,1.000109,1.0,1.0,0.999891,0.999891,0.000109,0.999891,0.000109,1.0,rope_relative,4127,test
60,0.000424,1.000424,1.0,1.0,0.999577,0.999577,0.000423,0.999577,0.000423,1.0,rope_relative,4133,test
60,0.000134,1.000134,1.0,1.0,0.999867,0.999867,0.000133,0.999867,0.000133,1.0,rope_relative,4139,test
60,0.474841,1.607758,0.733333,0.858333,0.760869,0.760869,0.239131,0.865026,0.131692,1.316667,sinusoidal,4103,test
60,0.445777,1.561703,0.733333,0.858333,0.763994,0.763994,0.236006,0.855117,0.121783,1.316667,sinusoidal,4111,test
60,0.426299,1.531579,0.733333,0.858333,0.765365,0.765365,0.234635,0.84458,0.129318,1.316667,sinusoidal,4127,test
60,0.51335,1.67088,0.733333,0.858333,0.75816,0.75816,0.24184,0.874017,0.140684,1.316667,sinusoidal,4133,test
60,0.499968,1.648668,0.75,0.866667,0.759281,0.759281,0.240719,0.869635,0.119635,1.3,sinusoidal,4139,test
60,0.070449,1.07299,0.966667,0.983333,0.948435,0.948435,0.051565,0.956662,0.043126,1.033333,phasewrap_distance_adapter,4103,test
60,0.068575,1.070981,0.966667,0.983333,0.949269,0.949269,0.050731,0.95645,0.042328,1.033333,phasewrap_distance_adapter,4111,test
60,0.068329,1.070717,0.966667,0.983333,0.948938,0.948938,0.051062,0.955249,0.042639,1.033333,phasewrap_distance_adapter,4127,test
60,0.069201,1.071652,0.966667,0.983333,0.948717,0.948717,0.051283,0.955861,0.042858,1.033333,phasewrap_distance_adapter,4133,test
60,0.072227,1.074899,0.966667,0.983333,0.947351,0.947351,0.052649,0.956017,0.044159,1.033333,phasewrap_distance_adapter,4139,test
60,0.037413,1.038122,1.0,1.0,0.970081,0.970081,0.029919,0.96175,0.03825,1.0,phasewrap_multiscale_adapter,4103,test
60,0.037364,1.038071,1.0,1.0,0.969783,0.969783,0.030217,0.961768,0.038232,1.0,phasewrap_multiscale_adapter,4111,test
60,0.038933,1.0397,1.0,1.0,0.969111,0.969111,0.030889,0.960916,0.039084,1.0,phasewrap_multiscale_adapter,4127,test
60,0.038601,1.039355,1.0,1.0,0.968981,0.968981,0.031019,0.960789,0.039211,1.0,phasewrap_multiscale_adapter,4133,test
60,0.03802,1.038753,1.0,1.0,0.969423,0.969423,0.030577,0.961291,0.038709,1.0,phasewrap_multiscale_adapter,4139,test
