row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,3.484261,32.598327,0.05,0.137827,0.033208,0.033208,0.966792,0.0691,0.0191,16.15,no_position,4103,passkey_exact
20,3.634565,37.885366,0.0,0.079899,0.02763,0.02763,0.97237,0.062122,0.062122,18.25,no_position,4103,multi_needle
20,2.857455,17.417146,0.05,0.176768,0.060421,0.060421,0.939579,0.059779,0.009779,14.25,no_position,4103,aggregation
20,3.487369,32.699791,0.05,0.13668,0.033122,0.033122,0.966878,0.069275,0.019275,16.45,no_position,4111,passkey_exact
20,3.635289,37.9128,0.0,0.080897,0.027543,0.027543,0.972457,0.06206,0.06206,18.4,no_position,4111,multi_needle
20,2.854055,17.358031,0.05,0.178641,0.060577,0.060577,0.939423,0.059776,0.009776,13.85,no_position,4111,aggregation
20,3.471578,32.187506,0.05,0.136755,0.033436,0.033436,0.966564,0.067449,0.017449,16.3,no_position,4127,passkey_exact
20,3.647613,38.382946,0.0,0.073427,0.027224,0.027224,0.972776,0.061346,0.061346,19.0,no_position,4127,multi_needle
20,2.843717,17.179497,0.05,0.193032,0.06115,0.06115,0.93885,0.058811,0.008811,13.65,no_position,4127,aggregation
20,3.49243,32.865729,0.05,0.13679,0.032969,0.032969,0.967031,0.069246,0.019246,16.2,no_position,4133,passkey_exact
20,3.619103,37.304085,0.0,0.076517,0.027951,0.027951,0.972049,0.062704,0.062704,17.35,no_position,4133,multi_needle
20,2.856311,17.397237,0.05,0.184655,0.060765,0.060765,0.939235,0.060292,0.010292,14.2,no_position,4133,aggregation
20,3.481142,32.496809,0.05,0.135853,0.033253,0.033253,0.966747,0.067677,0.017677,16.75,no_position,4139,passkey_exact
20,3.652797,38.582432,0.0,0.073307,0.027108,0.027108,0.972892,0.060799,0.060799,19.2,no_position,4139,multi_needle
20,2.843199,17.170604,0.05,0.193356,0.061022,0.061022,0.938978,0.058643,0.008643,13.4,no_position,4139,aggregation
20,3.482696,32.547341,0.05,0.139233,0.033319,0.033319,0.966681,0.070966,0.020966,15.45,alibi,4103,passkey_exact
20,3.72788,41.590836,0.0,0.065196,0.025528,0.025528,0.974472,0.064743,0.064743,21.35,alibi,4103,multi_needle
20,2.85246,17.330366,0.05,0.16099,0.060911,0.060911,0.939089,0.061935,0.011935,14.4,alibi,4103,aggregation
20,3.487004,32.687881,0.05,0.138316,0.03307,0.03307,0.96693,0.069326,0.019326,16.05,alibi,4111,passkey_exact
20,3.665245,39.065715,0.0,0.071006,0.026829,0.026829,0.973171,0.063147,0.063147,19.45,alibi,4111,multi_needle
20,2.848046,17.25403,0.05,0.169457,0.06105,0.06105,0.93895,0.060484,0.010484,14.0,alibi,4111,aggregation
20,3.484648,32.610958,0.05,0.138173,0.033214,0.033214,0.966786,0.069953,0.019953,16.1,alibi,4127,passkey_exact
20,3.678496,39.586819,0.0,0.069213,0.026597,0.026597,0.973403,0.063513,0.063513,19.9,alibi,4127,multi_needle
20,2.854202,17.360582,0.05,0.166365,0.060697,0.060697,0.939303,0.060919,0.010919,14.15,alibi,4127,aggregation
20,3.481332,32.502983,0.05,0.138328,0.033235,0.033235,0.966765,0.069261,0.019261,16.0,alibi,4133,passkey_exact
20,3.691231,40.094164,0.0,0.067217,0.026247,0.026247,0.973753,0.062998,0.062998,20.4,alibi,4133,multi_needle
20,2.846099,17.22047,0.05,0.17791,0.061051,0.061051,0.938949,0.060358,0.010358,14.0,alibi,4133,aggregation
20,3.483122,32.561217,0.05,0.138079,0.033201,0.033201,0.966799,0.069764,0.019764,16.0,alibi,4139,passkey_exact
20,3.683653,39.791487,0.0,0.068696,0.026486,0.026486,0.973514,0.063284,0.063284,20.3,alibi,4139,multi_needle
20,2.852657,17.333773,0.05,0.160285,0.060726,0.060726,0.939274,0.060626,0.010626,14.35,alibi,4139,aggregation
20,9.1e-05,1.000091,1.0,1.0,0.999909,0.999909,9.1e-05,0.999909,9.1e-05,1.0,rope_relative,4103,passkey_exact
20,0.000226,1.000226,1.0,1.0,0.999774,0.999774,0.000226,0.999774,0.000226,1.0,rope_relative,4103,multi_needle
20,4.1e-05,1.000041,1.0,1.0,0.999959,0.999959,4.1e-05,0.999959,4.1e-05,1.0,rope_relative,4103,aggregation
20,1.7e-05,1.000017,1.0,1.0,0.999983,0.999983,1.7e-05,0.999983,1.7e-05,1.0,rope_relative,4111,passkey_exact
20,0.00012,1.00012,1.0,1.0,0.99988,0.99988,0.00012,0.99988,0.00012,1.0,rope_relative,4111,multi_needle
20,8e-06,1.000008,1.0,1.0,0.999992,0.999992,8e-06,0.999992,8e-06,1.0,rope_relative,4111,aggregation
20,0.000126,1.000126,1.0,1.0,0.999874,0.999874,0.000126,0.999874,0.000126,1.0,rope_relative,4127,passkey_exact
20,0.000139,1.000139,1.0,1.0,0.999861,0.999861,0.000139,0.999861,0.000139,1.0,rope_relative,4127,multi_needle
20,6.2e-05,1.000062,1.0,1.0,0.999938,0.999938,6.2e-05,0.999938,6.2e-05,1.0,rope_relative,4127,aggregation
20,0.000593,1.000593,1.0,1.0,0.999408,0.999408,0.000592,0.999408,0.000592,1.0,rope_relative,4133,passkey_exact
20,0.000385,1.000385,1.0,1.0,0.999616,0.999616,0.000384,0.999616,0.000384,1.0,rope_relative,4133,multi_needle
20,0.000294,1.000294,1.0,1.0,0.999707,0.999707,0.000293,0.999706,0.000294,1.0,rope_relative,4133,aggregation
20,0.000122,1.000122,1.0,1.0,0.999878,0.999878,0.000122,0.999878,0.000122,1.0,rope_relative,4139,passkey_exact
20,0.000223,1.000223,1.0,1.0,0.999778,0.999778,0.000222,0.999778,0.000222,1.0,rope_relative,4139,multi_needle
20,5.6e-05,1.000056,1.0,1.0,0.999944,0.999944,5.6e-05,0.999944,5.6e-05,1.0,rope_relative,4139,aggregation
20,0.659584,1.933988,0.65,0.816667,0.692164,0.692164,0.307836,0.826282,0.184502,1.4,sinusoidal,4103,passkey_exact
20,0.393965,1.482848,0.7,0.833333,0.788155,0.788155,0.211845,0.879881,0.179889,1.4,sinusoidal,4103,multi_needle
