row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,split
60,3.229027,25.25508,0.066667,0.194093,0.042516,0.042755,0.005136,0.993591,0.957484,0.060172,0.006495,13.716667,no_position,4201,test
60,3.220822,25.048711,0.083333,0.207971,0.042694,0.043007,0.005091,0.991695,0.957306,0.059982,0.023351,13.683333,no_position,4211,test
60,3.225883,25.1758,0.066667,0.195444,0.04253,0.042765,0.005146,0.993725,0.95747,0.059528,0.007139,13.766667,no_position,4217,test
60,3.228116,25.232069,0.066667,0.193656,0.042483,0.042831,0.005134,0.990725,0.957517,0.059946,0.006721,13.75,no_position,4219,test
60,3.226082,25.180799,0.066667,0.195411,0.042518,0.042875,0.005087,0.990517,0.957482,0.059785,0.006881,13.75,no_position,4229,test
60,3.222,25.078228,0.1,0.226222,0.042907,0.04322,0.005222,0.991706,0.957093,0.06141,0.041962,13.25,alibi,4201,test
60,3.223315,25.111236,0.083333,0.208094,0.042607,0.042941,0.005281,0.991076,0.957393,0.059313,0.02402,13.3,alibi,4211,test
60,3.220879,25.05013,0.1,0.225704,0.042759,0.043095,0.005204,0.991102,0.957241,0.060296,0.039704,13.233333,alibi,4217,test
60,3.218296,24.98551,0.083333,0.209331,0.042786,0.042968,0.00517,0.995132,0.957214,0.059528,0.023806,13.533333,alibi,4219,test
60,3.221071,25.054939,0.066667,0.199732,0.042707,0.042963,0.005233,0.993163,0.957293,0.059545,0.007122,13.383333,alibi,4229,test
60,0.062774,1.064786,1.0,1.0,0.94038,0.998698,0.005271,0.94145,0.05962,0.940325,0.059675,1.0,rope_relative,4201,test
60,0.063047,1.065077,1.0,1.0,0.940114,0.998748,0.005332,0.941086,0.059886,0.940057,0.059943,1.0,rope_relative,4211,test
60,0.064119,1.066219,1.0,1.0,0.93909,0.9982,0.005306,0.940565,0.06091,0.939032,0.060968,1.0,rope_relative,4217,test
60,0.074444,1.077285,1.0,1.0,0.929814,0.998513,0.005295,0.930986,0.070186,0.929746,0.070254,1.0,rope_relative,4219,test
60,0.063441,1.065496,1.0,1.0,0.939839,0.99911,0.005246,0.940483,0.060161,0.939784,0.060216,1.0,rope_relative,4229,test
60,0.411848,1.509606,0.783333,0.888889,0.732606,0.771951,0.005341,0.951259,0.267394,0.771651,0.118707,1.233333,sinusoidal,4201,test
60,0.441192,1.55456,0.766667,0.880556,0.716513,0.769881,0.005323,0.934379,0.283487,0.765158,0.142981,1.25,sinusoidal,4211,test
60,0.415323,1.514859,0.766667,0.880556,0.729654,0.771875,0.005301,0.94786,0.270346,0.767396,0.115704,1.25,sinusoidal,4217,test
60,0.418343,1.519442,0.733333,0.863889,0.729159,0.77117,0.00533,0.948367,0.270841,0.770201,0.163734,1.283333,sinusoidal,4219,test
60,0.421987,1.524989,0.766667,0.880556,0.729812,0.770053,0.005351,0.950513,0.270188,0.778674,0.114351,1.25,sinusoidal,4229,test
60,0.137896,1.147856,0.966667,0.983333,0.889288,0.941643,0.005341,0.945089,0.110712,0.898856,0.087795,1.033333,phasewrap_distance_adapter,4201,test
60,0.127439,1.135916,0.966667,0.983333,0.901375,0.939744,0.005395,0.959572,0.098625,0.913317,0.076197,1.033333,phasewrap_distance_adapter,4211,test
60,0.121919,1.129662,0.966667,0.983333,0.896203,0.949435,0.005365,0.944613,0.103797,0.896853,0.089022,1.033333,phasewrap_distance_adapter,4217,test
60,0.105089,1.11081,0.966667,0.983333,0.914958,0.949244,0.005276,0.964261,0.085042,0.921809,0.075068,1.033333,phasewrap_distance_adapter,4219,test
60,0.100364,1.105573,0.966667,0.983333,0.919747,0.944931,0.005395,0.97365,0.080253,0.926453,0.060174,1.033333,phasewrap_distance_adapter,4229,test
60,0.14449,1.15545,0.95,0.975,0.880207,0.944229,0.005365,0.93323,0.119793,0.876378,0.093691,1.05,phasewrap_multiscale_adapter,4201,test
60,0.132346,1.141503,0.966667,0.983333,0.891216,0.944181,0.005257,0.944824,0.108784,0.888409,0.082513,1.033333,phasewrap_multiscale_adapter,4211,test
60,0.153047,1.165379,0.933333,0.966667,0.874271,0.938243,0.005324,0.932953,0.125729,0.87228,0.112269,1.066667,phasewrap_multiscale_adapter,4217,test
60,0.146889,1.158225,0.95,0.975,0.878033,0.946551,0.00532,0.928561,0.121967,0.873908,0.092575,1.05,phasewrap_multiscale_adapter,4219,test
60,0.144968,1.156002,0.933333,0.966667,0.881154,0.941911,0.0053,0.936503,0.118846,0.879631,0.1062,1.066667,phasewrap_multiscale_adapter,4229,test
