row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,3.51976,33.776318,0.05,0.133701,0.031398,0.03158,0.003879,0.993445,0.968602,0.06452,0.01452,18.5,no_position,4201,passkey_exact
20,3.291854,26.892665,0.05,0.24619,0.038173,0.038403,0.003327,0.993442,0.961827,0.058601,0.008601,7.15,no_position,4201,multi_needle
20,2.875469,17.733731,0.1,0.202388,0.057976,0.058283,0.008202,0.993886,0.942024,0.057395,0.042605,15.5,no_position,4201,aggregation
20,3.518346,33.728587,0.05,0.129771,0.031294,0.031531,0.003692,0.991546,0.968706,0.064141,0.014141,19.0,no_position,4211,passkey_exact
20,3.26082,26.070901,0.1,0.295977,0.039421,0.039732,0.003219,0.991455,0.960579,0.058473,0.041527,5.9,no_position,4211,multi_needle
20,2.883302,17.873186,0.1,0.198164,0.057367,0.05776,0.008361,0.992084,0.942633,0.057333,0.042667,16.15,no_position,4211,aggregation
20,3.504123,33.252278,0.05,0.133687,0.031649,0.031829,0.004011,0.993568,0.968351,0.063712,0.013712,18.65,no_position,4217,passkey_exact
20,3.307936,27.328671,0.05,0.250357,0.037609,0.037831,0.003438,0.993516,0.962391,0.057952,0.007952,7.1,no_position,4217,multi_needle
20,2.86559,17.55941,0.1,0.202289,0.058333,0.058634,0.00799,0.99409,0.941667,0.056919,0.043081,15.55,no_position,4217,aggregation
20,3.515071,33.618312,0.05,0.13175,0.031458,0.031724,0.00397,0.990488,0.968542,0.064201,0.014201,18.65,no_position,4219,passkey_exact
20,3.294721,26.969895,0.05,0.24619,0.038073,0.038406,0.003396,0.990476,0.961927,0.058453,0.008453,7.15,no_position,4219,multi_needle
20,2.874555,17.71754,0.1,0.203027,0.057918,0.058362,0.008037,0.991211,0.942082,0.057183,0.042817,15.45,no_position,4219,aggregation
