row_count,loss,perplexity,generator_loss,generator_perplexity,top1_accuracy,mrr,generator_top1_accuracy,generator_mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,mean_generator_first_relevant_value_rank,method,model_seed,split
60,3.224151,25.132228,7.196397,1334.613741,0.083333,0.215179,0.033333,0.069314,0.042978,0.043088,0.009763,0.997023,0.957022,0.061955,0.024777,13.183333,123.4,no_position,4307,test
60,3.243277,25.617535,7.697631,2203.122879,0.083333,0.204028,0.0,0.02648,0.042557,0.042703,0.004772,0.995987,0.957443,0.06185,0.024857,13.383333,123.133333,no_position,4319,test
60,3.239239,25.514297,7.501057,1809.954561,0.066667,0.198891,0.016667,0.05333,0.042693,0.042786,0.008099,0.997446,0.957307,0.062052,0.008018,13.4,120.833333,no_position,4327,test
60,3.235113,25.409234,7.382122,1606.996321,0.083333,0.208174,0.016667,0.044537,0.042703,0.042864,0.007073,0.99563,0.957297,0.061677,0.025034,13.416667,119.616667,no_position,4337,test
60,3.222866,25.099943,7.526327,1856.273954,0.066667,0.193903,0.0,0.034458,0.043197,0.043393,0.007311,0.994912,0.956803,0.063554,0.006642,13.65,112.366667,no_position,4349,test
60,3.219786,25.022755,7.322599,1514.133631,0.1,0.222817,0.033333,0.060375,0.043014,0.043086,0.008531,0.997944,0.956986,0.0614,0.04196,13.316667,115.583333,alibi,4307,test
60,3.226523,25.191907,7.250992,1409.502891,0.1,0.223106,0.0,0.02685,0.043013,0.043146,0.005903,0.996753,0.956987,0.062318,0.041131,13.333333,117.866667,alibi,4319,test
60,3.222094,25.080594,7.295672,1473.907079,0.083333,0.212332,0.016667,0.047935,0.043225,0.043358,0.007293,0.996507,0.956775,0.06324,0.023627,13.333333,120.85,alibi,4327,test
60,3.216749,24.94688,7.653843,2108.733399,0.083333,0.218461,0.016667,0.049847,0.0432,0.043316,0.009574,0.997048,0.9568,0.06226,0.024512,13.233333,118.183333,alibi,4337,test
60,3.221863,25.0748,7.288516,1463.397592,0.083333,0.214253,0.016667,0.049429,0.043138,0.043301,0.006491,0.995736,0.956862,0.062679,0.024127,13.333333,118.833333,alibi,4349,test
60,0.025709,1.026042,5.172387,176.335297,1.0,1.0,0.316667,0.330353,0.974935,0.998643,0.312403,0.971892,0.025065,0.974917,0.025083,1.0,105.316667,rope_relative,4307,test
