row_count,loss,perplexity,generator_loss,generator_perplexity,top1_accuracy,mrr,generator_top1_accuracy,generator_mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,mean_generator_first_relevant_value_rank,method,model_seed,task
20,3.572862,35.618371,7.712836,2236.877258,0.05,0.136073,0.05,0.060987,0.030204,0.030257,0.010078,0.997468,0.969796,0.066103,0.016103,18.5,138.9,no_position,4307,passkey_exact
20,3.165969,23.711712,8.101251,3298.59064,0.15,0.352956,0.0,0.020692,0.043376,0.04355,0.002966,0.995991,0.956624,0.060482,0.099715,4.6,149.2,no_position,4307,multi_needle
20,2.933622,18.795593,5.775105,322.178236,0.05,0.156508,0.05,0.126262,0.055353,0.055457,0.016244,0.997611,0.944647,0.059281,0.009281,16.45,82.1,no_position,4307,aggregation
20,3.590029,36.235119,7.798235,2436.298437,0.05,0.13825,0.0,0.045489,0.030212,0.030287,0.00638,0.995226,0.969788,0.066459,0.016459,18.1,127.65,no_position,4319,passkey_exact
20,3.209369,24.763444,8.652627,5725.166594,0.1,0.283639,0.0,0.009554,0.041414,0.041589,0.001256,0.995978,0.958586,0.060279,0.049841,6.45,151.85,no_position,4319,multi_needle
20,2.930434,18.735759,6.642031,766.650718,0.1,0.190194,0.0,0.024396,0.056044,0.056232,0.006681,0.996757,0.943956,0.058811,0.041189,15.6,89.9,no_position,4319,aggregation
20,3.589984,36.233486,8.022937,3050.122353,0.05,0.139645,0.0,0.037927,0.03014,0.03019,0.007879,0.997682,0.96986,0.066547,0.016547,18.25,134.85,no_position,4327,passkey_exact
20,3.190933,24.311111,8.456375,4704.973471,0.1,0.298115,0.05,0.057968,0.042219,0.042341,0.003749,0.997101,0.957781,0.060464,0.049747,5.8,145.55,no_position,4327,multi_needle
20,2.9368,18.855406,6.023859,413.169806,0.05,0.158914,0.0,0.064093,0.05572,0.055826,0.012669,0.997555,0.94428,0.059146,0.009146,16.15,82.1,no_position,4327,aggregation
20,3.579442,35.853538,7.91528,2738.814328,0.05,0.136665,0.0,0.017145,0.030271,0.030375,0.003666,0.995243,0.969729,0.066031,0.016031,18.4,133.6,no_position,4337,passkey_exact
