task,seed,method,stage10_method_alias,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_target_probability_mae,test_mean_top1_confidence,test_expected_calibration_error,final_training_loss
phase_cued_retrieval,307,no_position,no_position,60,8,4.851906,4.852053,128.002962,0.0,0.015565,0.007812,0.992188,0.007814,0.007814,4.851917
phase_cued_retrieval,307,sinusoidal,sinusoidal,60,8,4.851907,4.852053,128.002905,0.0,0.015747,0.007812,0.992188,0.007814,0.007814,4.851917
phase_cued_retrieval,307,alibi,alibi,60,8,4.851905,4.852053,128.002929,0.0,0.015652,0.007812,0.992188,0.007814,0.007814,4.851918
phase_cued_retrieval,307,rope_relative,rope,60,8,4.851906,4.852053,128.002954,0.0,0.015683,0.007812,0.992188,0.007814,0.007814,4.851916
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,60,8,4.851902,4.852054,128.002994,0.0,0.015599,0.007812,0.992188,0.007814,0.007814,4.851921
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,60,8,4.851902,4.852054,128.002978,0.0,0.015615,0.007812,0.992188,0.007814,0.007814,4.851921
phase_cued_retrieval,311,no_position,no_position,60,8,4.852008,4.851962,127.991274,0.125,0.20222,0.007813,0.992187,0.007814,0.117186,4.851938
phase_cued_retrieval,311,sinusoidal,sinusoidal,60,8,4.852008,4.851962,127.991282,0.125,0.202264,0.007813,0.992187,0.007814,0.117186,4.851938
phase_cued_retrieval,311,alibi,alibi,60,8,4.852008,4.851962,127.991275,0.125,0.202264,0.007813,0.992187,0.007814,0.117186,4.851938
phase_cued_retrieval,311,rope_relative,rope,60,8,4.852008,4.851962,127.991276,0.125,0.202264,0.007813,0.992187,0.007814,0.117186,4.851938
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,60,8,4.852008,4.851962,127.991253,0.125,0.202425,0.007813,0.992187,0.007814,0.117186,4.851938
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,60,8,4.852008,4.851962,127.991253,0.125,0.202233,0.007813,0.992187,0.007814,0.117186,4.851938
phase_cued_retrieval,313,no_position,no_position,60,8,4.852013,4.852013,127.997801,0.0,0.072474,0.007813,0.992187,0.007814,0.007814,4.851982
phase_cued_retrieval,313,sinusoidal,sinusoidal,60,8,4.852013,4.852012,127.997692,0.0,0.073422,0.007813,0.992187,0.007814,0.007814,4.851982
