task,method,seed_count,failed_run_count,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_target_probability_mae_mean,test_target_probability_mae_ci_low,test_target_probability_mae_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,5,0,4.85201,4.851958,4.852054,4.852024,4.85199,4.852051,127.999243,127.995154,128.002849,0.025,0.0,0.075,0.066105,0.017687,0.13894,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437,4.851958,4.851933,4.851984
phase_cued_retrieval,sinusoidal,5,0,4.85201,4.851957,4.852054,4.852024,4.85199,4.85205,127.999183,127.995128,128.002769,0.025,0.0,0.075,0.066336,0.017497,0.140665,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437,4.851958,4.851934,4.851981
phase_cued_retrieval,alibi,5,0,4.85201,4.851958,4.852053,4.852024,4.851991,4.852052,127.999244,127.994346,128.00263,0.025,0.0,0.075,0.064997,0.017469,0.137825,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437,4.851958,4.851932,4.851981
phase_cued_retrieval,rope_relative,5,0,4.85201,4.851958,4.852054,4.852024,4.851992,4.852054,127.999237,127.994921,128.003059,0.025,0.0,0.075,0.066144,0.01747,0.139267,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437,4.851958,4.851931,4.851985
phase_cued_retrieval,phasewrap_bias,5,0,4.85201,4.851954,4.852051,4.852024,4.851991,4.852054,127.999218,127.994912,128.002791,0.025,0.0,0.075,0.063756,0.017172,0.136914,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437,4.851959,4.851934,4.851982
phase_cued_retrieval,phasewrap_adapter,5,0,4.85201,4.851947,4.852052,4.852024,4.851992,4.852051,127.999213,127.994912,128.002778,0.025,0.0,0.075,0.063826,0.017205,0.130471,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437,4.851959,4.851931,4.851985
exact_offset_passkey,no_position,5,0,4.852015,4.851985,4.852041,4.852022,4.852013,4.852031,127.998898,127.997854,127.999941,0.025,0.0,0.075,0.051819,0.027435,0.099536,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437,4.851935,4.851887,4.851979
exact_offset_passkey,sinusoidal,5,0,4.852014,4.851985,4.852037,4.852022,4.852013,4.85203,127.998901,127.997825,127.999977,0.025,0.0,0.075,0.051811,0.027461,0.099254,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437,4.851935,4.851886,4.851979
exact_offset_passkey,alibi,5,0,4.852014,4.851987,4.85204,4.852021,4.852013,4.852029,127.998881,127.997846,127.999921,0.025,0.0,0.075,0.051391,0.026787,0.09936,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437,4.851936,4.851887,4.851972
exact_offset_passkey,rope_relative,5,0,4.852015,4.851988,4.85204,4.852022,4.852014,4.85203,127.998893,127.997746,127.999946,0.025,0.0,0.075,0.051835,0.027461,0.099242,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437,4.851935,4.851882,4.851976
