task,seed,method,stage10_method_alias,epochs,train_row_count,validation_row_count,test_row_count,final_training_loss,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,300,4,2,4,4.269591,4.186695,65.80493,0.25,0.520833,0.015919,0.231001,4.860262,129.058046,0.0,0.020952,0.007749,0.01169,4.864001,129.541419,0.0,0.034369,0.00772,0.011655
phase_cued_retrieval,307,sinusoidal,sinusoidal,300,4,2,4,4.261648,4.177302,65.189713,0.25,0.520833,0.016113,0.230717,4.860517,129.090877,0.0,0.020952,0.007747,0.011782,4.864177,129.564262,0.0,0.032097,0.007719,0.011731
phase_cued_retrieval,307,alibi,alibi,300,4,2,4,4.304572,4.227958,68.577026,0.25,0.520833,0.015181,0.232083,4.859595,128.971986,0.0,0.020952,0.007754,0.011384,4.86315,129.431294,0.0,0.034369,0.007727,0.011346
phase_cued_retrieval,307,rope_relative,rope,300,4,2,4,4.255214,4.169706,64.696424,0.25,0.520833,0.016229,0.230563,4.86056,129.096463,0.0,0.020952,0.007746,0.011814,4.864379,129.590374,0.0,0.034369,0.007717,0.011782
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,300,4,2,4,4.422482,4.366467,78.764839,0.25,0.520833,0.013014,0.235116,4.857254,128.670408,0.0,0.021042,0.007772,0.010403,4.860341,129.068185,0.0,0.032097,0.007748,0.010394
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,300,4,2,4,4.421714,4.365492,78.688112,0.25,0.520833,0.013028,0.235098,4.857262,128.671474,0.0,0.021042,0.007772,0.010403,4.860357,129.070296,0.0,0.032097,0.007748,0.010395
exact_offset_passkey,307,no_position,no_position,300,4,2,4,4.847812,4.847712,127.448469,0.25,0.541667,0.007846,0.242145,4.851975,127.99297,0.0,0.036513,0.007813,0.00782,4.851901,127.983485,0.0,0.033498,0.007814,0.007829
exact_offset_passkey,307,sinusoidal,sinusoidal,300,4,2,4,4.847782,4.847681,127.444464,0.25,0.541667,0.007847,0.242145,4.851973,127.99264,0.0,0.036626,0.007813,0.00782,4.851897,127.983006,0.0,0.033498,0.007814,0.00783
exact_offset_passkey,307,alibi,alibi,300,4,2,4,4.847809,4.847709,127.448051,0.25,0.541667,0.007846,0.242145,4.851976,127.99311,0.0,0.036513,0.007813,0.00782,4.851898,127.983129,0.0,0.033498,0.007814,0.00783
exact_offset_passkey,307,rope_relative,rope,300,4,2,4,4.847852,4.847753,127.453716,0.25,0.541667,0.007846,0.242146,4.851978,127.99331,0.0,0.036513,0.007813,0.00782,4.851902,127.983613,0.0,0.033498,0.007814,0.007829
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,300,4,2,4,4.847988,4.847894,127.471606,0.25,0.583333,0.007845,0.242148,4.851977,127.99321,0.0,0.036569,0.007813,0.00782,4.85191,127.984659,0.0,0.033258,0.007813,0.007828
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,300,4,2,4,4.847993,4.847899,127.472253,0.25,0.583333,0.007845,0.242148,4.851977,127.99322,0.0,0.036569,0.007813,0.00782,4.85191,127.984658,0.0,0.033258,0.007813,0.007828
tiny_text_fact_qa,307,no_position,no_position,300,4,2,4,4.823294,4.821061,124.096637,0.5,0.75,0.008059,0.491899,4.838053,126.223318,0.5,0.75,0.007922,0.492051,4.83672,126.055171,0.5,0.75,0.007933,0.49204
tiny_text_fact_qa,307,sinusoidal,sinusoidal,300,4,2,4,4.826621,4.824732,124.553094,0.5,0.75,0.008029,0.491933,4.839993,126.468495,0.5,0.75,0.007907,0.492069,4.83867,126.301302,0.5,0.75,0.007918,0.492058
tiny_text_fact_qa,307,alibi,alibi,300,4,2,4,4.825837,4.823868,124.445569,0.5,0.75,0.008036,0.491925,4.839546,126.411962,0.5,0.75,0.007911,0.492065,4.838191,126.240717,0.5,0.75,0.007921,0.492054
tiny_text_fact_qa,307,rope_relative,rope,300,4,2,4,4.823661,4.821467,124.147046,0.5,0.75,0.008055,0.491903,4.838294,126.253813,0.5,0.75,0.007921,0.492053,4.836969,126.086567,0.5,0.75,0.007931,0.492042
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,300,4,2,4,4.807899,4.80388,121.982823,0.5,0.75,0.008199,0.491743,4.829573,125.157511,0.5,0.75,0.00799,0.491975,4.827558,124.905594,0.5,0.75,0.008006,0.491959
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,300,4,2,4,4.806981,4.802849,121.857061,0.5,0.75,0.008207,0.491734,4.829071,125.094718,0.5,0.75,0.007994,0.491971,4.827044,124.841444,0.5,0.75,0.00801,0.491954
