task,method,seed_count,failed_run_count,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,1,0,4.186695,4.186695,4.186695,65.80493,65.80493,65.80493,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.015919,0.015919,0.015919,0.231001,0.231001,0.231001,4.860262,4.860262,4.860262,129.058046,129.058046,129.058046,0.0,0.0,0.0,0.020952,0.020952,0.020952,0.007749,0.007749,0.007749,0.01169,0.01169,0.01169,4.864001,4.864001,4.864001,129.541419,129.541419,129.541419,0.0,0.0,0.0,0.034369,0.034369,0.034369,0.00772,0.00772,0.00772,0.011655,0.011655,0.011655,4.269591,4.269591,4.269591
phase_cued_retrieval,sinusoidal,1,0,4.177302,4.177302,4.177302,65.189713,65.189713,65.189713,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.016113,0.016113,0.016113,0.230717,0.230717,0.230717,4.860517,4.860517,4.860517,129.090877,129.090877,129.090877,0.0,0.0,0.0,0.020952,0.020952,0.020952,0.007747,0.007747,0.007747,0.011782,0.011782,0.011782,4.864177,4.864177,4.864177,129.564262,129.564262,129.564262,0.0,0.0,0.0,0.032097,0.032097,0.032097,0.007719,0.007719,0.007719,0.011731,0.011731,0.011731,4.261648,4.261648,4.261648
phase_cued_retrieval,alibi,1,0,4.227958,4.227958,4.227958,68.577026,68.577026,68.577026,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.015181,0.015181,0.015181,0.232083,0.232083,0.232083,4.859595,4.859595,4.859595,128.971986,128.971986,128.971986,0.0,0.0,0.0,0.020952,0.020952,0.020952,0.007754,0.007754,0.007754,0.011384,0.011384,0.011384,4.86315,4.86315,4.86315,129.431294,129.431294,129.431294,0.0,0.0,0.0,0.034369,0.034369,0.034369,0.007727,0.007727,0.007727,0.011346,0.011346,0.011346,4.304572,4.304572,4.304572
phase_cued_retrieval,rope_relative,1,0,4.169706,4.169706,4.169706,64.696424,64.696424,64.696424,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.016229,0.016229,0.016229,0.230563,0.230563,0.230563,4.86056,4.86056,4.86056,129.096463,129.096463,129.096463,0.0,0.0,0.0,0.020952,0.020952,0.020952,0.007746,0.007746,0.007746,0.011814,0.011814,0.011814,4.864379,4.864379,4.864379,129.590374,129.590374,129.590374,0.0,0.0,0.0,0.034369,0.034369,0.034369,0.007717,0.007717,0.007717,0.011782,0.011782,0.011782,4.255214,4.255214,4.255214
phase_cued_retrieval,phasewrap_bias,1,0,4.366467,4.366467,4.366467,78.764839,78.764839,78.764839,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.013014,0.013014,0.013014,0.235116,0.235116,0.235116,4.857254,4.857254,4.857254,128.670408,128.670408,128.670408,0.0,0.0,0.0,0.021042,0.021042,0.021042,0.007772,0.007772,0.007772,0.010403,0.010403,0.010403,4.860341,4.860341,4.860341,129.068185,129.068185,129.068185,0.0,0.0,0.0,0.032097,0.032097,0.032097,0.007748,0.007748,0.007748,0.010394,0.010394,0.010394,4.422482,4.422482,4.422482
phase_cued_retrieval,phasewrap_adapter,1,0,4.365492,4.365492,4.365492,78.688112,78.688112,78.688112,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.013028,0.013028,0.013028,0.235098,0.235098,0.235098,4.857262,4.857262,4.857262,128.671474,128.671474,128.671474,0.0,0.0,0.0,0.021042,0.021042,0.021042,0.007772,0.007772,0.007772,0.010403,0.010403,0.010403,4.860357,4.860357,4.860357,129.070296,129.070296,129.070296,0.0,0.0,0.0,0.032097,0.032097,0.032097,0.007748,0.007748,0.007748,0.010395,0.010395,0.010395,4.421714,4.421714,4.421714
exact_offset_passkey,no_position,1,0,4.847712,4.847712,4.847712,127.448469,127.448469,127.448469,0.25,0.25,0.25,0.541667,0.541667,0.541667,0.007846,0.007846,0.007846,0.242145,0.242145,0.242145,4.851975,4.851975,4.851975,127.99297,127.99297,127.99297,0.0,0.0,0.0,0.036513,0.036513,0.036513,0.007813,0.007813,0.007813,0.00782,0.00782,0.00782,4.851901,4.851901,4.851901,127.983485,127.983485,127.983485,0.0,0.0,0.0,0.033498,0.033498,0.033498,0.007814,0.007814,0.007814,0.007829,0.007829,0.007829,4.847812,4.847812,4.847812
exact_offset_passkey,sinusoidal,1,0,4.847681,4.847681,4.847681,127.444464,127.444464,127.444464,0.25,0.25,0.25,0.541667,0.541667,0.541667,0.007847,0.007847,0.007847,0.242145,0.242145,0.242145,4.851973,4.851973,4.851973,127.99264,127.99264,127.99264,0.0,0.0,0.0,0.036626,0.036626,0.036626,0.007813,0.007813,0.007813,0.00782,0.00782,0.00782,4.851897,4.851897,4.851897,127.983006,127.983006,127.983006,0.0,0.0,0.0,0.033498,0.033498,0.033498,0.007814,0.007814,0.007814,0.00783,0.00783,0.00783,4.847782,4.847782,4.847782
exact_offset_passkey,alibi,1,0,4.847709,4.847709,4.847709,127.448051,127.448051,127.448051,0.25,0.25,0.25,0.541667,0.541667,0.541667,0.007846,0.007846,0.007846,0.242145,0.242145,0.242145,4.851976,4.851976,4.851976,127.99311,127.99311,127.99311,0.0,0.0,0.0,0.036513,0.036513,0.036513,0.007813,0.007813,0.007813,0.00782,0.00782,0.00782,4.851898,4.851898,4.851898,127.983129,127.983129,127.983129,0.0,0.0,0.0,0.033498,0.033498,0.033498,0.007814,0.007814,0.007814,0.00783,0.00783,0.00783,4.847809,4.847809,4.847809
exact_offset_passkey,rope_relative,1,0,4.847753,4.847753,4.847753,127.453716,127.453716,127.453716,0.25,0.25,0.25,0.541667,0.541667,0.541667,0.007846,0.007846,0.007846,0.242146,0.242146,0.242146,4.851978,4.851978,4.851978,127.99331,127.99331,127.99331,0.0,0.0,0.0,0.036513,0.036513,0.036513,0.007813,0.007813,0.007813,0.00782,0.00782,0.00782,4.851902,4.851902,4.851902,127.983613,127.983613,127.983613,0.0,0.0,0.0,0.033498,0.033498,0.033498,0.007814,0.007814,0.007814,0.007829,0.007829,0.007829,4.847852,4.847852,4.847852
exact_offset_passkey,phasewrap_bias,1,0,4.847894,4.847894,4.847894,127.471606,127.471606,127.471606,0.25,0.25,0.25,0.583333,0.583333,0.583333,0.007845,0.007845,0.007845,0.242148,0.242148,0.242148,4.851977,4.851977,4.851977,127.99321,127.99321,127.99321,0.0,0.0,0.0,0.036569,0.036569,0.036569,0.007813,0.007813,0.007813,0.00782,0.00782,0.00782,4.85191,4.85191,4.85191,127.984659,127.984659,127.984659,0.0,0.0,0.0,0.033258,0.033258,0.033258,0.007813,0.007813,0.007813,0.007828,0.007828,0.007828,4.847988,4.847988,4.847988
exact_offset_passkey,phasewrap_adapter,1,0,4.847899,4.847899,4.847899,127.472253,127.472253,127.472253,0.25,0.25,0.25,0.583333,0.583333,0.583333,0.007845,0.007845,0.007845,0.242148,0.242148,0.242148,4.851977,4.851977,4.851977,127.99322,127.99322,127.99322,0.0,0.0,0.0,0.036569,0.036569,0.036569,0.007813,0.007813,0.007813,0.00782,0.00782,0.00782,4.85191,4.85191,4.85191,127.984658,127.984658,127.984658,0.0,0.0,0.0,0.033258,0.033258,0.033258,0.007813,0.007813,0.007813,0.007828,0.007828,0.007828,4.847993,4.847993,4.847993
tiny_text_fact_qa,no_position,1,0,4.821061,4.821061,4.821061,124.096637,124.096637,124.096637,0.5,0.5,0.5,0.75,0.75,0.75,0.008059,0.008059,0.008059,0.491899,0.491899,0.491899,4.838053,4.838053,4.838053,126.223318,126.223318,126.223318,0.5,0.5,0.5,0.75,0.75,0.75,0.007922,0.007922,0.007922,0.492051,0.492051,0.492051,4.83672,4.83672,4.83672,126.055171,126.055171,126.055171,0.5,0.5,0.5,0.75,0.75,0.75,0.007933,0.007933,0.007933,0.49204,0.49204,0.49204,4.823294,4.823294,4.823294
tiny_text_fact_qa,sinusoidal,1,0,4.824732,4.824732,4.824732,124.553094,124.553094,124.553094,0.5,0.5,0.5,0.75,0.75,0.75,0.008029,0.008029,0.008029,0.491933,0.491933,0.491933,4.839993,4.839993,4.839993,126.468495,126.468495,126.468495,0.5,0.5,0.5,0.75,0.75,0.75,0.007907,0.007907,0.007907,0.492069,0.492069,0.492069,4.83867,4.83867,4.83867,126.301302,126.301302,126.301302,0.5,0.5,0.5,0.75,0.75,0.75,0.007918,0.007918,0.007918,0.492058,0.492058,0.492058,4.826621,4.826621,4.826621
tiny_text_fact_qa,alibi,1,0,4.823868,4.823868,4.823868,124.445569,124.445569,124.445569,0.5,0.5,0.5,0.75,0.75,0.75,0.008036,0.008036,0.008036,0.491925,0.491925,0.491925,4.839546,4.839546,4.839546,126.411962,126.411962,126.411962,0.5,0.5,0.5,0.75,0.75,0.75,0.007911,0.007911,0.007911,0.492065,0.492065,0.492065,4.838191,4.838191,4.838191,126.240717,126.240717,126.240717,0.5,0.5,0.5,0.75,0.75,0.75,0.007921,0.007921,0.007921,0.492054,0.492054,0.492054,4.825837,4.825837,4.825837
tiny_text_fact_qa,rope_relative,1,0,4.821467,4.821467,4.821467,124.147046,124.147046,124.147046,0.5,0.5,0.5,0.75,0.75,0.75,0.008055,0.008055,0.008055,0.491903,0.491903,0.491903,4.838294,4.838294,4.838294,126.253813,126.253813,126.253813,0.5,0.5,0.5,0.75,0.75,0.75,0.007921,0.007921,0.007921,0.492053,0.492053,0.492053,4.836969,4.836969,4.836969,126.086567,126.086567,126.086567,0.5,0.5,0.5,0.75,0.75,0.75,0.007931,0.007931,0.007931,0.492042,0.492042,0.492042,4.823661,4.823661,4.823661
tiny_text_fact_qa,phasewrap_bias,1,0,4.80388,4.80388,4.80388,121.982823,121.982823,121.982823,0.5,0.5,0.5,0.75,0.75,0.75,0.008199,0.008199,0.008199,0.491743,0.491743,0.491743,4.829573,4.829573,4.829573,125.157511,125.157511,125.157511,0.5,0.5,0.5,0.75,0.75,0.75,0.00799,0.00799,0.00799,0.491975,0.491975,0.491975,4.827558,4.827558,4.827558,124.905594,124.905594,124.905594,0.5,0.5,0.5,0.75,0.75,0.75,0.008006,0.008006,0.008006,0.491959,0.491959,0.491959,4.807899,4.807899,4.807899
tiny_text_fact_qa,phasewrap_adapter,1,0,4.802849,4.802849,4.802849,121.857061,121.857061,121.857061,0.5,0.5,0.5,0.75,0.75,0.75,0.008207,0.008207,0.008207,0.491734,0.491734,0.491734,4.829071,4.829071,4.829071,125.094718,125.094718,125.094718,0.5,0.5,0.5,0.75,0.75,0.75,0.007994,0.007994,0.007994,0.491971,0.491971,0.491971,4.827044,4.827044,4.827044,124.841444,124.841444,124.841444,0.5,0.5,0.5,0.75,0.75,0.75,0.00801,0.00801,0.00801,0.491954,0.491954,0.491954,4.806981,4.806981,4.806981
