task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,300,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,18.844879,152836449.045402,0.0,0.018353,2.1e-05,0.772602,15.398758,4870749.98088,0.0,0.027581,6.6e-05,0.567793
phase_cued_retrieval,307,sinusoidal,sinusoidal,300,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,18.756256,139874512.698333,0.0,0.018972,2.6e-05,0.769093,15.517919,5487146.449864,0.0,0.027581,6.3e-05,0.582683
phase_cued_retrieval,307,alibi,alibi,300,0.03,full_batch_adam,4,2,4,4e-06,4e-06,1.000004,1.0,1.0,0.999996,4e-06,19.143554,206034559.448823,0.0,0.018537,1.2e-05,0.774423,15.62064,6080761.468373,0.0,0.027581,4.8e-05,0.573493
phase_cued_retrieval,307,rope_relative,rope,300,0.03,full_batch_adam,4,2,4,4e-06,4e-06,1.000004,1.0,1.0,0.999996,4e-06,18.701199,132381530.325778,0.0,0.018575,2.9e-05,0.770177,15.309087,4452993.740672,0.0,0.02639,8.7e-05,0.555283
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,300,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,19.172123,212005446.921935,0.0,0.01996,1.1e-05,0.719334,15.631633,6147972.356039,0.0,0.030804,5e-05,0.521518
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,300,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,19.135489,204379463.800078,0.0,0.01941,1.2e-05,0.733003,15.424051,4995516.051671,0.0,0.030678,6.6e-05,0.552282
exact_offset_passkey,307,no_position,no_position,300,0.03,full_batch_adam,4,2,4,7.6e-05,7.6e-05,1.000076,1.0,1.0,0.999924,7.6e-05,27.631021,999999999999.999,0.0,0.016492,0.0,0.957624,19.14848,207051882.858734,0.0,0.038722,2e-06,0.664917
exact_offset_passkey,307,sinusoidal,sinusoidal,300,0.03,full_batch_adam,4,2,4,7.6e-05,7.6e-05,1.000076,1.0,1.0,0.999924,7.6e-05,27.631021,999999999999.999,0.0,0.02027,0.0,0.989123,18.44583,102546815.010377,0.0,0.038667,2e-06,0.653299
exact_offset_passkey,307,alibi,alibi,300,0.03,full_batch_adam,4,2,4,3.6e-05,3.6e-05,1.000036,1.0,1.0,0.999964,3.6e-05,27.631021,999999999999.999,0.0,0.019349,0.0,0.999517,19.109721,199180290.714487,0.0,0.038505,3e-06,0.639703
exact_offset_passkey,307,rope_relative,rope,300,0.03,full_batch_adam,4,2,4,0.000109,0.000108,1.000108,1.0,1.0,0.999892,0.000108,27.631021,999999999999.999,0.0,0.016369,0.0,0.807841,19.308209,242911740.089673,0.0,0.038734,1e-06,0.582779
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,300,0.03,full_batch_adam,4,2,4,7.9e-05,7.9e-05,1.000079,1.0,1.0,0.999921,7.9e-05,27.631021,999999999999.999,0.0,0.020634,0.0,0.773918,18.469104,104961480.394034,0.0,0.038345,4e-06,0.642631
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,300,0.03,full_batch_adam,4,2,4,9.7e-05,9.7e-05,1.000097,1.0,1.0,0.999903,9.7e-05,27.631021,999999999999.999,0.0,0.020634,0.0,0.806922,18.53149,111718232.701059,0.0,0.038393,4e-06,0.694079
tiny_text_fact_qa,307,no_position,no_position,300,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.980793,7.248491,0.5,0.75,0.509516,0.490483,1.498694,4.475839,0.75,0.875,0.73325,0.231911
tiny_text_fact_qa,307,sinusoidal,sinusoidal,300,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.994999,7.352198,0.5,0.75,0.50925,0.49075,1.683077,5.382091,0.5,0.75,0.621679,0.378321
tiny_text_fact_qa,307,alibi,alibi,300,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.027331,7.593792,0.5,0.75,0.508671,0.491329,1.69412,5.441856,0.5,0.75,0.593404,0.406596
tiny_text_fact_qa,307,rope_relative,rope,300,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.923034,6.841683,0.5,0.75,0.510682,0.489318,1.496446,4.465791,0.75,0.875,0.740103,0.23879
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,300,0.03,full_batch_adam,4,2,4,1e-06,1e-06,1.000001,1.0,1.0,0.999999,1e-06,3.307364,27.31304,0.5,0.75,0.50067,0.499329,3.511529,33.499434,0.75,0.875,0.744825,0.244824
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,300,0.03,full_batch_adam,4,2,4,1e-06,1e-06,1.000001,1.0,1.0,0.999999,1e-06,3.116331,22.563453,0.5,0.75,0.500982,0.499017,3.46676,32.032773,0.75,0.875,0.74179,0.24179
