task,method,seed_count,failed_run_count,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,1,0,3e-06,3e-06,3e-06,1.000003,1.000003,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999997,0.999997,0.999997,3e-06,3e-06,3e-06,18.844879,18.844879,18.844879,152836449.045402,152836449.045402,152836449.045402,0.0,0.0,0.0,0.018353,0.018353,0.018353,2.1e-05,2.1e-05,2.1e-05,0.772602,0.772602,0.772602,15.398758,15.398758,15.398758,4870749.98088,4870749.98088,4870749.98088,0.0,0.0,0.0,0.027581,0.027581,0.027581,6.6e-05,6.6e-05,6.6e-05,0.567793,0.567793,0.567793,3e-06,3e-06,3e-06
phase_cued_retrieval,sinusoidal,1,0,3e-06,3e-06,3e-06,1.000003,1.000003,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999997,0.999997,0.999997,3e-06,3e-06,3e-06,18.756256,18.756256,18.756256,139874512.698333,139874512.698333,139874512.698333,0.0,0.0,0.0,0.018972,0.018972,0.018972,2.6e-05,2.6e-05,2.6e-05,0.769093,0.769093,0.769093,15.517919,15.517919,15.517919,5487146.449864,5487146.449864,5487146.449864,0.0,0.0,0.0,0.027581,0.027581,0.027581,6.3e-05,6.3e-05,6.3e-05,0.582683,0.582683,0.582683,3e-06,3e-06,3e-06
phase_cued_retrieval,alibi,1,0,4e-06,4e-06,4e-06,1.000004,1.000004,1.000004,1.0,1.0,1.0,1.0,1.0,1.0,0.999996,0.999996,0.999996,4e-06,4e-06,4e-06,19.143554,19.143554,19.143554,206034559.448823,206034559.448823,206034559.448823,0.0,0.0,0.0,0.018537,0.018537,0.018537,1.2e-05,1.2e-05,1.2e-05,0.774423,0.774423,0.774423,15.62064,15.62064,15.62064,6080761.468373,6080761.468373,6080761.468373,0.0,0.0,0.0,0.027581,0.027581,0.027581,4.8e-05,4.8e-05,4.8e-05,0.573493,0.573493,0.573493,4e-06,4e-06,4e-06
phase_cued_retrieval,rope_relative,1,0,4e-06,4e-06,4e-06,1.000004,1.000004,1.000004,1.0,1.0,1.0,1.0,1.0,1.0,0.999996,0.999996,0.999996,4e-06,4e-06,4e-06,18.701199,18.701199,18.701199,132381530.325778,132381530.325778,132381530.325778,0.0,0.0,0.0,0.018575,0.018575,0.018575,2.9e-05,2.9e-05,2.9e-05,0.770177,0.770177,0.770177,15.309087,15.309087,15.309087,4452993.740672,4452993.740672,4452993.740672,0.0,0.0,0.0,0.02639,0.02639,0.02639,8.7e-05,8.7e-05,8.7e-05,0.555283,0.555283,0.555283,4e-06,4e-06,4e-06
phase_cued_retrieval,phasewrap_bias,1,0,3e-06,3e-06,3e-06,1.000003,1.000003,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999997,0.999997,0.999997,3e-06,3e-06,3e-06,19.172123,19.172123,19.172123,212005446.921935,212005446.921935,212005446.921935,0.0,0.0,0.0,0.01996,0.01996,0.01996,1.1e-05,1.1e-05,1.1e-05,0.719334,0.719334,0.719334,15.631633,15.631633,15.631633,6147972.356039,6147972.356039,6147972.356039,0.0,0.0,0.0,0.030804,0.030804,0.030804,5e-05,5e-05,5e-05,0.521518,0.521518,0.521518,3e-06,3e-06,3e-06
phase_cued_retrieval,phasewrap_adapter,1,0,3e-06,3e-06,3e-06,1.000003,1.000003,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999997,0.999997,0.999997,3e-06,3e-06,3e-06,19.135489,19.135489,19.135489,204379463.800078,204379463.800078,204379463.800078,0.0,0.0,0.0,0.01941,0.01941,0.01941,1.2e-05,1.2e-05,1.2e-05,0.733003,0.733003,0.733003,15.424051,15.424051,15.424051,4995516.051671,4995516.051671,4995516.051671,0.0,0.0,0.0,0.030678,0.030678,0.030678,6.6e-05,6.6e-05,6.6e-05,0.552282,0.552282,0.552282,3e-06,3e-06,3e-06
exact_offset_passkey,no_position,1,0,7.6e-05,7.6e-05,7.6e-05,1.000076,1.000076,1.000076,1.0,1.0,1.0,1.0,1.0,1.0,0.999924,0.999924,0.999924,7.6e-05,7.6e-05,7.6e-05,27.631021,27.631021,27.631021,999999999999.999,999999999999.999,999999999999.999,0.0,0.0,0.0,0.016492,0.016492,0.016492,0.0,0.0,0.0,0.957624,0.957624,0.957624,19.14848,19.14848,19.14848,207051882.858734,207051882.858734,207051882.858734,0.0,0.0,0.0,0.038722,0.038722,0.038722,2e-06,2e-06,2e-06,0.664917,0.664917,0.664917,7.6e-05,7.6e-05,7.6e-05
exact_offset_passkey,sinusoidal,1,0,7.6e-05,7.6e-05,7.6e-05,1.000076,1.000076,1.000076,1.0,1.0,1.0,1.0,1.0,1.0,0.999924,0.999924,0.999924,7.6e-05,7.6e-05,7.6e-05,27.631021,27.631021,27.631021,999999999999.999,999999999999.999,999999999999.999,0.0,0.0,0.0,0.02027,0.02027,0.02027,0.0,0.0,0.0,0.989123,0.989123,0.989123,18.44583,18.44583,18.44583,102546815.010377,102546815.010377,102546815.010377,0.0,0.0,0.0,0.038667,0.038667,0.038667,2e-06,2e-06,2e-06,0.653299,0.653299,0.653299,7.6e-05,7.6e-05,7.6e-05
exact_offset_passkey,alibi,1,0,3.6e-05,3.6e-05,3.6e-05,1.000036,1.000036,1.000036,1.0,1.0,1.0,1.0,1.0,1.0,0.999964,0.999964,0.999964,3.6e-05,3.6e-05,3.6e-05,27.631021,27.631021,27.631021,999999999999.999,999999999999.999,999999999999.999,0.0,0.0,0.0,0.019349,0.019349,0.019349,0.0,0.0,0.0,0.999517,0.999517,0.999517,19.109721,19.109721,19.109721,199180290.714487,199180290.714487,199180290.714487,0.0,0.0,0.0,0.038505,0.038505,0.038505,3e-06,3e-06,3e-06,0.639703,0.639703,0.639703,3.6e-05,3.6e-05,3.6e-05
exact_offset_passkey,rope_relative,1,0,0.000108,0.000108,0.000108,1.000108,1.000108,1.000108,1.0,1.0,1.0,1.0,1.0,1.0,0.999892,0.999892,0.999892,0.000108,0.000108,0.000108,27.631021,27.631021,27.631021,999999999999.999,999999999999.999,999999999999.999,0.0,0.0,0.0,0.016369,0.016369,0.016369,0.0,0.0,0.0,0.807841,0.807841,0.807841,19.308209,19.308209,19.308209,242911740.089673,242911740.089673,242911740.089673,0.0,0.0,0.0,0.038734,0.038734,0.038734,1e-06,1e-06,1e-06,0.582779,0.582779,0.582779,0.000109,0.000109,0.000109
