task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,180,0.03,full_batch_adam,4,2,4,4e-06,4e-06,1.000004,1.0,1.0,0.999996,4e-06,18.843581,152638214.274372,0.0,0.018353,2.1e-05,0.771752,15.396783,4861137.228184,0.0,0.027581,6.6e-05,0.565426
phase_cued_retrieval,307,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,18.755178,139723807.355987,0.0,0.018972,2.6e-05,0.768334,15.516065,5476984.981104,0.0,0.027581,6.3e-05,0.58047
phase_cued_retrieval,307,alibi,alibi,180,0.03,full_batch_adam,4,2,4,4e-06,4e-06,1.000004,1.0,1.0,0.999996,4e-06,19.142146,205744521.758169,0.0,0.018537,1.2e-05,0.77349,15.618549,6068058.767312,0.0,0.027581,4.8e-05,0.571082
phase_cued_retrieval,307,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,5e-06,5e-06,1.000005,1.0,1.0,0.999995,5e-06,18.699985,132220963.970827,0.0,0.018575,2.9e-05,0.7694,15.307306,4445069.818949,0.0,0.02639,8.7e-05,0.553085
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,19.172344,212052502.655118,0.0,0.019798,1.1e-05,0.719439,15.631927,6149779.611224,0.0,0.030804,5e-05,0.521853
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,3e-06,3e-06,1.000003,1.0,1.0,0.999997,3e-06,19.135458,204373238.9421,0.0,0.01941,1.2e-05,0.73296,15.423912,4994820.248657,0.0,0.030678,6.6e-05,0.55223
phase_cued_retrieval,311,no_position,no_position,180,0.03,full_batch_adam,4,2,4,5.6e-05,5.6e-05,1.000056,1.0,1.0,0.999944,5.6e-05,23.067079,10420894220.781624,0.0,0.014807,0.0,0.819433,23.21273,12054816108.294266,0.0,0.013141,0.0,0.674482
phase_cued_retrieval,311,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.000117,0.000117,1.000117,1.0,1.0,0.999883,0.000117,23.332798,13592694418.235079,0.0,0.016132,0.0,0.853299,25.00449,72328960265.16266,0.0,0.012706,0.0,0.648009
phase_cued_retrieval,311,alibi,alibi,180,0.03,full_batch_adam,4,2,4,6.8e-05,6.8e-05,1.000068,1.0,1.0,0.999932,6.8e-05,23.09939,10763102799.121103,0.0,0.015565,0.0,0.848671,23.288121,12998779169.173712,0.0,0.013184,0.0,0.65064
phase_cued_retrieval,311,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,6.5e-05,6.4e-05,1.000064,1.0,1.0,0.999936,6.4e-05,23.082482,10582655602.45882,0.0,0.015048,0.0,0.82821,24.053497,27944789694.7059,0.0,0.013025,0.0,0.669719
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,5.3e-05,5.3e-05,1.000053,1.0,1.0,0.999947,5.3e-05,20.374712,705708128.122484,0.0,0.013968,1e-06,0.779579,21.964438,3459665628.250047,0.0,0.016212,0.0,0.711413
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,5.5e-05,5.5e-05,1.000055,1.0,1.0,0.999945,5.5e-05,20.357082,693375647.490018,0.0,0.013968,1e-06,0.777813,21.884129,3192689484.948421,0.0,0.016212,0.0,0.706138
phase_cued_retrieval,313,no_position,no_position,180,0.03,full_batch_adam,4,2,4,5.2e-05,5.2e-05,1.000052,1.0,1.0,0.999948,5.2e-05,27.631021,999999999999.999,0.0,0.025219,0.0,0.975693,24.490536,43261808217.21879,0.0,0.015563,0.0,0.827511
phase_cued_retrieval,313,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,7.9e-05,7.9e-05,1.000079,1.0,1.0,0.999921,7.9e-05,27.631021,999999999999.999,0.0,0.027001,0.0,0.990874,23.688906,19407119696.907677,0.0,0.015069,0.0,0.822745
phase_cued_retrieval,313,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.000107,0.000107,1.000107,1.0,1.0,0.999893,0.000107,27.631021,999999999999.999,0.0,0.028083,0.0,0.967361,24.427524,40619883513.00109,0.0,0.015933,0.0,0.795751
phase_cued_retrieval,313,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,7.8e-05,7.7e-05,1.000077,1.0,1.0,0.999923,7.7e-05,27.631021,999999999999.999,0.0,0.026087,0.0,0.987844,24.3057,35960978628.51071,0.0,0.015519,0.0,0.826371
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,7.8e-05,7.7e-05,1.000077,1.0,1.0,0.999923,7.7e-05,27.631021,999999999999.999,0.0,0.02812,0.0,0.986392,23.671173,19066009962.937256,0.0,0.016017,0.0,0.810779
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,8.8e-05,8.7e-05,1.000087,1.0,1.0,0.999913,8.7e-05,27.631021,999999999999.999,0.0,0.02812,0.0,0.983234,23.779611,21249747806.920715,0.0,0.016576,0.0,0.811818
phase_cued_retrieval,317,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.000168,0.000167,1.000167,1.0,1.0,0.999833,0.000167,22.965087,9410457053.080236,0.0,0.012225,0.0,0.772504,18.552554,114096350.792453,0.0,0.035604,4e-06,0.685776
phase_cued_retrieval,317,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.00014,0.000139,1.000139,1.0,1.0,0.999861,0.000139,22.560397,6278498533.361811,0.0,0.011484,0.0,0.743674,17.342354,34016439.079498,0.0,0.033554,2.4e-05,0.683681
phase_cued_retrieval,317,alibi,alibi,180,0.03,full_batch_adam,4,2,4,3.5e-05,3.5e-05,1.000035,1.0,1.0,0.999965,3.5e-05,22.15534,4187374585.639197,0.0,0.017063,0.0,0.863809,16.888785,21612556.761752,0.0,0.032345,0.000183,0.679272
phase_cued_retrieval,317,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,4.4e-05,4.4e-05,1.000044,1.0,1.0,0.999956,4.4e-05,21.720491,2710750259.791244,0.0,0.013441,0.0,0.719807,16.904019,21944314.026321,0.0,0.03358,0.000788,0.551367
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,2.7e-05,2.7e-05,1.000027,1.0,1.0,0.999973,2.7e-05,22.861562,8484964816.699807,0.0,0.010754,0.0,0.766634,19.380318,261074901.073146,0.0,0.029732,0.0,0.817308
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,2.4e-05,2.4e-05,1.000024,1.0,1.0,0.999976,2.4e-05,23.348191,13803536178.271923,0.0,0.011053,0.0,0.784886,19.507176,296386938.1243,0.0,0.030749,0.0,0.810928
phase_cued_retrieval,331,no_position,no_position,180,0.03,full_batch_adam,4,2,4,2.8e-05,2.8e-05,1.000028,1.0,1.0,0.999972,2.8e-05,24.172975,31491227589.719055,0.0,0.037195,0.0,0.956548,18.100201,72580065.296193,0.0,0.017462,0.0,0.840532
phase_cued_retrieval,331,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,3.4e-05,3.4e-05,1.000034,1.0,1.0,0.999966,3.4e-05,23.443133,15178302918.04562,0.0,0.037195,0.0,0.939754,17.681823,47765940.839543,0.0,0.018159,0.0,0.794777
phase_cued_retrieval,331,alibi,alibi,180,0.03,full_batch_adam,4,2,4,3.8e-05,3.8e-05,1.000038,1.0,1.0,0.999962,3.8e-05,24.315294,36307651315.31903,0.0,0.038511,0.0,0.931717,18.239588,83435777.244443,0.0,0.018169,0.0,0.823225
phase_cued_retrieval,331,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,2.6e-05,2.6e-05,1.000026,1.0,1.0,0.999974,2.6e-05,24.3017,35817422928.30772,0.0,0.035253,0.0,0.969228,17.721341,49691318.210699,0.0,0.017563,0.0,0.83982
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,2.6e-05,2.5e-05,1.000025,1.0,1.0,0.999975,2.5e-05,24.892049,64636736418.01321,0.0,0.037195,0.0,0.96018,18.230224,82658162.181272,0.0,0.01821,0.0,0.807391
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,2.5e-05,2.5e-05,1.000025,1.0,1.0,0.999975,2.5e-05,24.782102,57906901999.04558,0.0,0.037195,0.0,0.961869,18.116922,73803917.497657,0.0,0.018247,0.0,0.824794
exact_offset_passkey,307,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.00017,0.000169,1.000169,1.0,1.0,0.999831,0.000169,27.631021,999999999999.999,0.0,0.016659,0.0,0.816121,19.148146,206982669.217308,0.0,0.03878,2e-06,0.683447
exact_offset_passkey,307,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.000126,0.000126,1.000126,1.0,1.0,0.999874,0.000126,27.631021,999999999999.999,0.0,0.02027,0.0,0.990237,18.360255,94136321.710142,0.0,0.038667,3e-06,0.658685
exact_offset_passkey,307,alibi,alibi,180,0.03,full_batch_adam,4,2,4,6.2e-05,6.2e-05,1.000062,1.0,1.0,0.999938,6.2e-05,27.631021,999999999999.999,0.0,0.019349,0.0,0.999445,19.035926,185010955.454714,0.0,0.038505,3e-06,0.642092
exact_offset_passkey,307,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.00022,0.000218,1.000218,1.0,1.0,0.999782,0.000218,27.631021,999999999999.999,0.0,0.016964,0.0,0.824137,19.27175,234215019.56698,0.0,0.038734,1e-06,0.601801
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,0.000117,0.000117,1.000117,1.0,1.0,0.999883,0.000117,27.631021,999999999999.999,0.0,0.020674,0.0,0.762822,18.383214,96322665.166822,0.0,0.038345,4e-06,0.645683
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,0.000156,0.000155,1.000155,1.0,1.0,0.999845,0.000155,27.631021,999999999999.999,0.0,0.020674,0.0,0.793955,18.430712,101008153.182793,0.0,0.038393,5e-06,0.69312
exact_offset_passkey,311,no_position,no_position,180,0.03,full_batch_adam,4,2,4,4.2e-05,4.2e-05,1.000042,1.0,1.0,0.999958,4.2e-05,24.796949,58773010570.699356,0.0,0.035131,0.0,0.982476,23.06014,10348841987.484383,0.0,0.026717,0.0,0.942802
exact_offset_passkey,311,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,4e-05,3.9e-05,1.000039,1.0,1.0,0.999961,3.9e-05,24.864108,62855758789.41991,0.0,0.035024,0.0,0.983209,23.475944,15684585519.619995,0.0,0.028369,0.0,0.936314
