task,method,seed_count,failed_run_count,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,5,0,6.1e-05,1.8e-05,0.000116,1.000061,1.000023,1.000117,1.0,1.0,1.0,1.0,1.0,1.0,0.999939,0.999888,0.999977,6.1e-05,2.3e-05,0.000117,23.335949,20.601069,25.805444,210295043415.57086,5909416951.098168,603966270254.7717,0.0,0.0,0.0,0.02156,0.014483,0.031031,4e-06,0.0,1.3e-05,0.859186,0.790824,0.934905,19.950561,17.109304,22.791817,11101632375.765978,62099008.267493,28369020379.43576,0.0,0.0,0.0,0.02187,0.015458,0.030371,1.4e-05,0.0,4e-05,0.718745,0.63086,0.806977,6.2e-05,1.9e-05,0.000117
phase_cued_retrieval,sinusoidal,5,0,7.4e-05,3.1e-05,0.000118,1.000074,1.000031,1.000118,1.0,1.0,1.0,1.0,1.0,1.0,0.999926,0.999889,0.999964,7.4e-05,3.2e-05,0.000123,23.144505,21.038309,25.096221,207037843935.3995,5285827819.934134,603063605345.0797,0.0,0.0,0.0,0.022157,0.014841,0.02904,5e-06,0.0,1.6e-05,0.859187,0.775463,0.935844,19.846728,16.314474,23.013723,18364667865.394096,28100458.144158,47285603386.29503,0.0,0.0,0.0,0.021414,0.014269,0.028086,1.7e-05,0.0,4.3e-05,0.705936,0.628128,0.789339,7.5e-05,3e-05,0.000119
phase_cued_retrieval,alibi,5,0,5e-05,1.8e-05,8.5e-05,1.00005,1.000023,1.000079,1.0,1.0,1.0,1.0,1.0,1.0,0.99995,0.999915,0.999977,5e-05,1.7e-05,8.4e-05,23.268638,20.779414,25.270101,210292774644.36728,4706194215.559373,607302679167.4148,0.0,0.0,0.0,0.023552,0.017053,0.030521,2e-06,0.0,7e-06,0.87701,0.820172,0.929365,19.692513,16.650851,22.665729,10745955814.989662,24650502.061626,24405304418.698433,0.0,0.0,0.0,0.021442,0.015281,0.027604,4.6e-05,0.0,0.00011,0.703994,0.624543,0.783445,5e-05,2.3e-05,8.5e-05
phase_cued_retrieval,rope_relative,5,0,4.3e-05,2.1e-05,6.5e-05,1.000043,1.000021,1.000065,1.0,1.0,1.0,1.0,1.0,1.0,0.999957,0.999936,0.999982,4.3e-05,2.1e-05,6.2e-05,23.087136,20.696827,25.811605,209848609950.90555,3253719609.996593,607705634637.6193,0.0,0.0,0.0,0.021681,0.015753,0.028251,6e-06,0.0,1.7e-05,0.854898,0.769691,0.948471,19.658373,16.428798,22.887947,12796369805.054516,20494017.180248,25572245592.928783,0.0,0.0,0.0,0.021215,0.014521,0.028939,0.000175,0.0,0.000473,0.688072,0.575725,0.79773,4.4e-05,2.1e-05,6.5e-05
phase_cued_retrieval,phasewrap_bias,5,0,3.7e-05,1.7e-05,6.2e-05,1.000037,1.000017,1.000057,1.0,1.0,1.0,1.0,1.0,1.0,0.999963,0.999943,0.999983,3.7e-05,1.3e-05,5.7e-05,22.986338,20.556759,25.939286,214807892373.09793,2162828340.744475,601739403463.8704,0.0,0.0,0.0,0.021967,0.013848,0.030735,2e-06,0.0,7e-06,0.842445,0.750345,0.934545,19.775616,17.418089,21.788961,4575111686.810589,103039833.445637,12148070735.848618,0.0,0.0,0.0,0.022195,0.016573,0.027856,1e-05,0.0,3e-05,0.733749,0.616873,0.812713,3.7e-05,1.7e-05,5.8e-05
phase_cued_retrieval,phasewrap_adapter,5,0,3.9e-05,1.2e-05,6.8e-05,1.000039,1.000016,1.000062,1.0,1.0,1.0,1.0,1.0,1.0,0.999961,0.999932,0.999984,3.9e-05,1.6e-05,6.4e-05,23.050771,20.466654,25.917889,214521637412.74973,3315407753.646399,602899382365.1517,0.0,0.0,0.0,0.021949,0.013385,0.030081,3e-06,0.0,7e-06,0.848152,0.768842,0.935018,19.74235,17.254557,22.166931,4963524593.547951,90796882.723386,12823886855.276821,0.0,0.0,0.0,0.022492,0.01691,0.028206,1.3e-05,0.0,4e-05,0.741182,0.634751,0.81683,3.9e-05,1.2e-05,6.3e-05
exact_offset_passkey,no_position,5,0,0.069396,3.6e-05,0.208036,1.082934,1.000036,1.248675,0.95,0.85,1.0,0.975,0.925,1.0,0.949928,0.849935,0.999964,0.000748,3.7e-05,0.002117,25.154228,22.028943,27.375303,517314558663.60223,140823762891.8824,905532966410.7908,0.0,0.0,0.0,0.023969,0.014071,0.033016,5e-06,0.0,1.6e-05,0.875857,0.795723,0.960215,19.430132,17.242755,22.34191,4937167938.098682,75276334.101748,9799059542.095617,0.0,0.0,0.0,0.046538,0.018291,0.093994,0.000994,0.0,0.002866,0.784635,0.665418,0.910547,0.069397,3.6e-05,0.208037
exact_offset_passkey,sinusoidal,5,0,7.9e-05,5.5e-05,0.000107,1.000079,1.000055,1.000107,1.0,1.0,1.0,1.0,1.0,1.0,0.999921,0.999893,0.999946,7.9e-05,5.4e-05,0.000104,24.818345,21.207523,27.276639,446587350350.5493,71729653866.31766,834001591368.37,0.0,0.0,0.0,0.020143,0.01292,0.029122,1.9e-05,0.0,5.6e-05,0.927217,0.844345,0.992548,18.741201,15.373677,21.900476,3299508668.237938,87031736.526602,9520485476.603506,0.0,0.0,0.0,0.047481,0.019846,0.092243,0.000745,1e-06,0.001793,0.815749,0.726901,0.91544,7.9e-05,5.6e-05,0.000103
exact_offset_passkey,alibi,5,0,0.069447,4e-05,0.208247,1.083014,1.000038,1.248948,0.95,0.85,1.0,0.975,0.925,1.0,0.949956,0.84996,0.999963,0.002143,3.9e-05,0.006339,24.635255,21.713731,26.588224,286012709861.2199,20105300236.228714,619755449898.5613,0.0,0.0,0.0,0.020282,0.012783,0.028783,1e-06,0.0,2e-06,0.943079,0.891803,0.99169,19.709384,16.823913,22.445742,5688724803.183549,104877013.546695,12351595845.00642,0.0,0.0,0.0,0.046289,0.01627,0.088576,0.000472,1e-06,0.001379,0.822113,0.715805,0.929698,0.069416,3.7e-05,0.208154
exact_offset_passkey,rope_relative,5,0,9.6e-05,3.8e-05,0.000168,1.000096,1.000038,1.000168,1.0,1.0,1.0,1.0,1.0,1.0,0.999904,0.999831,0.999961,9.6e-05,3.7e-05,0.000156,25.059643,21.87717,27.535778,534713783797.52686,145201316773.54886,924226250821.5046,0.0,0.0,0.0,0.023924,0.014071,0.032562,1.6e-05,0.0,4.7e-05,0.891546,0.820049,0.963042,19.312188,15.773395,22.459884,5152652528.019505,111319446.851465,10223301083.82344,0.0,0.0,0.0,0.046546,0.018352,0.091528,0.001095,0.0,0.002617,0.797805,0.681153,0.917775,9.7e-05,3.6e-05,0.000169
