task,method,seed_count,failed_run_count,selected_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,3.250084,3.180769,3.284741,25.852381,24.153024,26.70206,0.0,0.0,0.0,0.101921,0.061314,0.168095,0.039481,0.037868,0.042707,0.08331,0.073001,0.092566,0.08331,0.071389,0.093618,3.553701,3.333978,3.663562,35.703332,29.109996,39.0,0.1,0.0,0.3,0.145926,0.040203,0.339276,0.030769,0.025641,0.041026,0.061539,0.053846,0.069231,0.135897,0.053846,0.287179,3.74815,3.603632,3.892669,43.093244,36.965996,50.485684,0.05,0.0,0.15,0.180841,0.089116,0.300642,0.026815,0.021226,0.032404,0.054644,0.049865,0.060216,0.084482,0.051723,0.143364
phase_cued_retrieval,sinusoidal,5,0,6.5,1.387682,0.624117,2.218182,6.359281,2.061615,12.47336,0.7,0.3,0.95,0.764643,0.493928,0.96,0.564319,0.26261,0.811335,0.656817,0.330353,0.908779,0.171331,0.06937,0.350655,4.948716,3.664741,6.170217,347.299201,59.804704,697.918979,0.2,0.0,0.4,0.307901,0.138096,0.478734,0.112054,0.005267,0.294726,0.512802,0.256969,0.759959,0.48687,0.440919,0.566675,5.475147,4.198141,7.064725,727.094933,100.821816,1715.017912,0.1,0.0,0.3,0.207371,0.120079,0.372053,0.013302,0.002281,0.027598,0.385746,0.207555,0.576039,0.463231,0.345242,0.577831
phase_cued_retrieval,alibi,5,0,0.8,3.270511,3.242052,3.284741,26.335301,25.601784,26.70206,0.0,0.0,0.0,0.078361,0.061314,0.097413,0.038628,0.037868,0.040148,0.101713,0.082188,0.131997,0.101713,0.08331,0.130384,3.795734,3.333978,4.389662,54.064869,29.109996,94.08461,0.1,0.0,0.3,0.148513,0.044592,0.340482,0.028047,0.017475,0.041026,0.074865,0.053846,0.109209,0.149224,0.053846,0.30307,4.161713,3.603632,5.04377,106.307362,38.697522,238.862846,0.05,0.0,0.15,0.174666,0.068085,0.291438,0.022869,0.011245,0.032404,0.060422,0.049071,0.074105,0.09026,0.054374,0.143364
phase_cued_retrieval,rope_relative,5,0,4.0,2.498393,1.59971,3.284741,17.576287,8.024927,26.70206,0.35,0.0,0.75,0.411967,0.061111,0.787418,0.135427,0.037868,0.265839,0.166132,0.084362,0.254712,0.28555,0.084362,0.488352,3.729793,3.36785,4.305824,49.30367,27.760446,82.500113,0.2,0.0,0.4,0.244625,0.053581,0.435668,0.052586,0.018901,0.097831,0.134443,0.058975,0.232192,0.248813,0.084286,0.398709,4.694762,3.713493,6.052706,348.79812,43.093244,925.964931,0.05,0.0,0.15,0.14722,0.050506,0.293226,0.019164,0.010542,0.02787,0.128563,0.049865,0.229348,0.158401,0.077845,0.240435
phase_cued_retrieval,phasewrap_bias,5,0,1.7,6.78025,3.284741,13.618496,161211643.975123,26.70206,483634875.42408,0.0,0.0,0.0,0.072258,0.060826,0.084912,0.028729,0.013581,0.037868,0.136231,0.084923,0.221995,0.136231,0.08331,0.221995,7.050502,3.412461,13.918517,206480229.106154,32.406664,619440611.711894,0.1,0.0,0.3,0.151451,0.048981,0.340341,0.023977,0.010256,0.039361,0.101879,0.058975,0.160735,0.176238,0.06625,0.320245,7.184616,3.727877,13.823852,158523535.636648,43.093244,475570513.556797,0.05,0.0,0.15,0.154273,0.05685,0.273549,0.019421,0.008494,0.027392,0.077538,0.048801,0.120536,0.107376,0.05723,0.154667
phase_cued_retrieval,phasewrap_adapter,5,0,0.9,4.8308,3.284741,7.833479,9743.263438,26.70206,29173.709895,0.0,0.0,0.0,0.072258,0.061029,0.087461,0.02892,0.013781,0.037868,0.12914,0.084362,0.199136,0.12914,0.082749,0.196403,5.232718,3.41349,8.541591,23225.800922,32.406664,69597.869174,0.1,0.0,0.3,0.148084,0.043734,0.33605,0.023964,0.010262,0.035899,0.098928,0.058975,0.162286,0.173286,0.065966,0.301163,5.352126,3.713493,8.372844,16047.570827,43.093244,48046.724292,0.05,0.0,0.15,0.149403,0.054535,0.287247,0.019258,0.008643,0.028289,0.07909,0.048277,0.120521,0.108928,0.057306,0.164085
exact_offset_passkey,no_position,5,0,0.0,3.250084,3.180769,3.284741,25.852381,24.153024,26.70206,0.0,0.0,0.0,0.110916,0.081902,0.141359,0.040042,0.037868,0.04439,0.075175,0.074053,0.075736,0.075175,0.074053,0.075736,3.443839,3.004394,3.663562,33.8,23.4,39.0,0.2,0.0,0.6,0.246257,0.046853,0.624077,0.035897,0.025641,0.05641,0.069231,0.058975,0.076923,0.238462,0.058975,0.579487,3.684725,3.580753,3.788697,40.164961,36.028518,44.301404,0.0,0.0,0.0,0.133445,0.087938,0.208849,0.027592,0.023877,0.031831,0.054931,0.050169,0.058899,0.054931,0.050692,0.058916
exact_offset_passkey,sinusoidal,5,0,12.0,0.032546,0.032311,0.032789,1.033081,1.032842,1.033321,1.0,1.0,1.0,1.0,1.0,1.0,0.967979,0.967745,0.968206,0.967979,0.967745,0.968206,0.032021,0.031794,0.032255,0.17671,0.038088,0.315534,1.210584,1.038821,1.383075,1.0,1.0,1.0,1.0,1.0,1.0,0.865702,0.769737,0.961667,0.865702,0.768444,0.961667,0.134298,0.038333,0.232854,0.518241,0.414082,0.622425,1.693438,1.516767,1.935169,0.7,0.55,0.85,0.85,0.775,0.925,0.628506,0.531939,0.701539,0.628885,0.556453,0.702045,0.167874,0.043999,0.294036
exact_offset_passkey,alibi,5,0,6.4,4.689449,3.698208,5.756459,204.132975,59.397915,451.802043,0.0,0.0,0.0,0.104552,0.076437,0.125193,0.025182,0.011966,0.038352,0.229139,0.149723,0.27644,0.229139,0.149906,0.271378,4.322205,3.156398,5.376903,139.911379,44.9035,248.092355,0.2,0.0,0.6,0.273782,0.073622,0.643942,0.034141,0.011886,0.059123,0.166738,0.126237,0.194332,0.335968,0.185519,0.630992,5.090432,4.296054,5.79822,227.37577,108.814528,381.490619,0.0,0.0,0.0,0.101461,0.05094,0.192886,0.016284,0.008042,0.027441,0.134687,0.093917,0.162877,0.134687,0.09743,0.162877
exact_offset_passkey,rope_relative,5,0,12.0,1.146698,1.140392,1.152876,3.147855,3.128046,3.167456,1.0,1.0,1.0,1.0,1.0,1.0,0.317795,0.315928,0.319662,0.317795,0.315928,0.319662,0.682205,0.68004,0.683914,1.178025,1.161792,1.192786,3.248422,3.195496,3.295718,1.0,1.0,1.0,1.0,1.0,1.0,0.307954,0.303428,0.311961,0.307954,0.303428,0.312051,0.692046,0.687718,0.696572,1.190748,1.152279,1.218631,3.291873,3.160958,3.377897,1.0,1.0,1.0,1.0,1.0,1.0,0.305822,0.296723,0.319452,0.305822,0.296514,0.319856,0.694178,0.67953,0.70389
