task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,307,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.41849,-0.053065,0.919583,0.412496,1.510583,0.75,0.875,0.709791,0.73508,0.025289,0.919583,15.654272,6288741.702667,0.0,0.064394,0.012643,0.184855,0.184855,0.919583,3.889023,48.863125,0.0,0.054078,0.021463,0.078442,0.078442,0.919583
phase_cued_retrieval,307,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.321669,0.743804,0.919972,0.308474,1.361346,1.0,1.0,0.76129,0.76129,0.23871,0.919972,15.284588,4345224.312435,0.0,0.189394,0.026482,0.244523,0.244523,0.919972,3.697507,40.346587,0.0,0.094468,0.02559,0.069686,0.069686,0.919972
phase_cued_retrieval,307,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.411024,0.647993,0.919395,0.411185,1.508604,0.75,0.875,0.711635,0.744732,0.035035,0.919395,15.629212,6133107.879514,0.0,0.055714,0.013293,0.175481,0.175481,0.919395,4.134513,62.459156,0.0,0.042176,0.016651,0.079079,0.079079,0.919395
phase_cued_retrieval,307,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.386418,0.744676,0.919791,0.400075,1.491937,0.75,0.875,0.720971,0.766754,0.056859,0.919791,15.541201,5616400.082572,0.0,0.084239,0.015851,0.189544,0.189544,0.919791,4.000378,54.618777,0.0,0.046672,0.019079,0.079399,0.079399,0.919791
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.300007,-0.920549,0.916987,0.297324,1.346252,1.0,1.0,0.767496,0.767496,0.232504,0.916987,3.40859,30.222585,0.0,0.09127,0.03311,0.23189,0.23189,0.916987,3.770091,43.384016,0.0,0.049546,0.023462,0.09976,0.09976,0.916987
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.303148,-0.933557,0.916419,0.301121,1.351373,1.0,1.0,0.765836,0.765836,0.234164,0.916419,3.808668,45.09034,0.0,0.098214,0.023201,0.399979,0.399979,0.916419,3.692941,40.162807,0.0,0.071314,0.025418,0.103127,0.103127,0.916419
phase_cued_retrieval,311,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.062956,-0.007255,0.922501,0.061449,1.063376,1.0,1.0,0.941002,0.941002,0.058998,0.922501,5.452301,233.29426,0.0,0.054167,0.012372,0.203638,0.203638,0.922501,3.958235,52.364838,0.0,0.056278,0.021152,0.074251,0.074251,0.922501
phase_cued_retrieval,311,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.062752,0.711303,0.922365,0.061291,1.063208,1.0,1.0,0.941147,0.941147,0.058853,0.922365,5.385532,218.226091,0.0,0.063492,0.014081,0.196583,0.196583,0.922365,3.818618,45.541249,0.0,0.089063,0.02342,0.084446,0.084446,0.922365
phase_cued_retrieval,311,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.06309,-0.426057,0.922536,0.061464,1.063392,1.0,1.0,0.940989,0.940989,0.059011,0.922536,5.392679,219.791384,0.0,0.064583,0.013946,0.205143,0.205143,0.922536,3.847716,46.885846,0.0,0.093056,0.02377,0.074928,0.074928,0.922536
phase_cued_retrieval,311,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.062732,0.715052,0.9225,0.061265,1.063181,1.0,1.0,0.941171,0.941171,0.058829,0.9225,5.471222,237.750453,0.0,0.05625,0.011949,0.199902,0.199902,0.9225,4.025867,56.028847,0.0,0.048652,0.020032,0.075611,0.075611,0.9225
