task,method,seed_count,failed_run_count,learned_position_scale_mean,learned_copy_gate_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_copy_gate_mean,train_mean_copy_gate_ci_low,train_mean_copy_gate_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_copy_gate_mean,validation_mean_copy_gate_ci_low,validation_mean_copy_gate_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_copy_gate_mean,test_mean_copy_gate_ci_low,test_mean_copy_gate_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,5,0,-0.014713,0.922514,0.138479,0.064669,0.275363,1.160135,1.066789,1.335337,0.95,0.85,1.0,0.975,0.925,1.0,0.888159,0.798957,0.937913,0.893217,0.814033,0.937913,0.058857,0.041958,0.072393,0.922514,0.921125,0.923769,9.622998,5.57453,13.685009,2603771.988722,264.045204,5207283.282111,0.0,0.0,0.0,0.043718,0.031734,0.054935,0.011687,0.01103,0.012309,0.294735,0.19298,0.411629,0.294735,0.190068,0.411629,0.922514,0.921021,0.923903,3.873549,3.684498,4.052269,49.122915,40.487137,57.215523,0.1,0.0,0.2,0.165206,0.049155,0.309013,0.023878,0.018899,0.02915,0.07114,0.056279,0.082112,0.132291,0.071936,0.199896,0.922514,0.920646,0.923903,0.141046,0.066154,0.279922
phase_cued_retrieval,sinusoidal,5,0,0.717917,0.922545,0.117643,0.064737,0.213066,1.130252,1.066902,1.2458,1.0,1.0,1.0,1.0,1.0,1.0,0.898488,0.829888,0.937816,0.898488,0.829882,0.937808,0.101512,0.062184,0.170104,0.922545,0.92093,0.923993,9.492212,5.476769,13.508825,2090256.207534,248.528684,4532280.312713,0.0,0.0,0.0,0.082243,0.041351,0.138042,0.015772,0.012637,0.021271,0.304084,0.20169,0.413418,0.304084,0.211278,0.415659,0.922545,0.921089,0.924002,3.703803,3.549848,3.864073,41.331329,34.316658,47.588356,0.0,0.0,0.0,0.129293,0.073055,0.207595,0.027007,0.02204,0.031975,0.072831,0.062699,0.083885,0.072831,0.062739,0.08508,0.922545,0.921183,0.92401,0.121623,0.066274,0.22166
phase_cued_retrieval,alibi,5,0,-0.117232,0.922485,0.138215,0.064664,0.274705,1.159737,1.066826,1.33781,0.95,0.85,1.0,0.975,0.925,1.0,0.888529,0.796797,0.937881,0.895149,0.816555,0.937873,0.060805,0.047824,0.072371,0.922485,0.920829,0.923834,9.582076,5.475341,13.723795,2812342.631653,239.775826,5983402.630356,0.0,0.0,0.0,0.053435,0.043204,0.061346,0.012988,0.010147,0.015336,0.289389,0.180269,0.40936,0.289389,0.176695,0.40936,0.922485,0.920651,0.923913,3.835902,3.588,4.037193,47.580647,38.073624,57.104628,0.05,0.0,0.15,0.135917,0.062528,0.229958,0.024979,0.018599,0.031157,0.072904,0.062553,0.084927,0.101818,0.071282,0.149173,0.922485,0.920829,0.923834,0.139568,0.066361,0.27528
phase_cued_retrieval,rope_relative,5,0,0.726026,0.92258,0.135926,0.064609,0.268059,1.156332,1.066794,1.324147,0.95,0.85,1.0,0.975,0.925,1.0,0.890458,0.805704,0.937889,0.899615,0.833195,0.937932,0.065108,0.057955,0.072217,0.92258,0.921088,0.924002,9.615146,5.575871,13.654422,2503880.960307,269.282181,5007496.883891,0.0,0.0,0.0,0.047412,0.027871,0.066072,0.012002,0.01064,0.014003,0.294183,0.191567,0.410936,0.294183,0.189495,0.398164,0.92258,0.920875,0.924004,3.957881,3.787368,4.119537,53.553858,44.441669,63.975584,0.1,0.0,0.3,0.158446,0.0392,0.325523,0.022652,0.017093,0.027829,0.071543,0.060041,0.081344,0.152043,0.072275,0.30251,0.92258,0.921026,0.923939,0.134547,0.066129,0.26049
phase_cued_retrieval,phasewrap_bias,5,0,-0.738194,0.92194,0.115499,0.0648,0.209798,1.127325,1.067104,1.236812,1.0,1.0,1.0,1.0,1.0,1.0,0.899651,0.833594,0.937756,0.899651,0.833478,0.937756,0.100349,0.062129,0.166406,0.92194,0.919548,0.923975,7.05593,4.240328,11.527622,1200065.014215,141.62022,3599864.577788,0.0,0.0,0.0,0.056764,0.037614,0.079484,0.018839,0.014432,0.026168,0.316632,0.23407,0.392666,0.316632,0.235157,0.398107,0.92194,0.919474,0.923901,3.660658,3.497185,3.82413,39.631603,34.461595,45.979429,0.05,0.0,0.15,0.139604,0.053765,0.238375,0.029568,0.022779,0.036356,0.079469,0.069088,0.091263,0.10413,0.077724,0.143135,0.92194,0.919453,0.923901,0.117404,0.066347,0.212278
phase_cued_retrieval,phasewrap_adapter,5,0,-0.736436,0.921827,0.116279,0.064777,0.212074,1.128372,1.067017,1.24358,1.0,1.0,1.0,1.0,1.0,1.0,0.899299,0.832597,0.937716,0.899299,0.832537,0.93764,0.100701,0.062284,0.167463,0.921827,0.919038,0.923807,7.11825,4.472336,11.488074,1172045.0445,121.914803,3515766.040074,0.0,0.0,0.0,0.064681,0.045808,0.081706,0.0174,0.015031,0.020214,0.350211,0.255251,0.431145,0.350211,0.262264,0.427395,0.921827,0.919038,0.923732,3.616561,3.466249,3.769945,37.859809,31.511608,43.775411,0.05,0.0,0.15,0.150153,0.067903,0.257533,0.030653,0.023568,0.036595,0.080268,0.06842,0.090785,0.104611,0.076749,0.147915,0.921827,0.919038,0.923902,0.118057,0.066297,0.210651
exact_offset_passkey,no_position,5,0,-0.014713,0.922866,0.063976,0.060272,0.070917,1.066093,1.06215,1.07348,1.0,1.0,1.0,1.0,1.0,1.0,0.938513,0.931742,0.942045,0.938513,0.931806,0.942056,0.061487,0.057923,0.068215,0.922866,0.922254,0.92371,11.566429,5.47329,20.536288,200000264584.40775,207.828109,600000264472.709,0.0,0.0,0.0,0.077729,0.028417,0.126745,0.018031,0.005185,0.03764,0.449514,0.30273,0.604321,0.449514,0.303595,0.603456,0.922866,0.922285,0.923633,4.823128,3.958493,6.040591,339.263114,52.437257,870.359029,0.05,0.0,0.15,0.130923,0.07862,0.206814,0.022381,0.019121,0.02576,0.147597,0.097706,0.217481,0.168417,0.123325,0.221759,0.922866,0.922181,0.92371,0.065483,0.061699,0.07277
exact_offset_passkey,sinusoidal,5,0,0.701458,0.92269,0.064057,0.060513,0.070804,1.066178,1.062383,1.073519,1.0,1.0,1.0,1.0,1.0,1.0,0.93844,0.931848,0.941859,0.93844,0.931817,0.94186,0.06156,0.05814,0.068151,0.92269,0.922144,0.923489,11.602752,5.118683,20.545729,200000758304.19812,157.336859,600000000078.3909,0.1,0.0,0.3,0.193709,0.051555,0.337766,0.02892,0.009448,0.052612,0.436336,0.30151,0.571255,0.507182,0.369869,0.620726,0.92269,0.922182,0.923404,4.598055,3.498459,6.1405,413.146562,36.716066,1130.653367,0.1,0.0,0.2,0.296557,0.260582,0.334635,0.035865,0.032985,0.039157,0.139213,0.088826,0.206721,0.189468,0.10963,0.316013,0.92269,0.922148,0.923408,0.065542,0.061829,0.072717
exact_offset_passkey,alibi,5,0,0.405856,0.922811,0.062477,0.060299,0.064627,1.064479,1.062167,1.068665,1.0,1.0,1.0,1.0,1.0,1.0,0.939925,0.936033,0.942015,0.939925,0.935937,0.942042,0.060075,0.057944,0.064022,0.922811,0.922302,0.923476,11.579602,5.270222,20.520796,200000309251.04553,205.080891,600000309177.8298,0.0,0.0,0.0,0.079167,0.028025,0.170664,0.01757,0.006185,0.03479,0.454137,0.287911,0.651214,0.454137,0.298236,0.599648,0.922811,0.922269,0.923476,4.878208,4.005609,6.268616,373.782261,57.869421,969.622393,0.05,0.0,0.15,0.134515,0.088167,0.212827,0.021378,0.018805,0.024104,0.148821,0.096332,0.214212,0.169767,0.121402,0.222886,0.922811,0.922302,0.92357,0.06425,0.061628,0.069139
exact_offset_passkey,rope_relative,5,0,0.713756,0.922817,0.063978,0.060354,0.070897,1.066095,1.062237,1.073423,1.0,1.0,1.0,1.0,1.0,1.0,0.938512,0.931806,0.942004,0.938512,0.931897,0.941952,0.061488,0.058017,0.068112,0.922817,0.922214,0.923501,11.587123,5.257128,19.719155,200000375296.43845,195.574706,600000000099.3608,0.0,0.0,0.0,0.091424,0.038474,0.174025,0.020064,0.006579,0.037966,0.451261,0.311486,0.642883,0.451261,0.311565,0.642883,0.922817,0.922265,0.923501,4.713227,3.788626,5.945168,346.554538,48.75017,907.439535,0.05,0.0,0.15,0.188221,0.129299,0.242276,0.026479,0.022985,0.030307,0.144391,0.093267,0.209201,0.164752,0.11639,0.217179,0.922817,0.922222,0.923687,0.065478,0.061717,0.072771
