task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,90,0.03,full_batch_adam,4,2,4,0.715754,-0.00894,0.715421,2.045047,0.5,0.75,0.488987,0.489668,0.010332,12.472213,260983.633227,0.0,0.029146,4e-06,0.489365,0.489365,12.525171,275177.400936,0.0,0.017099,4e-06,0.488471,0.488471
phase_cued_retrieval,307,sinusoidal,sinusoidal,90,0.03,full_batch_adam,4,2,4,0.716297,0.110933,0.715953,2.046136,0.5,0.75,0.488727,0.489406,0.010594,12.458028,257307.731523,0.0,0.029146,4e-06,0.489128,0.489128,12.709573,330900.516529,0.0,0.024871,3e-06,0.489448,0.489448
phase_cued_retrieval,307,alibi,alibi,90,0.03,full_batch_adam,4,2,4,0.715495,0.444495,0.715166,2.044526,0.5,0.75,0.489112,0.489754,0.010246,12.447795,254688.179609,0.0,0.029437,4e-06,0.488895,0.488895,12.120688,183631.72821,0.0,0.021858,7e-06,0.435876,0.435876
phase_cued_retrieval,307,rope_relative,rope,90,0.03,full_batch_adam,4,2,4,0.715819,0.105008,0.715484,2.045177,0.5,0.75,0.488956,0.489631,0.010369,12.470914,260644.860605,0.0,0.029146,4e-06,0.489353,0.489353,11.926508,151222.613215,0.0,0.019204,8e-06,0.409607,0.409607
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,90,0.03,full_batch_adam,4,2,4,0.715607,0.183983,0.715276,2.044752,0.5,0.75,0.489058,0.489709,0.010291,12.477358,262329.855534,0.0,0.029146,4e-06,0.489458,0.489458,12.549988,282091.709503,0.0,0.016883,4e-06,0.48927,0.48927
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,90,0.03,full_batch_adam,4,2,4,0.715613,0.766715,0.715282,2.044763,0.5,0.75,0.489055,0.489724,0.010276,12.475209,261766.776711,0.0,0.029146,4e-06,0.489401,0.489401,12.414403,246324.023788,0.0,0.023037,5e-06,0.464254,0.464254
exact_offset_passkey,307,no_position,no_position,90,0.03,full_batch_adam,4,2,4,1.38711,-0.00894,1.387099,4.003218,0.25,0.520833,0.2498,0.250453,0.000453,12.107454,181217.634324,0.0,0.008206,6e-06,0.250454,0.250454,11.964764,157119.799832,0.0,0.017417,6e-06,0.250454,0.250454
exact_offset_passkey,307,sinusoidal,sinusoidal,90,0.03,full_batch_adam,4,2,4,0.700066,1.248153,0.696665,2.007049,0.75,0.875,0.500784,0.500806,0.249194,12.096868,179309.353865,0.0,0.008206,6e-06,0.394708,0.394708,11.730014,124245.371297,0.0,0.026144,9e-06,0.49243,0.49243
exact_offset_passkey,307,alibi,alibi,90,0.03,full_batch_adam,4,2,4,0.679631,-0.435727,0.674337,1.96273,0.75,0.875,0.514592,0.514674,0.235326,11.57124,106004.825916,0.0,0.008386,9e-06,0.582656,0.582656,11.530967,101820.523185,0.0,0.024433,1e-05,0.620972,0.620972
exact_offset_passkey,307,rope_relative,rope,90,0.03,full_batch_adam,4,2,4,1.387111,0.288804,1.3871,4.003224,0.25,0.520833,0.249799,0.25045,0.00045,12.106736,181087.515535,0.0,0.008206,6e-06,0.25045,0.25045,11.964078,157012.084053,0.0,0.017417,6e-06,0.25045,0.25045
