task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,1,0,-0.00894,0.715421,0.715421,0.715421,2.045047,2.045047,2.045047,0.5,0.5,0.5,0.75,0.75,0.75,0.488987,0.488987,0.488987,0.489668,0.489668,0.489668,0.010332,0.010332,0.010332,12.472213,12.472213,12.472213,260983.633227,260983.633227,260983.633227,0.0,0.0,0.0,0.029146,0.029146,0.029146,4e-06,4e-06,4e-06,0.489365,0.489365,0.489365,0.489365,0.489365,0.489365,12.525171,12.525171,12.525171,275177.400936,275177.400936,275177.400936,0.0,0.0,0.0,0.017099,0.017099,0.017099,4e-06,4e-06,4e-06,0.488471,0.488471,0.488471,0.488471,0.488471,0.488471,0.715754,0.715754,0.715754
phase_cued_retrieval,sinusoidal,1,0,0.110933,0.715953,0.715953,0.715953,2.046136,2.046136,2.046136,0.5,0.5,0.5,0.75,0.75,0.75,0.488727,0.488727,0.488727,0.489406,0.489406,0.489406,0.010594,0.010594,0.010594,12.458028,12.458028,12.458028,257307.731523,257307.731523,257307.731523,0.0,0.0,0.0,0.029146,0.029146,0.029146,4e-06,4e-06,4e-06,0.489128,0.489128,0.489128,0.489128,0.489128,0.489128,12.709573,12.709573,12.709573,330900.516529,330900.516529,330900.516529,0.0,0.0,0.0,0.024871,0.024871,0.024871,3e-06,3e-06,3e-06,0.489448,0.489448,0.489448,0.489448,0.489448,0.489448,0.716297,0.716297,0.716297
phase_cued_retrieval,alibi,1,0,0.444495,0.715166,0.715166,0.715166,2.044526,2.044526,2.044526,0.5,0.5,0.5,0.75,0.75,0.75,0.489112,0.489112,0.489112,0.489754,0.489754,0.489754,0.010246,0.010246,0.010246,12.447795,12.447795,12.447795,254688.179609,254688.179609,254688.179609,0.0,0.0,0.0,0.029437,0.029437,0.029437,4e-06,4e-06,4e-06,0.488895,0.488895,0.488895,0.488895,0.488895,0.488895,12.120688,12.120688,12.120688,183631.72821,183631.72821,183631.72821,0.0,0.0,0.0,0.021858,0.021858,0.021858,7e-06,7e-06,7e-06,0.435876,0.435876,0.435876,0.435876,0.435876,0.435876,0.715495,0.715495,0.715495
phase_cued_retrieval,rope_relative,1,0,0.105008,0.715484,0.715484,0.715484,2.045177,2.045177,2.045177,0.5,0.5,0.5,0.75,0.75,0.75,0.488956,0.488956,0.488956,0.489631,0.489631,0.489631,0.010369,0.010369,0.010369,12.470914,12.470914,12.470914,260644.860605,260644.860605,260644.860605,0.0,0.0,0.0,0.029146,0.029146,0.029146,4e-06,4e-06,4e-06,0.489353,0.489353,0.489353,0.489353,0.489353,0.489353,11.926508,11.926508,11.926508,151222.613215,151222.613215,151222.613215,0.0,0.0,0.0,0.019204,0.019204,0.019204,8e-06,8e-06,8e-06,0.409607,0.409607,0.409607,0.409607,0.409607,0.409607,0.715819,0.715819,0.715819
phase_cued_retrieval,phasewrap_bias,1,0,0.183983,0.715276,0.715276,0.715276,2.044752,2.044752,2.044752,0.5,0.5,0.5,0.75,0.75,0.75,0.489058,0.489058,0.489058,0.489709,0.489709,0.489709,0.010291,0.010291,0.010291,12.477358,12.477358,12.477358,262329.855534,262329.855534,262329.855534,0.0,0.0,0.0,0.029146,0.029146,0.029146,4e-06,4e-06,4e-06,0.489458,0.489458,0.489458,0.489458,0.489458,0.489458,12.549988,12.549988,12.549988,282091.709503,282091.709503,282091.709503,0.0,0.0,0.0,0.016883,0.016883,0.016883,4e-06,4e-06,4e-06,0.48927,0.48927,0.48927,0.48927,0.48927,0.48927,0.715607,0.715607,0.715607
phase_cued_retrieval,phasewrap_adapter,1,0,0.766715,0.715282,0.715282,0.715282,2.044763,2.044763,2.044763,0.5,0.5,0.5,0.75,0.75,0.75,0.489055,0.489055,0.489055,0.489724,0.489724,0.489724,0.010276,0.010276,0.010276,12.475209,12.475209,12.475209,261766.776711,261766.776711,261766.776711,0.0,0.0,0.0,0.029146,0.029146,0.029146,4e-06,4e-06,4e-06,0.489401,0.489401,0.489401,0.489401,0.489401,0.489401,12.414403,12.414403,12.414403,246324.023788,246324.023788,246324.023788,0.0,0.0,0.0,0.023037,0.023037,0.023037,5e-06,5e-06,5e-06,0.464254,0.464254,0.464254,0.464254,0.464254,0.464254,0.715613,0.715613,0.715613
exact_offset_passkey,no_position,1,0,-0.00894,1.387099,1.387099,1.387099,4.003218,4.003218,4.003218,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.2498,0.2498,0.2498,0.250453,0.250453,0.250453,0.000453,0.000453,0.000453,12.107454,12.107454,12.107454,181217.634324,181217.634324,181217.634324,0.0,0.0,0.0,0.008206,0.008206,0.008206,6e-06,6e-06,6e-06,0.250454,0.250454,0.250454,0.250454,0.250454,0.250454,11.964764,11.964764,11.964764,157119.799832,157119.799832,157119.799832,0.0,0.0,0.0,0.017417,0.017417,0.017417,6e-06,6e-06,6e-06,0.250454,0.250454,0.250454,0.250454,0.250454,0.250454,1.38711,1.38711,1.38711
exact_offset_passkey,sinusoidal,1,0,1.248153,0.696665,0.696665,0.696665,2.007049,2.007049,2.007049,0.75,0.75,0.75,0.875,0.875,0.875,0.500784,0.500784,0.500784,0.500806,0.500806,0.500806,0.249194,0.249194,0.249194,12.096868,12.096868,12.096868,179309.353865,179309.353865,179309.353865,0.0,0.0,0.0,0.008206,0.008206,0.008206,6e-06,6e-06,6e-06,0.394708,0.394708,0.394708,0.394708,0.394708,0.394708,11.730014,11.730014,11.730014,124245.371297,124245.371297,124245.371297,0.0,0.0,0.0,0.026144,0.026144,0.026144,9e-06,9e-06,9e-06,0.49243,0.49243,0.49243,0.49243,0.49243,0.49243,0.700066,0.700066,0.700066
exact_offset_passkey,alibi,1,0,-0.435727,0.674337,0.674337,0.674337,1.96273,1.96273,1.96273,0.75,0.75,0.75,0.875,0.875,0.875,0.514592,0.514592,0.514592,0.514674,0.514674,0.514674,0.235326,0.235326,0.235326,11.57124,11.57124,11.57124,106004.825916,106004.825916,106004.825916,0.0,0.0,0.0,0.008386,0.008386,0.008386,9e-06,9e-06,9e-06,0.582656,0.582656,0.582656,0.582656,0.582656,0.582656,11.530967,11.530967,11.530967,101820.523185,101820.523185,101820.523185,0.0,0.0,0.0,0.024433,0.024433,0.024433,1e-05,1e-05,1e-05,0.620972,0.620972,0.620972,0.620972,0.620972,0.620972,0.679631,0.679631,0.679631
exact_offset_passkey,rope_relative,1,0,0.288804,1.3871,1.3871,1.3871,4.003224,4.003224,4.003224,0.25,0.25,0.25,0.520833,0.520833,0.520833,0.249799,0.249799,0.249799,0.25045,0.25045,0.25045,0.00045,0.00045,0.00045,12.106736,12.106736,12.106736,181087.515535,181087.515535,181087.515535,0.0,0.0,0.0,0.008206,0.008206,0.008206,6e-06,6e-06,6e-06,0.25045,0.25045,0.25045,0.25045,0.25045,0.25045,11.964078,11.964078,11.964078,157012.084053,157012.084053,157012.084053,0.0,0.0,0.0,0.017417,0.017417,0.017417,6e-06,6e-06,6e-06,0.25045,0.25045,0.25045,0.25045,0.25045,0.25045,1.387111,1.387111,1.387111
