task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.314857, 'perplexity': 1.370063, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.736147, 'mean_top1_confidence': 0.736147, 'expected_calibration_error': 0.263853}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,0.314857,1.370063,1.0,1.0,0.736147,0.736147,0.263853,0.634185,1.885484,1.0,1.0,0.537504,0.537504,0.462496
phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,0.5,4.0,8.0,"{'row_count': 2.0, 'loss': 0.32145, 'perplexity': 1.379126, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.742017, 'mean_top1_confidence': 0.742017, 'expected_calibration_error': 0.257983}",0.100337,1.105544,1.0,1.0,0.905147,0.905147,0.094853,0.32145,1.379126,1.0,1.0,0.742017,0.742017,0.257983,0.687523,1.988784,0.5,0.75,0.521041,0.585881,0.429422
phase_cued_retrieval,307,alibi,alibi,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.314857, 'perplexity': 1.370063, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.736147, 'mean_top1_confidence': 0.736147, 'expected_calibration_error': 0.263853}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,0.314857,1.370063,1.0,1.0,0.736147,0.736147,0.263853,0.634185,1.885484,1.0,1.0,0.537504,0.537504,0.462496
phase_cued_retrieval,307,rope_relative,rope,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.314857, 'perplexity': 1.370063, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.736147, 'mean_top1_confidence': 0.736147, 'expected_calibration_error': 0.263853}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,0.314857,1.370063,1.0,1.0,0.736147,0.736147,0.263853,0.634185,1.885484,1.0,1.0,0.537504,0.537504,0.462496
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.314857, 'perplexity': 1.370063, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.736147, 'mean_top1_confidence': 0.736147, 'expected_calibration_error': 0.263853}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,0.314857,1.370063,1.0,1.0,0.736147,0.736147,0.263853,0.634185,1.885484,1.0,1.0,0.537504,0.537504,0.462496
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.314857, 'perplexity': 1.370063, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.736147, 'mean_top1_confidence': 0.736147, 'expected_calibration_error': 0.263853}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,0.314857,1.370063,1.0,1.0,0.736147,0.736147,0.263853,0.634185,1.885484,1.0,1.0,0.537504,0.537504,0.462496
phase_cued_retrieval,311,no_position,no_position,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,1.069712,2.914539,0.75,0.875,0.395617,0.45777,0.494403
phase_cued_retrieval,311,sinusoidal,sinusoidal,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,1.069712,2.914539,0.75,0.875,0.395617,0.45777,0.494403
phase_cued_retrieval,311,alibi,alibi,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,1.069712,2.914539,0.75,0.875,0.395617,0.45777,0.494403
phase_cued_retrieval,311,rope_relative,rope,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,1.069712,2.914539,0.75,0.875,0.395617,0.45777,0.494403
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,1.069712,2.914539,0.75,0.875,0.395617,0.45777,0.494403
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,1.069712,2.914539,0.75,0.875,0.395617,0.45777,0.494403
phase_cued_retrieval,313,no_position,no_position,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.458807, 'perplexity': 1.582186, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.632092, 'mean_top1_confidence': 0.632092, 'expected_calibration_error': 0.367908}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,0.458807,1.582186,1.0,1.0,0.632092,0.632092,0.367908,1.009757,2.744933,0.75,0.875,0.396238,0.468349,0.281651
phase_cued_retrieval,313,sinusoidal,sinusoidal,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.458807, 'perplexity': 1.582186, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.632092, 'mean_top1_confidence': 0.632092, 'expected_calibration_error': 0.367908}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,0.458807,1.582186,1.0,1.0,0.632092,0.632092,0.367908,1.009757,2.744933,0.75,0.875,0.396238,0.468349,0.281651
phase_cued_retrieval,313,alibi,alibi,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.458807, 'perplexity': 1.582186, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.632092, 'mean_top1_confidence': 0.632092, 'expected_calibration_error': 0.367908}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,0.458807,1.582186,1.0,1.0,0.632092,0.632092,0.367908,1.009757,2.744933,0.75,0.875,0.396238,0.468349,0.281651
phase_cued_retrieval,313,rope_relative,rope,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.458807, 'perplexity': 1.582186, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.632092, 'mean_top1_confidence': 0.632092, 'expected_calibration_error': 0.367908}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,0.458807,1.582186,1.0,1.0,0.632092,0.632092,0.367908,1.009757,2.744933,0.75,0.875,0.396238,0.468349,0.281651
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.458807, 'perplexity': 1.582186, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.632092, 'mean_top1_confidence': 0.632092, 'expected_calibration_error': 0.367908}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,0.458807,1.582186,1.0,1.0,0.632092,0.632092,0.367908,1.009757,2.744933,0.75,0.875,0.396238,0.468349,0.281651
