task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,4.0,8.0,0.266694,0.084364,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.795243,0.922657,0.154492,0.077343,0.231641,0.553311,0.417286,0.6718,1.757203,1.541151,1.965412,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.511627,0.669234,0.583019,0.508451,0.659095,0.416981,0.332354,0.491549,0.845943,0.700688,0.991198,2.363269,2.018888,2.674807,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.41678,0.523073,0.498024,0.473469,0.525437,0.442411,0.36037,0.4923
phase_cued_retrieval,sinusoidal,5,0,0.1,4.0,8.0,0.253209,0.070879,0.494897,1.338936,1.073568,1.706552,0.95,0.85,1.0,0.975,0.925,1.0,0.835942,0.719709,0.926997,0.87382,0.807943,0.934281,0.142868,0.065719,0.220017,0.554629,0.406636,0.675152,1.759016,1.539896,1.93083,1.0,1.0,1.0,1.0,1.0,1.0,0.584193,0.508451,0.672756,0.584193,0.511627,0.671168,0.415807,0.323938,0.491549,0.856611,0.72832,0.98758,2.383929,2.060271,2.708189,0.8,0.65,0.95,0.9,0.825,0.975,0.467878,0.416904,0.518852,0.507699,0.47061,0.550335,0.435796,0.354713,0.48924
phase_cued_retrieval,alibi,5,0,0.0,4.0,8.0,0.266694,0.084364,0.521867,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.72598,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.227652,0.553311,0.401227,0.6718,1.757203,1.539761,1.952026,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.510039,0.669234,0.583019,0.510039,0.659095,0.416981,0.344001,0.489961,0.845943,0.700688,0.999571,2.363269,2.018951,2.741509,0.9,0.75,1.0,0.95,0.9,1.0,0.471171,0.416904,0.525437,0.498024,0.47061,0.522827,0.442411,0.356353,0.4923
phase_cued_retrieval,rope_relative,5,0,0.0,4.0,8.0,0.266694,0.105213,0.501017,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.718474,0.922657,0.862196,0.806709,0.917683,0.154492,0.077343,0.231641,0.553311,0.43147,0.675152,1.757203,1.534458,1.965412,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.516027,0.655999,0.583019,0.511627,0.667646,0.416981,0.344001,0.489961,0.845943,0.716297,0.98758,2.363269,2.018888,2.707588,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.416904,0.523073,0.498024,0.471353,0.527801,0.442411,0.363692,0.491343
phase_cued_retrieval,phasewrap_bias,5,0,0.0,4.0,8.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.753384,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.227652,0.553311,0.417286,0.675152,1.757203,1.534458,1.965412,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.508451,0.673714,0.583019,0.517615,0.659095,0.416981,0.330766,0.489961,0.845943,0.700688,0.98758,2.363269,2.018951,2.708189,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.416904,0.523073,0.498024,0.47061,0.523073,0.442411,0.36037,0.491343
phase_cued_retrieval,phasewrap_adapter,5,0,0.0,4.0,8.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.231641,0.553311,0.417286,0.6718,1.757203,1.541151,1.952026,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.510039,0.667646,0.583019,0.511627,0.667646,0.416981,0.330766,0.491549,0.845943,0.716297,0.991198,2.363269,2.018951,2.741509,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.417028,0.522827,0.498024,0.473469,0.525437,0.442411,0.36037,0.4923
exact_offset_passkey,no_position,5,0,0.0,14.4,-1.6,0.0,0.0,1e-06,1.0,1.0,1.000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,1.0,1.0,0.999999,1.0,0.0,0.0,1e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6e-05,0.0,7.6e-05,1.000026,1.0,1.000074,1.0,1.0,1.0,1.0,1.0,1.0,0.999974,0.999924,1.0,0.999974,0.999924,1.0,2.6e-05,0.0,7.6e-05
exact_offset_passkey,sinusoidal,5,0,0.0,14.4,-1.6,0.0,0.0,1e-06,1.0,1.0,1.000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,1.0,1.0,0.999999,1.0,0.0,0.0,1e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6e-05,0.0,7.4e-05,1.000026,1.0,1.000074,1.0,1.0,1.0,1.0,1.0,1.0,0.999974,0.999924,1.0,0.999974,0.999924,1.0,2.6e-05,0.0,7.4e-05
exact_offset_passkey,alibi,5,0,0.0,14.4,-1.6,0.0,0.0,1e-06,1.0,1.0,1.000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,1.0,1.0,0.999999,1.0,0.0,0.0,1e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6e-05,0.0,7.6e-05,1.000026,1.0,1.000076,1.0,1.0,1.0,1.0,1.0,1.0,0.999974,0.999926,1.0,0.999974,0.999924,1.0,2.6e-05,0.0,7.4e-05
exact_offset_passkey,rope_relative,5,0,0.0,14.4,-1.6,0.0,0.0,1e-06,1.0,1.0,1.000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,1.0,1.0,0.999999,1.0,0.0,0.0,1e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6e-05,0.0,7.6e-05,1.000026,1.0,1.000076,1.0,1.0,1.0,1.0,1.0,1.0,0.999974,0.999926,1.0,0.999974,0.999924,1.0,2.6e-05,0.0,7.6e-05
