task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,4,2,4,0.0,24.0,-8.0,"{'row_count': 2.0, 'loss': 13.833942, 'perplexity': 1018602.549636, 'top1_accuracy': 0.5, 'mrr': 0.515625, 'mean_target_probability': 0.481904, 'mean_top1_confidence': 0.981904, 'expected_calibration_error': 0.481904}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,13.833942,1018602.549636,0.5,0.515625,0.481904,0.981904,0.481904,27.631021,999999999999.999,0.0,0.139286,0.0,0.984598,0.984598
phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,8.0,0.0,8.0,"{'row_count': 2.0, 'loss': 1.199583, 'perplexity': 3.318731, 'top1_accuracy': 0.5, 'mrr': 0.666667, 'mean_target_probability': 0.367032, 'mean_top1_confidence': 0.519428, 'expected_calibration_error': 0.442829}",0.569048,1.766585,0.5,0.75,0.59328,0.612926,0.346443,1.199583,3.318731,0.5,0.666667,0.367032,0.519428,0.442829,2.91864,18.516095,0.0,0.354167,0.07337,0.710493,0.710493
phase_cued_retrieval,307,alibi,alibi,4,2,4,8.0,16.0,8.0,"{'row_count': 2.0, 'loss': 14.162085, 'perplexity': 1414215.034498, 'top1_accuracy': 0.5, 'mrr': 0.516667, 'mean_target_probability': 0.249999, 'mean_top1_confidence': 0.749999, 'expected_calibration_error': 0.75}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,14.162085,1414215.034498,0.5,0.516667,0.249999,0.749999,0.75,19.081043,193549305.701214,0.0,0.161807,0.0,0.874999,0.874999
phase_cued_retrieval,307,rope_relative,rope,4,2,4,12.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.235214, 'perplexity': 9.348482, 'top1_accuracy': 0.5, 'mrr': 0.666667, 'mean_target_probability': 0.106975, 'mean_top1_confidence': 0.130557, 'expected_calibration_error': 0.369443}",2.215172,9.162987,0.0,0.375,0.115553,0.242755,0.242755,2.235214,9.348482,0.5,0.666667,0.106975,0.130557,0.369443,3.865327,47.718859,0.0,0.145511,0.039357,0.179065,0.179065
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,4,2,4,4.0,24.0,4.0,"{'row_count': 2.0, 'loss': 14.133849, 'perplexity': 1374840.810827, 'top1_accuracy': 0.5, 'mrr': 0.527778, 'mean_target_probability': 0.264524, 'mean_top1_confidence': 0.764524, 'expected_calibration_error': 0.735476}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,14.133849,1374840.810827,0.5,0.527778,0.264524,0.764524,0.735476,23.002,9764313609.109407,0.0,0.275794,0.0,0.899409,0.899409
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,4,2,4,4.0,24.0,4.0,"{'row_count': 2.0, 'loss': 14.047573, 'perplexity': 1261198.487584, 'top1_accuracy': 0.5, 'mrr': 0.526316, 'mean_target_probability': 0.314343, 'mean_top1_confidence': 0.814343, 'expected_calibration_error': 0.685657}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,14.047573,1261198.487584,0.5,0.526316,0.314343,0.814343,0.685657,23.47976,15744555407.014786,0.0,0.275253,0.0,0.919033,0.919033
phase_cued_retrieval,311,no_position,no_position,4,2,4,0.0,0.0,4.0,"{'row_count': 2.0, 'loss': 3.078856, 'perplexity': 21.733533, 'top1_accuracy': 0.0, 'mrr': 0.118056, 'mean_target_probability': 0.046072, 'mean_top1_confidence': 0.099298, 'expected_calibration_error': 0.099298}",3.749952,42.519036,0.0,0.157855,0.047261,0.148721,0.148721,3.078856,21.733533,0.0,0.118056,0.046072,0.099298,0.099298,3.267911,26.256421,0.25,0.33125,0.047391,0.083592,0.166408
phase_cued_retrieval,311,sinusoidal,sinusoidal,4,2,4,2.0,0.0,4.0,"{'row_count': 2.0, 'loss': 3.049667, 'perplexity': 21.108317, 'top1_accuracy': 0.0, 'mrr': 0.183333, 'mean_target_probability': 0.048726, 'mean_top1_confidence': 0.328, 'expected_calibration_error': 0.328}",2.338837,10.36917,0.5,0.585714,0.133413,0.231795,0.268205,3.049667,21.108317,0.0,0.183333,0.048726,0.328,0.328,3.147764,23.283937,0.25,0.3375,0.054283,0.179031,0.297005
phase_cued_retrieval,311,alibi,alibi,4,2,4,0.0,0.0,4.0,"{'row_count': 2.0, 'loss': 3.078856, 'perplexity': 21.733533, 'top1_accuracy': 0.0, 'mrr': 0.118056, 'mean_target_probability': 0.046072, 'mean_top1_confidence': 0.099298, 'expected_calibration_error': 0.099298}",3.749952,42.519036,0.0,0.157855,0.047261,0.148721,0.148721,3.078856,21.733533,0.0,0.118056,0.046072,0.099298,0.099298,3.267911,26.256421,0.25,0.33125,0.047391,0.083592,0.166408
phase_cued_retrieval,311,rope_relative,rope,4,2,4,12.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.651959, 'perplexity': 14.181788, 'top1_accuracy': 0.0, 'mrr': 0.266667, 'mean_target_probability': 0.071246, 'mean_top1_confidence': 0.21218, 'expected_calibration_error': 0.21218}",2.300904,9.983198,0.25,0.447917,0.141501,0.240754,0.329647,2.651959,14.181788,0.0,0.266667,0.071246,0.21218,0.21218,3.625196,37.532068,0.25,0.298611,0.055737,0.148366,0.101634
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,0.0,0.0,4.0,"{'row_count': 2.0, 'loss': 3.078856, 'perplexity': 21.733533, 'top1_accuracy': 0.0, 'mrr': 0.118056, 'mean_target_probability': 0.046072, 'mean_top1_confidence': 0.099298, 'expected_calibration_error': 0.099298}",3.749952,42.519036,0.0,0.157855,0.047261,0.148721,0.148721,3.078856,21.733533,0.0,0.118056,0.046072,0.099298,0.099298,3.267911,26.256421,0.25,0.33125,0.047391,0.083592,0.166408
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,0.0,4.0,"{'row_count': 2.0, 'loss': 3.078856, 'perplexity': 21.733533, 'top1_accuracy': 0.0, 'mrr': 0.118056, 'mean_target_probability': 0.046072, 'mean_top1_confidence': 0.099298, 'expected_calibration_error': 0.099298}",3.749952,42.519036,0.0,0.157855,0.047261,0.148721,0.148721,3.078856,21.733533,0.0,0.118056,0.046072,0.099298,0.099298,3.267911,26.256421,0.25,0.33125,0.047391,0.083592,0.166408
phase_cued_retrieval,313,no_position,no_position,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.402545, 'perplexity': 11.051264, 'top1_accuracy': 0.0, 'mrr': 0.225, 'mean_target_probability': 0.090964, 'mean_top1_confidence': 0.185519, 'expected_calibration_error': 0.185519}",6.822377,918.165269,0.0,0.058719,0.001156,0.263419,0.263419,2.402545,11.051264,0.0,0.225,0.090964,0.185519,0.185519,3.665724,39.084408,0.0,0.087311,0.02977,0.140153,0.140153
phase_cued_retrieval,313,sinusoidal,sinusoidal,4,2,4,4.0,0.0,8.0,"{'row_count': 2.0, 'loss': 1.47153, 'perplexity': 4.355896, 'top1_accuracy': 0.5, 'mrr': 0.75, 'mean_target_probability': 0.233878, 'mean_top1_confidence': 0.29962, 'expected_calibration_error': 0.52108}",3.120926,22.66735,0.0,0.294048,0.049665,0.519398,0.519398,1.47153,4.355896,0.5,0.75,0.233878,0.29962,0.52108,3.65753,38.765491,0.0,0.220635,0.057323,0.468569,0.468569
phase_cued_retrieval,313,alibi,alibi,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.402545, 'perplexity': 11.051264, 'top1_accuracy': 0.0, 'mrr': 0.225, 'mean_target_probability': 0.090964, 'mean_top1_confidence': 0.185519, 'expected_calibration_error': 0.185519}",6.822377,918.165269,0.0,0.058719,0.001156,0.263419,0.263419,2.402545,11.051264,0.0,0.225,0.090964,0.185519,0.185519,3.665724,39.084408,0.0,0.087311,0.02977,0.140153,0.140153
phase_cued_retrieval,313,rope_relative,rope,4,2,4,8.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.112839, 'perplexity': 8.27169, 'top1_accuracy': 0.0, 'mrr': 0.5, 'mean_target_probability': 0.120916, 'mean_top1_confidence': 0.130927, 'expected_calibration_error': 0.130927}",3.901621,49.482604,0.0,0.086189,0.020963,0.208954,0.208954,2.112839,8.27169,0.0,0.5,0.120916,0.130927,0.130927,3.676432,39.50519,0.0,0.150123,0.03708,0.174685,0.174685
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.402545, 'perplexity': 11.051264, 'top1_accuracy': 0.0, 'mrr': 0.225, 'mean_target_probability': 0.090964, 'mean_top1_confidence': 0.185519, 'expected_calibration_error': 0.185519}",6.822377,918.165269,0.0,0.058719,0.001156,0.263419,0.263419,2.402545,11.051264,0.0,0.225,0.090964,0.185519,0.185519,3.665724,39.084408,0.0,0.087311,0.02977,0.140153,0.140153
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.402545, 'perplexity': 11.051264, 'top1_accuracy': 0.0, 'mrr': 0.225, 'mean_target_probability': 0.090964, 'mean_top1_confidence': 0.185519, 'expected_calibration_error': 0.185519}",6.822377,918.165269,0.0,0.058719,0.001156,0.263419,0.263419,2.402545,11.051264,0.0,0.225,0.090964,0.185519,0.185519,3.665724,39.084408,0.0,0.087311,0.02977,0.140153,0.140153
phase_cued_retrieval,317,no_position,no_position,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 3.53075, 'perplexity': 34.149567, 'top1_accuracy': 0.0, 'mrr': 0.10101, 'mean_target_probability': 0.029901, 'mean_top1_confidence': 0.185606, 'expected_calibration_error': 0.185606}",3.212279,24.835628,0.0,0.185417,0.061233,0.261268,0.261268,3.53075,34.149567,0.0,0.10101,0.029901,0.185606,0.185606,3.531595,34.178444,0.0,0.145063,0.043937,0.139213,0.139213
phase_cued_retrieval,317,sinusoidal,sinusoidal,4,2,4,1.0,0.0,4.0,"{'row_count': 2.0, 'loss': 3.226309, 'perplexity': 25.186517, 'top1_accuracy': 0.0, 'mrr': 0.145833, 'mean_target_probability': 0.040008, 'mean_top1_confidence': 0.193827, 'expected_calibration_error': 0.193827}",2.169074,8.750173,0.5,0.666667,0.119366,0.137024,0.362976,3.226309,25.186517,0.0,0.145833,0.040008,0.193827,0.193827,3.116878,22.575781,0.0,0.28869,0.052361,0.099539,0.099539
phase_cued_retrieval,317,alibi,alibi,4,2,4,2.0,0.0,8.0,"{'row_count': 2.0, 'loss': 3.329873, 'perplexity': 27.934788, 'top1_accuracy': 0.0, 'mrr': 0.10101, 'mean_target_probability': 0.036222, 'mean_top1_confidence': 0.143333, 'expected_calibration_error': 0.143333}",2.996717,20.019712,0.0,0.185417,0.063806,0.204791,0.204791,3.329873,27.934788,0.0,0.10101,0.036222,0.143333,0.143333,3.413624,30.375131,0.0,0.132563,0.040986,0.111945,0.111945
phase_cued_retrieval,317,rope_relative,rope,4,2,4,12.0,0.0,8.0,"{'row_count': 2.0, 'loss': 2.978523, 'perplexity': 19.658765, 'top1_accuracy': 0.0, 'mrr': 0.208333, 'mean_target_probability': 0.051717, 'mean_top1_confidence': 0.214955, 'expected_calibration_error': 0.214955}",1.508132,4.518284,0.75,0.875,0.229764,0.232513,0.517487,2.978523,19.658765,0.0,0.208333,0.051717,0.214955,0.214955,4.439045,84.694015,0.0,0.055147,0.013054,0.145842,0.145842
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 3.53075, 'perplexity': 34.149567, 'top1_accuracy': 0.0, 'mrr': 0.10101, 'mean_target_probability': 0.029901, 'mean_top1_confidence': 0.185606, 'expected_calibration_error': 0.185606}",3.212279,24.835628,0.0,0.185417,0.061233,0.261268,0.261268,3.53075,34.149567,0.0,0.10101,0.029901,0.185606,0.185606,3.531595,34.178444,0.0,0.145063,0.043937,0.139213,0.139213
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,0.0,8.0,"{'row_count': 2.0, 'loss': 3.53075, 'perplexity': 34.149567, 'top1_accuracy': 0.0, 'mrr': 0.10101, 'mean_target_probability': 0.029901, 'mean_top1_confidence': 0.185606, 'expected_calibration_error': 0.185606}",3.212279,24.835628,0.0,0.185417,0.061233,0.261268,0.261268,3.53075,34.149567,0.0,0.10101,0.029901,0.185606,0.185606,3.531595,34.178444,0.0,0.145063,0.043937,0.139213,0.139213
phase_cued_retrieval,331,no_position,no_position,4,2,4,0.0,0.0,2.0,"{'row_count': 2.0, 'loss': 2.855945, 'perplexity': 17.390857, 'top1_accuracy': 0.5, 'mrr': 0.55, 'mean_target_probability': 0.062278, 'mean_top1_confidence': 0.074244, 'expected_calibration_error': 0.425756}",2.948741,19.081912,0.0,0.159112,0.054313,0.13231,0.13231,2.855945,17.390857,0.5,0.55,0.062278,0.074244,0.425756,3.103226,22.269679,0.25,0.3375,0.052685,0.077002,0.271479
phase_cued_retrieval,331,sinusoidal,sinusoidal,4,2,4,0.5,0.0,2.0,"{'row_count': 2.0, 'loss': 2.838924, 'perplexity': 17.097351, 'top1_accuracy': 0.5, 'mrr': 0.571429, 'mean_target_probability': 0.062076, 'mean_top1_confidence': 0.086698, 'expected_calibration_error': 0.413302}",2.580568,13.204642,0.0,0.375,0.077592,0.117796,0.117796,2.838924,17.097351,0.5,0.571429,0.062076,0.086698,0.413302,2.976145,19.612059,0.25,0.390278,0.055492,0.075493,0.174507
phase_cued_retrieval,331,alibi,alibi,4,2,4,1.0,0.0,4.0,"{'row_count': 2.0, 'loss': 2.797654, 'perplexity': 16.40611, 'top1_accuracy': 0.5, 'mrr': 0.555556, 'mean_target_probability': 0.065169, 'mean_top1_confidence': 0.083073, 'expected_calibration_error': 0.416927}",2.888717,17.970245,0.0,0.167445,0.059601,0.150443,0.150443,2.797654,16.40611,0.5,0.555556,0.065169,0.083073,0.416927,2.964151,19.37825,0.25,0.345238,0.062015,0.093536,0.276312
phase_cued_retrieval,331,rope_relative,rope,4,2,4,2.0,0.0,2.0,"{'row_count': 2.0, 'loss': 2.877608, 'perplexity': 17.77172, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.060337, 'mean_top1_confidence': 0.069308, 'expected_calibration_error': 0.430692}",2.623163,13.779234,0.0,0.3125,0.074827,0.124014,0.124014,2.877608,17.77172,0.5,0.583333,0.060337,0.069308,0.430692,3.276023,26.470278,0.25,0.322233,0.04914,0.070262,0.264619
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,4,2,4,0.0,0.0,2.0,"{'row_count': 2.0, 'loss': 2.855945, 'perplexity': 17.390857, 'top1_accuracy': 0.5, 'mrr': 0.55, 'mean_target_probability': 0.062278, 'mean_top1_confidence': 0.074244, 'expected_calibration_error': 0.425756}",2.948741,19.081912,0.0,0.159112,0.054313,0.13231,0.13231,2.855945,17.390857,0.5,0.55,0.062278,0.074244,0.425756,3.103226,22.269679,0.25,0.3375,0.052685,0.077002,0.271479
