task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,4.8,2.8,3.34667,1.392446,4.978922,201.120369,11.849147,559.602969,0.2,0.0,0.6,0.312221,0.104137,0.668654,0.232793,0.023803,0.618904,0.361144,0.161384,0.678716,0.161144,0.079146,0.239619,5.140408,2.674585,9.487024,203737.374971,15.324172,611170.569948,0.2,0.0,0.4,0.301938,0.132626,0.47125,0.142224,0.042852,0.31655,0.305314,0.111531,0.646106,0.275617,0.151031,0.405383,8.239895,3.248663,17.932403,200000000024.3576,25.44878,600000000013.0676,0.1,0.0,0.2,0.208082,0.118496,0.296607,0.034757,0.018266,0.048818,0.284912,0.090762,0.63419,0.34037,0.145216,0.672897
phase_cued_retrieval,sinusoidal,5,0,3.1,0.0,5.2,2.155691,1.373656,2.822484,11.351584,5.207619,17.424279,0.3,0.1,0.5,0.534286,0.384762,0.68381,0.194663,0.072,0.406524,0.323788,0.155978,0.499289,0.322964,0.208041,0.437875,2.357203,1.581841,3.078175,14.213362,6.489321,20.81296,0.3,0.1,0.5,0.463452,0.245952,0.664286,0.150344,0.046165,0.27674,0.285515,0.171867,0.410346,0.379808,0.270462,0.474129,3.163391,2.975966,3.407799,24.550673,19.547225,31.838494,0.1,0.0,0.2,0.318254,0.260952,0.365278,0.058566,0.053613,0.066343,0.306625,0.105819,0.555816,0.350023,0.169019,0.554911
phase_cued_retrieval,alibi,5,0,2.2,3.2,6.4,3.291553,1.349334,4.828275,199.934852,11.59204,562.997018,0.2,0.0,0.6,0.313887,0.118201,0.668654,0.234365,0.025375,0.62384,0.353475,0.160968,0.682428,0.153475,0.059488,0.218229,5.154203,2.673069,9.728793,282858.432039,15.329656,848536.648627,0.2,0.0,0.4,0.303258,0.132626,0.473889,0.097685,0.045951,0.176067,0.252244,0.101615,0.495281,0.319015,0.134156,0.507333,6.478491,3.17555,12.864495,38709884.159085,24.695116,116129595.11326,0.1,0.0,0.2,0.211634,0.120311,0.302703,0.036032,0.018357,0.053603,0.260845,0.091251,0.569748,0.313963,0.13373,0.602651
phase_cued_retrieval,rope_relative,5,0,9.2,0.0,6.8,2.509798,1.825241,3.244188,17.385261,7.463457,33.518799,0.2,0.0,0.5,0.419321,0.234476,0.6625,0.116522,0.055843,0.175934,0.209798,0.16435,0.239906,0.284571,0.174978,0.407594,2.571229,2.269613,2.872844,13.846489,9.884426,17.808552,0.2,0.0,0.4,0.445,0.278333,0.6,0.082238,0.059529,0.105406,0.151585,0.106131,0.19752,0.271639,0.180234,0.37474,3.776405,3.473966,4.134,47.184082,32.932352,66.223861,0.1,0.0,0.2,0.194325,0.110288,0.27744,0.038874,0.026396,0.049822,0.143644,0.100999,0.172049,0.173169,0.130854,0.223753
phase_cued_retrieval,phasewrap_bias,5,0,0.8,4.8,5.2,3.34667,1.364475,5.433165,201.120369,12.99989,559.682669,0.2,0.0,0.6,0.312221,0.118452,0.663645,0.232793,0.023803,0.621725,0.361144,0.161384,0.679146,0.161144,0.056206,0.239619,5.200389,2.718866,9.757648,274985.02721,15.723555,824913.526662,0.2,0.0,0.4,0.304369,0.136036,0.471667,0.098748,0.042845,0.186122,0.261838,0.106521,0.515695,0.326331,0.151048,0.546296,7.314091,3.221837,15.187927,1952862746.179672,26.429973,5858588177.736462,0.1,0.0,0.2,0.235384,0.136558,0.322659,0.034757,0.016491,0.04845,0.267874,0.09208,0.595331,0.323332,0.14484,0.600958
phase_cued_retrieval,phasewrap_adapter,5,0,0.8,4.8,5.2,3.34667,1.232204,5.32563,201.120369,12.99989,559.682669,0.2,0.0,0.6,0.312221,0.098876,0.668654,0.232793,0.021008,0.621725,0.361144,0.161384,0.678716,0.161144,0.078716,0.236337,5.183134,2.673069,9.705883,252256.562561,16.122938,756728.132717,0.2,0.0,0.4,0.304076,0.136036,0.475526,0.108712,0.042114,0.213517,0.271802,0.101527,0.545587,0.316367,0.151031,0.529716,7.409643,3.254774,15.362083,3148911105.760747,26.429973,9446733256.479689,0.1,0.0,0.2,0.235275,0.148,0.322551,0.034757,0.016491,0.049186,0.271799,0.09208,0.596169,0.327257,0.145028,0.633558
exact_offset_passkey,no_position,5,0,0.0,10.8,3.0,3.104425,0.565588,5.928766,2896.710615,1.686245,8653.614707,0.65,0.4,0.85,0.825,0.7,0.925,0.652078,0.502116,0.805919,0.870876,0.736389,0.999962,0.321403,0.150115,0.468571,1.56246,0.121529,3.188272,19.901705,1.161371,50.623659,0.7,0.3,1.0,0.85,0.65,1.0,0.625684,0.322818,0.910656,0.8413,0.680741,0.996282,0.312749,0.089344,0.536154,8.327145,2.1974,13.767342,6371603.091832,132.033049,17365447.075442,0.3,0.05,0.65,0.554167,0.395833,0.766667,0.186853,0.037258,0.349691,0.783128,0.573641,0.992151,0.683781,0.414996,0.936621
exact_offset_passkey,sinusoidal,5,0,9.6,6.8,3.6,0.955691,0.002788,2.420902,12.297403,1.002793,34.451684,0.85,0.65,1.0,0.925,0.825,1.0,0.874497,0.728679,0.997409,0.971855,0.919884,0.998762,0.125503,0.002578,0.271321,0.012465,0.001982,0.027254,1.012657,1.001012,1.02776,1.0,1.0,1.0,1.0,1.0,1.0,0.987843,0.976692,0.999002,0.987843,0.975157,0.998993,0.012157,0.001986,0.026404,4.120986,0.49097,9.197544,583086.579628,1.81713,1749228.587997,0.45,0.1,0.8,0.708333,0.541666,0.9,0.429325,0.122841,0.725998,0.860946,0.748752,0.948529,0.507,0.216903,0.824555
exact_offset_passkey,alibi,5,0,0.5,10.8,3.2,2.996451,0.274788,6.635816,2896.492349,1.527527,8664.050282,0.75,0.6,0.9,0.875,0.8,0.95,0.693052,0.54309,0.849924,0.876464,0.747143,0.999962,0.225536,0.079543,0.371528,1.510281,0.088497,3.169126,19.475146,1.109349,50.245402,0.7,0.3,1.0,0.85,0.65,1.0,0.640187,0.334746,0.896381,0.843374,0.67901,0.996282,0.288577,0.107206,0.500933,8.327689,2.818788,13.737765,6371602.852124,254.961507,17948269.848855,0.3,0.05,0.65,0.554167,0.3875,0.795833,0.17146,0.037441,0.30548,0.760368,0.530523,0.992151,0.690678,0.412487,0.908697
exact_offset_passkey,rope_relative,5,0,9.6,8.8,3.2,1.320409,0.004029,2.929775,14.447805,1.003834,34.236201,0.85,0.65,1.0,0.925,0.825,1.0,0.847312,0.651537,0.99629,0.995775,0.989608,0.999747,0.152688,0.006674,0.347933,0.028004,0.00355,0.05949,1.028947,1.003581,1.062036,1.0,1.0,1.0,1.0,1.0,1.0,0.973029,0.942963,0.993269,0.973029,0.942963,0.993251,0.026971,0.003497,0.057028,4.14509,0.043359,10.077421,583135.70121,1.04452,1749286.978509,0.65,0.25,1.0,0.816667,0.6,1.0,0.604881,0.225548,0.958523,0.954686,0.926204,0.983102,0.395107,0.041477,0.748736
