task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,4.0,8.0,0.266694,0.084364,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.795243,0.922657,0.154492,0.077343,0.231641,1.212894,0.548506,2.42628,8.896949,1.720082,22.960388,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.402292,0.579923,0.531848,0.490736,0.578948,0.432189,0.374416,0.491549,1.584039,0.962478,2.2056,6.228986,2.894844,9.901286,0.75,0.55,0.95,0.77261,0.598007,0.952083,0.394084,0.302256,0.482096,0.462267,0.415,0.511284,0.396975,0.28874,0.500615
phase_cued_retrieval,sinusoidal,5,0,2.4,4.0,6.8,0.233144,0.038112,0.480168,1.317829,1.039348,1.693439,0.95,0.85,1.0,0.975,0.925,1.0,0.854911,0.731394,0.97662,0.892788,0.819628,0.964934,0.1239,0.035066,0.216722,1.671902,0.537251,3.81791,75.063403,1.737156,221.532604,0.9,0.7,1.0,0.95,0.85,1.0,0.531259,0.491145,0.581511,0.631256,0.511627,0.812357,0.459677,0.410913,0.494131,2.956875,1.029917,5.86297,1140.750614,3.212463,3410.185418,0.65,0.3,0.95,0.708721,0.454257,0.952083,0.32736,0.150805,0.482096,0.567761,0.452938,0.753459,0.526776,0.334175,0.747311
phase_cued_retrieval,alibi,5,0,0.0,4.0,8.0,0.266694,0.084364,0.521867,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.72598,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.227652,1.212894,0.548506,2.444239,8.896949,1.754664,23.005352,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.393128,0.579923,0.531848,0.493912,0.584017,0.432189,0.374416,0.489961,1.584039,0.962478,2.226969,6.228986,2.894844,9.914068,0.75,0.55,0.95,0.77261,0.588266,0.952083,0.394084,0.306073,0.48707,0.462267,0.414386,0.501859,0.396975,0.283765,0.500615
phase_cued_retrieval,rope_relative,5,0,2.4,3.4,8.0,0.39515,0.10696,0.660736,1.567427,1.117282,1.994745,0.95,0.85,1.0,0.975,0.925,1.0,0.744602,0.584221,0.904984,0.78248,0.609115,0.917683,0.234208,0.095016,0.394874,0.889749,0.537251,1.460197,2.956649,1.741278,5.184452,0.9,0.7,1.0,0.95,0.85,1.0,0.463886,0.310249,0.581511,0.479388,0.340627,0.581511,0.486955,0.412501,0.558404,1.944859,1.014308,2.875409,12.248802,2.185675,24.679982,0.65,0.3,0.95,0.688615,0.393937,0.952083,0.335522,0.180265,0.477121,0.41542,0.273845,0.511284,0.374435,0.248254,0.497415
phase_cued_retrieval,phasewrap_bias,5,0,0.0,4.0,8.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.753384,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.227652,1.212894,0.551858,2.440887,8.896949,1.737156,23.012045,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.393128,0.589087,0.531848,0.493912,0.584017,0.432189,0.376389,0.489961,1.584039,0.962478,2.15377,6.228986,2.894844,9.914068,0.75,0.55,0.95,0.77261,0.598007,0.912698,0.394084,0.30134,0.482096,0.462267,0.414386,0.505786,0.396975,0.28874,0.497415
phase_cued_retrieval,phasewrap_adapter,5,0,0.0,4.0,8.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.231641,1.212894,0.548506,2.444239,8.896949,1.754664,23.012045,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.394716,0.579923,0.531848,0.492324,0.584017,0.432189,0.374416,0.491549,1.584039,0.946868,2.2056,6.228986,2.894844,9.934606,0.75,0.55,0.9,0.77261,0.593137,0.952083,0.394084,0.302256,0.482096,0.462267,0.418223,0.50631,0.396975,0.28874,0.502389
exact_offset_passkey,no_position,5,0,0.0,10.6,-2.0,5.482022,1.706897,8.843439,200226.742801,28.211764,600026.542801,0.65,0.35,0.95,0.692648,0.393265,0.952632,0.490143,0.205889,0.782873,0.685014,0.35076,1.0,0.369268,0.152141,0.601381,6.998772,1.472568,12.066251,400034.003233,36.174099,800031.832368,0.6,0.2,0.9,0.632196,0.26405,0.911111,0.422327,0.144653,0.701264,0.661104,0.303229,1.0,0.418979,0.140042,0.736812,15.456043,7.202736,23.063914,69959418511.65758,200000126.375581,208878255294.43893,0.2,0.05,0.35,0.252668,0.098557,0.401747,0.115099,0.015099,0.204105,0.64431,0.277404,1.0,0.611215,0.316741,0.85
exact_offset_passkey,sinusoidal,5,0,9.6,3.4,1.8,1.393389,0.007311,4.149,200.811978,1.007235,600.407486,0.95,0.85,1.0,0.952632,0.857895,1.0,0.938329,0.845599,0.992759,0.988329,0.976628,0.997047,0.061671,0.009599,0.154401,0.042583,0.010541,0.087397,1.044594,1.011477,1.090668,1.0,1.0,1.0,1.0,1.0,1.0,0.95939,0.922984,0.988892,0.95939,0.919937,0.987749,0.04061,0.012251,0.080063,6.001017,0.496371,16.136825,69559418395.695,1.74223,208678255181.2063,0.5,0.2,0.8,0.650871,0.36928,0.891667,0.507217,0.212688,0.755042,0.818601,0.626063,0.941583,0.354608,0.093269,0.669833
exact_offset_passkey,alibi,5,0,0.2,10.6,-1.2,5.302353,1.157699,10.040385,200211.761521,13.230483,600200.200001,0.65,0.3,0.95,0.692648,0.393265,0.952632,0.48998,0.205726,0.8,0.667541,0.333287,1.0,0.351795,0.119335,0.634254,6.830163,2.149191,11.897642,400015.884308,8.128653,800013.713442,0.6,0.3,0.9,0.632196,0.34897,0.907143,0.42399,0.129845,0.8,0.649218,0.291343,1.0,0.407093,0.128155,0.736812,15.201587,7.33926,23.063914,69959418437.6047,200000041.077824,208878255209.14117,0.2,0.05,0.35,0.252821,0.104073,0.443863,0.114955,0.022877,0.210994,0.635264,0.268358,1.0,0.60217,0.339603,0.85
exact_offset_passkey,rope_relative,5,0,9.6,4.0,0.4,1.735319,0.133438,4.26853,201.394791,1.174831,600.565103,0.95,0.85,1.0,0.952632,0.857895,1.0,0.733775,0.519039,0.932698,0.783775,0.519039,0.991349,0.266225,0.081398,0.480961,0.611825,0.24148,0.961396,1.97935,1.349553,2.741621,1.0,1.0,1.0,1.0,1.0,1.0,0.638638,0.433821,0.851847,0.638638,0.432564,0.786791,0.361362,0.211926,0.566179,6.096917,0.824785,16.382599,69559418395.59448,2.423945,208678255181.5252,0.8,0.4,1.0,0.809205,0.427614,1.0,0.356896,0.176099,0.50985,0.556896,0.360409,0.7778,0.643104,0.462822,0.823901
