support_policy,task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,test_support_known_fraction,test_support_missing_mod_count,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
fallback_mod16,phase_cued_retrieval,307,no_position,no_position,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 3.612775, 'perplexity': 37.068791, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.320768, 'mean_top1_confidence': 0.480291, 'expected_calibration_error': 0.339892}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,3.612775,37.068791,0.5,0.522727,0.320768,0.480291,0.339892,1.780267,5.93144,0.5,0.563492,0.333822,0.393547,0.272011
fallback_mod16,phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,0.0,4,12.0,4.0,2.0,"{'row_count': 2.0, 'loss': 5.907814, 'perplexity': 367.901063, 'top1_accuracy': 0.5, 'mrr': 0.75, 'mean_target_probability': 0.477345, 'mean_top1_confidence': 0.977331, 'expected_calibration_error': 0.477331}",1e-05,1.00001,1.0,1.0,0.99999,0.99999,1e-05,5.907814,367.901063,0.5,0.75,0.477345,0.977331,0.477331,8.644449,5678.539577,0.0,0.244048,0.000199,0.921017,0.921017
fallback_mod16,phase_cued_retrieval,307,alibi,alibi,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 3.612775, 'perplexity': 37.068791, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.320768, 'mean_top1_confidence': 0.480291, 'expected_calibration_error': 0.339892}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,3.612775,37.068791,0.5,0.522727,0.320768,0.480291,0.339892,1.780267,5.93144,0.5,0.563492,0.333822,0.393547,0.272011
fallback_mod16,phase_cued_retrieval,307,rope_relative,rope,4,2,4,0.0,4,12.0,1.0,8.0,"{'row_count': 2.0, 'loss': 1.99705, 'perplexity': 7.367292, 'top1_accuracy': 0.5, 'mrr': 0.75, 'mean_target_probability': 0.140484, 'mean_top1_confidence': 0.217992, 'expected_calibration_error': 0.613725}",0.810041,2.247999,1.0,1.0,0.448449,0.448449,0.551551,1.99705,7.367292,0.5,0.75,0.140484,0.217992,0.613725,3.584366,36.030517,0.0,0.143515,0.041008,0.159312,0.159312
fallback_mod16,phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 3.612775, 'perplexity': 37.068791, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.320768, 'mean_top1_confidence': 0.480291, 'expected_calibration_error': 0.339892}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,3.612775,37.068791,0.5,0.522727,0.320768,0.480291,0.339892,1.780267,5.93144,0.5,0.563492,0.333822,0.393547,0.272011
fallback_mod16,phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 3.612775, 'perplexity': 37.068791, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.320768, 'mean_top1_confidence': 0.480291, 'expected_calibration_error': 0.339892}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,3.612775,37.068791,0.5,0.522727,0.320768,0.480291,0.339892,1.780267,5.93144,0.5,0.563492,0.333822,0.393547,0.272011
strict_known_only,phase_cued_retrieval,307,no_position,no_position,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 3.424104, 'perplexity': 30.695133, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.321028, 'mean_top1_confidence': 0.412959, 'expected_calibration_error': 0.27256}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,3.424104,30.695133,0.5,0.522727,0.321028,0.412959,0.27256,2.784982,16.199519,0.0,0.187311,0.068824,0.161845,0.161845
strict_known_only,phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,0.0,4,12.0,8.0,-4.0,"{'row_count': 2.0, 'loss': 9.746784, 'perplexity': 17099.14113, 'top1_accuracy': 0.5, 'mrr': 0.75, 'mean_target_probability': 0.484239, 'mean_top1_confidence': 0.984239, 'expected_calibration_error': 0.484239}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.746784,17099.14113,0.5,0.75,0.484239,0.984239,0.484239,10.141262,25368.448995,0.0,0.097024,5.8e-05,0.909831,0.909831
strict_known_only,phase_cued_retrieval,307,alibi,alibi,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 3.424104, 'perplexity': 30.695133, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.321028, 'mean_top1_confidence': 0.412959, 'expected_calibration_error': 0.27256}",0.167762,1.182655,1.0,1.0,0.847028,0.847028,0.152972,3.424104,30.695133,0.5,0.522727,0.321028,0.412959,0.27256,2.784982,16.199519,0.0,0.187311,0.068824,0.161845,0.161845
strict_known_only,phase_cued_retrieval,307,rope_relative,rope,4,2,4,0.0,4,12.0,8.0,-1.0,"{'row_count': 2.0, 'loss': 7.184162, 'perplexity': 1318.384053, 'top1_accuracy': 0.5, 'mrr': 0.75, 'mean_target_probability': 0.150593, 'mean_top1_confidence': 0.650591, 'expected_calibration_error': 0.849407}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.184162,1318.384053,0.5,0.75,0.150593,0.650591,0.849407,7.92899,2776.622254,0.0,0.027783,0.000981,0.30793,0.30793
