support_policy,task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,test_support_known_fraction_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
fallback_mod16,phase_cued_retrieval,no_position,5,0,0.0,4.0,8.0,0.0,0.266694,0.084364,0.523614,1.354358,1.08899,1.781676,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.235629,1.212894,0.55521,2.399389,8.896949,1.720082,23.005352,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.39154,0.578948,0.531848,0.492324,0.581511,0.432189,0.370786,0.489961,1.584039,0.983089,2.15377,6.228986,2.894844,9.914068,0.75,0.55,0.95,0.77261,0.632522,0.952083,0.394084,0.302256,0.482337,0.462267,0.418223,0.506834,0.396975,0.28874,0.498841
fallback_mod16,phase_cued_retrieval,sinusoidal,5,0,2.4,4.0,6.8,0.0,0.233144,0.025412,0.480168,1.317829,1.039348,1.745147,0.95,0.85,1.0,0.975,0.925,1.0,0.854911,0.719709,0.964934,0.892788,0.807943,0.964934,0.1239,0.035066,0.216722,1.671902,0.548506,3.773061,75.063403,1.713389,221.459751,0.9,0.7,1.0,0.95,0.85,1.0,0.531259,0.491145,0.587499,0.631256,0.510039,0.794642,0.459677,0.407507,0.494131,2.956875,1.029917,5.86297,1140.750614,3.212463,3410.218738,0.65,0.3,0.95,0.708721,0.454257,0.952083,0.32736,0.143115,0.482096,0.567761,0.452938,0.744034,0.526776,0.337376,0.747311
fallback_mod16,phase_cued_retrieval,alibi,5,0,0.0,4.0,8.0,0.0,0.266694,0.084364,0.544464,1.354358,1.065574,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.231641,1.212894,0.551858,2.399389,8.896949,1.713389,23.012045,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.418419,0.579923,0.531848,0.492324,0.587499,0.432189,0.376389,0.489961,1.584039,0.962478,2.2056,6.228986,2.894844,9.914068,0.75,0.6,0.95,0.77261,0.598007,0.952083,0.394084,0.306073,0.482096,0.462267,0.418223,0.50631,0.396975,0.28874,0.500615
fallback_mod16,phase_cued_retrieval,rope_relative,5,0,2.4,3.4,8.0,0.0,0.39515,0.10696,0.68334,1.567427,1.117282,1.994745,0.95,0.85,1.0,0.975,0.925,1.0,0.744602,0.583937,0.904984,0.78248,0.634577,0.917683,0.234208,0.095016,0.394874,0.889749,0.549535,1.460197,2.956649,1.720082,5.191145,0.9,0.7,1.0,0.95,0.85,1.0,0.463886,0.294122,0.581511,0.479388,0.348202,0.571372,0.486955,0.412501,0.558404,1.944859,1.029917,2.82692,12.248802,3.245783,24.692765,0.65,0.35,0.95,0.688615,0.390276,0.952083,0.335522,0.188948,0.466096,0.41542,0.278296,0.50631,0.374435,0.235284,0.500615
fallback_mod16,phase_cued_retrieval,phasewrap_bias,5,0,0.0,4.0,8.0,0.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.753384,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.718474,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.227652,1.212894,0.548506,2.399389,8.896949,1.713389,22.960388,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.418419,0.589087,0.531848,0.492324,0.584017,0.432189,0.374416,0.489961,1.584039,0.946868,2.2056,6.228986,2.928164,9.901286,0.75,0.6,0.95,0.77261,0.588266,0.952083,0.394084,0.306073,0.477362,0.462267,0.414386,0.506834,0.396975,0.28874,0.500615
fallback_mod16,phase_cued_retrieval,phasewrap_adapter,5,0,0.0,4.0,8.0,0.0,0.266694,0.084364,0.523614,1.354358,1.08899,1.729968,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.231641,1.212894,0.551858,2.429632,8.896949,1.737156,23.012045,0.9,0.7,1.0,0.904545,0.713636,1.0,0.499943,0.400704,0.587499,0.531848,0.493912,0.584017,0.432189,0.374416,0.482385,1.584039,0.978087,2.2056,6.228986,2.894844,10.326156,0.75,0.55,0.95,0.77261,0.593137,0.952083,0.394084,0.306073,0.482096,0.462267,0.414386,0.501859,0.396975,0.293334,0.500615
fallback_mod16,exact_offset_passkey,no_position,5,0,0.0,10.6,-2.0,1.0,5.482022,1.706897,10.22499,200226.742801,28.211764,600200.200001,0.65,0.3,0.95,0.692648,0.393265,0.952632,0.490143,0.180286,0.85,0.685014,0.35076,1.0,0.369268,0.152141,0.634254,6.998772,2.027684,12.066251,400034.003233,34.391935,800031.832368,0.6,0.3,0.9,0.632196,0.34897,0.911111,0.422327,0.105313,0.721063,0.661104,0.303229,1.0,0.418979,0.180083,0.676854,15.456043,7.848172,23.063914,69959418511.65758,200000126.375581,209078255191.5689,0.2,0.05,0.35,0.252668,0.10428,0.407469,0.115099,0.019203,0.210994,0.64431,0.277404,1.0,0.611215,0.372431,0.85
fallback_mod16,exact_offset_passkey,sinusoidal,5,0,9.6,3.4,1.8,1.0,1.393389,0.007426,4.151523,200.811978,1.007465,600.407601,0.95,0.85,1.0,0.952632,0.857895,1.0,0.938329,0.842617,0.992535,0.988329,0.976516,0.997047,0.061671,0.007241,0.154401,0.042583,0.011303,0.08857,1.044594,1.012678,1.09161,1.0,1.0,1.0,1.0,1.0,1.0,0.95939,0.916667,0.986765,0.95939,0.917811,0.987749,0.04061,0.012251,0.082189,6.001017,0.496371,16.300364,69559418395.695,1.74223,208678255181.2794,0.5,0.2,0.8,0.650871,0.31928,0.883333,0.507217,0.214753,0.765626,0.818601,0.64566,0.954154,0.354608,0.098359,0.674759
fallback_mod16,exact_offset_passkey,alibi,5,0,0.2,10.6,-1.2,1.0,5.302353,1.47811,9.077478,200211.761521,13.230483,600200.200001,0.65,0.25,0.9,0.692648,0.393265,0.952632,0.48998,0.17996,0.8,0.667541,0.333287,1.0,0.351795,0.119335,0.568922,6.830163,1.762684,11.897642,400015.884308,18.055173,800013.702233,0.6,0.3,0.9,0.632196,0.260081,0.911111,0.42399,0.129845,0.702928,0.649218,0.291343,1.0,0.407093,0.15631,0.71575,15.201587,6.5573,23.063914,69959418437.6047,200000041.077824,208878255209.14117,0.2,0.05,0.35,0.252821,0.09907,0.407622,0.114955,0.015844,0.210994,0.635264,0.268358,1.0,0.60217,0.289603,0.85
fallback_mod16,exact_offset_passkey,rope_relative,5,0,9.6,4.0,0.4,1.0,1.735319,0.140755,4.26853,201.394791,1.174831,600.837171,0.95,0.85,1.0,0.952632,0.857895,1.0,0.733775,0.511882,0.932698,0.783775,0.575231,0.990602,0.266225,0.067302,0.466865,0.611825,0.251085,0.961312,1.97935,1.349706,2.741621,1.0,1.0,1.0,1.0,1.0,1.0,0.638638,0.435104,0.851847,0.638638,0.436387,0.851847,0.361362,0.146896,0.559044,6.096917,0.878726,16.328658,69559418395.59448,2.430199,208678255181.3893,0.8,0.4,1.0,0.809205,0.427614,1.0,0.356896,0.1778,0.50985,0.556896,0.38304,0.808126,0.643104,0.48845,0.851229
