task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,20,0.03,full_batch_adam,12,6,12,2.38513,-0.00894,2.344483,10.42788,0.166667,0.373184,0.105823,0.212345,0.045678,8.911512,7416.868741,0.0,0.016503,0.000137,0.212788,0.212788,8.918805,7471.154706,0.0,0.020974,0.000135,0.215709,0.215709
phase_cued_retrieval,307,sinusoidal,sinusoidal,20,0.03,full_batch_adam,12,6,12,2.386285,0.009291,2.346184,10.445628,0.166667,0.373184,0.105676,0.212579,0.045913,8.915839,7449.029063,0.0,0.016503,0.000137,0.213003,0.213003,8.922356,7497.730538,0.0,0.020974,0.000134,0.21585,0.21585
phase_cued_retrieval,307,alibi,alibi,20,0.03,full_batch_adam,12,6,12,2.386059,0.08325,2.345893,10.442599,0.166667,0.373184,0.105683,0.212433,0.045766,8.914906,7442.08384,0.0,0.016503,0.000137,0.212862,0.212862,8.921353,7490.217731,0.0,0.020974,0.000135,0.215708,0.215708
phase_cued_retrieval,307,rope_relative,rope,20,0.03,full_batch_adam,12,6,12,2.386232,0.202386,2.34616,10.445378,0.166667,0.373184,0.105658,0.212468,0.045801,8.91527,7444.792166,0.0,0.016503,0.000137,0.212894,0.212894,8.921577,7491.894657,0.0,0.020974,0.000135,0.215728,0.215728
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,20,0.03,full_batch_adam,12,6,12,2.386339,-0.178251,2.346111,10.444872,0.166667,0.373184,0.105657,0.212394,0.045727,8.912458,7423.890234,0.0,0.016503,0.000137,0.212818,0.212818,8.919128,7473.566739,0.0,0.020974,0.000135,0.21568,0.21568
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,20,0.03,full_batch_adam,12,6,12,2.385847,-0.184151,2.345405,10.437503,0.166667,0.373184,0.105722,0.212331,0.045665,8.911099,7413.802879,0.0,0.016503,0.000137,0.212762,0.212762,8.918146,7466.233052,0.0,0.020974,0.000135,0.215658,0.215658
phase_cued_retrieval,311,no_position,no_position,20,0.03,full_batch_adam,12,6,12,2.442077,0.04592,2.385834,10.868123,0.166667,0.336147,0.097623,0.120417,0.062176,8.309374,4061.770026,0.0,0.019045,0.000253,0.126035,0.126035,7.80599,2455.264553,0.0,0.041237,0.008822,0.122229,0.122229
phase_cued_retrieval,311,sinusoidal,sinusoidal,20,0.03,full_batch_adam,12,6,12,2.402806,0.014147,2.334921,10.328647,0.25,0.393386,0.102675,0.123172,0.142237,8.166947,3522.57438,0.0,0.018541,0.000292,0.130688,0.130688,7.673736,2151.102618,0.0,0.034233,0.008657,0.126476,0.126476
phase_cued_retrieval,311,alibi,alibi,20,0.03,full_batch_adam,12,6,12,2.410186,-0.051488,2.343493,10.417559,0.25,0.382474,0.101764,0.122379,0.142889,8.191358,3609.620973,0.0,0.018462,0.000285,0.129651,0.129651,7.694299,2195.794773,0.0,0.034289,0.008654,0.125549,0.125549
phase_cued_retrieval,311,rope_relative,rope,20,0.03,full_batch_adam,12,6,12,2.421226,0.31852,2.356626,10.555283,0.25,0.38079,0.100307,0.121285,0.144147,8.234002,3766.879791,0.0,0.018889,0.000273,0.127928,0.127928,7.734667,2286.247641,0.0,0.034279,0.008733,0.124225,0.124225
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,20,0.03,full_batch_adam,12,6,12,2.444378,-0.150323,2.386561,10.876025,0.166667,0.336147,0.097046,0.119485,0.063222,8.313261,4077.589494,0.0,0.019084,0.000252,0.124585,0.124585,7.813264,2473.188739,0.0,0.041107,0.008759,0.121201,0.121201
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,20,0.03,full_batch_adam,12,6,12,2.447751,-0.153566,2.391404,10.928825,0.166667,0.336147,0.096577,0.119317,0.063493,8.325054,4125.961174,0.0,0.019084,0.000249,0.124304,0.124304,7.824615,2501.423252,0.0,0.041143,0.008767,0.120837,0.120837
phase_cued_retrieval,313,no_position,no_position,20,0.03,full_batch_adam,12,6,12,2.316708,-0.011,2.287162,9.846952,0.25,0.461905,0.102482,0.115364,0.134636,8.78758,6552.356042,0.0,0.01838,0.000155,0.116048,0.116048,8.756362,6350.963463,0.0,0.016371,0.000159,0.114833,0.114833
phase_cued_retrieval,313,sinusoidal,sinusoidal,20,0.03,full_batch_adam,12,6,12,2.316194,-0.417835,2.285679,9.832364,0.25,0.461905,0.102608,0.115482,0.134518,8.785068,6535.914515,0.0,0.01838,0.000156,0.116047,0.116047,8.754286,6337.794355,0.0,0.016378,0.000159,0.114911,0.114911
phase_cued_retrieval,313,alibi,alibi,20,0.03,full_batch_adam,12,6,12,2.317047,-0.432649,2.2882,9.857178,0.25,0.461905,0.102391,0.115308,0.134692,8.789725,6566.428281,0.0,0.01838,0.000155,0.116017,0.116017,8.758181,6362.525153,0.0,0.016371,0.000159,0.114764,0.114764
phase_cued_retrieval,313,rope_relative,rope,20,0.03,full_batch_adam,12,6,12,2.316339,-0.418539,2.28602,9.835709,0.25,0.461905,0.10258,0.11546,0.13454,8.785438,6538.333672,0.0,0.01838,0.000156,0.116057,0.116057,8.75441,6338.58024,0.0,0.016378,0.000159,0.11491,0.11491
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,20,0.03,full_batch_adam,12,6,12,2.315481,-0.234284,2.285657,9.832149,0.25,0.461905,0.10264,0.115562,0.134438,8.787527,6552.006772,0.0,0.01838,0.000155,0.116159,0.116159,8.756421,6351.340241,0.0,0.016357,0.000159,0.115023,0.115023
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,20,0.03,full_batch_adam,12,6,12,2.315358,-0.273121,2.285259,9.828229,0.25,0.461905,0.102673,0.115596,0.134404,8.78677,6547.053049,0.0,0.01838,0.000155,0.116155,0.116155,8.755724,6346.914293,0.0,0.016357,0.000159,0.115049,0.115049
phase_cued_retrieval,317,no_position,no_position,20,0.03,full_batch_adam,12,6,12,2.536178,-0.0527,2.531911,12.57752,0.083333,0.258601,0.082571,0.113225,0.029892,7.809263,2463.314141,0.0,0.044065,0.014424,0.113766,0.113766,8.353099,4243.311274,0.0,0.029907,0.00457,0.113741,0.113741
phase_cued_retrieval,317,sinusoidal,sinusoidal,20,0.03,full_batch_adam,12,6,12,2.535535,0.244086,2.530504,12.559831,0.083333,0.258601,0.082685,0.113161,0.029827,7.808794,2462.159922,0.0,0.044051,0.014425,0.113811,0.113811,8.35179,4237.760876,0.0,0.029907,0.004574,0.113787,0.113787
phase_cued_retrieval,317,alibi,alibi,20,0.03,full_batch_adam,12,6,12,2.535676,0.280378,2.530253,12.556679,0.083333,0.258601,0.082712,0.11347,0.030137,7.808118,2460.496148,0.0,0.044065,0.014479,0.114147,0.114147,8.351874,4238.11391,0.0,0.029907,0.00459,0.114112,0.114112
