task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,5,0,-0.00091,2.41326,2.336112,2.499695,11.22214,10.371606,12.110133,0.15,0.1,0.2,0.337688,0.27411,0.411602,0.094176,0.085505,0.103515,0.133401,0.110548,0.174563,0.05894,0.031535,0.095896,8.375811,8.055339,8.716689,4732.760447,3102.696495,6253.255281,0.0,0.0,0.0,0.025035,0.017387,0.035176,0.005346,0.000164,0.011038,0.134833,0.111277,0.173636,0.134833,0.110927,0.175633,8.473151,8.105486,8.776367,5118.548697,3528.092586,6601.547771,0.0,0.0,0.0,0.028506,0.020053,0.035745,0.0041,0.001476,0.007121,0.134407,0.110673,0.176619,0.134407,0.110673,0.174976,2.439759,2.370791,2.510368
phase_cued_retrieval,sinusoidal,5,0,-0.065151,2.402857,2.317477,2.488238,11.111562,10.15353,12.046197,0.166667,0.1,0.233333,0.349135,0.281518,0.421244,0.095204,0.086546,0.103849,0.134011,0.110626,0.171312,0.074965,0.030045,0.118211,8.347711,8.002678,8.692744,4628.201552,2886.325705,6298.492307,0.0,0.0,0.0,0.024931,0.017694,0.035168,0.005349,0.000176,0.011061,0.135818,0.110503,0.175048,0.135818,0.110951,0.176702,8.44678,7.980946,8.810617,5059.521363,3403.097573,6548.853643,0.0,0.0,0.0,0.027107,0.020003,0.033253,0.004068,0.001027,0.007024,0.135313,0.109726,0.17525,0.135313,0.110713,0.175913,2.43192,2.356711,2.505638
phase_cued_retrieval,alibi,5,0,-0.082613,2.404974,2.322336,2.490257,11.133156,10.203423,12.095872,0.166667,0.1,0.216667,0.346953,0.281518,0.412388,0.094985,0.08632,0.103457,0.133849,0.110712,0.173215,0.075161,0.030136,0.118546,8.353165,8.029476,8.720124,4649.872737,2974.416431,6270.63519,0.0,0.0,0.0,0.024918,0.017646,0.033935,0.005358,0.000177,0.011066,0.135643,0.111451,0.176851,0.135643,0.109356,0.17375,8.45147,8.107178,8.778142,5071.883036,3179.652369,6614.258451,0.0,0.0,0.0,0.027117,0.020875,0.033314,0.00407,0.001031,0.00695,0.135133,0.109535,0.171638,0.135133,0.111251,0.177487,2.433559,2.36328,2.502383
phase_cued_retrieval,rope_relative,5,0,-0.043664,2.407526,2.324197,2.488761,11.160833,10.245472,12.098174,0.166667,0.1,0.216667,0.346616,0.281518,0.411715,0.094699,0.086041,0.103357,0.133618,0.110643,0.17322,0.07534,0.031564,0.119377,8.361027,7.979131,8.692524,4676.463255,3125.854472,6267.182461,0.0,0.0,0.0,0.025004,0.018106,0.035551,0.005354,0.000176,0.010512,0.135236,0.109734,0.173704,0.135236,0.11,0.174426,8.459071,8.053459,8.776724,5086.526147,3626.304572,6524.252321,0.0,0.0,0.0,0.027116,0.02083,0.03331,0.004082,0.001476,0.007018,0.134827,0.110905,0.175385,0.134827,0.110905,0.173522,2.435737,2.365274,2.506201
phase_cued_retrieval,phasewrap_bias,5,0,-0.283959,2.411828,2.321929,2.492272,11.204087,10.360935,12.03593,0.15,0.1,0.216667,0.338084,0.274904,0.403897,0.094203,0.085503,0.102213,0.133338,0.110438,0.171692,0.059194,0.031743,0.097783,8.376465,8.010283,8.742646,4736.697593,3275.552798,6399.447927,0.0,0.0,0.0,0.025045,0.017911,0.035172,0.005339,0.000174,0.011067,0.134659,0.111099,0.174154,0.134659,0.109816,0.174154,8.473513,8.100498,8.743948,5117.716216,3598.023196,6373.804697,0.0,0.0,0.0,0.028469,0.020817,0.036033,0.004092,0.001036,0.007593,0.134323,0.110594,0.174765,0.134323,0.110415,0.175238,2.439493,2.357996,2.512123
phase_cued_retrieval,phasewrap_adapter,5,0,-0.290166,2.412546,2.330546,2.49586,11.212017,10.292058,12.148333,0.15,0.1,0.2,0.338084,0.275301,0.408672,0.094132,0.082933,0.102064,0.133301,0.109663,0.171251,0.059231,0.03017,0.099385,8.378406,8.062732,8.719293,4743.395467,2933.708668,6547.053049,0.0,0.0,0.0,0.025045,0.01777,0.035172,0.005339,0.00017,0.011088,0.134592,0.109812,0.174119,0.134592,0.111042,0.173719,8.475404,8.147815,8.743354,5120.847646,3702.075902,6592.695764,0.0,0.0,0.0,0.028476,0.020905,0.036047,0.004093,0.001031,0.00676,0.134253,0.110524,0.175233,0.134253,0.110524,0.175233,2.44003,2.370147,2.510027
exact_offset_passkey,no_position,5,0,-0.00091,2.376551,2.243591,2.492577,10.866089,9.477221,12.106741,0.183333,0.083333,0.283333,0.360967,0.25999,0.462342,0.099189,0.084283,0.115839,0.131349,0.104023,0.1698,0.081558,0.020834,0.153552,8.372335,7.945705,8.801376,4927.106214,3156.088126,6893.423587,0.0,0.0,0.0,0.023542,0.01276,0.0388,0.005241,0.000149,0.011779,0.130966,0.104136,0.170466,0.130966,0.104681,0.170466,8.364038,7.763901,8.896302,5262.463506,2735.960573,8189.121706,0.016667,0.0,0.05,0.040906,0.021963,0.07322,0.004397,0.001303,0.007039,0.127629,0.104137,0.156995,0.110962,0.05995,0.156995,2.404226,2.295386,2.497378
exact_offset_passkey,sinusoidal,5,0,0.103938,2.387583,2.27716,2.4928,10.972286,9.792328,12.109203,0.183333,0.083333,0.283333,0.35819,0.25999,0.459564,0.097911,0.084297,0.114347,0.130255,0.104315,0.161044,0.08329,0.021241,0.151207,8.380003,7.884472,8.802054,4919.047633,3012.305586,6896.97293,0.0,0.0,0.0,0.023639,0.012846,0.039024,0.005285,0.000163,0.010684,0.130795,0.103942,0.164711,0.130795,0.104332,0.164711,8.374206,7.775111,8.933137,5276.553671,2830.897421,8490.257696,0.016667,0.0,0.05,0.040815,0.022026,0.073656,0.004385,0.001566,0.007461,0.127745,0.104209,0.157209,0.111079,0.064754,0.15175,2.410304,2.298654,2.497331
exact_offset_passkey,alibi,5,0,0.012437,2.379822,2.261148,2.492448,10.897319,9.346807,11.928663,0.183333,0.083333,0.283333,0.35819,0.25999,0.460953,0.098684,0.084256,0.116299,0.130718,0.103703,0.163867,0.081568,0.020744,0.142767,8.383959,7.957286,8.787923,4972.295587,3036.003742,7308.311972,0.0,0.0,0.0,0.023515,0.012737,0.037587,0.00527,0.00016,0.011868,0.130307,0.10368,0.171521,0.130307,0.103868,0.165189,8.377875,7.765311,8.94117,5319.141771,2782.877972,8243.735718,0.016667,0.0,0.05,0.040889,0.021621,0.073919,0.004389,0.001298,0.007464,0.127078,0.103698,0.156713,0.110411,0.070178,0.162483,2.408411,2.300851,2.488566
exact_offset_passkey,rope_relative,5,0,0.246886,2.383865,2.274351,2.493378,10.937138,9.71612,12.097736,0.183333,0.083333,0.283333,0.35819,0.25999,0.459564,0.098201,0.084282,0.112201,0.130526,0.098192,0.163105,0.082443,0.026477,0.150137,8.381584,7.902957,8.82953,4939.356415,2842.737614,6721.59118,0.0,0.0,0.0,0.023565,0.012823,0.038806,0.005276,0.000184,0.010391,0.130515,0.104192,0.170362,0.130515,0.104059,0.164362,8.37631,7.777278,8.895436,5297.89842,2516.918247,8070.31438,0.016667,0.0,0.05,0.040841,0.021397,0.073657,0.004386,0.001579,0.007287,0.127368,0.104007,0.156648,0.110702,0.059776,0.16233,2.411388,2.309909,2.497376
exact_offset_passkey,phasewrap_bias,5,0,-0.251118,2.399269,2.28334,2.494015,11.092993,9.906704,12.105105,0.166666,0.083333,0.266666,0.344301,0.25999,0.445675,0.096407,0.084211,0.111899,0.12834,0.103245,0.160832,0.067549,0.020461,0.114637,8.406257,7.937407,8.809903,5013.274835,3142.785741,6831.134741,0.0,0.0,0.0,0.023613,0.012762,0.03903,0.005382,0.000148,0.010605,0.129867,0.103533,0.164433,0.129867,0.103744,0.164537,8.404405,7.75191,8.957217,5396.089517,3267.106941,8596.754152,0.016667,0.0,0.033333,0.040859,0.022103,0.073174,0.004368,0.001307,0.00735,0.127018,0.103505,0.150817,0.110351,0.053428,0.150397,2.416928,2.307572,2.489741
exact_offset_passkey,phasewrap_adapter,5,0,-0.245417,2.398809,2.298038,2.492479,11.088067,9.89271,11.949537,0.166666,0.083333,0.25,0.347078,0.25999,0.448453,0.096462,0.084272,0.111951,0.128358,0.103473,0.161036,0.067609,0.02071,0.114704,8.404512,7.880494,8.784484,5004.201614,3135.921103,6791.695162,0.0,0.0,0.0,0.023613,0.012762,0.03903,0.005379,0.000149,0.012181,0.12994,0.103787,0.164708,0.12994,0.103717,0.164511,8.402664,7.862053,8.909256,5388.528815,2964.317774,8217.179601,0.016667,0.0,0.05,0.040857,0.021408,0.072478,0.00437,0.001323,0.00725,0.127068,0.103586,0.156605,0.110401,0.059159,0.150589,2.416335,2.315752,2.498167
tiny_text_fact_qa,no_position,5,0,-0.00091,1.800355,1.799059,1.801941,6.051806,6.044003,6.063147,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.165434,0.165207,0.165585,0.174543,0.172322,0.17643,0.007876,0.006088,0.009984,1.800354,1.799058,1.802061,6.051802,6.043999,6.063144,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.165434,0.165207,0.165572,0.174543,0.172322,0.176863,0.007876,0.005717,0.009764,1.800354,1.79905,1.802054,6.051803,6.043273,6.063145,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.165434,0.165211,0.165585,0.174543,0.172641,0.176543,0.007876,0.006088,0.010258,1.80236,1.800889,1.80445
