task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,80,0.03,full_batch_adam,12,6,12,1.534122,-0.00894,1.525098,4.595592,0.333333,0.579167,0.263946,0.329537,0.020975,10.829097,50468.093299,0.0,0.013083,0.000183,0.280844,0.280844,11.605594,109709.795777,0.0,0.018805,8e-05,0.264833,0.264833
phase_cued_retrieval,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,1.543852,-0.045227,1.537234,4.651704,0.416667,0.620833,0.256768,0.315048,0.101619,11.55498,104295.135192,0.0,0.015362,2.5e-05,0.304099,0.304099,11.976727,159010.751289,0.0,0.018848,1.3e-05,0.280529,0.280529
phase_cued_retrieval,307,alibi,alibi,80,0.03,full_batch_adam,12,6,12,1.547647,-0.474557,1.542879,4.678039,0.333333,0.579167,0.254546,0.3145,0.018833,11.433758,92388.539609,0.0,0.011304,3.8e-05,0.297344,0.297344,11.766309,128837.671958,0.0,0.020157,3e-05,0.277126,0.277126
phase_cued_retrieval,307,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,1.573227,0.533076,1.567397,4.794155,0.333333,0.551389,0.245584,0.303299,0.030034,11.86565,142293.953042,0.0,0.015131,1.1e-05,0.287439,0.287439,11.951073,154983.415801,0.0,0.020726,3.4e-05,0.268892,0.268892
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,12,6,12,1.550602,-0.732402,1.546782,4.696332,0.416667,0.614683,0.254237,0.314731,0.101936,11.897568,146908.863428,0.0,0.015139,2.1e-05,0.275799,0.275799,12.191584,197123.193898,0.0,0.019726,1.5e-05,0.258733,0.258733
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,12,6,12,1.543072,-0.739346,1.534444,4.638744,0.333333,0.573016,0.256079,0.315554,0.01778,11.295059,80423.265775,0.0,0.016613,2.6e-05,0.285361,0.285361,11.739114,125381.149245,0.0,0.019322,1e-05,0.276551,0.276551
phase_cued_retrieval,311,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.645377,0.04592,0.637748,1.892214,0.75,0.875,0.571631,0.573575,0.176425,12.853862,382262.322485,0.0,0.016082,1.8e-05,0.438544,0.438544,11.919979,150238.408155,0.0,0.021709,6.5e-05,0.385817,0.385817
phase_cued_retrieval,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.616556,-0.173073,0.608908,1.838422,0.75,0.875,0.585687,0.587443,0.162557,12.792842,359634.006222,0.0,0.015906,4.1e-05,0.453107,0.453107,12.261752,211451.659608,0.0,0.020713,7.5e-05,0.438453,0.438453
phase_cued_retrieval,311,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.628214,0.173613,0.620556,1.859962,0.666667,0.833333,0.58024,0.583196,0.08347,13.154594,516377.581563,0.0,0.015782,2.2e-05,0.467933,0.467933,12.270385,213285.140217,0.0,0.020485,6.6e-05,0.435588,0.435588
phase_cued_retrieval,311,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.632384,0.618629,0.624587,1.867475,0.75,0.875,0.578442,0.581378,0.168622,13.190041,535010.054256,0.0,0.015658,1.8e-05,0.463206,0.463206,12.272021,213634.331255,0.0,0.020586,6.6e-05,0.427877,0.427877
