task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,5,0,-0.00091,1.288717,0.907614,1.587209,3.916167,2.655117,5.029124,0.416667,0.25,0.583333,0.62004,0.500079,0.772936,0.345719,0.227205,0.451291,0.361489,0.246565,0.488121,0.058613,0.013553,0.115314,11.941468,11.271964,12.607009,207118.14567,83551.110045,332215.509111,0.0,0.0,0.0,0.019428,0.014097,0.024762,0.000154,1.8e-05,0.000339,0.327807,0.24788,0.398744,0.327807,0.246381,0.398744,11.722574,10.878761,12.441617,163611.800581,76982.660171,254977.966771,0.0,0.0,0.0,0.029646,0.018632,0.043902,0.003481,5.6e-05,0.009305,0.322255,0.241672,0.386434,0.322255,0.233261,0.387052,1.294971,0.966008,1.616818
phase_cued_retrieval,sinusoidal,5,0,-0.098372,1.28991,0.90444,1.566314,3.934125,2.495089,5.279151,0.45,0.3,0.583333,0.640317,0.492143,0.754722,0.344143,0.225588,0.479232,0.35848,0.243666,0.482862,0.107549,0.05431,0.149299,12.081639,11.700219,12.529121,201698.027787,114022.665612,295028.007585,0.0,0.0,0.0,0.017558,0.015524,0.020873,0.000114,2e-05,0.000289,0.326449,0.24987,0.400037,0.326449,0.240923,0.411671,11.787573,11.094866,12.21282,156366.36471,93914.307792,202330.300832,0.0,0.0,0.0,0.029217,0.017988,0.042773,0.003607,2.2e-05,0.009805,0.327357,0.226508,0.413494,0.327357,0.239198,0.404847,1.295698,0.957692,1.624681
phase_cued_retrieval,alibi,5,0,-0.389494,1.289775,0.952824,1.620041,3.929982,2.651476,5.109548,0.416667,0.283333,0.566667,0.623651,0.508135,0.736428,0.344856,0.234848,0.485197,0.359602,0.245785,0.481964,0.057064,0.025172,0.08645,12.16156,11.598754,12.745704,241173.183992,108686.208094,373660.159889,0.0,0.0,0.0,0.016601,0.013447,0.020595,0.000114,1.5e-05,0.000292,0.335934,0.24561,0.419504,0.335934,0.236074,0.416723,11.865173,11.297848,12.365841,176239.247596,94207.137567,250664.251531,0.0,0.0,0.0,0.032473,0.018675,0.049092,0.003387,3.2e-05,0.009598,0.33378,0.252162,0.413656,0.33378,0.252162,0.415398,1.295242,0.923263,1.623378
phase_cued_retrieval,rope_relative,5,0,-0.105843,1.295329,0.912737,1.628463,3.953108,2.558229,5.294306,0.416667,0.266667,0.583333,0.614484,0.491746,0.765,0.343182,0.233002,0.492848,0.357458,0.236766,0.487053,0.059208,0.018754,0.114883,12.232767,11.657829,12.792726,259391.541844,116771.010983,420466.788331,0.0,0.0,0.0,0.017948,0.015366,0.021323,0.000123,8e-06,0.000328,0.335114,0.247935,0.404933,0.335114,0.247935,0.410746,11.895319,11.203965,12.585898,197591.814072,90950.628382,317898.099011,0.0,0.0,0.0,0.02975,0.019018,0.043747,0.003389,3.4e-05,0.009274,0.333581,0.253957,0.411285,0.333581,0.253957,0.411285,1.300856,0.916508,1.632208
phase_cued_retrieval,phasewrap_bias,5,0,-0.716368,1.23067,0.873902,1.589561,3.730147,2.348689,5.233426,0.516667,0.316667,0.666667,0.686706,0.545913,0.802659,0.360453,0.26017,0.475747,0.374726,0.243591,0.490524,0.15514,0.076628,0.224736,11.293,9.617483,12.518308,194448.119855,39877.3916,365851.944033,0.0,0.0,0.0,0.018643,0.015005,0.025592,0.002988,1.2e-05,0.00892,0.374088,0.245531,0.47223,0.374088,0.252667,0.483638,10.931267,9.468977,12.255449,128256.122091,45134.800597,210535.435655,0.0,0.0,0.0,0.02734,0.018415,0.036498,0.001541,2.6e-05,0.004082,0.366151,0.235897,0.485243,0.366151,0.213711,0.488858,1.238335,0.904553,1.56043
phase_cued_retrieval,phasewrap_adapter,5,0,-0.708277,1.225955,0.877148,1.574762,3.714666,2.454133,5.272163,0.533333,0.3,0.733333,0.695595,0.504801,0.856389,0.365035,0.244762,0.497905,0.378737,0.251899,0.498015,0.154596,0.040172,0.271749,11.019209,9.637092,12.221658,165173.080643,27102.101169,356368.529486,0.0,0.0,0.0,0.020003,0.016338,0.026037,0.002583,1.6e-05,0.007105,0.353537,0.240224,0.457409,0.353537,0.240224,0.457409,10.818248,9.249373,12.186133,116078.975455,31555.054405,183554.752858,0.0,0.0,0.0,0.032092,0.018266,0.052288,0.00334,1.6e-05,0.009556,0.347328,0.231431,0.437694,0.347328,0.228919,0.435811,1.235307,0.894418,1.604072
exact_offset_passkey,no_position,5,0,-0.00091,1.517288,0.624765,2.292085,6.438465,2.151058,10.519161,0.433333,0.133333,0.8,0.574829,0.318547,0.831111,0.354681,0.1166,0.608651,0.368203,0.119125,0.620391,0.066835,0.01244,0.145757,12.168959,11.152324,13.146025,329218.141314,99210.297566,692308.655149,0.0,0.0,0.0,0.035576,0.012582,0.068449,0.00342,4e-06,0.00838,0.273527,0.106135,0.462101,0.273527,0.127755,0.462097,11.752498,11.526588,11.95988,131506.095897,103983.171075,156783.667962,0.016667,0.0,0.05,0.041789,0.022282,0.072298,0.009547,0.001386,0.021771,0.252519,0.108888,0.388205,0.235852,0.108888,0.388205,1.522545,0.750344,2.294745
exact_offset_passkey,sinusoidal,5,0,0.114226,1.525741,0.642293,2.295431,6.461107,2.387655,10.534559,0.45,0.15,0.75,0.580385,0.326881,0.833889,0.350458,0.115424,0.632603,0.363171,0.117099,0.576659,0.088604,0.034781,0.172676,12.114136,11.411989,12.821723,312371.082063,98331.235098,664377.873159,0.0,0.0,0.0,0.03526,0.01263,0.063435,0.003045,5e-06,0.008628,0.28725,0.10313,0.460449,0.28725,0.121757,0.467509,11.770745,11.514824,12.029308,135281.306504,96088.285566,169301.278373,0.016667,0.0,0.05,0.04217,0.022352,0.071967,0.009767,0.001385,0.022453,0.24007,0.103534,0.374248,0.223404,0.122552,0.33856,1.531458,0.652093,2.298145
exact_offset_passkey,alibi,5,0,0.167766,1.515087,0.754647,2.290535,6.430619,2.141442,10.071142,0.433333,0.133333,0.75,0.576218,0.319936,0.838889,0.355759,0.117469,0.559859,0.368695,0.119386,0.621084,0.066384,0.012491,0.130186,12.225164,11.257478,12.973071,346263.832625,114857.348638,704123.350537,0.0,0.0,0.0,0.035429,0.012613,0.066942,0.003217,4e-06,0.008382,0.281097,0.107625,0.465172,0.281097,0.107625,0.471423,11.874077,11.536588,12.129217,150959.944498,104816.722353,185903.58122,0.016667,0.0,0.05,0.041625,0.021565,0.06929,0.009224,0.000698,0.022825,0.266525,0.131392,0.425091,0.249858,0.107955,0.414227,1.520257,0.764795,2.158042
exact_offset_passkey,rope_relative,5,0,0.268706,1.546728,0.776126,2.317329,6.566538,2.491124,10.641941,0.433333,0.183333,0.683333,0.57344,0.319936,0.826111,0.34268,0.10683,0.578531,0.356085,0.084532,0.638002,0.079135,0.012346,0.149203,12.124741,11.177272,13.123744,318882.559205,91374.820778,682425.757009,0.0,0.0,0.0,0.035177,0.012716,0.066619,0.00304,8e-06,0.008622,0.284546,0.101069,0.463326,0.284546,0.101069,0.468023,11.729997,11.496696,11.968396,129434.309967,99177.609523,152757.888595,0.016667,0.0,0.05,0.042007,0.02229,0.069997,0.009583,0.001387,0.023698,0.251009,0.123635,0.384256,0.234343,0.104077,0.384209,1.552863,0.785172,2.320555
exact_offset_passkey,phasewrap_bias,5,0,-0.355806,1.472157,0.740918,2.234561,6.229037,2.167076,10.290997,0.483333,0.2,0.766667,0.598163,0.346881,0.864167,0.366497,0.137783,0.595212,0.37862,0.139055,0.587159,0.10565,0.013099,0.18886,11.431369,10.034195,13.081269,435693.658191,25352.771316,1185418.586959,0.0,0.0,0.0,0.034214,0.012211,0.0661,0.005166,8.6e-05,0.010163,0.26925,0.118904,0.411242,0.26925,0.118904,0.429742,11.004394,9.96384,11.889108,94469.897234,28932.934166,151327.753335,0.0,0.0,0.0,0.029985,0.022251,0.038441,0.005668,0.000558,0.011789,0.285243,0.128529,0.436191,0.285243,0.12853,0.403695,1.479543,0.829004,2.160315
exact_offset_passkey,phasewrap_adapter,5,0,-0.346612,1.480323,0.717365,2.243278,6.259069,2.397108,10.077018,0.483333,0.183333,0.75,0.599829,0.348547,0.85172,0.362382,0.133286,0.591479,0.374464,0.134536,0.582603,0.109806,0.025429,0.208807,11.867483,10.744046,13.242416,480274.479921,54997.653486,1245256.720624,0.0,0.0,0.0,0.034548,0.012574,0.066085,0.005099,6e-06,0.010192,0.26456,0.138692,0.431427,0.26456,0.112794,0.416325,11.532715,11.14136,11.928545,113643.750964,70509.862845,158116.009515,0.0,0.0,0.0,0.029917,0.022038,0.038665,0.006165,0.000516,0.014199,0.277178,0.119997,0.434359,0.277178,0.155487,0.413958,1.488573,0.838566,2.248303
tiny_text_fact_qa,no_position,5,0,-0.00091,1.792132,1.792112,1.79215,6.002235,6.002125,6.002364,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166953,0.166775,0.167135,0.000286,0.000126,0.000459,1.792132,1.792112,1.792153,6.002235,6.002106,6.00234,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166953,0.166797,0.167135,0.000286,0.000131,0.000459,1.792132,1.792108,1.792152,6.002235,6.002106,6.002357,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166953,0.166779,0.167126,0.000286,0.00013,0.000459,1.792133,1.792112,1.792151
tiny_text_fact_qa,sinusoidal,5,0,0.226447,1.792131,1.792112,1.792151,6.002231,6.002103,6.002332,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166602,0.166608,0.166955,0.166772,0.167159,0.000289,0.000122,0.00048,1.792131,1.792111,1.792152,6.002231,6.002103,6.002353,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166955,0.166772,0.167142,0.000289,0.000128,0.000492,1.792131,1.79211,1.792152,6.002231,6.002103,6.002347,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166955,0.166805,0.167142,0.000289,0.000129,0.00048,1.792132,1.792111,1.792154
tiny_text_fact_qa,alibi,5,0,0.525778,1.792133,1.79211,1.792152,6.002242,6.002095,6.00238,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166954,0.166792,0.16713,0.000288,0.000126,0.000463,1.792133,1.792111,1.792155,6.002242,6.002112,6.002356,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166954,0.166774,0.167146,0.000288,0.000108,0.000463,1.792133,1.792111,1.792156,6.002242,6.002112,6.002356,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166954,0.166792,0.167106,0.000288,0.000126,0.000479,1.792134,1.792113,1.792157
tiny_text_fact_qa,rope_relative,5,0,0.127048,1.792132,1.792112,1.792152,6.002234,6.002105,6.002351,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166602,0.166608,0.166953,0.166792,0.167105,0.000286,0.000126,0.00046,1.792132,1.792112,1.792152,6.002234,6.002105,6.002342,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166953,0.166796,0.167136,0.000286,0.000122,0.000456,1.792132,1.79211,1.792152,6.002234,6.002105,6.002348,0.166667,0.166667,0.166667,0.408333,0.408333,0.408333,0.166605,0.166601,0.166608,0.166953,0.166811,0.167145,0.000286,0.00013,0.000478,1.792133,1.792115,1.792154
