task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.076297,1.0,0.076327,1.079315,1.0,1.0,0.938841,0.938841,0.061159,23.332552,13589347827.418558,0.0,0.132147,0.000185,0.884237,0.884237,22.959684,9359746192.307058,0.0,0.092668,0.006679,0.791254,0.791254
phase_cued_retrieval,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,1.3e-05,1.902345,1.2e-05,1.000012,1.0,1.0,0.999988,0.999988,1.2e-05,25.212978,89095813133.98044,0.0,0.125213,0.0,0.876822,0.876822,24.67906,52237161886.35783,0.0,0.076529,0.0,0.864479,0.864479
phase_cued_retrieval,307,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.000316,1.604555,0.000298,1.000298,1.0,1.0,0.999702,0.999702,0.000298,22.730764,7444665930.171582,0.0,0.105853,1e-06,0.854206,0.854206,26.091146,214407788075.39395,0.0,0.064949,0.0,0.928525,0.928525
phase_cued_retrieval,307,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.067118,1.947477,0.067063,1.069362,1.0,1.0,0.944825,0.944825,0.055175,24.814745,59828322532.59151,0.0,0.129452,4e-06,0.843153,0.843153,24.272433,34784332567.73964,0.0,0.086813,0.001824,0.754413,0.754413
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,12,6,12,0.000504,0.12217,0.000467,1.000467,1.0,1.0,0.999533,0.999533,0.000467,25.419201,109501214023.27217,0.0,0.115675,0.0,0.959193,0.959193,22.114017,4017867550.481637,0.083333,0.162221,0.034407,0.865327,0.879849
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,12,6,12,0.000856,0.107167,0.000772,1.000772,1.0,1.0,0.999229,0.999229,0.000771,21.558384,2305086947.696571,0.0,0.123192,0.001506,0.873006,0.873006,21.382393,1933104687.726259,0.083333,0.165219,0.039834,0.81591,0.750796
phase_cued_retrieval,311,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.009004,1.0,0.006816,1.006839,1.0,1.0,0.993255,0.993255,0.006745,24.374389,38517921548.112885,0.0,0.050512,0.0,0.727874,0.727874,20.116905,545331804.899722,0.083333,0.200099,0.09556,0.883569,0.800235
phase_cued_retrieval,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.074325,2.162909,0.073967,1.076771,1.0,1.0,0.931382,0.931382,0.068618,23.810778,21922468082.84525,0.0,0.058962,0.0,0.809923,0.809923,19.455423,281438024.524124,0.166667,0.233528,0.110426,0.840587,0.786556
phase_cued_retrieval,311,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.55073,2.579203,0.550424,1.733989,0.75,0.875,0.641094,0.709428,0.166386,25.728915,149253913569.46927,0.0,0.048971,0.0,0.685825,0.685825,21.23318,1665147732.258658,0.083333,0.140449,0.059226,0.721178,0.637844
phase_cued_retrieval,311,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.055098,2.49038,0.045609,1.046665,1.0,1.0,0.957013,0.957013,0.042987,22.08005,3883682934.73474,0.0,0.055475,0.0,0.772333,0.772333,19.559251,312230072.377919,0.083333,0.186233,0.105384,0.838724,0.75539
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,12,6,12,0.350898,-0.263053,0.349833,1.418831,0.833333,0.916667,0.766316,0.801912,0.16677,21.204256,1617674967.059877,0.0,0.093964,0.003441,0.814997,0.814997,16.777162,19329868.975796,0.083333,0.237627,0.060047,0.860794,0.839415
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,12,6,12,0.358433,-0.241982,0.357039,1.429092,0.833333,0.916667,0.766453,0.810309,0.201797,21.391079,1949967724.026723,0.0,0.093964,0.003333,0.838936,0.838936,16.830531,20389517.724584,0.083333,0.231436,0.061476,0.857316,0.773982
phase_cued_retrieval,313,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.606165,1.0,0.601093,1.824112,0.916667,0.933333,0.678897,0.724916,0.221638,25.10827,80238537369.2274,0.0,0.060603,0.0,0.983238,0.983238,25.338276,100988835216.80415,0.0,0.047303,0.0,0.951258,0.951258
phase_cued_retrieval,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.089724,2.341074,0.08781,1.091781,1.0,1.0,0.919786,0.919786,0.080214,17.183345,29015610.899589,0.0,0.081279,0.006234,0.81015,0.81015,19.566798,314595428.534963,0.0,0.052342,0.001465,0.788764,0.788764
phase_cued_retrieval,313,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.432208,-0.758565,0.388061,1.47412,0.916667,0.944444,0.788267,0.789833,0.141073,26.917318,489827041263.4923,0.0,0.071378,0.0,0.996592,0.996592,26.633229,368692661064.6062,0.0,0.048902,0.0,0.956128,0.956128
