task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,5,0,1.0,0.138094,0.003694,0.363219,1.183304,1.004033,1.495882,0.983333,0.95,1.0,0.986667,0.96,1.0,0.920966,0.79506,0.996185,0.93017,0.822671,0.996185,0.059141,0.003815,0.146401,23.483999,21.422689,24.924878,41177388083.10152,13267865109.458334,70490662630.8746,0.033333,0.0,0.1,0.108065,0.058585,0.164527,0.033371,0.0,0.1,0.858086,0.781508,0.928959,0.824752,0.720464,0.923837,23.013285,21.508082,24.518488,31577012644.88039,4539375897.592005,62574316729.52385,0.016667,0.0,0.05,0.096087,0.056454,0.148132,0.020461,1.4e-05,0.058672,0.867822,0.809717,0.928285,0.851156,0.790693,0.916336,0.139738,0.00469,0.288244
phase_cued_retrieval,sinusoidal,5,0,2.062314,0.043887,0.000146,0.07565,1.045578,1.011917,1.078705,1.0,1.0,1.0,1.0,1.0,1.0,0.959823,0.930106,0.989496,0.959823,0.930106,0.986089,0.040177,0.01046,0.066532,21.828022,18.896608,24.288477,25820410627.10276,3672219130.078464,61403271134.3541,0.0,0.0,0.0,0.101852,0.076349,0.127355,0.006309,2e-06,0.016428,0.833249,0.75404,0.925884,0.833249,0.739319,0.925884,21.040416,19.603334,23.048785,11151261498.977858,322841722.50526,31926919562.90917,0.05,0.0,0.116667,0.122865,0.073006,0.179512,0.03837,0.000314,0.082519,0.846932,0.821424,0.87201,0.819459,0.790902,0.848458,0.044393,0.01168,0.077153
phase_cued_retrieval,alibi,5,0,1.239357,0.19174,0.00412,0.37936,1.245704,1.00416,1.535235,0.933333,0.85,1.0,0.963889,0.913889,1.0,0.882045,0.74225,0.996096,0.896025,0.779873,0.992405,0.065319,0.003947,0.123043,24.309047,22.244325,25.949574,145380990370.45956,18134024150.927002,324031619845.51917,0.033333,0.0,0.1,0.103263,0.059628,0.17087,0.032962,0.0,0.098885,0.866594,0.764042,0.961542,0.833261,0.70498,0.964829,24.467447,22.915893,26.047505,132131128325.68127,16177097590.584705,267616228725.01678,0.016667,0.0,0.05,0.083975,0.061829,0.113547,0.013098,1e-06,0.036787,0.844709,0.747534,0.938327,0.828042,0.706249,0.937087,0.203605,0.007053,0.393238
phase_cued_retrieval,rope_relative,5,0,2.329988,0.133275,0.031848,0.258468,1.152935,1.046507,1.307278,0.983333,0.95,1.0,0.991667,0.975,1.0,0.900896,0.81411,0.974016,0.903866,0.830128,0.965515,0.079468,0.036923,0.128077,23.596037,22.39999,25.024332,59472951450.90132,5183912544.549983,143394265390.269,0.0,0.0,0.0,0.082184,0.062413,0.10258,0.000788,1e-06,0.001732,0.810801,0.73497,0.87319,0.810801,0.744616,0.871023,22.718553,21.065026,23.808943,14947914925.649338,6059427204.106153,25237923165.44977,0.033333,0.0,0.066666,0.101248,0.059038,0.149389,0.038351,0.001026,0.080126,0.842699,0.7944,0.899149,0.809365,0.77163,0.847109,0.135639,0.035675,0.272202
phase_cued_retrieval,phasewrap_bias,5,0,-0.045451,0.192939,0.002522,0.433281,1.252055,1.002215,1.583453,0.916667,0.816667,1.0,0.953333,0.893333,1.0,0.881758,0.744291,0.997204,0.89929,0.782648,0.997501,0.064536,0.002499,0.126572,22.567729,20.778601,24.209037,33248090638.193897,1305337990.882165,66498040083.243835,0.033333,0.0,0.1,0.113116,0.066291,0.175275,0.034107,9.1e-05,0.100086,0.878502,0.837713,0.924105,0.845168,0.764878,0.920645,20.871427,18.911904,22.379299,3365193633.773824,1133950774.690511,5618574264.879927,0.05,0.016667,0.083333,0.139605,0.084056,0.204778,0.035692,0.007441,0.068733,0.871961,0.849969,0.893359,0.853923,0.826584,0.883627,0.193853,0.003774,0.434755
phase_cued_retrieval,phasewrap_adapter,5,0,-0.00478,0.196837,0.001062,0.445134,1.259518,1.001468,1.519843,0.916667,0.816667,1.0,0.953333,0.89,1.0,0.881892,0.741528,0.998829,0.901377,0.782441,0.998944,0.07093,0.001056,0.151454,22.384551,21.496913,24.065457,33047886784.56494,2118078522.038701,94656219643.21796,0.033333,0.0,0.1,0.111361,0.071099,0.163417,0.034385,0.000385,0.10075,0.851666,0.794363,0.895798,0.818333,0.692611,0.897551,21.342708,18.7146,23.716833,23362932911.207207,1030834591.652795,66910082587.472755,0.05,0.016667,0.083333,0.139233,0.083534,0.19188,0.037223,0.008136,0.061812,0.863871,0.832294,0.895448,0.817515,0.774717,0.861163,0.197576,0.001207,0.411641
exact_offset_passkey,no_position,5,0,1.0,0.057028,0.000259,0.14364,1.062558,1.000158,1.145535,0.966667,0.9,1.0,0.980556,0.941667,1.0,0.96101,0.905651,0.999852,0.966651,0.922575,0.999832,0.022498,0.000168,0.044861,23.801468,18.417646,27.387082,461357062487.91785,118128663408.46358,802292873538.0844,0.033333,0.0,0.1,0.09985,0.05612,0.166005,0.016999,0.0,0.050995,0.820362,0.670239,0.926167,0.821212,0.69055,0.926167,23.105386,20.694016,25.14496,64132978233.5931,8994266924.698246,158017489000.05203,0.05,0.0,0.1,0.121687,0.082545,0.167293,0.043874,0.000398,0.08735,0.816539,0.725218,0.892456,0.779558,0.683409,0.874527,0.057063,0.00018,0.14367
exact_offset_passkey,sinusoidal,5,0,1.867215,0.014464,0.000114,0.033354,1.014805,1.000084,1.034264,1.0,1.0,1.0,1.0,1.0,1.0,0.988086,0.970747,0.999891,0.988086,0.970721,0.999886,0.011914,8.9e-05,0.029284,25.651024,23.445945,27.413933,475757219079.3685,83963824281.5515,867550613877.1857,0.033333,0.0,0.1,0.110221,0.063772,0.153422,0.020719,0.0,0.062157,0.856846,0.740429,0.949739,0.848742,0.739497,0.948959,23.881753,22.106168,26.13917,128738597897.73071,6159342690.859591,329597473441.1986,0.016667,0.0,0.05,0.112878,0.07656,0.146043,0.019056,0.000996,0.050917,0.821335,0.716358,0.908326,0.804669,0.716358,0.877611,0.014534,0.000147,0.033538
exact_offset_passkey,alibi,5,0,1.264251,0.05412,0.007887,0.112804,1.057846,1.008036,1.122696,0.966667,0.9,1.0,0.983333,0.95,1.0,0.959951,0.920083,0.992947,0.964354,0.928819,0.992947,0.036906,0.009585,0.06795,24.240114,21.305403,26.532745,413691775400.1755,12972780420.940088,812840788006.4358,0.0,0.0,0.0,0.090523,0.059978,0.131062,0.018891,0.0,0.056669,0.757505,0.61437,0.873515,0.757505,0.61437,0.873515,24.382344,22.708287,25.600338,80651912252.44649,23869734797.864952,132280620997.5167,0.033333,0.0,0.066666,0.102765,0.065528,0.13724,0.03123,4.3e-05,0.063897,0.824487,0.744051,0.91283,0.791154,0.708577,0.88165,0.054419,0.008091,0.116463
exact_offset_passkey,rope_relative,5,0,1.967304,0.015559,0.000353,0.035668,1.015889,1.000339,1.036523,1.0,1.0,1.0,1.0,1.0,1.0,0.986196,0.968896,0.999648,0.986196,0.968778,0.999648,0.013804,0.000235,0.02727,23.077287,19.966036,26.035737,219459958138.83893,6065442439.671679,614019887091.3354,0.033333,0.0,0.1,0.108702,0.06225,0.159323,0.016209,6e-06,0.047572,0.809105,0.652522,0.937323,0.810753,0.661821,0.93529,23.19525,20.831551,25.404252,73777137438.25151,4433090168.177553,143573533002.3962,0.05,0.0,0.1,0.12638,0.076113,0.194009,0.038731,0.00058,0.0823,0.824346,0.733831,0.892463,0.774346,0.660977,0.883656,0.016415,0.000371,0.036645
