task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,base_train_row_count,curriculum_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,307,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.215344,1.0,0.93596,0.214721,1.239516,0.944444,0.972222,0.888207,0.93647,0.007975,0.93596,0.506659,1.659737,0.833333,0.916667,0.797457,0.942245,0.108911,0.93596,15.287204,4356607.015248,0.0,0.022611,9.4e-05,0.889982,0.889982,0.93596
phase_cued_retrieval,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.033264,2.350766,0.962586,0.032649,1.033188,1.0,1.0,0.96798,0.96798,0.03202,0.962586,0.033049,1.033601,1.0,1.0,0.967598,0.967598,0.032402,0.962586,13.734906,922558.051421,0.0,0.034733,1.2e-05,0.75258,0.75258,0.962586
phase_cued_retrieval,307,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.20983,-0.189679,0.931377,0.210154,1.233868,0.944444,0.972222,0.889262,0.937125,0.007319,0.931377,0.496988,1.643762,0.833333,0.916667,0.796514,0.940105,0.106772,0.931377,16.072505,9554326.896588,0.0,0.03625,0.002606,0.791479,0.791479,0.931377
phase_cued_retrieval,307,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.215185,2.360118,0.934994,0.210876,1.234759,0.944444,0.962963,0.891207,0.923961,0.093209,0.934994,0.513228,1.670676,0.833333,0.888889,0.788585,0.886847,0.164661,0.934994,14.990504,3238120.796084,0.0,0.013826,6.3e-05,0.853224,0.853224,0.934994
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.216584,-0.023003,0.939878,0.215664,1.240686,0.944444,0.972222,0.890451,0.939131,0.006691,0.939878,0.511465,1.667732,0.833333,0.916667,0.802202,0.94824,0.114907,0.939878,16.739463,18614724.500988,0.0,0.033804,5.2e-05,0.85779,0.85779,0.939878
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.52681,0.131114,0.889213,0.526376,1.692786,0.777778,0.856481,0.701031,0.742703,0.156997,0.889213,0.974175,2.64898,0.5,0.680556,0.538144,0.653924,0.266375,0.889213,16.629826,16681758.555112,0.0,0.020268,6e-06,0.733511,0.733511,0.889213
phase_cued_retrieval,311,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.773222,1.0,0.918978,0.778328,2.177829,0.777778,0.825,0.647235,0.702983,0.16521,0.918978,1.090541,2.975882,0.666667,0.733333,0.567592,0.682129,0.254935,0.918978,12.722443,335186.706489,0.0,0.041408,0.000497,0.798234,0.798234,0.918978
phase_cued_retrieval,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.088756,2.707607,0.962521,0.085402,1.089155,1.0,1.0,0.920464,0.920464,0.079536,0.962521,0.11328,1.119945,1.0,1.0,0.895378,0.895378,0.104622,0.962521,13.227446,555401.240258,0.0,0.029669,0.000202,0.789056,0.789056,0.962521
phase_cued_retrieval,311,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.20833,-0.079009,0.934581,0.208157,1.231407,0.944444,0.972222,0.893526,0.939896,0.104516,0.934581,0.511067,1.66707,0.833333,0.916667,0.79038,0.929491,0.203744,0.934581,10.039313,22909.63866,0.0,0.044254,0.004317,0.904372,0.904372,0.934581
phase_cued_retrieval,311,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.700244,2.741608,0.907468,0.693497,2.000699,0.722222,0.861111,0.637637,0.698727,0.19636,0.907468,0.835521,2.306015,0.666667,0.833333,0.588873,0.737906,0.28208,0.907468,15.116743,3673823.369922,0.0,0.041116,0.004806,0.800358,0.800358,0.907468
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.59766,-0.09608,0.914295,0.57975,1.785592,0.777778,0.852381,0.714463,0.789424,0.1176,0.914295,0.882915,2.417938,0.666667,0.77381,0.62855,0.777425,0.162208,0.914295,11.275192,78841.261907,0.0,0.04053,0.000233,0.889687,0.889687,0.914295
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.593789,0.035239,0.799218,0.586462,1.797616,0.777778,0.856481,0.662658,0.74456,0.178724,0.799218,0.805287,2.237339,0.666667,0.791667,0.578947,0.730644,0.074023,0.799218,10.126512,24997.022209,0.0,0.017621,0.000113,0.731222,0.731222,0.799218
phase_cued_retrieval,313,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.917171,1.0,0.852701,0.912142,2.48965,0.722222,0.844444,0.494002,0.599623,0.217415,0.852701,1.25038,3.491668,0.833333,0.866667,0.33021,0.353899,0.479434,0.852701,12.784602,356682.872537,0.083333,0.107042,0.051371,0.72709,0.709256,0.852701
phase_cued_retrieval,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.500229,2.615814,0.956811,0.497607,1.644781,0.833333,0.902778,0.682318,0.735819,0.187012,0.956811,0.73895,2.093737,0.666667,0.791667,0.583829,0.672194,0.303163,0.956811,15.008318,3296323.909412,0.0,0.095325,0.027678,0.776084,0.776084,0.956811
phase_cued_retrieval,313,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.873487,-1.001749,0.857172,0.871271,2.389946,0.722222,0.847222,0.501917,0.609615,0.206902,0.857172,1.163938,3.202521,0.833333,0.875,0.336214,0.359011,0.474322,0.857172,11.808667,134412.256673,0.083333,0.111609,0.069206,0.744435,0.661102,0.857172
phase_cued_retrieval,313,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.821695,2.691917,0.871509,0.820215,2.270988,0.666667,0.810185,0.51541,0.590704,0.178527,0.871509,1.09646,2.993551,0.5,0.708333,0.379721,0.416259,0.184694,0.871509,12.480482,263150.712915,0.083333,0.109017,0.071462,0.6765,0.593167,0.871509
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.711066,-0.267062,0.835378,0.716348,2.046945,0.722222,0.851852,0.578091,0.681497,0.215728,0.835378,0.8057,2.238262,0.833333,0.888889,0.509482,0.537291,0.296043,0.835378,12.372953,236322.534828,0.0,0.032171,0.003076,0.705914,0.705914,0.835378
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.677636,-0.263091,0.838736,0.682576,1.978969,0.777778,0.888889,0.59237,0.672871,0.182285,0.838736,0.77548,2.171633,0.666667,0.833333,0.523842,0.536828,0.273872,0.838736,12.524872,275095.149559,0.0,0.069546,0.006116,0.705287,0.705287,0.838736
phase_cued_retrieval,317,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.210576,1.0,0.945173,0.391611,1.479362,0.944444,0.958333,0.894143,0.939088,0.095493,0.945173,1.062515,2.893638,0.833333,0.875,0.791649,0.926486,0.177258,0.945173,13.495695,726283.338115,0.0,0.017491,0.000169,0.898955,0.898955,0.945173
phase_cued_retrieval,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.029762,1.934793,0.963802,0.029344,1.029778,1.0,1.0,0.971179,0.971179,0.028821,0.963802,0.026139,1.026483,1.0,1.0,0.974315,0.974315,0.025685,0.963802,10.183687,26467.882351,0.0,0.017662,0.000213,0.93428,0.93428,0.963802
phase_cued_retrieval,317,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.021355,0.395376,0.963651,0.020994,1.021216,1.0,1.0,0.979347,0.979347,0.020653,0.963651,0.021919,1.022161,1.0,1.0,0.978425,0.978425,0.021575,0.963651,13.849631,1034708.910019,0.0,0.022924,4e-06,0.952192,0.952192,0.963651
phase_cued_retrieval,317,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.029232,2.069452,0.965893,0.028713,1.029129,1.0,1.0,0.971748,0.971748,0.028252,0.965893,0.024682,1.024989,1.0,1.0,0.975692,0.975692,0.024308,0.965893,12.505258,269751.83801,0.0,0.019506,5.5e-05,0.899325,0.899325,0.965893
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.02283,0.088675,0.973091,0.022325,1.022576,1.0,1.0,0.977951,0.977951,0.022049,0.973091,0.021743,1.021981,1.0,1.0,0.978528,0.978528,0.021472,0.973091,13.570922,783026.75322,0.0,0.028336,9.9e-05,0.920776,0.920776,0.973091
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.023344,0.056871,0.972682,0.022841,1.023104,1.0,1.0,0.977442,0.977442,0.022558,0.972682,0.022673,1.022932,1.0,1.0,0.977608,0.977608,0.022392,0.972682,13.768223,953813.154082,0.0,0.019404,1.2e-05,0.898727,0.898727,0.972682
phase_cued_retrieval,331,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.030639,1.0,0.966303,0.030125,1.030584,1.0,1.0,0.970371,0.970371,0.029629,0.966303,0.027768,1.028157,1.0,1.0,0.972678,0.972678,0.027322,0.966303,12.325524,225375.690306,0.0,0.014606,2.1e-05,0.915419,0.915419,0.966303
