task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean
phase_cued_retrieval,no_position,5,0,1.0,0.465385,0.211639,0.735739,1.683388,1.203912,2.135473,0.877778,0.788889,0.966666,0.92,0.854444,0.983333,0.778792,0.619922,0.923447,0.829707,0.688188,0.950554,0.103144,0.043753,0.169417,0.787573,0.426274,1.143266,2.409816,1.544018,3.165748,0.833333,0.766667,0.933333,0.878333,0.79,0.95,0.691917,0.469974,0.865222,0.775487,0.543301,0.948115,0.209572,0.089162,0.344894,13.323094,12.588539,14.286163,1200027.124539,299860.766435,2826258.21807,0.016667,0.0,0.05,0.040632,0.016784,0.077029,0.01043,8e-05,0.030875,0.845936,0.778985,0.901951,0.842369,0.763197,0.903746,0.42939,0.140508,0.718272,0.923823,0.923823,0.923823,0.923823
phase_cued_retrieval,sinusoidal,5,0,2.360748,0.136965,0.033536,0.312398,1.167506,1.035482,1.401632,0.966667,0.9,1.0,0.980556,0.941667,1.0,0.900614,0.78708,0.967159,0.911314,0.81918,0.967159,0.073252,0.032111,0.134518,0.188277,0.028435,0.455208,1.260837,1.030117,1.668259,0.933333,0.8,1.0,0.958333,0.875,1.0,0.878337,0.739273,0.971314,0.89601,0.791542,0.971314,0.099062,0.028529,0.207959,12.895267,11.321589,14.244271,1005065.712236,211498.392088,2167599.532402,0.016667,0.0,0.05,0.058054,0.027905,0.09023,0.021619,0.000126,0.048603,0.837748,0.774466,0.905727,0.821081,0.771871,0.886466,0.138469,0.032577,0.323841,0.962139,0.962139,0.962139,0.962139
phase_cued_retrieval,alibi,5,0,0.062109,0.282189,0.074301,0.547035,1.396403,1.080126,1.901364,0.922222,0.822222,0.988889,0.958333,0.902778,0.994444,0.83583,0.662875,0.945019,0.876216,0.741173,0.958053,0.084858,0.028169,0.145252,0.473406,0.207653,0.80496,1.744904,1.184512,2.488067,0.9,0.833333,0.966667,0.941667,0.9,0.983333,0.751734,0.555489,0.904434,0.812834,0.574855,0.958851,0.189855,0.075048,0.33452,13.258703,11.599822,14.833221,2555212.150991,292171.06374,6143118.676287,0.016667,0.0,0.05,0.047438,0.025435,0.080401,0.015242,0.000539,0.042046,0.862075,0.797945,0.92891,0.845408,0.761115,0.92891,0.282772,0.090551,0.564435,0.930739,0.930739,0.930739,0.930739
phase_cued_retrieval,rope_relative,5,0,2.396598,0.356332,0.065075,0.636571,1.512868,1.070183,1.968486,0.866667,0.744444,0.988889,0.926852,0.858333,0.992593,0.797623,0.615015,0.955786,0.831451,0.666986,0.962337,0.104847,0.04117,0.159172,0.501048,0.128792,0.829917,1.806243,1.162922,2.464401,0.8,0.633333,0.966667,0.886111,0.791666,0.977778,0.739628,0.503324,0.932016,0.796394,0.604494,0.955838,0.138095,0.056549,0.215635,13.537068,12.512766,14.564243,1547829.17992,270700.631885,2904548.323753,0.033333,0.0,0.066666,0.055784,0.021556,0.090012,0.031363,0.001007,0.063511,0.81567,0.746333,0.869455,0.782337,0.676043,0.863362,0.35903,0.103525,0.651813,0.92898,0.92898,0.92898,0.92898
phase_cued_retrieval,phasewrap_bias,5,0,-0.057863,0.327328,0.109131,0.588892,1.440759,1.134536,1.806885,0.877778,0.777778,0.966666,0.929735,0.876032,0.977778,0.816337,0.673893,0.937563,0.861754,0.754609,0.947314,0.077149,0.016231,0.156851,0.472884,0.168029,0.718892,1.699836,1.203645,2.196026,0.833333,0.733333,0.933333,0.899207,0.830953,0.961111,0.762232,0.604736,0.908811,0.826799,0.679379,0.949209,0.139493,0.068306,0.214362,13.548067,12.173442,15.012901,4135954.265537,282670.869338,11377974.208323,0.0,0.0,0.0,0.031129,0.024748,0.036419,0.000707,7.1e-05,0.001907,0.861054,0.779423,0.918689,0.861054,0.781327,0.920754,0.330266,0.100332,0.56681,0.927296,0.927296,0.927296,0.927296
phase_cued_retrieval,phasewrap_adapter,5,0,-0.010556,0.369923,0.125252,0.605685,1.504866,1.15704,1.828225,0.866667,0.777778,0.955556,0.92037,0.856481,0.977778,0.78053,0.642217,0.969147,0.821345,0.715142,0.928835,0.114283,0.052764,0.176515,0.521507,0.176133,0.866881,1.822251,1.255648,2.388854,0.766667,0.6,0.933333,0.861111,0.755556,0.966667,0.717813,0.543444,0.896459,0.773906,0.62243,0.925382,0.133228,0.036969,0.221994,12.860622,10.831617,14.756843,3602565.415498,95883.117406,10215250.403189,0.0,0.0,0.0,0.037984,0.019036,0.058397,0.001273,3e-05,0.003715,0.806066,0.720848,0.890369,0.806066,0.721306,0.897753,0.370802,0.129489,0.613932,0.894029,0.894029,0.894029,0.894029
exact_offset_passkey,no_position,5,0,1.0,0.17713,0.035791,0.32901,1.21147,1.036598,1.41465,0.944444,0.877778,1.0,0.97037,0.937037,1.0,0.889621,0.81327,0.965752,0.916225,0.865278,0.965752,0.04998,0.019155,0.087866,0.173089,0.027408,0.359406,1.218936,1.027943,1.483324,0.933333,0.866666,1.0,0.961111,0.916667,1.0,0.903565,0.811702,0.972591,0.937276,0.899784,0.973239,0.052721,0.027085,0.0921,11.788426,9.815875,14.065289,1754042.70927,19459.848831,4952971.336806,0.016667,0.0,0.05,0.05513,0.031721,0.076358,0.016216,0.000748,0.044466,0.890581,0.856772,0.914444,0.878344,0.848489,0.901428,0.17869,0.036628,0.320558,0.947567,0.947567,0.947567,0.947567
exact_offset_passkey,sinusoidal,5,0,2.261732,0.088195,0.037236,0.139154,1.094153,1.038014,1.151007,1.0,1.0,1.0,1.0,1.0,1.0,0.920143,0.875853,0.963753,0.920143,0.871772,0.963753,0.079857,0.034866,0.123466,0.089316,0.0456,0.14015,1.095923,1.039256,1.169799,1.0,1.0,1.0,1.0,1.0,1.0,0.919761,0.870876,0.962387,0.919761,0.860248,0.956412,0.080239,0.037613,0.129124,11.976377,9.949891,13.405852,497334.67392,98536.258737,1005891.25555,0.033333,0.0,0.066666,0.091521,0.046705,0.13919,0.026081,0.003829,0.052264,0.749383,0.651285,0.835015,0.724693,0.631214,0.806718,0.089367,0.039551,0.146979,0.961526,0.961526,0.961526,0.961526
exact_offset_passkey,alibi,5,0,0.55225,0.10962,0.027668,0.216008,1.124402,1.02806,1.254503,0.966667,0.9,1.0,0.983333,0.95,1.0,0.924961,0.863133,0.97224,0.937688,0.900211,0.972254,0.053933,0.028305,0.085574,0.134194,0.028532,0.327708,1.168104,1.027893,1.434359,0.966667,0.9,1.0,0.983333,0.95,1.0,0.93093,0.859676,0.972981,0.960464,0.947947,0.973938,0.05005,0.028019,0.083307,10.704127,9.70329,12.013745,123198.208158,15037.359306,305439.264479,0.0,0.0,0.0,0.040724,0.031682,0.050262,0.001119,7.6e-05,0.003115,0.867871,0.84062,0.898735,0.867871,0.84062,0.895123,0.11238,0.028778,0.217659,0.957181,0.957181,0.957181,0.957181
exact_offset_passkey,rope_relative,5,0,2.44304,0.227361,0.093198,0.371916,1.272559,1.094546,1.457179,0.944444,0.911111,0.988889,0.97037,0.948148,0.994444,0.858301,0.784562,0.935986,0.880061,0.785348,0.939486,0.07978,0.019217,0.140344,0.297579,0.117828,0.519864,1.389059,1.083104,1.694978,0.9,0.766667,1.0,0.944444,0.877778,1.0,0.839357,0.738626,0.930126,0.875691,0.794776,0.955505,0.091233,0.038581,0.15001,12.196808,10.365267,14.081544,1615801.470762,52457.361842,4496869.308059,0.016667,0.0,0.05,0.066576,0.036054,0.098309,0.023122,0.00191,0.055174,0.817552,0.778775,0.85729,0.800886,0.769453,0.835919,0.229868,0.083829,0.375907,0.94653,0.94653,0.94653,0.94653
