task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,learned_expert_gate_mean,learned_expert_scale_mean,train_mean_expert_gate_mean,train_mean_expert_scale_mean,validation_mean_expert_gate_mean,validation_mean_expert_scale_mean,test_mean_expert_gate_mean,test_mean_expert_scale_mean
phase_cued_retrieval,no_position,5,0,1.0,0.341274,0.223015,0.451595,1.419888,1.253509,1.562119,0.95,0.916667,0.983333,0.975,0.958333,0.991667,0.767913,0.708278,0.816598,0.803249,0.774362,0.830349,0.146751,0.125264,0.166688,5.304733,5.20516,5.427258,203.122482,182.245022,229.417556,0.0,0.0,0.0,0.098539,0.089602,0.108824,0.005333,0.004557,0.005911,0.78288,0.762693,0.803068,0.78288,0.762252,0.804114,5.549375,5.433285,5.636279,258.567185,236.566624,280.843028,0.0,0.0,0.0,0.075023,0.06697,0.082649,0.004361,0.003833,0.004924,0.706534,0.683501,0.73019,0.706534,0.677969,0.730361,0.344456,0.225161,0.462527,0.940401,0.940401,0.940401,0.940401,0.150531,1.5,0.150531,1.5,0.150531,1.5,0.150531,1.5
phase_cued_retrieval,sinusoidal,5,0,2.471282,0.23507,0.171349,0.308941,1.269122,1.196974,1.36974,0.983333,0.95,1.0,0.991667,0.975,1.0,0.808489,0.77556,0.835598,0.819681,0.801731,0.837357,0.164371,0.135004,0.19217,4.380138,4.163823,4.51317,81.56219,66.396412,92.598419,0.0,0.0,0.0,0.231801,0.202646,0.262065,0.025293,0.018674,0.035523,0.710755,0.677413,0.744096,0.710755,0.677413,0.748228,4.970167,4.783788,5.161337,147.712007,121.605585,173.818429,0.033333,0.0,0.066666,0.127129,0.097432,0.157563,0.027736,0.006396,0.054776,0.685708,0.633597,0.735488,0.670021,0.609842,0.731665,0.238505,0.182788,0.321108,0.969752,0.969752,0.969752,0.969752,0.188023,2.886622,0.188023,2.886622,0.188023,2.886622,0.188023,2.886622
phase_cued_retrieval,alibi,5,0,0.709304,0.385575,0.180156,0.602911,1.533196,1.19749,1.959696,0.933333,0.85,1.0,0.966667,0.916667,1.0,0.738035,0.602214,0.835144,0.77241,0.681008,0.835202,0.172984,0.164731,0.188441,5.446188,5.354846,5.53402,233.141852,209.539734,251.015678,0.0,0.0,0.0,0.090042,0.0719,0.103955,0.004771,0.004442,0.005148,0.685323,0.584647,0.765439,0.685323,0.582938,0.768367,5.518147,5.207198,5.72401,260.546831,186.264972,309.241996,0.0,0.0,0.0,0.081868,0.068084,0.097973,0.012489,0.003736,0.028025,0.658161,0.598273,0.701703,0.658161,0.593178,0.700882,0.388844,0.183434,0.605288,0.936852,0.936852,0.936852,0.936852,0.152052,0.831719,0.152052,0.831719,0.152052,0.831719,0.152052,0.831719
phase_cued_retrieval,rope_relative,5,0,2.29923,0.386223,0.275905,0.451704,1.478992,1.323675,1.576876,0.933334,0.916667,0.966667,0.966666,0.958333,0.983333,0.753685,0.722704,0.791932,0.801789,0.783398,0.822497,0.131544,0.11264,0.152491,5.143926,5.059112,5.244454,172.58035,157.617958,191.334195,0.0,0.0,0.0,0.122664,0.111429,0.136603,0.006819,0.006154,0.007412,0.718259,0.673048,0.763265,0.718259,0.673048,0.76347,5.71985,5.6539,5.777603,305.667343,287.453968,323.387117,0.0,0.0,0.0,0.06167,0.051478,0.070831,0.003928,0.003698,0.004194,0.708484,0.692444,0.726301,0.708484,0.692878,0.724307,0.389527,0.284508,0.454097,0.941044,0.941044,0.941044,0.941044,0.161106,2.676185,0.161106,2.676185,0.161106,2.676185,0.161106,2.676185
phase_cued_retrieval,phasewrap_bias,5,0,0.15104,0.413851,0.180126,0.647577,1.565191,1.204029,1.914049,0.916667,0.85,0.983333,0.951389,0.911111,0.983333,0.77194,0.688257,0.856823,0.83335,0.804548,0.868151,0.083317,0.052027,0.11622,6.315756,6.131278,6.543124,570.882167,456.393939,716.321481,0.0,0.0,0.0,0.059655,0.047456,0.074463,0.00236,0.001609,0.002978,0.764564,0.705462,0.818941,0.764564,0.711549,0.825933,6.387236,6.028744,6.617286,625.225946,461.548056,749.384034,0.033333,0.0,0.066666,0.081292,0.050308,0.11347,0.022335,0.001736,0.050449,0.755505,0.724739,0.784991,0.740579,0.69927,0.778995,0.41543,0.182331,0.645362,0.932029,0.932029,0.932029,0.932029,0.114681,0.853681,0.114681,0.853681,0.114681,0.853681,0.114681,0.853681
phase_cued_retrieval,phasewrap_adapter,5,0,0.174314,0.565173,0.351916,0.809553,1.820234,1.45558,2.190875,0.883333,0.833333,0.95,0.934722,0.904167,0.975,0.71348,0.642144,0.796147,0.800697,0.757662,0.835016,0.092102,0.053411,0.129856,6.176173,5.772673,6.533778,521.90677,353.487032,710.575692,0.0,0.0,0.0,0.060323,0.048445,0.072222,0.002799,0.001887,0.003811,0.762385,0.698004,0.813653,0.762385,0.706832,0.813653,6.266827,5.871805,6.615767,578.471031,363.827827,748.392676,0.033333,0.0,0.066666,0.093922,0.063668,0.117846,0.023904,0.002122,0.045165,0.762296,0.735929,0.782114,0.744392,0.709982,0.778262,0.568498,0.300927,0.780531,0.925174,0.925174,0.925174,0.925174,0.122157,0.729257,0.122157,0.729257,0.122157,0.729257,0.122157,0.729257
exact_offset_passkey,no_position,5,0,1.0,0.350787,0.246023,0.443569,1.429403,1.282717,1.559328,0.95,0.916667,0.983333,0.975,0.958333,0.991667,0.763244,0.729402,0.807879,0.799242,0.787662,0.817597,0.150758,0.1242,0.183605,5.065201,4.769768,5.294842,164.763522,126.433038,197.49437,0.0,0.0,0.0,0.123974,0.085965,0.159485,0.011556,0.005426,0.022902,0.708815,0.641631,0.759031,0.708815,0.644004,0.75826,5.13551,4.759051,5.402461,180.442331,132.249796,223.289915,0.033333,0.0,0.066666,0.120075,0.082493,0.153821,0.036767,0.009058,0.064161,0.675916,0.570934,0.749141,0.642583,0.511598,0.734159,0.353905,0.247149,0.444943,0.945275,0.945275,0.945275,0.945275,0.158265,1.5,0.158265,1.5,0.158265,1.5,0.158265,1.5
exact_offset_passkey,sinusoidal,5,0,2.09231,0.1701,0.153424,0.19121,1.185743,1.163146,1.206379,1.0,1.0,1.0,1.0,1.0,1.0,0.844306,0.826127,0.858417,0.844306,0.826127,0.857136,0.155694,0.141356,0.175864,2.887773,2.709669,3.060431,18.354812,15.14575,21.4571,0.066667,0.0,0.133334,0.483333,0.475,0.491667,0.089047,0.046731,0.130917,0.720615,0.660031,0.776475,0.68417,0.591865,0.77586,3.250299,3.134591,3.364971,26.03239,23.068477,28.996304,0.033333,0.0,0.066666,0.394028,0.367083,0.422639,0.063021,0.038078,0.088366,0.713637,0.669382,0.741289,0.686285,0.631122,0.741449,0.173352,0.157447,0.194627,0.970428,0.970428,0.970428,0.970428,0.189569,2.837613,0.189569,2.837613,0.189569,2.837613,0.189569,2.837613
exact_offset_passkey,alibi,5,0,0.828463,0.398721,0.249117,0.551958,1.51725,1.268824,1.78559,0.933333,0.883333,0.983333,0.966667,0.941667,0.991667,0.732162,0.650884,0.809289,0.775898,0.714559,0.816909,0.157435,0.131861,0.183082,5.129298,4.911173,5.279179,172.882953,133.935602,198.385179,0.0,0.0,0.0,0.120266,0.101646,0.140796,0.011098,0.005646,0.021352,0.722074,0.678629,0.761625,0.722074,0.678629,0.76552,5.364697,5.002481,5.679356,230.175862,158.39759,292.810172,0.033333,0.0,0.1,0.113816,0.058657,0.178026,0.030313,0.004861,0.072911,0.709706,0.655784,0.744145,0.683407,0.576768,0.744145,0.40191,0.252306,0.554774,0.929126,0.929126,0.929126,0.929126,0.153488,0.815668,0.153488,0.815668,0.153488,0.815668,0.153488,0.815668
exact_offset_passkey,rope_relative,5,0,2.48918,0.245772,0.196796,0.31027,1.28184,1.215172,1.371009,1.0,1.0,1.0,1.0,1.0,1.0,0.789568,0.744925,0.824044,0.789568,0.739343,0.824044,0.210432,0.175956,0.247839,4.318645,4.020802,4.572801,78.69034,57.832896,100.847732,0.033333,0.0,0.1,0.279881,0.224127,0.33254,0.03831,0.010656,0.081574,0.705411,0.617648,0.774097,0.672077,0.56556,0.774576,4.55465,4.258325,4.783455,98.951389,73.520616,119.744692,0.05,0.0,0.1,0.251348,0.215357,0.286184,0.036685,0.00943,0.075995,0.653912,0.547328,0.729698,0.61464,0.472914,0.723722,0.249607,0.198542,0.314332,0.970339,0.970339,0.970339,0.970339,0.165655,2.520356,0.165655,2.520356,0.165655,2.520356,0.165655,2.520356
