task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
content_key_retrieval,307,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.033846,1.0,0.967187,0.033364,1.033926,1.0,1.0,0.967187,0.967187,0.032813,0.967187,0.033364,1.033926,1.0,1.0,0.967187,0.967187,0.032813,0.967187,0.033364,1.033926,1.0,1.0,0.967187,0.967187,0.032813,0.967187
content_key_retrieval,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.03352,0.307999,0.9675,0.03304,1.033592,1.0,1.0,0.9675,0.9675,0.0325,0.9675,0.03304,1.033592,1.0,1.0,0.9675,0.9675,0.0325,0.9675,0.03304,1.033592,1.0,1.0,0.9675,0.9675,0.0325,0.9675
content_key_retrieval,307,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.0339,0.461778,0.967135,0.033417,1.033981,1.0,1.0,0.967135,0.967135,0.032865,0.967135,0.033417,1.033981,1.0,1.0,0.967135,0.967135,0.032865,0.967135,0.033417,1.033981,1.0,1.0,0.967135,0.967135,0.032865,0.967135
content_key_retrieval,307,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.033753,0.304305,0.967276,0.033272,1.033831,1.0,1.0,0.967276,0.967276,0.032724,0.967276,0.033272,1.033831,1.0,1.0,0.967276,0.967276,0.032724,0.967276,0.033272,1.033831,1.0,1.0,0.967276,0.967276,0.032724,0.967276
content_key_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,12,6,12,0.030718,0.349672,0.970171,0.030265,1.030727,1.0,1.0,0.970189,0.970189,0.029811,0.970171,0.030249,1.030711,1.0,1.0,0.970204,0.970204,0.029796,0.970171,0.03028,1.030743,1.0,1.0,0.970174,0.970174,0.029826,0.970171
content_key_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,12,6,12,0.028532,0.348356,0.970058,0.028052,1.028449,1.0,1.0,0.972364,0.972364,0.027636,0.970058,0.025705,1.026038,1.0,1.0,0.97467,0.97467,0.02533,0.970058,0.030399,1.030866,1.0,1.0,0.970059,0.970059,0.029941,0.970058
content_key_retrieval,311,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.033917,1.0,0.967118,0.033435,1.034,1.0,1.0,0.967118,0.967118,0.032882,0.967118,0.033435,1.034,1.0,1.0,0.967118,0.967118,0.032882,0.967118,0.033435,1.034,1.0,1.0,0.967118,0.967118,0.032882,0.967118
content_key_retrieval,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.03289,0.292025,0.968103,0.032416,1.032948,1.0,1.0,0.968103,0.968103,0.031897,0.968103,0.032416,1.032948,1.0,1.0,0.968103,0.968103,0.031897,0.968103,0.032416,1.032948,1.0,1.0,0.968103,0.968103,0.031897,0.968103
content_key_retrieval,311,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.033868,0.60461,0.967165,0.033386,1.033949,1.0,1.0,0.967165,0.967165,0.032835,0.967165,0.033386,1.033949,1.0,1.0,0.967166,0.967166,0.032834,0.967165,0.033386,1.033949,1.0,1.0,0.967165,0.967165,0.032835,0.967165
content_key_retrieval,311,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.033877,0.25429,0.967156,0.033395,1.033959,1.0,1.0,0.967156,0.967156,0.032844,0.967156,0.033395,1.033959,1.0,1.0,0.967156,0.967156,0.032844,0.967156,0.033395,1.033959,1.0,1.0,0.967156,0.967156,0.032844,0.967156
content_key_retrieval,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,12,6,12,0.031648,0.371755,0.969288,0.031189,1.031681,1.0,1.0,0.969292,0.969292,0.030708,0.969288,0.031187,1.031678,1.0,1.0,0.969295,0.969295,0.030705,0.969288,0.031192,1.031684,1.0,1.0,0.969289,0.969289,0.030711,0.969288
content_key_retrieval,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,12,6,12,0.031781,0.371642,0.96916,0.031322,1.031817,1.0,1.0,0.969164,0.969164,0.030836,0.96916,0.031318,1.031814,1.0,1.0,0.969167,0.969167,0.030833,0.96916,0.031325,1.031821,1.0,1.0,0.969161,0.969161,0.030839,0.96916
content_key_retrieval,313,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.033882,1.0,0.967151,0.0334,1.033964,1.0,1.0,0.967151,0.967151,0.032849,0.967151,0.0334,1.033964,1.0,1.0,0.967151,0.967151,0.032849,0.967151,0.0334,1.033964,1.0,1.0,0.967151,0.967151,0.032849,0.967151
content_key_retrieval,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.033159,0.324411,0.967843,0.032685,1.033225,1.0,1.0,0.967843,0.967843,0.032157,0.967843,0.032685,1.033225,1.0,1.0,0.967843,0.967843,0.032157,0.967843,0.032685,1.033225,1.0,1.0,0.967843,0.967843,0.032157,0.967843
content_key_retrieval,313,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.033826,0.279029,0.967205,0.033345,1.033907,1.0,1.0,0.967205,0.967205,0.032795,0.967205,0.033345,1.033907,1.0,1.0,0.967205,0.967205,0.032795,0.967205,0.033345,1.033907,1.0,1.0,0.967205,0.967205,0.032795,0.967205
content_key_retrieval,313,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.033785,0.279989,0.967244,0.033304,1.033865,1.0,1.0,0.967244,0.967244,0.032756,0.967244,0.033304,1.033865,1.0,1.0,0.967244,0.967244,0.032756,0.967244,0.033304,1.033865,1.0,1.0,0.967244,0.967244,0.032756,0.967244
content_key_retrieval,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,12,6,12,0.030527,0.380118,0.970369,0.030079,1.030536,1.0,1.0,0.970369,0.970369,0.029631,0.970369,0.030079,1.030536,1.0,1.0,0.970369,0.970369,0.029631,0.970369,0.030079,1.030536,1.0,1.0,0.970369,0.970369,0.029631,0.970369
content_key_retrieval,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,12,6,12,0.030518,0.374013,0.970378,0.030069,1.030526,1.0,1.0,0.970378,0.970378,0.029622,0.970378,0.030069,1.030526,1.0,1.0,0.970378,0.970378,0.029622,0.970378,0.030069,1.030526,1.0,1.0,0.970378,0.970378,0.029622,0.970378
content_key_retrieval,317,no_position,no_position,80,0.03,full_batch_adam,12,6,12,0.033757,1.0,0.967273,0.033274,1.033834,1.0,1.0,0.967273,0.967273,0.032727,0.967273,0.033274,1.033834,1.0,1.0,0.967273,0.967273,0.032727,0.967273,0.033274,1.033834,1.0,1.0,0.967273,0.967273,0.032727,0.967273
content_key_retrieval,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,12,6,12,0.032818,0.315165,0.968173,0.032344,1.032873,1.0,1.0,0.968173,0.968173,0.031827,0.968173,0.032344,1.032873,1.0,1.0,0.968173,0.968173,0.031827,0.968173,0.032344,1.032873,1.0,1.0,0.968173,0.968173,0.031827,0.968173
content_key_retrieval,317,alibi,alibi,80,0.03,full_batch_adam,12,6,12,0.033636,0.307194,0.967389,0.033154,1.03371,1.0,1.0,0.96739,0.96739,0.03261,0.967389,0.033154,1.03371,1.0,1.0,0.96739,0.96739,0.03261,0.967389,0.033154,1.03371,1.0,1.0,0.96739,0.96739,0.03261,0.967389
content_key_retrieval,317,rope_relative,rope,80,0.03,full_batch_adam,12,6,12,0.033769,0.282821,0.967262,0.033286,1.033846,1.0,1.0,0.967262,0.967262,0.032738,0.967262,0.033286,1.033846,1.0,1.0,0.967262,0.967262,0.032738,0.967262,0.033286,1.033846,1.0,1.0,0.967262,0.967262,0.032738,0.967262
