task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,training_tasks,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,307,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.346619,1.0,0.942774,0.343966,1.41053,0.916667,0.958333,0.753865,0.770447,0.146219,0.942774,14.167987,1422585.714013,0.0,0.022436,5e-06,0.631733,0.631733,0.942774,13.765324,951052.135642,0.0,0.026204,0.000389,0.610356,0.610356,0.942774
exact_offset_passkey,307,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.346619,1.0,0.942774,0.339158,1.403765,1.0,1.0,0.732701,0.732701,0.267299,0.942774,11.910596,148835.346165,0.0,0.063876,0.00853,0.457229,0.457229,0.942774,10.05444,23258.820632,0.083333,0.145919,0.080436,0.622136,0.538803,0.942774
tiny_text_fact_qa,307,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.346619,1.0,0.942774,0.239731,1.270907,0.916667,0.958333,0.818555,0.840263,0.100673,0.942774,2.087182,8.062163,0.666667,0.740741,0.606179,0.865815,0.286373,0.942774,2.826906,16.893118,0.5,0.636806,0.483712,0.814172,0.328786,0.942774
phase_cued_retrieval,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.035005,2.388217,0.960496,0.032463,1.032996,1.0,1.0,0.968297,0.968297,0.031703,0.960496,12.812558,366794.889511,0.0,0.022392,4e-06,0.821416,0.821416,0.960496,12.672957,319003.463669,0.0,0.035812,1e-05,0.72197,0.72197,0.960496
exact_offset_passkey,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.035005,2.388217,0.960496,0.027982,1.028377,1.0,1.0,0.972563,0.972563,0.027437,0.960496,13.657279,853652.259516,0.0,0.040562,1e-05,0.833725,0.833725,0.960496,10.500426,36330.9751,0.083333,0.117954,0.082174,0.718272,0.634939,0.960496
tiny_text_fact_qa,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.035005,2.388217,0.960496,0.040981,1.041833,1.0,1.0,0.960261,0.960261,0.039739,0.960496,1.461859,4.313973,0.666667,0.755556,0.661692,0.90911,0.242443,0.960496,1.784699,5.957784,0.666667,0.748016,0.575575,0.847674,0.302341,0.960496
phase_cued_retrieval,307,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.087352,1.699216,0.957758,0.06901,1.071447,1.0,1.0,0.934086,0.934086,0.065914,0.957758,11.933569,152294.138533,0.0,0.019096,5.5e-05,0.826634,0.826634,0.957758,11.433396,92355.097801,0.0,0.011756,0.000107,0.826224,0.826224,0.957758
exact_offset_passkey,307,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.087352,1.699216,0.957758,0.045002,1.04603,1.0,1.0,0.956519,0.956519,0.043481,0.957758,11.11738,67331.28555,0.0,0.038377,0.000147,0.823434,0.823434,0.957758,10.071933,23669.27398,0.083333,0.120131,0.074019,0.760348,0.677014,0.957758
tiny_text_fact_qa,307,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.087352,1.699216,0.957758,0.116875,1.123979,1.0,1.0,0.897994,0.897994,0.102006,0.957758,2.717451,15.141678,0.666667,0.738889,0.642054,0.953137,0.28647,0.957758,3.48907,32.75546,0.583333,0.670238,0.507549,0.899123,0.451229,0.957758
phase_cued_retrieval,307,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.090472,2.764404,0.959716,0.0627,1.064707,1.0,1.0,0.939845,0.939845,0.060155,0.959716,13.442279,688505.469041,0.0,0.024166,1.7e-05,0.676845,0.676845,0.959716,12.148953,188896.270735,0.0,0.067701,0.010962,0.664666,0.664666,0.959716
exact_offset_passkey,307,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.090472,2.764404,0.959716,0.042748,1.043675,1.0,1.0,0.959331,0.959331,0.040669,0.959716,12.195335,197863.994287,0.0,0.04791,0.003361,0.58438,0.58438,0.959716,10.140234,25342.384976,0.083333,0.153827,0.090533,0.668467,0.585134,0.959716
tiny_text_fact_qa,307,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.090472,2.764404,0.959716,0.154503,1.167077,0.916667,0.958333,0.880283,0.896337,0.115718,0.959716,1.398085,4.047442,0.666667,0.791667,0.633868,0.912048,0.283813,0.959716,1.90479,6.717999,0.583333,0.71875,0.542546,0.864262,0.330374,0.959716
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.078582,-0.15527,0.970929,0.034822,1.035436,1.0,1.0,0.965807,0.965807,0.034193,0.970929,12.982558,434763.762454,0.0,0.010377,8.3e-05,0.884097,0.884097,0.970929,12.170831,193074.417885,0.0,0.034197,0.000109,0.809606,0.809606,0.970929
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.078582,-0.15527,0.970929,0.027334,1.027711,1.0,1.0,0.973109,0.973109,0.026891,0.970929,13.096897,487427.631509,0.0,0.016415,4.6e-05,0.772887,0.772887,0.970929,10.411512,33240.083087,0.083333,0.140652,0.057819,0.8053,0.791178,0.970929
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.078582,-0.15527,0.970929,0.157521,1.170606,1.0,1.0,0.873342,0.873342,0.126658,0.970929,2.481855,11.963432,0.666667,0.727778,0.63073,0.902448,0.281589,0.970929,3.028802,20.672456,0.5,0.640212,0.46969,0.863184,0.431272,0.970929
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.049085,-0.094459,0.970772,0.035309,1.03594,1.0,1.0,0.965416,0.965416,0.034584,0.970772,12.43292,250927.616336,0.0,0.010152,7.3e-05,0.832927,0.832927,0.970772,11.756153,127535.90759,0.0,0.034199,0.000104,0.841797,0.841797,0.970772
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.049085,-0.094459,0.970772,0.026359,1.02671,1.0,1.0,0.974047,0.974047,0.025953,0.970772,13.198317,539456.34177,0.0,0.017796,4.6e-05,0.82211,0.82211,0.970772,10.194321,26750.827211,0.083333,0.132382,0.068994,0.835334,0.752001,0.970772
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.049085,-0.094459,0.970772,0.06971,1.072197,1.0,1.0,0.934453,0.934453,0.065547,0.970772,2.119909,8.330383,0.666667,0.727778,0.650231,0.921057,0.25439,0.970772,3.219041,25.004134,0.416667,0.584722,0.421215,0.868682,0.452016,0.970772
phase_cued_retrieval,311,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.250422,1.0,0.939246,0.064529,1.066657,1.0,1.0,0.937518,0.937518,0.062482,0.939246,14.982497,3212296.024411,0.0,0.042432,0.000126,0.910257,0.910257,0.939246,12.472161,260970.052024,0.083333,0.146208,0.063504,0.88789,0.846147,0.939246
exact_offset_passkey,311,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.250422,1.0,0.939246,0.064194,1.066299,1.0,1.0,0.937826,0.937826,0.062174,0.939246,16.631266,16705795.903855,0.166667,0.189241,0.156525,0.938421,0.771754,0.939246,15.109546,3647476.59592,0.0,0.02021,0.00021,0.769137,0.769137,0.939246
tiny_text_fact_qa,311,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.250422,1.0,0.939246,0.616248,1.851966,0.833333,0.916667,0.724135,0.87059,0.194632,0.939246,7.72031,2253.657928,0.166667,0.415598,0.166719,0.938671,0.772004,0.939246,8.759261,6369.400632,0.25,0.415146,0.244063,0.897122,0.647122,0.939246
phase_cued_retrieval,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.039022,2.163194,0.962572,0.0399,1.040706,1.0,1.0,0.960888,0.960888,0.039112,0.962572,11.026101,61457.479153,0.0,0.104752,0.000211,0.88356,0.88356,0.962572,11.564948,105339.933225,0.0,0.02398,0.000123,0.786108,0.786108,0.962572
exact_offset_passkey,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.039022,2.163194,0.962572,0.029791,1.030239,1.0,1.0,0.970769,0.970769,0.029231,0.962572,13.106865,492310.627608,0.0,0.046846,8.1e-05,0.768491,0.768491,0.962572,11.102128,66312.155024,0.0,0.052991,0.001314,0.769693,0.769693,0.962572
tiny_text_fact_qa,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.039022,2.163194,0.962572,0.045119,1.046153,1.0,1.0,0.95739,0.95739,0.04261,0.962572,4.429462,83.886247,0.333333,0.560185,0.409949,0.907974,0.574641,0.962572,5.457779,234.575806,0.166667,0.423264,0.173248,0.919213,0.752546,0.962572
phase_cued_retrieval,311,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.222744,0.290797,0.935189,0.073337,1.076093,1.0,1.0,0.929417,0.929417,0.070583,0.935189,11.728336,124037.075049,0.0,0.012039,0.000183,0.812118,0.812118,0.935189,11.992778,161583.539562,0.0,0.048324,0.000322,0.887303,0.887303,0.935189
