task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean
phase_cued_retrieval,no_position,5,0,1.0,0.419843,0.113839,0.732424,1.645113,1.1835,2.247437,0.85,0.716667,0.983333,0.908889,0.812778,0.991667,0.774921,0.621805,0.913363,0.791469,0.678012,0.910895,0.09483,0.050199,0.139558,13.354816,11.123061,15.007372,2100016.026934,365891.209275,3884936.382606,0.0,0.0,0.0,0.048333,0.020854,0.0921,0.013966,5e-06,0.041817,0.789149,0.686601,0.897479,0.789149,0.686601,0.891698,12.777276,12.176331,13.378221,453142.465177,219741.764414,729636.145855,0.016667,0.0,0.05,0.055715,0.025609,0.100799,0.014265,0.000353,0.038181,0.787225,0.675447,0.897511,0.778876,0.675447,0.882305,0.403059,0.200987,0.62437,0.945341,0.945341,0.945341,0.945341
phase_cued_retrieval,sinusoidal,5,0,2.383383,0.154724,0.038298,0.305318,1.181364,1.039055,1.370062,0.983333,0.95,1.0,0.991667,0.975,1.0,0.882984,0.778724,0.961525,0.882985,0.777662,0.960043,0.107715,0.036993,0.214202,12.797858,11.46356,14.402352,2188829.70211,120167.763638,6155072.491617,0.0,0.0,0.0,0.057226,0.034728,0.082992,0.002039,0.000127,0.004932,0.772197,0.575459,0.89832,0.772197,0.596415,0.89832,12.735531,10.76088,15.380619,5895067.621586,95901.812113,17289652.789506,0.0,0.0,0.0,0.039919,0.028889,0.050949,0.002755,3.5e-05,0.007416,0.733088,0.589525,0.819523,0.733088,0.598228,0.823176,0.112023,0.038642,0.20638,0.961478,0.961478,0.961478,0.961478
phase_cued_retrieval,alibi,5,0,0.159813,0.379733,0.055631,0.763907,1.597099,1.056489,2.13771,0.883333,0.75,1.0,0.929722,0.839167,1.0,0.806726,0.635796,0.946303,0.831631,0.716025,0.946303,0.104332,0.053697,0.156572,12.714139,11.025491,14.418955,2274765.619254,100085.419885,6433573.196962,0.033333,0.0,0.1,0.059308,0.016297,0.139725,0.030865,1.7e-05,0.092493,0.833151,0.74275,0.901398,0.799818,0.728357,0.860614,12.636925,11.907781,13.254193,400682.494233,175426.024153,586636.08137,0.0,0.0,0.0,0.033396,0.019644,0.049333,0.002252,0.000131,0.005786,0.813126,0.7121,0.87352,0.813126,0.7121,0.876156,0.355295,0.108471,0.644678,0.943756,0.943756,0.943756,0.943756
phase_cued_retrieval,rope_relative,5,0,2.670966,0.380691,0.122634,0.644047,1.540118,1.150339,1.935041,0.9,0.766667,0.983333,0.939444,0.861667,0.991667,0.767622,0.589123,0.912039,0.775936,0.63913,0.919228,0.147027,0.064105,0.212337,13.580162,12.027834,15.189171,3286736.01037,358931.96331,8812460.603664,0.033333,0.0,0.1,0.084728,0.031805,0.159075,0.018086,0.001175,0.041132,0.724895,0.605001,0.816493,0.732359,0.60402,0.828793,12.934684,11.894334,13.715424,624853.017728,242722.786997,1020347.197008,0.0,0.0,0.0,0.036834,0.022097,0.052486,0.003749,0.00082,0.007423,0.724039,0.597149,0.830306,0.724039,0.613251,0.84599,0.31761,0.112491,0.519161,0.958738,0.958738,0.958738,0.958738
phase_cued_retrieval,phasewrap_bias,5,0,-0.11679,0.379046,0.030413,0.724754,1.605021,1.037001,2.280499,0.9,0.8,1.0,0.922639,0.842916,1.0,0.832993,0.672658,0.963153,0.861779,0.729653,0.963153,0.108925,0.032669,0.193187,11.583909,10.715072,12.452745,174964.649094,64394.78807,293657.773346,0.033333,0.0,0.1,0.058534,0.014444,0.123241,0.032273,7.4e-05,0.091922,0.827443,0.718882,0.899698,0.794109,0.682576,0.891151,12.557115,11.832539,13.227615,386322.66613,155883.715872,618146.607394,0.0,0.0,0.0,0.027966,0.020585,0.036825,0.001251,0.00011,0.003304,0.828835,0.761623,0.883845,0.828835,0.743791,0.878342,0.37028,0.073037,0.675118,0.953378,0.953378,0.953378,0.953378
phase_cued_retrieval,phasewrap_adapter,5,0,-0.072453,0.341103,0.03408,0.649115,1.5248,1.033741,2.011995,0.9,0.766667,1.0,0.925972,0.842916,1.0,0.835859,0.655409,0.963577,0.846414,0.707357,0.966688,0.101801,0.029281,0.183732,11.607863,10.571718,12.400208,171692.497135,54126.772307,294278.669709,0.033333,0.0,0.1,0.06558,0.014524,0.139735,0.023976,9.2e-05,0.067615,0.824227,0.72351,0.91274,0.790894,0.679644,0.886843,12.375595,11.735655,13.239371,365180.958591,127535.90759,727959.559379,0.0,0.0,0.0,0.02904,0.020867,0.035271,0.001044,8.8e-05,0.002504,0.843266,0.777956,0.905265,0.843266,0.771031,0.903595,0.356629,0.077192,0.692748,0.953369,0.953369,0.953369,0.953369
exact_offset_passkey,no_position,5,0,1.0,0.472565,0.105378,0.852499,1.768178,1.104846,2.539352,0.833333,0.633333,1.0,0.898611,0.784722,1.0,0.741094,0.520329,0.916604,0.77326,0.602461,0.9212,0.174899,0.068956,0.280842,11.837844,9.70706,14.571949,3397417.366047,40153.371892,10054250.554745,0.066667,0.0,0.133334,0.112549,0.058194,0.166252,0.052965,0.005533,0.100397,0.739583,0.554715,0.883879,0.704612,0.554715,0.834746,12.575656,10.382827,14.809301,3030220.782149,35729.024624,6856435.556781,0.033333,0.0,0.066666,0.071742,0.027679,0.116448,0.032795,0.000582,0.064775,0.763749,0.679978,0.844048,0.730415,0.620678,0.823531,0.403059,0.162508,0.64942,0.945341,0.945341,0.945341,0.945341
exact_offset_passkey,sinusoidal,5,0,2.383383,0.111996,0.032388,0.202314,1.123933,1.033688,1.233002,1.0,1.0,1.0,1.0,1.0,1.0,0.902288,0.829167,0.96796,0.902288,0.828809,0.96796,0.097712,0.031323,0.171191,11.926502,9.544753,13.83786,632117.429884,181467.055237,1218387.460487,0.033333,0.0,0.1,0.094834,0.04736,0.146708,0.02577,3.2e-05,0.066214,0.76343,0.639539,0.842853,0.730096,0.552585,0.838667,11.525521,10.255884,13.406114,660112.849983,33631.561976,1871608.152079,0.033333,0.0,0.066666,0.08955,0.053672,0.127742,0.03766,0.006424,0.071711,0.722108,0.599396,0.805127,0.688775,0.578113,0.770028,0.112023,0.039066,0.204349,0.961478,0.961478,0.961478,0.961478
exact_offset_passkey,alibi,5,0,0.159813,0.406399,0.046762,0.833865,1.669434,1.047981,2.290886,0.866667,0.733334,1.0,0.918611,0.836389,1.0,0.786064,0.617445,0.952842,0.824026,0.646567,0.952842,0.116768,0.045317,0.195271,11.729744,10.867333,12.669803,249338.369518,64839.132311,551467.192451,0.1,0.0,0.2,0.130178,0.040617,0.230016,0.060015,0.001036,0.121984,0.804973,0.709512,0.862641,0.76576,0.665603,0.845329,12.45116,10.710487,14.183082,2752011.140588,60926.247608,7972416.520657,0.033333,0.0,0.066666,0.067655,0.027334,0.106301,0.031597,0.001026,0.062587,0.826921,0.760638,0.885417,0.793588,0.710638,0.884007,0.355295,0.108471,0.608078,0.943756,0.943756,0.943756,0.943756
exact_offset_passkey,rope_relative,5,0,2.670966,0.34868,0.102966,0.581892,1.47791,1.115671,1.840149,0.966667,0.933334,1.0,0.980555,0.961111,1.0,0.779194,0.61085,0.911816,0.78164,0.611352,0.924065,0.202401,0.066004,0.353942,13.734601,11.784478,16.975928,90708340.695897,168886.298509,271665206.711899,0.033333,0.0,0.1,0.079986,0.040379,0.138512,0.017956,0.000691,0.048042,0.701082,0.580303,0.821861,0.67151,0.521158,0.801447,13.265503,10.660388,15.859741,12708060.798468,52415.275886,34650430.11783,0.033333,0.0,0.066666,0.082082,0.038227,0.129039,0.038544,0.008582,0.07246,0.734659,0.600619,0.859727,0.701326,0.545533,0.833653,0.31761,0.132534,0.510923,0.958738,0.958738,0.958738,0.958738
exact_offset_passkey,phasewrap_bias,5,0,-0.11679,0.466393,0.031428,0.900765,1.838105,1.032011,2.64359,0.816667,0.616667,1.0,0.883889,0.751666,1.0,0.767464,0.55487,0.96353,0.80823,0.624122,0.968606,0.10042,0.032539,0.169445,12.211968,10.149199,14.082892,1267680.735277,89678.123724,3452431.961349,0.0,0.0,0.0,0.047374,0.019891,0.096941,0.006772,3.9e-05,0.020209,0.826327,0.731401,0.902056,0.826327,0.730421,0.900095,11.800527,10.781617,13.176915,450270.289602,50651.581606,1204788.696977,0.016667,0.0,0.05,0.058733,0.031021,0.098637,0.0175,0.001697,0.038337,0.804337,0.698914,0.875052,0.801512,0.714182,0.87449,0.37028,0.08397,0.702372,0.953378,0.953378,0.953378,0.953378
exact_offset_passkey,phasewrap_adapter,5,0,-0.072453,0.459135,0.032355,0.896944,1.817023,1.032864,2.601183,0.8,0.6,1.0,0.874722,0.749444,1.0,0.770493,0.552599,0.968363,0.802956,0.6138,0.962506,0.104845,0.031637,0.178052,12.41617,10.464336,14.055292,1418946.808275,99722.359186,3728786.668794,0.0,0.0,0.0,0.048614,0.021627,0.096484,0.004158,3.2e-05,0.011921,0.828478,0.768034,0.881239,0.828478,0.768034,0.881239,12.063398,10.991591,13.526099,639829.854945,73056.939116,1705355.779739,0.016667,0.0,0.05,0.052487,0.030305,0.092954,0.015609,0.001267,0.042318,0.812986,0.723737,0.885473,0.796319,0.706602,0.869731,0.356629,0.105299,0.654585,0.953369,0.953369,0.953369,0.953369
