task,split,seed,method,example_id,sequence_length,query_pos,reference_delta,target_delta,target_pos,label_token,target_probability,target_rank,top1_hit,top1_confidence,target_in_max_tie,max_tie_count,target_bias_rank,best_bias,target_bias,best_deltas
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,0.043478,5,0.0,0.086957,True,23,16,0.0,0.0,23 22 21 20 19 18 17 16
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,0.043478,3,0.0,0.043478,True,23,13,0.0,0.0,23 22 21 20 19 18 17 16
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,0.043478,7,0.0,0.086957,True,23,12,0.0,0.0,23 22 21 20 19 18 17 16
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,0.043478,7,0.0,0.086957,True,23,8,0.0,0.0,23 22 21 20 19 18 17 16
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,0.130435,1,1.0,0.130435,True,23,5,0.0,0.0,23 22 21 20 19 18 17 16
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,0.043478,9,0.0,0.043478,True,23,19,0.0,0.0,23 22 21 20 19 18 17 16
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,0.032258,25,0.0,0.064516,True,31,21,0.0,0.0,31 30 29 28 27 26 25 24
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,0.032258,25,0.0,0.064516,True,31,20,0.0,0.0,31 30 29 28 27 26 25 24
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,0.032258,5,0.0,0.064516,True,31,16,0.0,0.0,31 30 29 28 27 26 25 24
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,0.064516,3,0.0,0.096774,True,31,13,0.0,0.0,31 30 29 28 27 26 25 24
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.032258,11,0.0,0.064516,True,31,3,0.0,0.0,31 30 29 28 27 26 25 24
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,0.096774,1,1.0,0.096774,True,31,25,0.0,0.0,31 30 29 28 27 26 25 24
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.051282,6,0.0,0.102564,True,39,4,0.0,0.0,39 38 37 36 35 34 33 32
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,0.076923,1,1.0,0.076923,True,39,24,0.0,0.0,39 38 37 36 35 34 33 32
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,0.025641,28,0.0,0.076923,True,39,21,0.0,0.0,39 38 37 36 35 34 33 32
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.025641,34,0.0,0.051282,True,39,11,0.0,0.0,39 38 37 36 35 34 33 32
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.025641,4,0.0,0.076923,True,39,9,0.0,0.0,39 38 37 36 35 34 33 32
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.025641,8,0.0,0.051282,True,39,8,0.0,0.0,39 38 37 36 35 34 33 32
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.042553,8,0.0,0.042553,True,47,8,0.0,0.0,47 46 45 44 43 42 41 40
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.021277,31,0.0,0.085106,True,47,5,0.0,0.0,47 46 45 44 43 42 41 40
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.042553,3,0.0,0.085106,True,47,19,0.0,0.0,47 46 45 44 43 42 41 40
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_003,48,47,7,31,16,87,0.021277,30,0.0,0.06383,True,47,17,0.0,0.0,47 46 45 44 43 42 41 40
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_004,48,47,8,32,15,95,0.021277,33,0.0,0.085106,True,47,16,0.0,0.0,47 46 45 44 43 42 41 40
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_005,48,47,11,35,12,105,0.06383,1,1.0,0.06383,True,47,13,0.0,0.0,47 46 45 44 43 42 41 40
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_000,64,63,5,53,10,40,0.015873,23,0.0,0.063492,True,63,11,0.0,0.0,63 62 61 60 59 58 57 56
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_001,64,63,7,55,8,49,0.031746,7,0.0,0.047619,True,63,9,0.0,0.0,63 62 61 60 59 58 57 56
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_002,64,63,8,56,7,57,0.015873,33,0.0,0.047619,True,63,8,0.0,0.0,63 62 61 60 59 58 57 56
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_003,64,63,11,59,4,67,0.031746,9,0.0,0.031746,True,63,5,0.0,0.0,63 62 61 60 59 58 57 56
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_004,64,63,12,60,3,75,0.015873,36,0.0,0.063492,True,63,4,0.0,0.0,63 62 61 60 59 58 57 56
