task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_target_in_max_tie_rate,train_mean_max_tie_count,train_mean_target_bias_rank,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_target_in_max_tie_rate,validation_mean_max_tie_count,validation_mean_target_bias_rank,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_target_in_max_tie_rate,test_mean_max_tie_count,test_mean_target_bias_rank
phase_cued_retrieval,307,no_position,no_position,12,6,12,3.04388,20.986508,0.166667,0.302867,0.053179,0.07749,0.089177,1.0,27.0,14.25,3.364936,28.931648,0.166667,0.267799,0.038462,0.07265,0.128205,1.0,39.0,12.833333,3.674037,39.410698,0.083333,0.161597,0.028313,0.060593,0.02274,1.0,55.0,11.583333
phase_cued_retrieval,307,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.919444,0.916667,1.0,0.083333,0.916667,1.0,1.416667,18.420681,100000000.0,0.333333,0.36552,0.333333,0.833333,0.5,0.333333,1.333333,5.5,27.631021,999999999999.999,0.0,0.014244,0.0,0.583333,0.583333,0.0,1.833333,8.416667
phase_cued_retrieval,307,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.076642,0.0,1.0,1.0,0.0,1.0,13.75,27.631021,999999999999.999,0.0,0.038301,0.0,1.0,1.0,0.0,1.0,27.166667,27.631021,999999999999.999,0.0,0.014389,0.0,1.0,1.0,0.0,1.0,44.416667
phase_cued_retrieval,307,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.919444,0.916667,1.0,0.083333,0.916667,1.0,2.583333,18.420681,100000000.0,0.333333,0.367835,0.333333,1.0,0.666667,0.333333,1.0,15.5,27.631021,999999999999.999,0.0,0.014355,0.0,1.0,1.0,0.0,1.0,40.75
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,12,6,12,25.419987,109587278245.80165,0.0,0.102578,0.027778,0.541667,0.541667,0.0,2.083333,14.583333,23.208953,12009371553.322805,0.0,0.112974,0.055556,0.361111,0.361111,0.0,3.333333,21.333333,25.462556,114352983608.29196,0.0,0.033778,0.016667,0.270833,0.270833,0.0,4.5,29.25
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,12,6,12,25.386198,105946309435.92932,0.0,0.102675,0.041667,0.625,0.625,0.0,1.75,15.25,27.631021,999999999999.999,0.0,0.035331,0.0,0.666667,0.666667,0.0,1.833333,28.0,25.386198,105946309435.92932,0.083333,0.096482,0.041667,0.583333,0.5,0.0,1.833333,42.416667
phase_cued_retrieval,311,no_position,no_position,12,6,12,3.169219,23.788903,0.0,0.116757,0.044179,0.075737,0.075737,1.0,27.0,15.916667,3.548038,34.745085,0.0,0.080854,0.029915,0.055556,0.055556,1.0,39.0,11.833333,3.674032,39.410492,0.083333,0.191881,0.026512,0.056147,0.027187,1.0,55.0,12.5
phase_cued_retrieval,311,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.917874,0.916667,1.0,0.083333,0.916667,1.0,1.416667,18.420681,100000000.0,0.333333,0.344612,0.333333,0.916667,0.583333,0.333333,1.166667,5.166667,27.631021,999999999999.999,0.0,0.063979,0.0,0.583333,0.583333,0.0,1.833333,8.833333
phase_cued_retrieval,311,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.012696,0.0,1.0,1.0,0.0,1.0,12.083333,27.631021,999999999999.999,0.0,0.016497,0.0,1.0,1.0,0.0,1.0,28.166667,27.631021,999999999999.999,0.0,0.080899,0.0,1.0,1.0,0.0,1.0,43.5
phase_cued_retrieval,311,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.917874,0.916667,1.0,0.083333,0.916667,1.0,2.583333,18.420681,100000000.0,0.333333,0.344683,0.333333,1.0,0.666667,0.333333,1.0,16.333333,27.631021,999999999999.999,0.0,0.081098,0.0,1.0,1.0,0.0,1.0,38.166667
