task,split,seed,period_pair,sequence_length,query_pos,reference_delta,target_delta,target_pos,label_token,target_probability,target_rank,top1_hit,top1_confidence,target_in_max_support,max_support_count,target_score_rank,max_score,target_score,score_gap,max_deltas
phase_cued_retrieval,train,307,4/8,24,23,8,8,15,3,0.0,10,0.0,0.166667,False,6,8,0.707106781187,0.292893218813,0.414213562373,22 18 14 10 6 2
phase_cued_retrieval,train,307,4/8,24,23,11,11,12,13,0.0,20,0.0,0.166667,False,6,8,0.707106781187,0.292893218813,0.414213562373,21 17 13 9 5 1
phase_cued_retrieval,train,307,4/8,24,23,12,12,11,21,0.0,25,0.0,0.166667,False,6,8,0.707106781187,0.292893218813,0.414213562373,22 18 14 10 6 2
phase_cued_retrieval,train,307,4/8,24,23,16,16,7,32,0.0,38,0.0,0.166667,False,6,7,0.707106781187,0.292893218813,0.414213562373,22 18 14 10 6 2
phase_cued_retrieval,train,307,4/8,24,23,19,19,4,42,0.166667,1,1.0,0.166667,False,6,7,0.707106781187,0.292893218813,0.414213562373,21 17 13 9 5 1
phase_cued_retrieval,train,307,4/8,24,23,5,5,18,35,0.0,40,0.0,0.166667,False,6,9,0.707106781187,0.292893218813,0.414213562373,23 19 15 11 7 3
phase_cued_retrieval,train,307,4/8,32,31,11,11,20,94,0.0,95,0.0,0.125,False,8,11,0.707106781187,0.292893218813,0.414213562373,29 25 21 17 13 9 5 1
phase_cued_retrieval,train,307,4/8,32,31,12,12,19,102,0.0,104,0.0,0.125,False,8,11,0.707106781187,0.292893218813,0.414213562373,30 26 22 18 14 10 6 2
phase_cued_retrieval,train,307,4/8,32,31,16,16,15,1,0.0,10,0.0,0.125,False,8,10,0.707106781187,0.292893218813,0.414213562373,30 26 22 18 14 10 6 2
phase_cued_retrieval,train,307,4/8,32,31,19,19,12,11,0.125,2,0.0,0.125,False,8,10,0.707106781187,0.292893218813,0.414213562373,29 25 21 17 13 9 5 1
phase_cued_retrieval,train,307,4/8,32,31,5,29,2,28,0.0,33,0.0,0.125,False,8,9,0.707106781187,0.292893218813,0.414213562373,31 27 23 19 15 11 7 3
phase_cued_retrieval,train,307,4/8,32,31,7,7,24,13,0.125,2,0.0,0.25,False,8,12,0.707106781187,0.292893218813,0.414213562373,29 25 21 17 13 9 5 1
phase_cued_retrieval,validation,307,4/8,40,39,12,36,3,95,0.0,98,0.0,0.3,False,10,11,0.707106781187,0.292893218813,0.414213562373,38 34 30 26 22 18 14 10
