task,period_pair,period_a,period_b,gcd,fundamental_period,seed_count,failed_run_count,train_top1_accuracy_mean,train_mrr_mean,train_mean_target_probability_mean,train_target_in_max_support_rate_mean,train_mean_max_support_count_mean,train_mean_target_score_rank_mean,train_mean_score_gap_mean,validation_top1_accuracy_mean,validation_mrr_mean,validation_mean_target_probability_mean,validation_target_in_max_support_rate_mean,validation_mean_max_support_count_mean,validation_mean_target_score_rank_mean,validation_mean_score_gap_mean,test_top1_accuracy_mean,test_mrr_mean,test_mean_target_probability_mean,test_target_in_max_support_rate_mean,test_mean_max_support_count_mean,test_mean_target_score_rank_mean,test_mean_score_gap_mean
phase_cued_retrieval,4/8,4,8,4,8,5,0,0.016667,0.068309,0.015972,0.0,7.0,9.266667,0.414214,0.0,0.021953,0.003333,0.0,10.0,11.833333,0.414214,0.016667,0.064919,0.0125,0.0,14.0,15.883333,0.414214
phase_cued_retrieval,5/10,5,10,5,10,5,0,0.0,0.027815,0.0,0.0,5.366667,12.983333,1.129031,0.0,0.028907,0.008333,0.0,7.833333,23.533333,1.214809,0.0,0.034366,0.003134,0.0,10.933334,27.183333,1.045027
phase_cued_retrieval,6/12,6,12,6,12,5,0,0.0,0.038976,0.004167,0.0,4.383333,15.35,1.299038,0.0,0.024697,0.004762,0.0,6.533333,21.0,1.299038,0.0,0.041225,0.005114,0.0,9.133333,29.133333,1.299038
phase_cued_retrieval,7/11,7,11,1,77,5,0,0.0,0.037405,0.0,0.0,1.4,12.416667,2.450517,0.0,0.026441,0.0,0.0,1.1,14.566667,2.253164,0.016667,0.052006,0.005556,0.0,2.55,24.516667,2.33402
phase_cued_retrieval,8/12,8,12,4,24,5,0,0.016667,0.073409,0.027778,0.0,2.15,14.733333,2.410249,0.0,0.038703,0.011111,0.0,3.3,21.5,2.410249,0.016667,0.050266,0.006667,0.0,4.5,29.083333,2.410249
phase_cued_retrieval,8/16,8,16,8,16,5,0,0.016667,0.071351,0.018055,0.0,3.233333,19.166667,1.874279,0.0,0.026514,0.005556,0.0,4.933333,34.666666,2.25504,0.0,0.039606,0.005714,0.0,6.733333,45.633333,2.196462
phase_cued_retrieval,8/24,8,24,8,24,5,0,0.0,0.041492,0.0,0.0,1.166667,17.966667,3.314866,0.033333,0.07559,0.033333,0.0,1.266667,25.466667,3.346065,0.0,0.044647,0.005556,0.0,2.066666,35.433334,3.346065
phase_cued_retrieval,9/15,9,15,3,45,5,0,0.033333,0.07735,0.025,0.0,1.85,15.5,2.387572,0.0,0.024603,0.0,0.0,2.0,10.666667,1.540495,0.0,0.041575,0.0,0.0,2.0,13.183333,1.5649
phase_cued_retrieval,10/16,10,16,2,80,5,0,0.0,0.036725,0.0,0.0,1.7,16.333333,2.456487,0.0,0.026404,0.0,0.0,1.266667,7.766667,0.868319,0.016667,0.065676,0.016667,0.0,1.216667,21.8,1.385078
phase_cued_retrieval,12/24,12,24,12,24,5,0,0.0,0.036319,0.0,0.0,2.233333,21.383333,2.116755,0.0,0.033872,0.011111,0.0,3.233333,30.666667,2.116755,0.033333,0.069251,0.008889,0.0,4.55,42.483333,2.116755
phase_cued_retrieval,16/32,16,32,16,32,5,0,0.016667,0.064381,0.025,0.0,1.633333,21.316667,2.065215,0.0,0.024616,0.0,0.0,2.466667,14.633333,0.839673,0.016667,0.058388,0.009722,0.0,3.35,29.2,1.084039
