task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_head_class_count,support_head_train_accuracy,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,4,2,4,6,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.365504, 'perplexity': 3.917697, 'top1_accuracy': 0.5, 'mrr': 0.6, 'mean_target_probability': 0.426539, 'mean_top1_confidence': 0.485081, 'expected_calibration_error': 0.216808}",1.699382,5.470568,0.75,0.764706,0.560228,0.645734,0.276656,1.365504,3.917697,0.5,0.6,0.426539,0.485081,0.216808,0.634363,1.88582,1.0,1.0,0.534984,0.534984,0.465016
phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,6,1.0,1.0,4.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.718095, 'perplexity': 2.050522, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.617006, 'mean_top1_confidence': 0.617006, 'expected_calibration_error': 0.382994}",0.710628,2.035269,0.75,0.8,0.75949,0.839214,0.100014,0.718095,2.050522,1.0,1.0,0.617006,0.617006,0.382994,1.748535,5.74618,0.5,0.75,0.292587,0.725836,0.698119
phase_cued_retrieval,307,alibi,alibi,4,2,4,6,1.0,1.0,2.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.360964, 'perplexity': 3.899951, 'top1_accuracy': 0.5, 'mrr': 0.6, 'mean_target_probability': 0.483184, 'mean_top1_confidence': 0.546369, 'expected_calibration_error': 0.153651}",1.33022,3.781874,0.75,0.764706,0.665433,0.734213,0.156888,1.360964,3.899951,0.5,0.6,0.483184,0.546369,0.153651,1.003513,2.727847,0.5,0.75,0.380198,0.55198,0.571559
phase_cued_retrieval,307,rope_relative,rope,4,2,4,6,1.0,1.0,8.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.176405, 'perplexity': 3.242695, 'top1_accuracy': 0.5, 'mrr': 0.666667, 'mean_target_probability': 0.540594, 'mean_top1_confidence': 0.61116, 'expected_calibration_error': 0.126561}",0.819561,2.269503,0.75,0.791667,0.743355,0.836133,0.119592,1.176405,3.242695,0.5,0.666667,0.540594,0.61116,0.126561,3.060977,21.348407,0.0,0.5,0.047669,0.894811,0.894811
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,4,2,4,6,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.365504, 'perplexity': 3.917697, 'top1_accuracy': 0.5, 'mrr': 0.6, 'mean_target_probability': 0.426539, 'mean_top1_confidence': 0.485081, 'expected_calibration_error': 0.216808}",1.699382,5.470568,0.75,0.764706,0.560228,0.645734,0.276656,1.365504,3.917697,0.5,0.6,0.426539,0.485081,0.216808,0.634363,1.88582,1.0,1.0,0.534984,0.534984,0.465016
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,4,2,4,6,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.365504, 'perplexity': 3.917697, 'top1_accuracy': 0.5, 'mrr': 0.6, 'mean_target_probability': 0.426539, 'mean_top1_confidence': 0.485081, 'expected_calibration_error': 0.216808}",1.699382,5.470568,0.75,0.764706,0.560228,0.645734,0.276656,1.365504,3.917697,0.5,0.6,0.426539,0.485081,0.216808,0.634363,1.88582,1.0,1.0,0.534984,0.534984,0.465016
exact_offset_passkey,307,no_position,no_position,4,2,4,6,1.0,1.0,0.0,0.0,-8.0,"{'row_count': 2.0, 'loss': 5.069211, 'perplexity': 159.048861, 'top1_accuracy': 0.0, 'mrr': 0.069712, 'mean_target_probability': 0.00632, 'mean_top1_confidence': 0.200208, 'expected_calibration_error': 0.200208}",4.839208,126.36919,0.0,0.13312,0.036351,0.260704,0.260704,5.069211,159.048861,0.0,0.069712,0.00632,0.200208,0.200208,6.242988,514.393333,0.0,0.07207,0.020524,0.138813,0.138813
exact_offset_passkey,307,sinusoidal,sinusoidal,4,2,4,6,1.0,1.0,12.0,0.0,0.0,"{'row_count': 2.0, 'loss': 0.036029, 'perplexity': 1.036686, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.964612, 'mean_top1_confidence': 0.964612, 'expected_calibration_error': 0.035388}",0.032322,1.03285,1.0,1.0,0.968195,0.968195,0.031805,0.036029,1.036686,1.0,1.0,0.964612,0.964612,0.035388,0.725747,2.066273,0.5,0.75,0.483963,0.485843,0.014157
exact_offset_passkey,307,alibi,alibi,4,2,4,6,1.0,1.0,1.0,0.0,-4.0,"{'row_count': 2.0, 'loss': 4.226165, 'perplexity': 68.454234, 'top1_accuracy': 0.0, 'mrr': 0.069712, 'mean_target_probability': 0.014638, 'mean_top1_confidence': 0.140776, 'expected_calibration_error': 0.140776}",3.940859,51.462786,0.0,0.13312,0.035536,0.173338,0.173338,4.226165,68.454234,0.0,0.069712,0.014638,0.140776,0.140776,4.970709,144.129007,0.0,0.072835,0.019805,0.093584,0.093584
exact_offset_passkey,307,rope_relative,rope,4,2,4,6,1.0,1.0,12.0,0.0,-1.0,"{'row_count': 2.0, 'loss': 1.199999, 'perplexity': 3.320113, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.301195, 'mean_top1_confidence': 0.301195, 'expected_calibration_error': 0.698805}",1.145717,3.144696,1.0,1.0,0.318399,0.318399,0.681601,1.199999,3.320113,1.0,1.0,0.301195,0.301195,0.698805,1.207684,3.345727,1.0,1.0,0.299353,0.299353,0.700647
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,4,2,4,6,1.0,1.0,0.0,0.0,-8.0,"{'row_count': 2.0, 'loss': 5.069211, 'perplexity': 159.048861, 'top1_accuracy': 0.0, 'mrr': 0.069712, 'mean_target_probability': 0.00632, 'mean_top1_confidence': 0.200208, 'expected_calibration_error': 0.200208}",4.839208,126.36919,0.0,0.13312,0.036351,0.260704,0.260704,5.069211,159.048861,0.0,0.069712,0.00632,0.200208,0.200208,6.242988,514.393333,0.0,0.07207,0.020524,0.138813,0.138813
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,4,2,4,6,1.0,1.0,0.0,0.0,-8.0,"{'row_count': 2.0, 'loss': 5.069211, 'perplexity': 159.048861, 'top1_accuracy': 0.0, 'mrr': 0.069712, 'mean_target_probability': 0.00632, 'mean_top1_confidence': 0.200208, 'expected_calibration_error': 0.200208}",4.839208,126.36919,0.0,0.13312,0.036351,0.260704,0.260704,5.069211,159.048861,0.0,0.069712,0.00632,0.200208,0.200208,6.242988,514.393333,0.0,0.07207,0.020524,0.138813,0.138813
tiny_text_fact_qa,307,no_position,no_position,4,2,4,6,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,307,sinusoidal,sinusoidal,4,2,4,6,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,307,alibi,alibi,4,2,4,6,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,307,rope_relative,rope,4,2,4,6,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,4,2,4,6,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,4,2,4,6,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
phase_cued_retrieval,311,no_position,no_position,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.649266, 'perplexity': 1.914135, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.52335, 'mean_top1_confidence': 0.52335, 'expected_calibration_error': 0.47665}",0.912286,2.490009,0.75,0.875,0.597331,0.795819,0.286699,0.649266,1.914135,1.0,1.0,0.52335,0.52335,0.47665,1.094665,2.988181,0.75,0.875,0.383717,0.425745,0.324255
phase_cued_retrieval,311,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.649266, 'perplexity': 1.914135, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.52335, 'mean_top1_confidence': 0.52335, 'expected_calibration_error': 0.47665}",0.912286,2.490009,0.75,0.875,0.597331,0.795819,0.286699,0.649266,1.914135,1.0,1.0,0.52335,0.52335,0.47665,1.094665,2.988181,0.75,0.875,0.383717,0.425745,0.324255
phase_cued_retrieval,311,alibi,alibi,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.649266, 'perplexity': 1.914135, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.52335, 'mean_top1_confidence': 0.52335, 'expected_calibration_error': 0.47665}",0.912286,2.490009,0.75,0.875,0.597331,0.795819,0.286699,0.649266,1.914135,1.0,1.0,0.52335,0.52335,0.47665,1.094665,2.988181,0.75,0.875,0.383717,0.425745,0.324255
phase_cued_retrieval,311,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.649266, 'perplexity': 1.914135, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.52335, 'mean_top1_confidence': 0.52335, 'expected_calibration_error': 0.47665}",0.912286,2.490009,0.75,0.875,0.597331,0.795819,0.286699,0.649266,1.914135,1.0,1.0,0.52335,0.52335,0.47665,1.094665,2.988181,0.75,0.875,0.383717,0.425745,0.324255
