task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,4.0,8.0,0.658965,0.165234,1.14196,2.365017,1.202552,3.711991,0.9,0.8,1.0,0.927941,0.833824,1.0,0.723909,0.581861,0.866585,0.780708,0.655133,0.906283,0.220274,0.108212,0.337869,0.776639,0.544126,1.090452,2.294385,1.724009,3.073266,0.9,0.7,1.0,0.92,0.76,1.0,0.515112,0.459381,0.583864,0.52682,0.486817,0.583898,0.413558,0.303738,0.505598,0.865187,0.719221,1.011152,2.409751,2.05597,2.721577,0.9,0.8,1.0,0.95,0.9,1.0,0.461168,0.405434,0.513981,0.482228,0.449034,0.514937,0.417772,0.333766,0.495565
phase_cued_retrieval,sinusoidal,5,0,0.8,4.0,8.0,0.461215,0.165234,0.76343,1.677958,1.202552,2.126217,0.9,0.8,1.0,0.935,0.855,1.0,0.763762,0.629134,0.866585,0.819404,0.702457,0.914962,0.184945,0.072884,0.320829,0.647157,0.535005,0.718956,1.92095,1.724009,2.055618,1.0,1.0,1.0,1.0,1.0,1.0,0.553205,0.494402,0.608478,0.553205,0.498013,0.610283,0.446795,0.389717,0.505598,1.088021,0.835895,1.435607,3.181823,2.277364,4.507583,0.8,0.65,0.95,0.9,0.825,0.975,0.412688,0.348791,0.476147,0.520398,0.449034,0.628492,0.464393,0.344268,0.589762
phase_cued_retrieval,alibi,5,0,0.4,4.0,8.0,0.585133,0.165234,1.005032,2.027279,1.202552,2.981951,0.9,0.8,1.0,0.927941,0.855882,1.0,0.74495,0.609066,0.880206,0.798404,0.690136,0.906283,0.19632,0.084258,0.314047,0.775731,0.544126,1.103086,2.290836,1.754563,3.128168,0.9,0.7,1.0,0.92,0.76,1.0,0.526441,0.485679,0.589402,0.539078,0.496208,0.596156,0.400926,0.288733,0.503792,0.939017,0.83337,1.046466,2.578156,2.312461,2.843851,0.8,0.65,0.95,0.9,0.825,0.975,0.430211,0.386239,0.479911,0.485627,0.449034,0.521735,0.439081,0.344268,0.533409
phase_cued_retrieval,rope_relative,5,0,1.6,4.0,8.0,0.483001,0.165234,0.76343,1.724804,1.202552,2.202956,0.9,0.8,1.0,0.933333,0.85,1.0,0.760535,0.625279,0.89579,0.818788,0.702457,0.906283,0.188861,0.076799,0.300922,0.738819,0.536596,0.980907,2.159385,1.754563,2.733815,0.9,0.7,1.0,0.933333,0.8,1.0,0.537923,0.497851,0.591552,0.552036,0.498013,0.607864,0.395508,0.274285,0.503792,1.350509,0.83337,2.207006,6.302268,2.270164,13.86892,0.7,0.35,0.95,0.85,0.675,0.975,0.363705,0.203805,0.474182,0.554193,0.448437,0.735606,0.503731,0.344268,0.66271
phase_cued_retrieval,phasewrap_bias,5,0,0.0,4.0,8.0,0.658965,0.165234,1.216388,2.365017,1.202552,3.995168,0.9,0.8,1.0,0.927941,0.833824,1.0,0.723909,0.581233,0.866585,0.780708,0.67244,0.906283,0.220274,0.108212,0.334344,0.776639,0.54804,1.101896,2.294385,1.746553,3.146826,0.9,0.7,1.0,0.92,0.76,1.0,0.515112,0.453498,0.591552,0.52682,0.486783,0.589781,0.413558,0.301933,0.503792,0.865187,0.719221,1.008627,2.409751,2.058981,2.76562,0.9,0.8,1.0,0.95,0.9,1.0,0.461168,0.407399,0.510164,0.482228,0.449034,0.513136,0.417772,0.333766,0.490792
phase_cued_retrieval,phasewrap_adapter,5,0,0.0,4.0,8.0,0.658965,0.165234,1.310116,2.365017,1.202552,3.995168,0.9,0.8,1.0,0.927941,0.833824,1.0,0.723909,0.575069,0.866585,0.780708,0.665442,0.906283,0.220274,0.108212,0.332335,0.776639,0.544126,1.10581,2.294385,1.754563,3.146826,0.9,0.7,1.0,0.92,0.76,1.0,0.515112,0.457575,0.585669,0.52682,0.486783,0.589747,0.413558,0.301933,0.505598,0.865187,0.726423,1.011152,2.409751,2.058981,2.803655,0.9,0.8,1.0,0.95,0.9,1.0,0.461168,0.409198,0.513981,0.482228,0.449034,0.515893,0.417772,0.33998,0.495565
exact_offset_passkey,no_position,5,0,0.0,9.2,-1.4,5.475404,2.984869,8.374606,15468.077663,37.324981,46030.126761,0.25,0.05,0.45,0.31581,0.144134,0.487486,0.229827,0.065913,0.393741,0.488552,0.346199,0.624707,0.302554,0.20139,0.463039,4.602466,1.000459,9.636635,200035.41088,4.860786,600004.682829,0.6,0.2,0.9,0.636859,0.27516,0.916667,0.463292,0.198816,0.701264,0.618443,0.352452,0.911397,0.295935,0.068693,0.521884,9.712756,5.35904,15.595864,200003790.706279,770.362595,600001084.225359,0.15,0.05,0.25,0.20058,0.098795,0.298836,0.110664,0.017119,0.205366,0.490966,0.256571,0.738612,0.427978,0.254885,0.575165
exact_offset_passkey,sinusoidal,5,0,9.6,5.2,2.4,2.317099,0.037081,6.797973,15334.25404,1.037842,46000.596855,0.8,0.4,1.0,0.814811,0.444433,1.0,0.742998,0.38477,0.964385,0.868271,0.737383,0.964385,0.18361,0.035615,0.399563,0.019543,0.007791,0.028779,1.019808,1.008537,1.029218,1.0,1.0,1.0,1.0,1.0,1.0,0.980809,0.971093,0.991723,0.980809,0.97169,0.989853,0.019191,0.010147,0.02951,3.192389,0.926674,6.298974,3140.865113,2.838953,9404.964074,0.5,0.35,0.65,0.665143,0.487097,0.808333,0.491612,0.357699,0.601445,0.755469,0.601225,0.872796,0.291952,0.139608,0.400058
exact_offset_passkey,alibi,5,0,0.7,8.8,0.0,5.209295,2.516553,8.401092,15451.250377,18.651691,46105.041171,0.25,0.05,0.45,0.314257,0.17607,0.482847,0.249219,0.059147,0.398912,0.47952,0.32536,0.596199,0.252213,0.122769,0.44413,4.394936,1.135905,9.13454,200017.133773,3.621962,600002.587494,0.6,0.3,0.9,0.637276,0.347885,0.906667,0.448716,0.156016,0.747233,0.58452,0.281576,0.898555,0.296015,0.122726,0.47075,9.231669,5.14337,14.724364,200003256.79747,209.174587,600003163.444928,0.1,0.0,0.2,0.177975,0.080626,0.268383,0.110267,0.016074,0.204355,0.49676,0.222039,0.778158,0.39676,0.198396,0.618717
exact_offset_passkey,rope_relative,5,0,9.6,4.4,-0.6,3.000248,0.827938,7.123798,15335.457498,2.308731,46001.174757,0.55,0.2,0.8,0.681478,0.3611,0.925,0.390909,0.15208,0.566182,0.541679,0.418276,0.632928,0.388013,0.189243,0.590407,0.624491,0.257152,0.975907,2.002848,1.358435,2.752848,1.0,1.0,1.0,1.0,1.0,1.0,0.639617,0.432558,0.851841,0.639617,0.435953,0.787939,0.360383,0.212061,0.563884,3.051989,1.279196,6.361262,3137.750421,3.649802,9405.295703,0.6,0.3,0.9,0.702644,0.466264,0.95,0.279211,0.237336,0.319638,0.406125,0.300424,0.538659,0.518617,0.341489,0.677684
