task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,4,2,4,3,0.0,0.0,3.775593,0.25372,0.014485,1.014591,1.0,1.0,0.985622,0.985622,0.014378,4.096782,60.146418,0.0,0.27,0.018352,0.654456,0.654456,4.096427,60.125082,0.0,0.126075,0.023643,0.252058,0.252058
exact_offset_passkey,307,no_position,no_position,4,2,4,3,1.0,0.0,3.775593,0.25372,4.106786,60.751147,0.0,0.063244,0.016546,0.204521,0.204521,4.465412,86.956846,0.0,0.041739,0.011534,0.251232,0.251232,4.183895,65.620918,0.0,0.093229,0.018546,0.299297,0.299297
tiny_text_fact_qa,307,no_position,no_position,4,2,4,3,1.0,0.0,3.775593,0.25372,0.467467,1.595946,1.0,1.0,0.628096,0.628096,0.371904,0.627804,1.873491,1.0,1.0,0.533763,0.533763,0.466237,0.764066,2.146988,1.0,1.0,0.466914,0.466914,0.533086
phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,3,0.0,6.845539,2.593865,-0.11005,0.00124,1.00124,1.0,1.0,0.998761,0.998761,0.001239,4.033614,56.464591,0.5,0.625,0.376123,0.87495,0.62312,4.99381,147.497319,0.0,0.113005,0.007724,0.549113,0.549113
exact_offset_passkey,307,sinusoidal,sinusoidal,4,2,4,3,1.0,6.845539,2.593865,-0.11005,0.22899,1.257329,1.0,1.0,0.795353,0.795353,0.204647,0.265494,1.304075,1.0,1.0,0.766827,0.766827,0.233173,0.875569,2.40024,0.25,0.625,0.419837,0.431868,0.425691
tiny_text_fact_qa,307,sinusoidal,sinusoidal,4,2,4,3,1.0,6.845539,2.593865,-0.11005,0.017756,1.017914,1.0,1.0,0.982402,0.982402,0.017598,0.022211,1.022459,1.0,1.0,0.978034,0.978034,0.021966,0.108482,1.114585,1.0,1.0,0.897211,0.897211,0.102789
phase_cued_retrieval,307,alibi,alibi,4,2,4,3,0.0,0.373155,3.775547,0.626845,0.014486,1.014591,1.0,1.0,0.985621,0.985621,0.014379,4.097468,60.187716,0.0,0.27,0.018345,0.655042,0.655042,4.096783,60.146514,0.0,0.126075,0.023651,0.252797,0.252797
exact_offset_passkey,307,alibi,alibi,4,2,4,3,1.0,0.373155,3.775547,0.626845,4.106768,60.750057,0.0,0.063244,0.016546,0.204519,0.204519,4.466094,87.016169,0.0,0.041739,0.011527,0.251818,0.251818,4.185108,65.70061,0.0,0.093229,0.018522,0.300312,0.300312
tiny_text_fact_qa,307,alibi,alibi,4,2,4,3,1.0,0.373155,3.775547,0.626845,0.467484,1.595973,1.0,1.0,0.628086,0.628086,0.371914,0.627825,1.873531,1.0,1.0,0.533752,0.533752,0.466248,0.764092,2.147045,1.0,1.0,0.466902,0.466902,0.533098
phase_cued_retrieval,307,rope_relative,rope,4,2,4,3,0.0,11.576825,2.655684,0.6058,0.011057,1.011118,1.0,1.0,0.989005,0.989005,0.010995,4.063222,58.161413,0.5,0.625,0.117523,0.610001,0.876219,6.834363,929.236667,0.0,0.032257,0.002183,0.280824,0.280824
exact_offset_passkey,307,rope_relative,rope,4,2,4,3,1.0,11.576825,2.655684,0.6058,1.404843,4.074888,1.0,1.0,0.248256,0.248256,0.751744,1.408247,4.088783,1.0,1.0,0.24478,0.24478,0.75522,1.31343,3.718907,0.75,0.875,0.271257,0.277046,0.647533
tiny_text_fact_qa,307,rope_relative,rope,4,2,4,3,1.0,11.576825,2.655684,0.6058,0.149939,1.161763,1.0,1.0,0.860771,0.860771,0.139229,0.160667,1.174294,1.0,1.0,0.851575,0.851575,0.148425,0.160006,1.173518,1.0,1.0,0.852149,0.852149,0.147851
