task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,3.631685,1.511157,0.344727,0.058731,0.649233,1.507601,1.040166,2.001218,0.9,0.8,1.0,0.95,0.9,1.0,0.864811,0.761531,0.964916,0.949631,0.918644,0.974335,0.114759,0.035084,0.194434,3.515802,2.88928,3.971732,39.262195,23.659276,52.112649,0.0,0.0,0.0,0.282889,0.275333,0.29,0.058603,0.021732,0.124882,0.565541,0.470079,0.6507,0.565541,0.456248,0.649658,3.996546,3.566067,4.288059,58.481974,39.043013,72.400787,0.0,0.0,0.0,0.098877,0.06608,0.139956,0.025467,0.014954,0.040965,0.208554,0.16434,0.241786,0.208554,0.165101,0.239691
phase_cued_retrieval,sinusoidal,5,0,6.789711,1.905514,3.828213,0.307531,0.022861,0.592369,1.446387,1.023877,1.846767,0.9,0.8,1.0,0.95,0.9,1.0,0.87462,0.768146,0.981094,0.952797,0.919225,0.986538,0.107668,0.018906,0.19643,5.48711,4.496151,6.41009,400.233592,127.303118,769.29329,0.1,0.0,0.3,0.277738,0.187619,0.451786,0.079445,0.00312,0.228327,0.806351,0.719619,0.859651,0.755985,0.668713,0.839894,4.889513,4.405175,5.373851,157.99393,81.442126,241.968845,0.0,0.0,0.0,0.177311,0.110189,0.251275,0.034495,0.008093,0.067419,0.640654,0.55668,0.715141,0.640654,0.562602,0.713323
phase_cued_retrieval,alibi,5,0,-0.259187,3.634622,1.259187,0.344454,0.039949,0.648959,1.507291,1.039858,2.000904,0.9,0.8,1.0,0.95,0.9,1.0,0.864987,0.764883,0.965091,0.949807,0.925143,0.974538,0.114584,0.033138,0.188844,3.516075,2.892279,4.001444,39.281358,21.087085,52.149221,0.0,0.0,0.0,0.282889,0.275778,0.288889,0.058755,0.021232,0.125351,0.565907,0.45644,0.650218,0.565907,0.455445,0.652209,3.997206,3.611236,4.261407,58.512257,40.072222,73.422307,0.0,0.0,0.0,0.098877,0.06608,0.139956,0.025467,0.015567,0.041592,0.209185,0.15927,0.241171,0.209185,0.164715,0.241171
phase_cued_retrieval,rope_relative,5,0,11.356413,2.441397,3.411008,0.433016,0.064671,0.832545,1.696511,1.065835,2.355323,0.85,0.75,0.95,0.925,0.875,0.975,0.850465,0.742253,0.949489,0.942326,0.901692,0.973731,0.111137,0.042707,0.179567,4.209993,3.093835,5.418823,154.035994,30.518545,371.311322,0.1,0.0,0.3,0.330373,0.196376,0.499359,0.050083,0.011711,0.089382,0.575224,0.524606,0.636473,0.628468,0.526595,0.747003,5.346634,4.271433,6.285494,351.93724,104.841183,657.830097,0.0,0.0,0.0,0.071703,0.037872,0.121367,0.019474,0.004872,0.042923,0.235727,0.181057,0.292752,0.235727,0.181057,0.290396
phase_cued_retrieval,phasewrap_bias,5,0,-2.27522,3.935404,1.256007,0.360432,0.028277,0.672446,1.551537,1.032998,2.073308,0.9,0.8,1.0,0.95,0.9,1.0,0.875072,0.782429,0.977748,0.964357,0.93096,0.988106,0.107576,0.02385,0.191303,3.687096,2.897978,4.322391,51.537162,24.969021,78.187847,0.0,0.0,0.0,0.290142,0.277647,0.307831,0.056422,0.015419,0.128878,0.630092,0.497742,0.762442,0.630092,0.497742,0.77794,4.206061,3.570388,4.859897,89.114266,40.181241,158.895103,0.0,0.0,0.0,0.080757,0.049934,0.125793,0.025857,0.014712,0.041484,0.3091,0.22579,0.406073,0.3091,0.215038,0.405688
phase_cued_retrieval,phasewrap_adapter,5,0,-1.850946,3.89273,1.223237,0.335415,0.024655,0.647008,1.498076,1.027779,2.01391,0.9,0.8,1.0,0.95,0.9,1.0,0.87636,0.770767,0.978665,0.963414,0.935658,0.98599,0.103992,0.023315,0.18467,3.492072,2.750326,4.015556,40.342131,22.230695,60.07391,0.0,0.0,0.0,0.294121,0.281978,0.31,0.063439,0.020604,0.140862,0.606601,0.477918,0.749532,0.606601,0.463377,0.735283,3.996725,3.501466,4.429586,63.303167,37.652649,93.074387,0.0,0.0,0.0,0.098296,0.068518,0.139051,0.028679,0.016387,0.045101,0.28777,0.207993,0.369449,0.28777,0.197228,0.369449
exact_offset_passkey,no_position,5,0,0.0,3.631685,1.511157,3.748623,3.28205,4.060941,46.633062,31.040599,57.313282,0.05,0.0,0.15,0.121807,0.061424,0.231588,0.068251,0.017577,0.166653,0.243976,0.191037,0.326427,0.196084,0.175897,0.217868,4.069609,2.771308,5.532004,160.676963,25.333101,391.352758,0.1,0.0,0.3,0.172759,0.05056,0.361624,0.110144,0.009135,0.28871,0.339992,0.17302,0.506965,0.252402,0.136111,0.417757,4.450994,3.866521,4.88557,98.466409,57.880191,132.472706,0.05,0.0,0.15,0.131667,0.070705,0.208078,0.054352,0.011448,0.11629,0.347466,0.228333,0.435876,0.324738,0.240489,0.409653
exact_offset_passkey,sinusoidal,5,0,6.789711,1.905514,3.828213,0.32444,0.231878,0.417001,1.391316,1.2612,1.521514,1.0,1.0,1.0,1.0,1.0,1.0,0.733489,0.670685,0.793708,0.733489,0.671756,0.797807,0.266511,0.207937,0.325621,0.873265,0.406873,1.339657,2.780185,1.53895,4.225715,0.7,0.5,0.9,0.82,0.69,0.95,0.577183,0.443052,0.699414,0.71312,0.630242,0.772716,0.337135,0.256961,0.412298,1.427979,0.659655,2.196303,6.906894,2.029774,13.569989,0.45,0.2,0.7,0.670417,0.515833,0.872917,0.426431,0.288734,0.606678,0.629387,0.526696,0.720031,0.365399,0.241745,0.502096
exact_offset_passkey,alibi,5,0,-0.259187,3.634622,1.259187,3.74933,3.247983,4.047259,46.64438,30.181609,58.068392,0.05,0.0,0.15,0.121807,0.061226,0.226827,0.068252,0.017461,0.166658,0.244005,0.190931,0.323114,0.196078,0.177379,0.217971,4.073327,2.995123,5.318995,162.951654,18.965099,393.888094,0.1,0.0,0.3,0.172759,0.05056,0.339915,0.110138,0.008362,0.291428,0.340248,0.173066,0.507431,0.252658,0.144024,0.418211,4.45448,4.006788,4.889065,98.90696,57.96942,132.833022,0.05,0.0,0.15,0.131559,0.072847,0.20498,0.054386,0.011437,0.118091,0.348254,0.228886,0.452864,0.325423,0.221712,0.410231
exact_offset_passkey,rope_relative,5,0,11.356413,2.441397,3.411008,1.450065,1.297736,1.563594,4.305413,3.820423,4.7907,0.85,0.75,0.95,0.9,0.825,0.975,0.260977,0.214488,0.336445,0.266577,0.222964,0.336573,0.583423,0.439931,0.722361,1.543377,1.006958,2.003012,5.742672,3.159484,10.030808,0.9,0.7,1.0,0.907143,0.721428,1.0,0.289754,0.177935,0.458504,0.299939,0.204505,0.452458,0.624733,0.484213,0.763192,1.610839,1.292841,2.061408,5.646683,3.588043,8.614725,0.6,0.45,0.75,0.751346,0.579039,0.875,0.257033,0.222843,0.283849,0.318319,0.262768,0.398266,0.456633,0.360083,0.555105
