task,seed,support_strategy,support_row_count,test_row_count,support_class_count,support_query_mod_count,known_query_mod_fraction,support_class_fraction,exact_query_support_fraction,support_classes,support_query_mods,test_classes,test_query_mods,missing_query_mods,missing_classes,support_map
phase_cued_retrieval,307,same_seed_train,4,4,3,3,0.0,0.0,0.0,"[8, 11, 12]","[8, 11, 12]","[5, 7, 16, 19]","[0, 3, 5, 7]","[0, 3, 5, 7]","[5, 7, 16, 19]","{'8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,307,same_seed_train_validation,6,4,4,4,0.25,0.25,0.25,"[8, 11, 12, 16]","[0, 8, 11, 12]","[5, 7, 16, 19]","[0, 3, 5, 7]","[3, 5, 7]","[5, 7, 19]","{'0': [16], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,307,cross_seed_train,16,4,6,6,1.0,1.0,1.0,"[5, 7, 8, 11, 16, 19]","[0, 3, 5, 7, 8, 11]","[5, 7, 16, 19]","[0, 3, 5, 7]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11]}"
phase_cued_retrieval,307,pooled_train,20,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[5, 7, 16, 19]","[0, 3, 5, 7]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,311,same_seed_train,4,4,3,3,0.0,0.0,0.0,"[5, 7, 19]","[3, 5, 7]","[8, 11, 12, 16]","[0, 8, 11, 12]","[0, 8, 11, 12]","[8, 11, 12, 16]","{'3': [19], '5': [5], '7': [7]}"
phase_cued_retrieval,311,same_seed_train_validation,6,4,4,4,0.25,0.25,0.25,"[5, 7, 8, 19]","[3, 5, 7, 8]","[8, 11, 12, 16]","[0, 8, 11, 12]","[0, 11, 12]","[11, 12, 16]","{'3': [19], '5': [5], '7': [7], '8': [8]}"
phase_cued_retrieval,311,cross_seed_train,16,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[8, 11, 12, 16]","[0, 8, 11, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,311,pooled_train,20,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[8, 11, 12, 16]","[0, 8, 11, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,313,same_seed_train,4,4,3,3,0.0,0.0,0.0,"[7, 8, 11]","[7, 8, 11]","[5, 12, 16, 19]","[0, 3, 5, 12]","[0, 3, 5, 12]","[5, 12, 16, 19]","{'7': [7], '8': [8], '11': [11]}"
phase_cued_retrieval,313,same_seed_train_validation,6,4,4,4,0.25,0.25,0.25,"[7, 8, 11, 12]","[7, 8, 11, 12]","[5, 12, 16, 19]","[0, 3, 5, 12]","[0, 3, 5]","[5, 16, 19]","{'7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,313,cross_seed_train,16,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[5, 12, 16, 19]","[0, 3, 5, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,313,pooled_train,20,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[5, 12, 16, 19]","[0, 3, 5, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,317,same_seed_train,4,4,3,3,0.0,0.0,0.0,"[5, 16, 19]","[0, 3, 5]","[7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]","{'0': [16], '3': [19], '5': [5]}"
phase_cued_retrieval,317,same_seed_train_validation,6,4,4,4,0.25,0.25,0.25,"[5, 7, 16, 19]","[0, 3, 5, 7]","[7, 8, 11, 12]","[7, 8, 11, 12]","[8, 11, 12]","[8, 11, 12]","{'0': [16], '3': [19], '5': [5], '7': [7]}"
phase_cued_retrieval,317,cross_seed_train,16,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,317,pooled_train,20,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,331,same_seed_train,4,4,3,3,0.0,0.0,0.0,"[5, 16, 19]","[0, 3, 5]","[7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]","{'0': [16], '3': [19], '5': [5]}"
phase_cued_retrieval,331,same_seed_train_validation,6,4,4,4,0.25,0.25,0.25,"[5, 7, 16, 19]","[0, 3, 5, 7]","[7, 8, 11, 12]","[7, 8, 11, 12]","[8, 11, 12]","[8, 11, 12]","{'0': [16], '3': [19], '5': [5], '7': [7]}"
phase_cued_retrieval,331,cross_seed_train,16,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
phase_cued_retrieval,331,pooled_train,20,4,7,7,1.0,1.0,1.0,"[5, 7, 8, 11, 12, 16, 19]","[0, 3, 5, 7, 8, 11, 12]","[7, 8, 11, 12]","[7, 8, 11, 12]",[],[],"{'0': [16], '3': [19], '5': [5], '7': [7], '8': [8], '11': [11], '12': [12]}"
