task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,12,6,12,7,1.0,0.0,3.523145,0.951268,0.27058,1.310725,0.916667,0.958333,0.884964,0.954728,0.111667,1.991602,7.327262,0.333333,0.666667,0.349038,0.915216,0.581882,2.943162,18.975745,0.0,0.5,0.053255,0.856094,0.856094
exact_offset_passkey,307,no_position,no_position,12,6,12,7,1.0,0.0,3.523145,0.951268,3.30615,27.2799,0.166667,0.274541,0.192236,0.401704,0.235037,5.258121,192.120153,0.0,0.182026,0.010475,0.638359,0.638359,3.897616,49.284799,0.166667,0.277866,0.160486,0.527916,0.36125
tiny_text_fact_qa,307,no_position,no_position,12,6,12,7,1.0,0.0,3.523145,0.951268,1.263441,3.537575,0.75,0.771925,0.423242,0.438018,0.361111,0.71433,2.042818,1.0,1.0,0.492862,0.492862,0.507138,1.128997,3.092552,0.916667,0.922619,0.378141,0.380587,0.545417
phase_cued_retrieval,307,sinusoidal,sinusoidal,12,6,12,7,1.0,4.085757,1.590863,0.859141,0.377317,1.458366,0.916667,0.958333,0.876125,0.952063,0.035397,2.826371,16.884085,0.333333,0.547222,0.324525,0.896663,0.563329,3.841256,46.583964,0.0,0.288889,0.025549,0.828403,0.828403
exact_offset_passkey,307,sinusoidal,sinusoidal,12,6,12,7,1.0,4.085757,1.590863,0.859141,0.74509,2.106631,0.833333,0.916667,0.527215,0.593187,0.360401,1.390817,4.018131,0.166667,0.583333,0.259476,0.425136,0.258469,1.342564,3.82885,0.666667,0.819444,0.356844,0.547236,0.388719
tiny_text_fact_qa,307,sinusoidal,sinusoidal,12,6,12,7,1.0,4.085757,1.590863,0.859141,0.303935,1.355181,1.0,1.0,0.752262,0.752262,0.247738,0.254202,1.289433,1.0,1.0,0.776317,0.776317,0.223683,0.450373,1.568896,1.0,1.0,0.652636,0.652636,0.347364
phase_cued_retrieval,307,alibi,alibi,12,6,12,7,1.0,0.073359,3.545019,0.926641,0.276559,1.318585,0.916667,0.958333,0.88594,0.956833,0.040167,2.040594,7.695178,0.333333,0.666667,0.347048,0.920394,0.58706,3.008551,20.258022,0.0,0.5,0.049897,0.864126,0.864126
exact_offset_passkey,307,alibi,alibi,12,6,12,7,1.0,0.073359,3.545019,0.926641,3.306824,27.298277,0.166667,0.274541,0.192086,0.403402,0.236735,5.285856,197.523182,0.0,0.182026,0.010449,0.64039,0.64039,3.933475,51.084171,0.166667,0.279218,0.161383,0.533215,0.366548
tiny_text_fact_qa,307,alibi,alibi,12,6,12,7,1.0,0.073359,3.545019,0.926641,1.251136,3.49431,0.75,0.771925,0.429083,0.44366,0.355157,0.704336,2.022502,1.0,1.0,0.49711,0.49711,0.50289,1.120775,3.067229,0.916667,0.922619,0.381539,0.384096,0.542042
phase_cued_retrieval,307,rope_relative,rope,12,6,12,7,1.0,5.039588,2.801357,1.058901,0.354366,1.425277,0.916667,0.958333,0.886728,0.963306,0.04664,2.702765,14.920925,0.333333,0.666667,0.33115,0.946967,0.613633,4.616945,101.184465,0.0,0.430556,0.011486,0.932478,0.932478
exact_offset_passkey,307,rope_relative,rope,12,6,12,7,1.0,5.039588,2.801357,1.058901,2.052788,7.789586,0.583333,0.75,0.242288,0.355901,0.453482,2.769314,15.947686,0.166667,0.5,0.067313,0.398865,0.533812,2.130811,8.421697,0.416667,0.645833,0.255014,0.424713,0.265731
tiny_text_fact_qa,307,rope_relative,rope,12,6,12,7,1.0,5.039588,2.801357,1.058901,0.807779,2.242922,0.833333,0.902778,0.547657,0.548757,0.284577,0.409028,1.505354,1.0,1.0,0.665278,0.665278,0.334722,0.620816,1.860445,0.916667,0.958333,0.580478,0.580722,0.354408
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.321448,3.344941,0.664588,0.274321,1.315637,0.916667,0.958333,0.884323,0.954664,0.037997,1.991971,7.329969,0.333333,0.666667,0.348969,0.918166,0.584833,2.942575,18.96462,0.0,0.5,0.053077,0.85963,0.85963
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.321448,3.344941,0.664588,3.104651,22.301436,0.166667,0.310733,0.20163,0.411012,0.244345,5.524994,250.884767,0.0,0.225866,0.013417,0.747522,0.747522,4.042581,56.973179,0.166667,0.281486,0.159611,0.566068,0.399401
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.321448,3.344941,0.664588,1.153131,3.168096,0.75,0.776425,0.452387,0.470888,0.341571,0.647326,1.910426,1.0,1.0,0.525212,0.525212,0.474788,1.05824,2.881296,0.916667,0.923077,0.398991,0.403473,0.527709
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-0.984991,3.380845,0.688056,0.263172,1.30105,0.916667,0.958333,0.883427,0.95198,0.11325,1.912148,6.767611,0.333333,0.666667,0.352986,0.912035,0.578702,2.826371,16.884078,0.0,0.5,0.059763,0.849066,0.849066
