task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,4.07179,1.298734,0.274261,0.250632,0.300321,1.316034,1.28706,1.347158,0.916667,0.916667,0.916667,0.958333,0.958333,0.958333,0.889415,0.866606,0.906649,0.960897,0.934351,0.980223,0.087982,0.060111,0.11848,2.217433,1.998461,2.431893,9.49268,7.439572,11.833233,0.3,0.233333,0.333333,0.65,0.616667,0.666667,0.314965,0.255904,0.34993,0.92182,0.872486,0.954685,0.644328,0.598429,0.713421,3.111619,2.914238,3.288243,23.033212,18.536038,27.337907,0.016667,0.0,0.05,0.508333,0.5,0.525,0.062236,0.043526,0.087151,0.884739,0.842846,0.923922,0.868072,0.833944,0.900746
phase_cued_retrieval,sinusoidal,5,0,3.759035,2.324045,1.469673,0.348201,0.312118,0.374332,1.417563,1.37218,1.454747,0.916667,0.916667,0.916667,0.958333,0.958333,0.958333,0.896032,0.881875,0.908757,0.973078,0.958439,0.986996,0.059816,0.045788,0.072564,2.975062,2.541191,3.429686,22.665851,12.631503,36.15007,0.3,0.233333,0.333333,0.587222,0.548333,0.622222,0.301589,0.236284,0.337037,0.93778,0.907676,0.967884,0.637779,0.574342,0.725353,3.870869,3.474082,4.191189,52.096968,36.983936,69.634314,0.016667,0.0,0.05,0.406389,0.338611,0.465278,0.043291,0.021395,0.072713,0.889441,0.834658,0.944224,0.872774,0.832548,0.912636
phase_cued_retrieval,alibi,5,0,-0.124877,4.091593,1.124877,0.27847,0.253197,0.303744,1.32165,1.288231,1.355069,0.916667,0.916667,0.916667,0.958333,0.958333,0.958333,0.889436,0.866298,0.90988,0.96151,0.939217,0.982217,0.074518,0.046585,0.110772,2.24723,2.036872,2.457588,9.757092,7.733906,11.901706,0.3,0.233333,0.333333,0.65,0.616667,0.666667,0.313785,0.255132,0.349177,0.923941,0.8783,0.956312,0.646571,0.598152,0.718731,3.151069,2.958788,3.343351,23.951813,19.371555,28.518009,0.016667,0.0,0.05,0.508333,0.5,0.525,0.060542,0.041955,0.083187,0.888235,0.839974,0.927833,0.871568,0.83656,0.902975
phase_cued_retrieval,rope_relative,5,0,4.605638,3.392608,1.552716,0.330093,0.311326,0.351585,1.391529,1.361576,1.421482,0.916667,0.916667,0.916667,0.958333,0.958333,0.958333,0.900051,0.891738,0.908365,0.977316,0.967701,0.986056,0.064735,0.05467,0.072505,2.854704,2.606068,3.148416,18.364909,13.43859,24.831437,0.3,0.233333,0.333333,0.65,0.616667,0.666667,0.303954,0.241258,0.33694,0.962041,0.948742,0.973906,0.662041,0.616407,0.732025,4.485306,4.23142,4.650564,91.319024,71.667027,106.650169,0.016667,0.0,0.05,0.45,0.436111,0.469444,0.028565,0.010948,0.059622,0.95189,0.935457,0.966408,0.935223,0.91472,0.954059
phase_cued_retrieval,phasewrap_bias,5,0,-1.459954,3.92744,0.910059,0.286321,0.266894,0.30451,1.331917,1.302398,1.356096,0.916667,0.916667,0.916667,0.958333,0.958333,0.958333,0.888817,0.864396,0.908631,0.961896,0.933957,0.979927,0.075399,0.046745,0.112877,2.289246,2.014318,2.629138,10.555123,7.517777,14.07736,0.3,0.233333,0.333333,0.65,0.616667,0.666667,0.311924,0.247884,0.350465,0.927281,0.879782,0.962229,0.650589,0.602973,0.724298,3.187888,2.992661,3.384212,24.951592,20.26607,30.070555,0.016667,0.0,0.05,0.508333,0.5,0.525,0.058909,0.040323,0.080495,0.892546,0.837873,0.936553,0.875879,0.840321,0.911012
phase_cued_retrieval,phasewrap_adapter,5,0,-1.044761,3.967576,0.993432,0.270787,0.248178,0.293347,1.311462,1.281947,1.34291,0.916667,0.916667,0.916667,0.958333,0.958333,0.958333,0.888613,0.862376,0.91047,0.959745,0.933531,0.981208,0.089264,0.06066,0.12218,2.17451,1.936065,2.456646,9.252141,6.876858,12.311981,0.3,0.233333,0.333333,0.65,0.616667,0.666667,0.316775,0.254075,0.354032,0.921622,0.874091,0.957793,0.644606,0.596523,0.721783,3.042321,2.865063,3.219578,21.417358,17.854708,24.980008,0.016667,0.0,0.05,0.508333,0.5,0.525,0.065183,0.04573,0.091793,0.883645,0.839531,0.930265,0.866978,0.828153,0.902695
exact_offset_passkey,no_position,5,0,0.0,4.07179,1.298734,2.913633,2.48268,3.231421,19.804046,13.73403,25.424625,0.266667,0.216667,0.35,0.340226,0.290505,0.414487,0.27347,0.216934,0.344193,0.437621,0.368285,0.520055,0.192932,0.133608,0.233267,3.597151,2.605572,4.337889,62.488675,20.612068,129.403494,0.233333,0.066667,0.366667,0.350176,0.25078,0.479253,0.22944,0.084343,0.366197,0.506128,0.378087,0.62476,0.305574,0.166186,0.490508,3.987717,3.742109,4.176423,55.51192,43.874798,65.174337,0.2,0.166667,0.233333,0.280497,0.249896,0.315687,0.175056,0.138443,0.223598,0.488243,0.427168,0.533463,0.333344,0.288446,0.367333
exact_offset_passkey,sinusoidal,5,0,3.759035,2.324045,1.469673,0.83782,0.752421,0.915287,2.321786,2.119743,2.505346,0.85,0.75,0.95,0.919445,0.858334,0.966667,0.527867,0.507619,0.548115,0.601344,0.561875,0.63746,0.389421,0.272372,0.474195,1.124011,0.816551,1.363026,3.2221,2.377321,3.890395,0.666667,0.433333,0.9,0.822222,0.7,0.944444,0.429182,0.322322,0.557738,0.553476,0.457272,0.659423,0.432242,0.309587,0.525049,1.533815,1.397064,1.655315,4.681285,4.101686,5.246329,0.65,0.583333,0.733333,0.794445,0.740278,0.855556,0.340343,0.314014,0.368439,0.531765,0.488538,0.57588,0.440158,0.341614,0.556289
exact_offset_passkey,alibi,5,0,-0.124877,4.091593,1.124877,2.912402,2.518155,3.230509,19.788326,14.020068,25.065004,0.266667,0.2,0.35,0.339763,0.289667,0.412461,0.273624,0.216787,0.346338,0.437897,0.369477,0.529841,0.193075,0.131547,0.23403,3.611692,2.598394,4.370233,63.901917,20.826681,128.569216,0.233333,0.1,0.366667,0.349621,0.230209,0.485483,0.229582,0.093213,0.388572,0.507923,0.389772,0.621814,0.307163,0.183871,0.492127,4.006557,3.750301,4.194513,56.587875,44.485667,65.797174,0.2,0.166667,0.233333,0.280157,0.251867,0.315047,0.175415,0.134369,0.217437,0.490736,0.427103,0.536875,0.335895,0.290283,0.37579
exact_offset_passkey,rope_relative,5,0,4.605638,3.392608,1.552716,1.982673,1.836204,2.098984,7.350142,6.332994,8.08917,0.466667,0.383333,0.533333,0.630648,0.554445,0.713611,0.310822,0.260654,0.381225,0.414214,0.350766,0.493515,0.270101,0.17498,0.366593,2.177314,1.678169,2.588223,9.885913,5.713656,13.667032,0.433334,0.233334,0.633334,0.618148,0.498333,0.725,0.280464,0.149832,0.416484,0.451155,0.361071,0.53917,0.362008,0.211486,0.512529,2.396769,2.224662,2.53583,11.137299,9.60848,12.666119,0.35,0.3,0.4,0.547288,0.511455,0.603743,0.248006,0.210552,0.278071,0.422024,0.368567,0.455183,0.270759,0.233731,0.309082
