task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_scale,routing_support_scale,routing_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,12,6,12,7,1.0,0.0,5.149545,6.261501,0.0,5.149545,6.261501,0.125615,1.133846,0.916667,0.958333,0.907803,0.914127,0.014345,0.99317,2.69978,0.333333,0.666667,0.479954,0.822731,0.498903,1.56048,4.761107,0.083333,0.541667,0.251347,0.68768,0.609385
exact_offset_passkey,307,no_position,no_position,12,6,12,7,1.0,0.0,5.149545,6.261501,0.0,5.149545,6.261501,3.30615,27.2799,0.166667,0.274541,0.192236,0.401704,0.235037,5.258121,192.120153,0.0,0.182026,0.010475,0.638359,0.638359,3.897616,49.284799,0.166667,0.277866,0.160486,0.527916,0.36125
tiny_text_fact_qa,307,no_position,no_position,12,6,12,7,1.0,0.0,5.149545,6.261501,0.0,5.149545,6.261501,1.263441,3.537575,0.75,0.771925,0.423242,0.438018,0.361111,0.71433,2.042818,1.0,1.0,0.492862,0.492862,0.507138,1.128997,3.092552,0.916667,0.922619,0.378141,0.380587,0.545417
phase_cued_retrieval,307,sinusoidal,sinusoidal,12,6,12,7,1.0,2.331743,4.172026,7.205673,2.331743,4.172026,7.205673,0.126208,1.134518,0.916667,0.958333,0.908135,0.916441,0.014735,1.134871,3.110772,0.333333,0.666667,0.452828,0.807576,0.479871,1.68718,5.404218,0.416667,0.708333,0.273914,0.701954,0.676543
exact_offset_passkey,307,sinusoidal,sinusoidal,12,6,12,7,1.0,2.331743,4.172026,7.205673,2.331743,4.172026,7.205673,0.74509,2.106631,0.833333,0.916667,0.527215,0.593187,0.360401,1.390817,4.018131,0.166667,0.583333,0.259476,0.425136,0.258469,1.342564,3.82885,0.666667,0.819444,0.356844,0.547236,0.388719
tiny_text_fact_qa,307,sinusoidal,sinusoidal,12,6,12,7,1.0,2.331743,4.172026,7.205673,2.331743,4.172026,7.205673,0.303935,1.355181,1.0,1.0,0.752262,0.752262,0.247738,0.254202,1.289433,1.0,1.0,0.776317,0.776317,0.223683,0.450373,1.568896,1.0,1.0,0.652636,0.652636,0.347364
phase_cued_retrieval,307,alibi,alibi,12,6,12,7,1.0,-3.218433,5.255175,3.218433,-3.218433,5.255175,3.218433,0.124611,1.132707,0.916667,0.958333,0.908514,0.913613,0.012512,0.98888,2.688221,0.333333,0.666667,0.481235,0.823979,0.499358,1.551566,4.718854,0.083333,0.541667,0.256086,0.689587,0.608683
exact_offset_passkey,307,alibi,alibi,12,6,12,7,1.0,-3.218433,5.255175,3.218433,-3.218433,5.255175,3.218433,3.306824,27.298277,0.166667,0.274541,0.192086,0.403402,0.236735,5.285856,197.523182,0.0,0.182026,0.010449,0.64039,0.64039,3.933475,51.084171,0.166667,0.279218,0.161383,0.533215,0.366548
tiny_text_fact_qa,307,alibi,alibi,12,6,12,7,1.0,-3.218433,5.255175,3.218433,-3.218433,5.255175,3.218433,1.251136,3.49431,0.75,0.771925,0.429083,0.44366,0.355157,0.704336,2.022502,1.0,1.0,0.49711,0.49711,0.50289,1.120775,3.067229,0.916667,0.922619,0.381539,0.384096,0.542042
phase_cued_retrieval,307,rope_relative,rope,12,6,12,7,1.0,2.430094,4.817847,6.989082,2.430094,4.817847,6.989082,0.126036,1.134323,0.916667,0.958333,0.907944,0.91495,0.014045,1.061401,2.890419,0.333333,0.666667,0.466113,0.836556,0.510493,1.9246,6.852409,0.0,0.5,0.164164,0.76903,0.76903
exact_offset_passkey,307,rope_relative,rope,12,6,12,7,1.0,2.430094,4.817847,6.989082,2.430094,4.817847,6.989082,2.052788,7.789586,0.583333,0.75,0.242288,0.355901,0.453482,2.769314,15.947686,0.166667,0.5,0.067313,0.398865,0.533812,2.130811,8.421697,0.416667,0.645833,0.255014,0.424713,0.265731
