task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,5.210878,6.248396,0.136238,0.086777,0.213814,1.14946,1.085137,1.241423,0.916667,0.883333,0.966667,0.958333,0.941667,0.983333,0.906698,0.867165,0.94652,0.923991,0.907546,0.949889,0.045234,0.017646,0.09421,1.053531,0.788291,1.290466,2.998041,2.127748,3.829536,0.333333,0.233333,0.433333,0.666667,0.616667,0.716667,0.461515,0.385922,0.543344,0.784083,0.734662,0.815747,0.510088,0.417503,0.588854,1.664911,1.298785,2.024327,5.694001,3.958769,7.731146,0.133333,0.016667,0.316667,0.566667,0.508333,0.658333,0.246481,0.166252,0.347247,0.715967,0.692438,0.739263,0.643708,0.531162,0.725131
phase_cued_retrieval,sinusoidal,5,0,2.23879,4.259293,7.459881,0.111272,0.069649,0.134061,1.118592,1.073838,1.145627,0.933334,0.916667,0.966667,0.966666,0.958333,0.983333,0.918122,0.90241,0.945294,0.927653,0.916616,0.949334,0.021471,0.017424,0.02613,1.127414,0.915842,1.311012,3.156666,2.55447,3.739774,0.333333,0.233333,0.433333,0.666667,0.616667,0.716667,0.441541,0.369585,0.491329,0.778407,0.713117,0.819687,0.503709,0.444462,0.568848,1.703088,1.424414,1.888325,5.675036,4.373891,6.620865,0.333333,0.25,0.4,0.666667,0.625,0.7,0.275733,0.224111,0.358734,0.718887,0.707815,0.729981,0.614888,0.461245,0.719347
phase_cued_retrieval,alibi,5,0,-3.25798,5.351741,3.25798,0.135457,0.06503,0.196485,1.148872,1.06848,1.24524,0.916667,0.866667,0.966667,0.958333,0.933333,0.983333,0.907689,0.879222,0.948718,0.923885,0.909077,0.951184,0.042934,0.014558,0.094186,1.039957,0.707734,1.283412,2.97188,2.084811,3.845824,0.333333,0.233333,0.433333,0.666667,0.616667,0.716667,0.467251,0.387455,0.554063,0.782343,0.727899,0.815593,0.472717,0.320368,0.590028,1.652968,1.266092,2.021975,5.674571,3.785198,8.03079,0.133333,0.016667,0.333333,0.566667,0.508333,0.658333,0.253758,0.171753,0.35893,0.718604,0.696633,0.745835,0.620419,0.457226,0.726354
phase_cued_retrieval,rope_relative,5,0,2.259299,4.882148,7.090481,0.117498,0.069765,0.155227,1.125905,1.073146,1.168556,0.916667,0.866667,0.966667,0.958333,0.933333,0.983333,0.915146,0.893462,0.945688,0.92698,0.915352,0.949172,0.038758,0.017521,0.075555,1.068426,0.840702,1.242119,2.990955,2.295642,3.582056,0.333333,0.233333,0.433333,0.666667,0.616667,0.7,0.455498,0.38403,0.514325,0.804553,0.754676,0.838702,0.521256,0.442699,0.597711,1.891381,1.577057,2.108809,6.917661,5.192492,8.299922,0.083333,0.0,0.25,0.541667,0.5,0.625,0.186576,0.13828,0.264135,0.759107,0.705606,0.791591,0.748308,0.67644,0.791192
phase_cued_retrieval,phasewrap_bias,5,0,-1.441179,5.103797,6.111547,0.137645,0.066518,0.201143,1.151557,1.069901,1.228778,0.916667,0.866667,0.966667,0.958333,0.941667,0.975,0.906389,0.864537,0.947582,0.923069,0.903673,0.950826,0.045049,0.016377,0.096224,1.035698,0.762241,1.280119,2.954305,2.084882,3.66481,0.333333,0.233333,0.433333,0.666667,0.616667,0.716667,0.467705,0.380527,0.55221,0.785898,0.73417,0.817835,0.475266,0.328838,0.588891,1.63795,1.293626,1.934473,5.574691,3.758057,7.796801,0.133333,0.016667,0.316667,0.566667,0.508333,0.658333,0.252986,0.172122,0.351102,0.719837,0.697895,0.742472,0.61982,0.456092,0.725995
phase_cued_retrieval,phasewrap_adapter,5,0,-1.456599,5.139589,5.836387,0.135965,0.066031,0.196827,1.149403,1.069567,1.244532,0.916667,0.866667,0.95,0.958333,0.933334,0.983333,0.907165,0.865828,0.948405,0.923571,0.905336,0.950973,0.044254,0.015686,0.094348,1.026675,0.705721,1.270701,2.92683,2.197555,3.621367,0.333333,0.233333,0.433333,0.666667,0.616667,0.716667,0.470607,0.387119,0.556559,0.78531,0.732625,0.819165,0.473712,0.336135,0.588304,1.627587,1.27924,1.924034,5.513941,3.647314,7.676226,0.133333,0.016667,0.333333,0.566667,0.508333,0.658333,0.256182,0.17469,0.358593,0.720101,0.697591,0.744948,0.632639,0.457596,0.761148
exact_offset_passkey,no_position,5,0,0.0,5.210878,6.248396,2.913633,2.48268,3.231421,19.804046,13.73403,25.424625,0.266667,0.216667,0.35,0.340226,0.290505,0.414487,0.27347,0.216934,0.344193,0.437621,0.368285,0.520055,0.192932,0.133608,0.233267,3.597151,2.605572,4.337889,62.488675,20.612068,129.403494,0.233333,0.066667,0.366667,0.350176,0.25078,0.479253,0.22944,0.084343,0.366197,0.506128,0.378087,0.62476,0.305574,0.166186,0.490508,3.987717,3.742109,4.176423,55.51192,43.874798,65.174337,0.2,0.166667,0.233333,0.280497,0.249896,0.315687,0.175056,0.138443,0.223598,0.488243,0.427168,0.533463,0.333344,0.288446,0.367333
exact_offset_passkey,sinusoidal,5,0,2.23879,4.259293,7.459881,0.83782,0.752421,0.915287,2.321786,2.119743,2.505346,0.85,0.75,0.95,0.919445,0.858334,0.966667,0.527867,0.507619,0.548115,0.601344,0.561875,0.63746,0.389421,0.272372,0.474195,1.124011,0.816551,1.363026,3.2221,2.377321,3.890395,0.666667,0.433333,0.9,0.822222,0.7,0.944444,0.429182,0.322322,0.557738,0.553476,0.457272,0.659423,0.432242,0.309587,0.525049,1.533815,1.397064,1.655315,4.681285,4.101686,5.246329,0.65,0.583333,0.733333,0.794445,0.740278,0.855556,0.340343,0.314014,0.368439,0.531765,0.488538,0.57588,0.440158,0.341614,0.556289
exact_offset_passkey,alibi,5,0,-3.25798,5.351741,3.25798,2.912402,2.518155,3.230509,19.788326,14.020068,25.065004,0.266667,0.2,0.35,0.339763,0.289667,0.412461,0.273624,0.216787,0.346338,0.437897,0.369477,0.529841,0.193075,0.131547,0.23403,3.611692,2.598394,4.370233,63.901917,20.826681,128.569216,0.233333,0.1,0.366667,0.349621,0.230209,0.485483,0.229582,0.093213,0.388572,0.507923,0.389772,0.621814,0.307163,0.183871,0.492127,4.006557,3.750301,4.194513,56.587875,44.485667,65.797174,0.2,0.166667,0.233333,0.280157,0.251867,0.315047,0.175415,0.134369,0.217437,0.490736,0.427103,0.536875,0.335895,0.290283,0.37579
exact_offset_passkey,rope_relative,5,0,2.259299,4.882148,7.090481,1.982673,1.836204,2.098984,7.350142,6.332994,8.08917,0.466667,0.383333,0.533333,0.630648,0.554445,0.713611,0.310822,0.260654,0.381225,0.414214,0.350766,0.493515,0.270101,0.17498,0.366593,2.177314,1.678169,2.588223,9.885913,5.713656,13.667032,0.433334,0.233334,0.633334,0.618148,0.498333,0.725,0.280464,0.149832,0.416484,0.451155,0.361071,0.53917,0.362008,0.211486,0.512529,2.396769,2.224662,2.53583,11.137299,9.60848,12.666119,0.35,0.3,0.4,0.547288,0.511455,0.603743,0.248006,0.210552,0.278071,0.422024,0.368567,0.455183,0.270759,0.233731,0.309082
