task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_weight_norm,routing_support_weight_norm,routing_distance_weight_norm,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,12,6,12,7,1.0,0.100225,2.125473,0.211028,0.100225,2.125473,0.211028,0.118976,1.126343,0.916667,0.958333,0.914567,0.921872,0.007782,0.544049,1.722969,0.333333,0.666667,0.62776,0.703229,0.371423,0.965817,2.626932,0.0,0.5,0.382991,0.511638,0.511638
exact_offset_passkey,307,no_position,no_position,12,6,12,7,1.0,0.100225,2.125473,0.211028,0.100225,2.125473,0.211028,3.30615,27.2799,0.166667,0.274541,0.192236,0.401704,0.235037,5.258121,192.120153,0.0,0.182026,0.010475,0.638359,0.638359,3.897616,49.284799,0.166667,0.277866,0.160486,0.527916,0.36125
tiny_text_fact_qa,307,no_position,no_position,12,6,12,7,1.0,0.100225,2.125473,0.211028,0.100225,2.125473,0.211028,1.263441,3.537575,0.75,0.771925,0.423242,0.438018,0.361111,0.71433,2.042818,1.0,1.0,0.492862,0.492862,0.507138,1.128997,3.092552,0.916667,0.922619,0.378141,0.380587,0.545417
phase_cued_retrieval,307,sinusoidal,sinusoidal,12,6,12,7,1.0,0.815419,2.228131,0.779662,0.815419,2.228131,0.779662,0.117916,1.12515,0.916667,0.958333,0.915172,0.921412,0.006771,0.528202,1.695881,0.333333,0.666667,0.634934,0.696315,0.364072,0.911551,2.488178,0.0,0.5,0.404599,0.481067,0.481067
exact_offset_passkey,307,sinusoidal,sinusoidal,12,6,12,7,1.0,0.815419,2.228131,0.779662,0.815419,2.228131,0.779662,0.74509,2.106631,0.833333,0.916667,0.527215,0.593187,0.360401,1.390817,4.018131,0.166667,0.583333,0.259476,0.425136,0.258469,1.342564,3.82885,0.666667,0.819444,0.356844,0.547236,0.388719
tiny_text_fact_qa,307,sinusoidal,sinusoidal,12,6,12,7,1.0,0.815419,2.228131,0.779662,0.815419,2.228131,0.779662,0.303935,1.355181,1.0,1.0,0.752262,0.752262,0.247738,0.254202,1.289433,1.0,1.0,0.776317,0.776317,0.223683,0.450373,1.568896,1.0,1.0,0.652636,0.652636,0.347364
phase_cued_retrieval,307,alibi,alibi,12,6,12,7,1.0,0.27598,1.706925,0.288977,0.27598,1.706925,0.288977,0.117834,1.125057,0.916667,0.958333,0.915119,0.919093,0.004295,0.518679,1.679807,0.333333,0.666667,0.639329,0.692322,0.360096,0.917994,2.504263,0.0,0.5,0.401063,0.501599,0.501599
exact_offset_passkey,307,alibi,alibi,12,6,12,7,1.0,0.27598,1.706925,0.288977,0.27598,1.706925,0.288977,3.306824,27.298277,0.166667,0.274541,0.192086,0.403402,0.236735,5.285856,197.523182,0.0,0.182026,0.010449,0.64039,0.64039,3.933475,51.084171,0.166667,0.279218,0.161383,0.533215,0.366548
tiny_text_fact_qa,307,alibi,alibi,12,6,12,7,1.0,0.27598,1.706925,0.288977,0.27598,1.706925,0.288977,1.251136,3.49431,0.75,0.771925,0.429083,0.44366,0.355157,0.704336,2.022502,1.0,1.0,0.49711,0.49711,0.50289,1.120775,3.067229,0.916667,0.922619,0.381539,0.384096,0.542042
phase_cued_retrieval,307,rope_relative,rope,12,6,12,7,1.0,0.835513,1.918693,0.327338,0.835513,1.918693,0.327338,0.117788,1.125005,0.916667,0.958333,0.915169,0.920074,0.00536,0.513961,1.6719,0.333333,0.666667,0.641421,0.690065,0.357935,0.931168,2.537471,0.0,0.5,0.399303,0.478935,0.478935
exact_offset_passkey,307,rope_relative,rope,12,6,12,7,1.0,0.835513,1.918693,0.327338,0.835513,1.918693,0.327338,2.052788,7.789586,0.583333,0.75,0.242288,0.355901,0.453482,2.769314,15.947686,0.166667,0.5,0.067313,0.398865,0.533812,2.130811,8.421697,0.416667,0.645833,0.255014,0.424713,0.265731
tiny_text_fact_qa,307,rope_relative,rope,12,6,12,7,1.0,0.835513,1.918693,0.327338,0.835513,1.918693,0.327338,0.807779,2.242922,0.833333,0.902778,0.547657,0.548757,0.284577,0.409028,1.505354,1.0,1.0,0.665278,0.665278,0.334722,0.620816,1.860445,0.916667,0.958333,0.580478,0.580722,0.354408
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.911963,1.995335,0.184601,0.911963,1.995335,0.184601,0.119339,1.126752,0.916667,0.958333,0.914446,0.922646,0.008588,0.555051,1.74203,0.333333,0.666667,0.622946,0.708091,0.376309,0.979516,2.663166,0.0,0.5,0.377427,0.52146,0.52146
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.911963,1.995335,0.184601,0.911963,1.995335,0.184601,3.104651,22.301436,0.166667,0.310733,0.20163,0.411012,0.244345,5.524994,250.884767,0.0,0.225866,0.013417,0.747522,0.747522,4.042581,56.973179,0.166667,0.281486,0.159611,0.566068,0.399401
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.911963,1.995335,0.184601,0.911963,1.995335,0.184601,1.153131,3.168096,0.75,0.776425,0.452387,0.470888,0.341571,0.647326,1.910426,1.0,1.0,0.525212,0.525212,0.474788,1.05824,2.881296,0.916667,0.923077,0.398991,0.403473,0.527709
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.994348,1.990118,0.477975,0.994348,1.990118,0.477975,0.118819,1.126166,0.916667,0.958333,0.914755,0.922412,0.008,0.561364,1.753062,0.333333,0.666667,0.620295,0.711033,0.37898,0.984109,2.675427,0.0,0.5,0.374663,0.535739,0.535739
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.994348,1.990118,0.477975,0.994348,1.990118,0.477975,3.187606,24.230341,0.166667,0.302074,0.198522,0.404891,0.238225,5.482728,240.501922,0.0,0.227381,0.012878,0.712509,0.712509,4.079556,59.119244,0.166667,0.279587,0.156398,0.559271,0.392604
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.994348,1.990118,0.477975,0.994348,1.990118,0.477975,1.190736,3.289502,0.75,0.775259,0.440851,0.459429,0.351278,0.673167,1.960436,1.0,1.0,0.511875,0.511875,0.488125,1.090794,2.976638,0.916667,0.923077,0.387875,0.391761,0.537813
phase_cued_retrieval,311,no_position,no_position,12,6,12,7,1.0,0.106661,2.348614,0.841918,0.106661,2.348614,0.841918,0.086955,1.090848,0.916667,0.958333,0.939644,0.956159,0.060349,1.082727,2.952721,0.333333,0.666667,0.537276,0.79283,0.459496,1.890454,6.622372,0.0,0.5,0.26327,0.686776,0.686776
