task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy
phase_cued_retrieval,307,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.130777,1.0,0.939065,0.039694,1.040492,1.0,1.0,0.961567,0.961567,0.038433,0.939065,1.0,11.966622,157412.08953,0.0,0.034887,9e-06,0.775513,0.775513,0.939065,0.833333,12.847197,379722.92645,0.0,0.023397,1.2e-05,0.880035,0.880035,0.939065,0.5
exact_offset_passkey,307,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.130777,1.0,0.939065,0.050474,1.051769,1.0,1.0,0.951023,0.951023,0.048977,0.939065,1.0,11.187467,72219.602915,0.0,0.063882,0.000264,0.89651,0.89651,0.939065,1.0,11.287257,79798.271629,0.0,0.066387,0.002732,0.865411,0.865411,0.939065,1.0
tiny_text_fact_qa,307,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.130777,1.0,0.939065,0.287571,1.333185,0.916667,0.958333,0.869828,0.943058,0.026392,0.939065,1.0,5.178153,177.354926,0.166667,0.316739,0.169743,0.868578,0.701911,0.939065,1.0,4.680705,107.846071,0.166667,0.365016,0.166632,0.876265,0.709598,0.939065,1.0
phase_cued_retrieval,307,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.023551,2.119184,0.957525,0.013807,1.013902,1.0,1.0,0.9864,0.9864,0.0136,0.957525,1.0,12.915015,406368.408771,0.0,0.034773,2.3e-05,0.911164,0.911164,0.957525,0.5,11.683857,118640.979205,0.0,0.01995,0.000105,0.84251,0.84251,0.957525,0.5
exact_offset_passkey,307,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.023551,2.119184,0.957525,0.020905,1.021125,1.0,1.0,0.979475,0.979475,0.020525,0.957525,1.0,12.364629,234363.575423,0.0,0.03837,3.3e-05,0.804838,0.804838,0.957525,1.0,12.389485,240261.913897,0.0,0.043303,0.000472,0.906128,0.906128,0.957525,1.0
tiny_text_fact_qa,307,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.023551,2.119184,0.957525,0.030268,1.03073,1.0,1.0,0.97034,0.97034,0.02966,0.957525,1.0,5.915793,370.848148,0.333333,0.398006,0.314094,0.952135,0.618801,0.957525,1.0,4.40694,82.018132,0.333333,0.457576,0.293165,0.88451,0.551177,0.957525,1.0
phase_cued_retrieval,307,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.039735,0.872058,0.957966,0.026731,1.027092,1.0,1.0,0.973854,0.973854,0.026146,0.957966,1.0,11.833692,137818.367071,0.0,0.024252,1.6e-05,0.793402,0.793402,0.957966,0.666667,13.081303,479885.494759,0.0,0.014662,5e-06,0.885118,0.885118,0.957966,0.166667
exact_offset_passkey,307,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.039735,0.872058,0.957966,0.041888,1.042778,1.0,1.0,0.958986,0.958986,0.041014,0.957966,1.0,11.272525,78631.282017,0.0,0.063365,0.000712,0.89676,0.89676,0.957966,1.0,11.788898,131781.144369,0.0,0.054559,0.000975,0.814455,0.814455,0.957966,1.0
tiny_text_fact_qa,307,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.039735,0.872058,0.957966,0.03741,1.038119,1.0,1.0,0.963375,0.963375,0.036625,0.957966,1.0,4.336116,76.410173,0.0,0.315476,0.081274,0.857116,0.857116,0.957966,1.0,5.306618,201.667056,0.25,0.412296,0.244071,0.903324,0.653324,0.957966,1.0
phase_cued_retrieval,307,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.044431,2.344875,0.960015,0.02369,1.023972,1.0,1.0,0.976913,0.976913,0.023087,0.960015,1.0,11.169355,70923.34594,0.0,0.027209,3e-05,0.865504,0.865504,0.960015,1.0,10.966662,57910.945328,0.0,0.01765,6.1e-05,0.879868,0.879868,0.960015,0.416667
exact_offset_passkey,307,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.044431,2.344875,0.960015,0.038119,1.038855,1.0,1.0,0.962642,0.962642,0.037358,0.960015,1.0,11.205138,73507.176762,0.0,0.016376,3.1e-05,0.861305,0.861305,0.960015,1.0,10.487185,35853.1032,0.0,0.040442,0.001149,0.915432,0.915432,0.960015,1.0
tiny_text_fact_qa,307,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.044431,2.344875,0.960015,0.034102,1.03469,1.0,1.0,0.966556,0.966556,0.033444,0.960015,1.0,6.08274,438.228246,0.166667,0.313746,0.162113,0.886695,0.720028,0.960015,1.0,3.778091,43.732478,0.333333,0.496528,0.221116,0.804165,0.71386,0.960015,1.0
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.059623,0.08183,0.965082,0.09597,1.100726,0.916667,0.958333,0.927894,0.9292,0.060894,0.965082,1.0,11.105384,66528.395261,0.0,0.018801,2.6e-05,0.794851,0.794851,0.965082,0.666667,11.548601,103631.906926,0.0,0.027109,2.6e-05,0.867893,0.867893,0.965082,0.75
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.059623,0.08183,0.965082,0.032141,1.032663,1.0,1.0,0.968398,0.968398,0.031602,0.965082,1.0,10.252143,28343.207601,0.0,0.032171,8.7e-05,0.899304,0.899304,0.965082,1.0,11.078794,64782.700375,0.0,0.025948,2.9e-05,0.828566,0.828566,0.965082,1.0
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.059623,0.08183,0.965082,0.033683,1.034257,1.0,1.0,0.966933,0.966933,0.033067,0.965082,1.0,2.993902,19.963432,0.333333,0.555556,0.390489,0.893178,0.559845,0.965082,1.0,3.726469,41.532209,0.333333,0.52659,0.310377,0.880061,0.631887,0.965082,1.0
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.056481,0.104749,0.965472,0.060585,1.062458,1.0,1.0,0.947174,0.947174,0.052826,0.965472,1.0,10.82305,50163.860427,0.0,0.012677,5.4e-05,0.85316,0.85316,0.965472,0.666667,11.023991,61327.934657,0.0,0.028552,4.8e-05,0.875521,0.875521,0.965472,0.5
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.056481,0.104749,0.965472,0.033814,1.034392,1.0,1.0,0.966763,0.966763,0.033237,0.965472,1.0,9.54733,14007.248591,0.0,0.03711,0.00014,0.699303,0.699303,0.965472,1.0,11.253776,77170.802424,0.0,0.021988,3.3e-05,0.8498,0.8498,0.965472,1.0
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.056481,0.104749,0.965472,0.034662,1.03527,1.0,1.0,0.965954,0.965954,0.034046,0.965472,1.0,3.059183,21.310136,0.333333,0.54375,0.416523,0.87595,0.542617,0.965472,1.0,3.530513,34.141473,0.416667,0.53523,0.351593,0.839212,0.511964,0.965472,1.0
phase_cued_retrieval,311,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.03338,1.0,0.961614,0.020422,1.020632,1.0,1.0,0.979928,0.979928,0.020072,0.961614,1.0,14.089051,1314610.049806,0.0,0.024413,2e-06,0.806672,0.806672,0.961614,0.5,10.987456,59127.753901,0.083333,0.127098,0.080194,0.882158,0.798824,0.961614,0.416667
exact_offset_passkey,311,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.03338,1.0,0.961614,0.035498,1.036136,1.0,1.0,0.96516,0.96516,0.03484,0.961614,1.0,11.921607,150483.298702,0.0,0.061675,0.000347,0.82224,0.82224,0.961614,1.0,13.871117,1057181.881769,0.0,0.016759,5e-06,0.832178,0.832178,0.961614,1.0
tiny_text_fact_qa,311,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.03338,1.0,0.961614,0.033518,1.034086,1.0,1.0,0.967124,0.967124,0.032876,0.961614,1.0,5.49032,242.334835,0.166667,0.349747,0.164654,0.947271,0.780604,0.961614,1.0,2.709996,15.029221,0.583333,0.672454,0.538725,0.899075,0.315742,0.961614,1.0
phase_cued_retrieval,311,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.04179,2.285672,0.958214,0.023524,1.023803,1.0,1.0,0.976935,0.976935,0.023065,0.958214,1.0,11.905773,148119.227057,0.0,0.041236,0.003558,0.703543,0.703543,0.958214,0.333333,11.040713,62362.086754,0.083333,0.126258,0.079507,0.814253,0.73092,0.958214,0.5
exact_offset_passkey,311,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.04179,2.285672,0.958214,0.030736,1.031213,1.0,1.0,0.969921,0.969921,0.030079,0.958214,1.0,13.781186,966258.003662,0.0,0.05255,0.001071,0.789465,0.789465,0.958214,1.0,11.629425,112355.707483,0.083333,0.11853,0.031085,0.642034,0.598679,0.958214,1.0
tiny_text_fact_qa,311,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.04179,2.285672,0.958214,0.063026,1.065055,1.0,1.0,0.940375,0.940375,0.059625,0.958214,1.0,1.978462,7.231609,0.333333,0.616667,0.441925,0.854134,0.5208,0.958214,1.0,0.963226,2.620135,0.75,0.826389,0.657158,0.805313,0.171641,0.958214,1.0
