task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,0.218698,0.0232,0.415273,1.280876,1.02529,1.539338,0.9,0.766667,1.0,0.943056,0.869445,1.0,0.864813,0.741414,0.97835,0.879469,0.780587,0.974678,0.086859,0.025322,0.150883,11.344871,9.945977,12.739639,323689.211705,34558.191545,822826.992179,0.033333,0.0,0.1,0.066914,0.028867,0.138793,0.029516,7e-06,0.084314,0.753249,0.616299,0.847058,0.719916,0.607885,0.798574,10.719743,9.682474,11.862665,105945.705328,21392.033927,251484.85743,0.016667,0.0,0.05,0.053973,0.028625,0.089047,0.0169,0.000195,0.048134,0.813265,0.697098,0.882057,0.796598,0.690927,0.872208,0.259902,0.05124,0.470183,0.94214,0.94214,0.94214,0.94214,1.0,0.633333,0.533333
phase_cued_retrieval,sinusoidal,5,0,2.308873,0.06202,0.019457,0.125881,1.066052,1.019288,1.134798,1.0,1.0,1.0,1.0,1.0,1.0,0.944464,0.892406,0.981056,0.944464,0.890513,0.979331,0.055536,0.018776,0.109319,10.589557,9.355116,11.85272,118099.189718,11384.609337,275386.444248,0.033333,0.0,0.1,0.080679,0.041784,0.146107,0.027859,0.001028,0.077555,0.739915,0.566457,0.866589,0.706582,0.573667,0.82817,11.098645,10.547888,11.639046,80434.841499,42283.491319,124939.780668,0.016667,0.0,0.05,0.063966,0.036861,0.0969,0.018978,0.00144,0.050111,0.697327,0.549606,0.804671,0.68066,0.546739,0.78669,0.074934,0.029697,0.127112,0.95771,0.95771,0.95771,0.95771,1.0,0.466667,0.533333
phase_cued_retrieval,alibi,5,0,0.312431,0.21354,0.029012,0.413052,1.269856,1.029542,1.50888,0.933333,0.85,1.0,0.963889,0.908333,1.0,0.859954,0.723777,0.974214,0.871913,0.772022,0.971805,0.103207,0.0294,0.186913,10.80297,10.159381,11.481542,65191.043204,25022.4274,103370.06072,0.0,0.0,0.0,0.050023,0.026443,0.075124,0.007089,9.2e-05,0.015723,0.736667,0.658573,0.832759,0.736667,0.64452,0.837229,11.138015,10.392695,11.9639,132651.639064,34415.514284,307813.479522,0.016667,0.0,0.05,0.048757,0.022731,0.087093,0.017799,0.000832,0.049121,0.787287,0.656977,0.877223,0.770621,0.667261,0.850177,0.254215,0.038331,0.524605,0.946385,0.946385,0.946385,0.946385,1.0,0.6,0.583334
phase_cued_retrieval,rope_relative,5,0,2.53243,0.137654,0.023392,0.269326,1.159379,1.024734,1.295078,0.966667,0.933334,1.0,0.980555,0.955555,1.0,0.90003,0.808325,0.977135,0.902442,0.81157,0.977135,0.075059,0.022106,0.127253,11.353784,10.039293,12.571464,272197.414527,31514.782705,667878.059309,0.0,0.0,0.0,0.041699,0.03166,0.051828,0.001928,1.4e-05,0.00513,0.783197,0.658101,0.892297,0.783197,0.658101,0.887606,10.955178,10.635911,11.453132,66602.499702,40161.012921,109564.242077,0.0,0.0,0.0,0.038049,0.027611,0.044162,0.001255,0.000413,0.002098,0.752855,0.617085,0.852312,0.752855,0.634576,0.856854,0.168655,0.039934,0.317343,0.956787,0.956787,0.956787,0.956787,1.0,0.733333,0.5
phase_cued_retrieval,phasewrap_bias,5,0,-0.011127,0.166176,0.03446,0.290534,1.194545,1.036225,1.352866,0.916667,0.833333,0.983333,0.955555,0.908333,0.991667,0.893925,0.803454,0.969243,0.910717,0.843524,0.970147,0.091991,0.028515,0.152277,11.415686,10.148405,12.311409,152654.404831,47736.333294,248543.506542,0.033333,0.0,0.1,0.056303,0.015208,0.13118,0.00923,2.3e-05,0.027627,0.815805,0.726406,0.886664,0.832153,0.765981,0.887468,10.784489,9.775576,11.789436,83879.332001,22304.160736,169209.061197,0.016667,0.0,0.05,0.059482,0.029448,0.107822,0.019807,0.000411,0.052381,0.787233,0.6942,0.853789,0.770566,0.678515,0.848611,0.190828,0.034639,0.361423,0.947793,0.947793,0.947793,0.947793,1.0,0.633333,0.716667
phase_cued_retrieval,phasewrap_adapter,5,0,0.021998,0.172907,0.031718,0.314096,1.205873,1.034776,1.383469,0.933333,0.866666,1.0,0.963889,0.927778,1.0,0.88957,0.778051,0.970204,0.909972,0.838928,0.970204,0.072725,0.027504,0.114525,11.117177,9.128952,12.622005,200708.078462,67294.859256,364408.764022,0.0,0.0,0.0,0.039412,0.015081,0.08191,0.008516,2.3e-05,0.025483,0.82288,0.715385,0.90292,0.82288,0.721909,0.900267,10.843744,9.987375,11.925052,106395.169663,24765.090426,238413.044999,0.016667,0.0,0.05,0.052965,0.028862,0.089233,0.017243,0.000557,0.048554,0.76712,0.672201,0.85894,0.750453,0.651617,0.840947,0.219979,0.065436,0.387084,0.944991,0.944991,0.944991,0.944991,1.0,0.533333,0.566667
exact_offset_passkey,no_position,5,0,1.0,0.350676,0.035366,0.707558,1.537316,1.034522,2.138814,0.9,0.8,1.0,0.942222,0.876667,1.0,0.805429,0.604352,0.966906,0.828175,0.673826,0.963857,0.097256,0.035922,0.186766,10.842393,10.321095,11.510518,64757.31063,32716.363106,108579.497624,0.0,0.0,0.0,0.0628,0.042586,0.083372,0.013675,0.000604,0.038419,0.797922,0.726318,0.859992,0.797922,0.719508,0.859992,12.084992,10.905404,13.063786,342173.860208,85854.454125,693088.131807,0.0,0.0,0.0,0.030531,0.017758,0.047059,0.000673,2.1e-05,0.00166,0.835617,0.782131,0.885743,0.835617,0.775485,0.889348,0.259902,0.048001,0.470183,0.94214,0.94214,0.94214,0.94214,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,2.308873,0.095073,0.023246,0.166899,1.103997,1.023526,1.184468,1.0,1.0,1.0,1.0,1.0,1.0,0.9198,0.863114,0.977382,0.9198,0.8624,0.977019,0.0802,0.022799,0.136403,10.505655,8.124069,12.562664,259521.734005,38296.675771,627125.677887,0.066667,0.0,0.133334,0.112164,0.040762,0.186401,0.05616,0.000448,0.111856,0.739979,0.632948,0.808733,0.691166,0.549827,0.805112,11.762664,10.344155,12.711664,224225.013197,96993.277751,351456.748643,0.033333,0.0,0.066666,0.074046,0.040172,0.106331,0.020241,0.00227,0.0383,0.701084,0.558916,0.829705,0.686472,0.528618,0.832836,0.074934,0.032096,0.12496,0.95771,0.95771,0.95771,0.95771,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,0.312431,0.35619,0.035145,0.723946,1.551799,1.035776,2.067822,0.833333,0.666666,1.0,0.901944,0.803056,1.0,0.796309,0.62711,0.965509,0.814707,0.663905,0.965831,0.107766,0.034814,0.188374,10.072296,8.59135,11.370878,53586.397127,13509.232658,91426.265845,0.066667,0.0,0.133334,0.110601,0.038422,0.195898,0.049493,0.000578,0.09877,0.822434,0.779585,0.873312,0.77915,0.675295,0.863436,12.098056,10.817569,13.128891,483108.47759,91239.109051,1175401.132066,0.0,0.0,0.0,0.029743,0.01876,0.040683,0.000569,5.2e-05,0.001178,0.788694,0.761585,0.812522,0.788694,0.762737,0.812522,0.254215,0.038253,0.470098,0.946385,0.946385,0.946385,0.946385,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,2.53243,0.253827,0.04153,0.467404,1.333504,1.041135,1.625872,0.95,0.883333,1.0,0.975,0.941667,1.0,0.83332,0.693542,0.956812,0.842013,0.69732,0.960975,0.148225,0.039025,0.272145,11.265401,10.218633,12.656181,283980.373806,32418.870027,762660.897799,0.033333,0.0,0.1,0.067154,0.024732,0.134785,0.025286,9.2e-05,0.071926,0.772543,0.624186,0.874005,0.759179,0.603682,0.874005,12.008866,10.887733,13.087928,309423.978705,101655.486619,505433.032413,0.0,0.0,0.0,0.037513,0.022275,0.056225,0.001657,0.00019,0.004197,0.797781,0.666862,0.918127,0.797781,0.666862,0.908935,0.168655,0.041716,0.319125,0.956787,0.956787,0.956787,0.956787,1.0,1.0,1.0
