task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,3.04402,3.008543,3.095535,21.025059,20.147741,22.304884,0.133333,0.1,0.166667,0.336134,0.309399,0.353284,0.053119,0.050048,0.056152,0.081473,0.079696,0.084624,0.104787,0.065435,0.158046,0.046103,0.04336,0.049376,3.618787,3.558581,3.698656,37.426016,35.118518,40.10499,0.033333,0.0,0.1,0.126355,0.085348,0.186809,0.028824,0.02639,0.031133,0.060943,0.054596,0.065776,0.069218,0.055554,0.087384,0.024546,0.024245,0.024896,3.841008,3.777346,3.928742,46.763962,43.779982,50.445242,0.033333,0.0,0.066666,0.125191,0.082994,0.161416,0.023511,0.021386,0.024791,0.052947,0.049722,0.055815,0.043082,0.033185,0.052978,0.018414,0.018062,0.018729,4.572085,4.488953,4.665752,0.85764,0.85764,0.85764,0.85764,0.933333,0.766667,0.783333
phase_cued_retrieval,sinusoidal,5,0,1.299273,2.150064,2.100086,2.195265,8.597578,8.203328,8.987344,0.883333,0.85,0.916667,0.921296,0.898148,0.944444,0.123918,0.118588,0.128752,0.128277,0.125657,0.131024,0.755056,0.720968,0.788326,0.130199,0.12533,0.135066,3.197867,3.156836,3.256142,24.523561,23.498554,26.135822,0.233333,0.166667,0.333333,0.358727,0.315777,0.401677,0.047239,0.044501,0.049041,0.082378,0.08102,0.084323,0.183767,0.126,0.235518,0.044453,0.040879,0.047793,3.597129,3.530948,3.670564,36.616978,33.983727,39.331001,0.05,0.0,0.116667,0.151332,0.103138,0.196698,0.029205,0.026709,0.031591,0.068341,0.065487,0.071452,0.070269,0.049059,0.099216,0.025058,0.024725,0.025405,3.230944,3.168341,3.304203,0.857808,0.857808,0.857808,0.857808,0.95,0.833333,0.9
phase_cued_retrieval,alibi,5,0,0.70617,3.041321,2.998921,3.095592,20.971372,20.073985,21.986143,0.066667,0.016667,0.116667,0.259432,0.229438,0.281329,0.052677,0.04921,0.056565,0.08384,0.082558,0.085297,0.115476,0.089221,0.146853,0.045988,0.043299,0.048823,3.730048,3.660392,3.818921,41.876883,38.919384,46.385654,0.033333,0.0,0.1,0.126897,0.091634,0.173404,0.026496,0.023695,0.028281,0.060762,0.052875,0.067418,0.068132,0.053521,0.085238,0.020924,0.020504,0.02153,4.007369,3.949402,4.095646,55.202035,51.953871,59.818428,0.033333,0.0,0.066666,0.102429,0.069975,0.134653,0.020394,0.018914,0.021346,0.053868,0.051927,0.055809,0.043218,0.033119,0.053501,0.01479,0.014553,0.014991,4.593449,4.524259,4.688127,0.857641,0.857641,0.857641,0.857641,0.933333,0.833333,0.8
phase_cued_retrieval,rope_relative,5,0,1.299716,2.782962,2.733922,2.83541,16.19521,15.36099,16.977981,0.3,0.266667,0.333333,0.513412,0.487842,0.539167,0.067724,0.06373,0.070525,0.088088,0.083608,0.092667,0.211912,0.179353,0.246194,0.062909,0.059171,0.066182,3.56315,3.508149,3.647501,35.400907,33.315868,38.583865,0.066667,0.0,0.133334,0.179672,0.141748,0.217659,0.03114,0.028425,0.033442,0.06308,0.057023,0.070711,0.080761,0.057023,0.1045,0.02633,0.025308,0.027456,3.967608,3.902443,4.0611,53.106082,49.532472,58.357584,0.033333,0.0,0.066666,0.107789,0.077267,0.144218,0.021256,0.019528,0.022517,0.055041,0.051945,0.058777,0.044538,0.03281,0.055974,0.015992,0.015687,0.016328,4.175952,4.090478,4.265402,0.857726,0.857726,0.857726,0.857726,0.966667,0.9,0.9
phase_cued_retrieval,phasewrap_bias,5,0,0.702308,3.547189,3.452218,3.642282,34.932105,32.019152,38.298945,0.066666,0.033333,0.083333,0.161529,0.122438,0.196386,0.037734,0.031141,0.042072,0.124246,0.117897,0.133932,0.078611,0.038013,0.126001,0.025064,0.022494,0.028791,4.186899,4.032197,4.34639,66.90993,56.055432,76.603783,0.0,0.0,0.0,0.070604,0.046338,0.098823,0.018333,0.013891,0.023633,0.09395,0.090085,0.098035,0.09395,0.090085,0.097815,0.012521,0.012015,0.013032,4.370839,4.277841,4.51921,80.04866,71.648378,92.95576,0.0,0.0,0.0,0.057914,0.044205,0.073592,0.015102,0.012617,0.016971,0.081877,0.073486,0.089385,0.081877,0.074557,0.089197,0.009543,0.009208,0.009868,5.385435,5.258175,5.512696,0.857675,0.857675,0.857675,0.857675,0.85,0.6,0.633333
phase_cued_retrieval,phasewrap_adapter,5,0,0.702437,3.518557,3.421501,3.615613,33.949221,30.150582,37.350797,0.066666,0.033333,0.083333,0.170705,0.125211,0.217551,0.038611,0.032824,0.043955,0.124672,0.118724,0.133639,0.08479,0.037089,0.145296,0.026034,0.023345,0.029963,4.202601,4.050035,4.349162,68.006977,59.349391,78.897565,0.0,0.0,0.0,0.069179,0.044322,0.103452,0.018155,0.013735,0.022653,0.093654,0.088829,0.098968,0.093654,0.088829,0.098617,0.01223,0.011664,0.012797,4.401487,4.301275,4.498116,82.519176,73.836494,96.761329,0.016667,0.0,0.05,0.064271,0.040317,0.097691,0.01472,0.012399,0.016567,0.082445,0.074782,0.090334,0.072624,0.04918,0.090084,0.009138,0.008806,0.009451,5.338638,5.205614,5.448012,0.857695,0.857695,0.857695,0.857695,0.85,0.633333,0.65
exact_offset_passkey,no_position,5,0,1.0,2.840688,2.712284,2.983183,17.389229,14.443052,20.1059,0.25,0.133333,0.35,0.452128,0.369547,0.521766,0.066286,0.054031,0.077074,0.086838,0.075218,0.100261,0.181826,0.079698,0.283181,0.05153,0.046898,0.05651,3.514802,3.425334,3.617515,33.813352,30.755376,37.225993,0.066667,0.0,0.133334,0.192996,0.107587,0.268439,0.032047,0.028373,0.035179,0.061742,0.058032,0.065442,0.077942,0.059527,0.096356,0.025556,0.024798,0.026293,3.895412,3.786651,4.02452,49.752501,43.565017,57.201563,0.033333,0.0,0.066666,0.115894,0.074576,0.157212,0.022255,0.019489,0.025232,0.055426,0.051488,0.059302,0.049961,0.040127,0.059411,0.018264,0.017489,0.018767,4.572085,4.483685,4.663282,0.85764,0.85764,0.85764,0.85764,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,1.299273,1.929726,1.851315,2.024867,6.926925,6.27664,7.627261,0.966667,0.9,1.0,0.983333,0.95,1.0,0.151931,0.136203,0.165183,0.152326,0.135244,0.166366,0.814341,0.736078,0.86046,0.15196,0.141433,0.162487,2.532093,2.47965,2.585364,12.599713,12.002509,13.160024,0.7,0.566667,0.833333,0.844445,0.766667,0.916667,0.080539,0.076247,0.084247,0.083362,0.080488,0.087746,0.616638,0.481978,0.750968,0.083591,0.080781,0.086401,2.873736,2.81146,2.935931,17.768826,16.527267,19.244759,0.416667,0.266667,0.516667,0.644464,0.54006,0.727083,0.058441,0.053977,0.062761,0.070662,0.068293,0.072085,0.353108,0.222092,0.44473,0.060113,0.058276,0.061604,3.230944,3.168296,3.304203,0.857808,0.857808,0.857808,0.857808,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,0.70617,2.862665,2.744515,2.980815,17.69321,15.252945,19.888206,0.183333,0.116666,0.25,0.400813,0.324318,0.47441,0.06425,0.053002,0.07363,0.087697,0.078457,0.096936,0.148793,0.05888,0.22037,0.051422,0.046904,0.055944,3.549068,3.446689,3.683689,35.107157,31.44239,39.460506,0.033333,0.0,0.1,0.157501,0.092229,0.213984,0.031947,0.027265,0.036203,0.062591,0.057475,0.067706,0.088804,0.05719,0.144179,0.025371,0.024012,0.026775,3.921795,3.783096,4.053264,51.072178,44.191119,58.102933,0.033333,0.0,0.066666,0.121599,0.077237,0.161418,0.021861,0.018835,0.024464,0.056581,0.052073,0.060245,0.045083,0.032512,0.058478,0.017849,0.016634,0.018677,4.593449,4.510054,4.687969,0.857641,0.857641,0.857641,0.857641,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,1.299716,2.565459,2.429792,2.717666,13.173101,11.170899,15.249755,0.5,0.416667,0.583333,0.683333,0.617222,0.760555,0.084866,0.072126,0.097804,0.096005,0.079979,0.110377,0.419527,0.349832,0.491611,0.071964,0.065032,0.07908,3.201802,3.137688,3.277406,24.680515,22.691076,26.605828,0.133333,0.033333,0.266667,0.329443,0.23825,0.420077,0.042714,0.038678,0.046212,0.064424,0.060899,0.06824,0.121405,0.070407,0.198412,0.038198,0.03716,0.039273,3.533313,3.435012,3.651739,34.54137,31.04983,39.107234,0.133333,0.033333,0.266667,0.269385,0.164953,0.393711,0.030883,0.026529,0.034059,0.056009,0.05228,0.060721,0.126591,0.071865,0.204129,0.028623,0.027323,0.029394,4.175952,4.082129,4.261642,0.857726,0.857726,0.857726,0.857726,1.0,1.0,1.0
