task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,1.436404,1.399612,1.471266,4.209546,4.044749,4.363736,0.833333,0.833333,0.833333,0.913889,0.908334,0.916667,0.242355,0.231996,0.250963,0.247325,0.235441,0.257465,0.596463,0.574125,0.624941,0.046103,0.04336,0.049376,1.499446,1.397184,1.575627,4.499811,4.124929,4.850262,0.666667,0.5,0.866667,0.816667,0.725,0.941667,0.227844,0.209502,0.249983,0.242017,0.21659,0.267443,0.457557,0.280571,0.654356,0.024546,0.024245,0.024896,1.528311,1.500037,1.560148,4.612739,4.497309,4.759546,0.716667,0.65,0.75,0.846389,0.804445,0.872222,0.221738,0.214955,0.228522,0.23811,0.228995,0.247818,0.48996,0.424492,0.538463,0.018414,0.018062,0.018729,4.572085,4.488953,4.665752,0.85764,0.85764,0.85764,0.85764,0.933333,0.766667,0.783333
phase_cued_retrieval,sinusoidal,5,0,1.299273,1.380352,1.344066,1.430497,3.98054,3.835815,4.146061,0.866667,0.8,0.916667,0.933333,0.9,0.958333,0.255349,0.243986,0.265785,0.258985,0.246133,0.271419,0.607682,0.540647,0.663324,0.130199,0.12533,0.135066,1.491083,1.432637,1.551722,4.452444,4.188581,4.720798,0.7,0.5,0.833333,0.85,0.783333,0.916667,0.229025,0.214692,0.243515,0.241917,0.221185,0.260471,0.479676,0.330475,0.606776,0.044453,0.040879,0.047793,1.511835,1.484996,1.535269,4.536801,4.430276,4.652677,0.783333,0.716667,0.833333,0.881945,0.841667,0.913889,0.224193,0.217957,0.228766,0.237421,0.227119,0.245791,0.545912,0.490651,0.599702,0.025058,0.024725,0.025405,3.230944,3.168341,3.304203,0.857808,0.857808,0.857808,0.857808,0.95,0.833333,0.9
phase_cued_retrieval,alibi,5,0,0.70617,1.416145,1.383074,1.447821,4.12457,3.984317,4.254813,0.866667,0.8,0.916667,0.930555,0.891667,0.958333,0.248031,0.237872,0.259338,0.252749,0.241313,0.26514,0.613918,0.53481,0.677047,0.045988,0.043299,0.048823,1.514515,1.425256,1.595987,4.572137,4.167789,5.016999,0.666667,0.4,0.9,0.805,0.615,0.95,0.226104,0.207158,0.246593,0.245408,0.221288,0.270309,0.489966,0.295897,0.671916,0.020924,0.020504,0.02153,1.53175,1.495098,1.570187,4.630555,4.460337,4.800773,0.716667,0.6,0.8,0.829722,0.735,0.895834,0.221904,0.214737,0.227535,0.240068,0.230101,0.251079,0.517856,0.455282,0.570322,0.01479,0.014553,0.014991,4.593449,4.524259,4.688127,0.857641,0.857641,0.857641,0.857641,0.933333,0.833333,0.8
phase_cued_retrieval,rope_relative,5,0,1.299716,1.422243,1.389648,1.456922,4.150385,4.005135,4.330117,0.9,0.866667,0.916667,0.95,0.933333,0.958333,0.245082,0.233604,0.25486,0.248478,0.238018,0.258597,0.661975,0.615919,0.70137,0.062909,0.059171,0.066182,1.505489,1.431773,1.579204,4.52462,4.149544,4.851745,0.733333,0.533333,0.933333,0.852778,0.747222,0.958333,0.225991,0.208726,0.246659,0.239954,0.217319,0.259848,0.515976,0.327441,0.703591,0.02633,0.025308,0.027456,1.520441,1.491965,1.550712,4.577355,4.409016,4.717252,0.783333,0.75,0.816666,0.886667,0.865,0.908334,0.222695,0.215377,0.228873,0.236983,0.225951,0.246705,0.557772,0.530529,0.582559,0.015992,0.015687,0.016328,4.175952,4.090478,4.265402,0.857726,0.857726,0.857726,0.857726,0.966667,0.9,0.9
phase_cued_retrieval,phasewrap_bias,5,0,0.702308,1.405705,1.321789,1.488418,4.097377,3.760662,4.377741,0.783333,0.75,0.816666,0.872222,0.858333,0.883333,0.252242,0.234236,0.273292,0.265732,0.24521,0.28623,0.517602,0.474261,0.564102,0.025064,0.022494,0.028791,1.592664,1.518813,1.664856,4.933451,4.573104,5.283744,0.533333,0.433333,0.7,0.708334,0.655556,0.8,0.212556,0.198002,0.227367,0.243357,0.219072,0.267531,0.341752,0.201354,0.454396,0.012521,0.012015,0.013032,1.585494,1.527946,1.634387,4.89348,4.538037,5.172086,0.583333,0.5,0.666667,0.727778,0.6525,0.803055,0.214546,0.202155,0.225889,0.2443,0.233985,0.255808,0.423914,0.379594,0.487461,0.009543,0.009208,0.009868,5.385435,5.258175,5.512696,0.857675,0.857675,0.857675,0.857675,0.85,0.6,0.633333
phase_cued_retrieval,phasewrap_adapter,5,0,0.702437,1.397581,1.315322,1.466815,4.063635,3.736244,4.392258,0.783333,0.75,0.816666,0.872222,0.858333,0.880556,0.254049,0.233578,0.274759,0.266995,0.245527,0.286529,0.527484,0.47812,0.56338,0.026034,0.023345,0.029963,1.590957,1.525859,1.656054,4.922884,4.60449,5.260798,0.566667,0.5,0.7,0.722222,0.669445,0.797222,0.212681,0.197725,0.227276,0.242193,0.22195,0.266519,0.364227,0.276841,0.482877,0.01223,0.011664,0.012797,1.580886,1.523442,1.62825,4.870131,4.592074,5.144006,0.6,0.516667,0.683333,0.734167,0.669722,0.803889,0.214969,0.203326,0.225927,0.243463,0.233323,0.254357,0.416559,0.352157,0.47434,0.009138,0.008806,0.009451,5.338638,5.205614,5.448012,0.857695,0.857695,0.857695,0.857695,0.85,0.633333,0.65
exact_offset_passkey,no_position,5,0,1.0,2.840688,2.712284,2.983183,17.389229,14.443052,20.1059,0.25,0.133333,0.35,0.452128,0.369547,0.521766,0.066286,0.054031,0.077074,0.086838,0.075218,0.100261,0.181826,0.079698,0.283181,0.05153,0.046898,0.05651,3.514802,3.425334,3.617515,33.813352,30.755376,37.225993,0.066667,0.0,0.133334,0.192996,0.107587,0.268439,0.032047,0.028373,0.035179,0.061742,0.058032,0.065442,0.077942,0.059527,0.096356,0.025556,0.024798,0.026293,3.895412,3.786651,4.02452,49.752501,43.565017,57.201563,0.033333,0.0,0.066666,0.115894,0.074576,0.157212,0.022255,0.019489,0.025232,0.055426,0.051488,0.059302,0.049961,0.040127,0.059411,0.018264,0.017489,0.018767,4.572085,4.483685,4.663282,0.85764,0.85764,0.85764,0.85764,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,1.299273,1.929726,1.851315,2.024867,6.926925,6.27664,7.627261,0.966667,0.9,1.0,0.983333,0.95,1.0,0.151931,0.136203,0.165183,0.152326,0.135244,0.166366,0.814341,0.736078,0.86046,0.15196,0.141433,0.162487,2.532093,2.47965,2.585364,12.599713,12.002509,13.160024,0.7,0.566667,0.833333,0.844445,0.766667,0.916667,0.080539,0.076247,0.084247,0.083362,0.080488,0.087746,0.616638,0.481978,0.750968,0.083591,0.080781,0.086401,2.873736,2.81146,2.935931,17.768826,16.527267,19.244759,0.416667,0.266667,0.516667,0.644464,0.54006,0.727083,0.058441,0.053977,0.062761,0.070662,0.068293,0.072085,0.353108,0.222092,0.44473,0.060113,0.058276,0.061604,3.230944,3.168296,3.304203,0.857808,0.857808,0.857808,0.857808,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,0.70617,2.862665,2.744515,2.980815,17.69321,15.252945,19.888206,0.183333,0.116666,0.25,0.400813,0.324318,0.47441,0.06425,0.053002,0.07363,0.087697,0.078457,0.096936,0.148793,0.05888,0.22037,0.051422,0.046904,0.055944,3.549068,3.446689,3.683689,35.107157,31.44239,39.460506,0.033333,0.0,0.1,0.157501,0.092229,0.213984,0.031947,0.027265,0.036203,0.062591,0.057475,0.067706,0.088804,0.05719,0.144179,0.025371,0.024012,0.026775,3.921795,3.783096,4.053264,51.072178,44.191119,58.102933,0.033333,0.0,0.066666,0.121599,0.077237,0.161418,0.021861,0.018835,0.024464,0.056581,0.052073,0.060245,0.045083,0.032512,0.058478,0.017849,0.016634,0.018677,4.593449,4.510054,4.687969,0.857641,0.857641,0.857641,0.857641,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,1.299716,2.565459,2.429792,2.717666,13.173101,11.170899,15.249755,0.5,0.416667,0.583333,0.683333,0.617222,0.760555,0.084866,0.072126,0.097804,0.096005,0.079979,0.110377,0.419527,0.349832,0.491611,0.071964,0.065032,0.07908,3.201802,3.137688,3.277406,24.680515,22.691076,26.605828,0.133333,0.033333,0.266667,0.329443,0.23825,0.420077,0.042714,0.038678,0.046212,0.064424,0.060899,0.06824,0.121405,0.070407,0.198412,0.038198,0.03716,0.039273,3.533313,3.435012,3.651739,34.54137,31.04983,39.107234,0.133333,0.033333,0.266667,0.269385,0.164953,0.393711,0.030883,0.026529,0.034059,0.056009,0.05228,0.060721,0.126591,0.071865,0.204129,0.028623,0.027323,0.029394,4.175952,4.082129,4.261642,0.857726,0.857726,0.857726,0.857726,1.0,1.0,1.0
