task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,target_attention_aux_weight,teacher_distillation_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy,test_mean_target_attention
phase_cued_retrieval,307,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.302741,1.0,0.857663,3.076448,21.68126,0.25,0.416071,0.053012,0.074004,0.175996,0.857663,0.916667,0.040928,3.515371,33.628404,0.166667,0.238708,0.033362,0.061909,0.104758,0.857663,0.833333,0.025525,3.792775,44.379391,0.083333,0.195315,0.024953,0.052059,0.031275,0.857663,0.75,0.018435
exact_offset_passkey,307,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.302741,1.0,0.857663,2.962959,19.355159,0.416667,0.585417,0.056342,0.075527,0.34114,0.857663,1.0,0.042376,3.456406,31.702824,0.166667,0.249844,0.033642,0.05513,0.111537,0.857663,1.0,0.024711,3.766419,43.224993,0.083333,0.192749,0.025833,0.049712,0.033622,0.857663,1.0,0.018533
tiny_text_fact_qa,307,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.302741,1.0,0.857663,2.657561,14.261465,0.25,0.534722,0.071584,0.084492,0.202663,0.857663,1.0,0.056956,3.078375,21.723078,0.333333,0.491667,0.047097,0.062681,0.270652,0.857663,1.0,0.035527,3.295456,26.989717,0.083333,0.300694,0.039258,0.059768,0.040295,0.857663,1.0,0.0262
phase_cued_retrieval,307,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.412274,1.299408,0.857811,2.171853,8.774532,0.916667,0.930556,0.122509,0.126128,0.790539,0.857811,1.0,0.124204,3.20385,24.627167,0.166667,0.28949,0.048586,0.081061,0.210535,0.857811,0.833333,0.046839,3.627577,37.621544,0.0,0.112795,0.02744,0.069047,0.069047,0.857811,0.916667,0.025017
exact_offset_passkey,307,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.412274,1.299408,0.857811,1.914558,6.783938,1.0,1.0,0.154173,0.154173,0.845827,0.857811,1.0,0.141589,2.537397,12.646706,0.666667,0.805556,0.080361,0.083772,0.582895,0.857811,1.0,0.078767,2.8446,17.194673,0.5,0.715278,0.059731,0.07092,0.42908,0.857811,1.0,0.060288
tiny_text_fact_qa,307,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.412274,1.299408,0.857811,1.730428,5.643068,1.0,1.0,0.179032,0.179032,0.820968,0.857811,1.0,0.160261,2.118155,8.315784,1.0,1.0,0.120846,0.120846,0.879154,0.857811,1.0,0.109143,2.36551,10.649469,0.916667,0.958333,0.095227,0.095597,0.82107,0.857811,1.0,0.080686
phase_cued_retrieval,307,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.199272,1.261673,0.85766,3.048712,21.088169,0.166667,0.270106,0.057151,0.084028,0.183694,0.85766,0.666667,0.041389,3.822691,45.727084,0.166667,0.202658,0.025614,0.065499,0.101167,0.85766,0.833333,0.019513,4.080872,59.197062,0.083333,0.163485,0.020349,0.062134,0.021199,0.85766,0.666667,0.012097
exact_offset_passkey,307,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.199272,1.261673,0.85766,2.90724,18.306196,0.166667,0.346252,0.063139,0.08381,0.171734,0.85766,1.0,0.049118,3.55513,34.992362,0.0,0.129625,0.030965,0.059446,0.059446,0.85766,1.0,0.02246,3.959757,52.444572,0.083333,0.168802,0.022152,0.060452,0.022881,0.85766,1.0,0.016025
tiny_text_fact_qa,307,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.199272,1.261673,0.85766,2.600763,13.474013,0.25,0.500631,0.077508,0.087702,0.162298,0.85766,1.0,0.060975,3.15856,23.536678,0.166667,0.332721,0.047753,0.078203,0.088463,0.85766,1.0,0.031659,3.378457,29.325489,0.25,0.320585,0.039809,0.070671,0.216934,0.85766,1.0,0.022586
phase_cued_retrieval,307,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.741515,1.29982,0.85774,2.833147,16.998874,0.25,0.467361,0.065562,0.080132,0.169868,0.85774,0.916667,0.0574,3.505746,33.306269,0.166667,0.232959,0.034503,0.065288,0.101378,0.85774,0.833333,0.027118,3.939875,51.412185,0.083333,0.161732,0.022436,0.052663,0.03067,0.85774,0.833333,0.015618
