task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,3.021236,2.958496,3.091471,20.578082,19.271229,22.052926,0.183333,0.133333,0.233333,0.382729,0.338235,0.426686,0.053975,0.051007,0.056531,0.080778,0.076485,0.08676,0.125434,0.091473,0.162072,0.046879,0.043416,0.050043,3.601297,3.535716,3.67819,36.773872,34.330259,39.490456,0.033333,0.0,0.1,0.131713,0.088766,0.191609,0.029419,0.027018,0.032005,0.059399,0.054274,0.063429,0.067969,0.054262,0.088364,0.024816,0.02436,0.025329,3.827812,3.774189,3.927444,46.193258,43.474231,51.021672,0.05,0.0,0.116667,0.150842,0.087187,0.212241,0.023873,0.021377,0.025487,0.052534,0.050691,0.055083,0.060911,0.040295,0.090331,0.01849,0.018192,0.018904,6.281952,6.190872,6.378675,0.857666,0.857666,0.857666,0.857666,0.9,0.866667,0.816667
phase_cued_retrieval,sinusoidal,5,0,1.299309,2.098377,2.012202,2.160055,8.182796,7.490483,8.649776,0.9,0.85,0.966667,0.929028,0.896945,0.965833,0.13036,0.123561,0.141148,0.134085,0.128696,0.143038,0.765915,0.719231,0.812599,0.134343,0.128376,0.140907,3.185306,3.153218,3.21913,24.191571,23.459118,25.077982,0.266667,0.2,0.333333,0.382932,0.332671,0.433173,0.048433,0.046741,0.050808,0.082274,0.080704,0.085028,0.229991,0.151447,0.283934,0.044737,0.041619,0.047543,3.605305,3.543057,3.671371,36.916421,34.305366,39.192331,0.05,0.0,0.116667,0.159404,0.109265,0.207803,0.029135,0.026713,0.031905,0.069391,0.065908,0.072433,0.07091,0.050534,0.099145,0.024892,0.024332,0.025353,4.385246,4.317036,4.466797,0.85781,0.85781,0.85781,0.85781,0.95,0.766667,0.85
phase_cued_retrieval,alibi,5,0,1.069231,3.006952,2.928248,3.085915,20.319579,18.582192,21.46452,0.116667,0.066666,0.166667,0.27823,0.240362,0.309388,0.054693,0.04971,0.058796,0.086725,0.083844,0.089856,0.118951,0.092851,0.150671,0.047553,0.043254,0.052914,3.777617,3.708838,3.848217,43.867262,40.796076,47.238437,0.066667,0.0,0.133334,0.145841,0.103072,0.188431,0.025947,0.024131,0.027372,0.064453,0.054409,0.075677,0.085816,0.066664,0.108003,0.019456,0.018272,0.020545,4.133507,4.005037,4.244143,62.898193,56.286485,69.509901,0.016667,0.0,0.05,0.088965,0.061994,0.124665,0.018382,0.016911,0.020047,0.058002,0.054065,0.060758,0.049815,0.036004,0.059084,0.012844,0.011895,0.013684,6.213692,6.110579,6.339341,0.857661,0.857661,0.857661,0.857661,0.866667,0.766667,0.683333
phase_cued_retrieval,rope_relative,5,0,1.299733,2.724639,2.652006,2.797271,15.314542,14.116082,16.407556,0.383333,0.316667,0.45,0.582765,0.51875,0.635555,0.071772,0.06673,0.078063,0.08937,0.084018,0.094622,0.293964,0.211221,0.361997,0.06543,0.061053,0.069475,3.547269,3.502073,3.608591,34.7924,33.011074,37.01404,0.1,0.033333,0.166667,0.195357,0.158203,0.229488,0.031806,0.030117,0.033351,0.062807,0.056828,0.069275,0.094294,0.069547,0.116235,0.0265,0.025468,0.027526,3.98476,3.924043,4.060563,53.973769,50.515842,58.743694,0.033333,0.0,0.066666,0.11149,0.073598,0.157779,0.020928,0.018885,0.022682,0.056278,0.053019,0.060428,0.046255,0.034483,0.058172,0.015805,0.015505,0.016293,5.674606,5.586722,5.783117,0.857732,0.857732,0.857732,0.857732,0.95,0.7,0.75
phase_cued_retrieval,phasewrap_bias,5,0,0.70292,3.496871,3.423534,3.56064,33.128745,31.051239,35.37725,0.066666,0.033333,0.083333,0.167953,0.134869,0.200218,0.038622,0.033951,0.041796,0.1198,0.11483,0.125176,0.062608,0.041792,0.09241,0.025863,0.023782,0.028825,4.174609,4.016535,4.337285,66.199872,55.23043,77.169315,0.0,0.0,0.0,0.073586,0.045336,0.101837,0.018547,0.014118,0.02387,0.090785,0.086337,0.094843,0.090785,0.085748,0.095232,0.012571,0.011984,0.013147,4.363366,4.293598,4.482843,79.063264,72.493087,88.951231,0.016667,0.0,0.05,0.066876,0.044565,0.099039,0.015125,0.013092,0.016758,0.079233,0.074953,0.083308,0.073596,0.059445,0.083273,0.009461,0.009248,0.00975,7.014096,6.907264,7.120928,0.857805,0.857805,0.857805,0.857805,0.85,0.6,0.7
phase_cued_retrieval,phasewrap_adapter,5,0,0.703131,3.47495,3.395248,3.549471,32.443101,29.336439,34.874327,0.066666,0.033333,0.083333,0.167918,0.133685,0.196605,0.039622,0.034572,0.044014,0.12129,0.116948,0.126084,0.083828,0.046791,0.122863,0.026913,0.024418,0.030398,4.193981,4.040528,4.356694,67.43925,58.291919,78.422819,0.0,0.0,0.0,0.070146,0.045817,0.104206,0.018302,0.01404,0.022726,0.091064,0.085587,0.096959,0.091064,0.085587,0.09652,0.012265,0.011717,0.012803,4.395802,4.313142,4.472165,81.687886,74.319046,92.496819,0.016667,0.0,0.05,0.065477,0.042782,0.095971,0.014716,0.012756,0.016361,0.080165,0.074287,0.085841,0.074819,0.060787,0.085333,0.00905,0.008837,0.009317,6.95271,6.821557,7.063807,0.857793,0.857793,0.857793,0.857793,0.85,0.633333,0.7
exact_offset_passkey,no_position,5,0,1.0,2.924181,2.839252,3.00911,18.744064,16.711146,20.640952,0.233333,0.15,0.333334,0.424959,0.351527,0.504927,0.0593,0.051801,0.068806,0.082317,0.073263,0.094602,0.174727,0.076759,0.275605,0.047778,0.044329,0.051227,3.511136,3.440764,3.587125,33.61809,30.90208,36.080477,0.1,0.033333,0.166667,0.217132,0.149582,0.277768,0.032649,0.030157,0.034998,0.059963,0.057141,0.063887,0.087227,0.067093,0.106475,0.025359,0.024128,0.026876,3.904612,3.773886,4.03616,50.293395,43.201303,57.681783,0.033333,0.0,0.066666,0.131655,0.073683,0.185752,0.022065,0.019025,0.025276,0.05355,0.050886,0.056076,0.046853,0.03736,0.056615,0.018087,0.01735,0.01882,6.281952,6.193256,6.378675,0.857666,0.857666,0.857666,0.857666,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,1.299309,1.902574,1.847784,1.978344,6.726339,6.324805,7.242696,0.95,0.9,1.0,0.975,0.95,1.0,0.154779,0.142365,0.163665,0.154987,0.142241,0.164304,0.7982,0.738628,0.853703,0.152192,0.144208,0.160567,2.511324,2.449718,2.570508,12.348002,11.520374,12.928988,0.733333,0.6,0.866667,0.861111,0.794444,0.95,0.082871,0.078368,0.087961,0.085751,0.080424,0.091886,0.647582,0.511299,0.810512,0.085024,0.080943,0.089491,2.902113,2.816062,2.99395,18.320396,16.622307,19.969102,0.366667,0.183333,0.533333,0.600318,0.474246,0.730556,0.056805,0.051192,0.061998,0.071052,0.069448,0.072383,0.295614,0.112418,0.445341,0.058984,0.056813,0.061101,4.385246,4.320493,4.466797,0.85781,0.85781,0.85781,0.85781,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,1.069231,2.916767,2.814608,3.007029,18.613099,16.668186,20.958337,0.183333,0.133333,0.233333,0.349731,0.295418,0.38707,0.061096,0.051434,0.068131,0.092158,0.081984,0.102011,0.132367,0.086785,0.163028,0.049544,0.045927,0.051937,3.521745,3.442569,3.595537,33.971965,31.795911,36.527364,0.1,0.033333,0.166667,0.192556,0.11496,0.250174,0.034607,0.030926,0.038826,0.067715,0.061875,0.074917,0.127496,0.071073,0.183493,0.026549,0.024402,0.028246,3.971418,3.768971,4.113573,54.01782,44.255,62.065069,0.033333,0.0,0.066666,0.117816,0.06558,0.170052,0.02099,0.017147,0.024242,0.059223,0.053504,0.064257,0.048794,0.03405,0.063537,0.017345,0.015861,0.018643,6.213692,6.105142,6.339341,0.857661,0.857661,0.857661,0.857661,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,1.299733,2.526552,2.438879,2.637541,12.594489,11.442384,14.091107,0.566667,0.483333,0.666667,0.725833,0.65,0.792778,0.086649,0.076021,0.096613,0.096873,0.084685,0.108653,0.482498,0.405385,0.57464,0.073127,0.067802,0.078025,3.165521,3.09318,3.227351,23.784916,21.872425,25.240896,0.166667,0.1,0.266667,0.355926,0.272222,0.428572,0.044985,0.041126,0.048156,0.067002,0.063506,0.070475,0.148325,0.086505,0.210145,0.039656,0.036877,0.042435,3.565597,3.433175,3.686455,35.76742,31.149648,40.53032,0.083333,0.0,0.183333,0.235518,0.133013,0.351199,0.029868,0.025801,0.033936,0.056788,0.05317,0.060145,0.098442,0.059231,0.143877,0.027938,0.026704,0.029171,5.674606,5.571348,5.77895,0.857732,0.857732,0.857732,0.857732,1.0,1.0,1.0
