task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,3.144707,3.072318,3.211776,23.301526,21.615281,25.123857,0.088889,0.033333,0.155556,0.296647,0.237717,0.352507,0.04727,0.043033,0.053238,0.076439,0.072847,0.079975,0.075214,0.037341,0.112799,0.039265,0.0379,0.040564,3.331691,3.248649,3.42354,28.11459,25.939724,30.289456,0.066667,0.0,0.133334,0.253126,0.203893,0.305742,0.03819,0.035781,0.041028,0.064965,0.06068,0.069147,0.080389,0.065073,0.093889,0.029189,0.028561,0.029751,3.833552,3.77214,3.905905,46.365747,43.729375,49.356406,0.033333,0.0,0.066666,0.129256,0.094367,0.163958,0.023444,0.0219,0.024742,0.052083,0.050311,0.053855,0.043154,0.033784,0.052004,0.018371,0.017986,0.018652,6.553513,6.501463,6.593155,0.857596,0.857596,0.857596,0.857596,0.755555,0.7,0.55
phase_cued_retrieval,sinusoidal,5,0,1.299388,2.430497,2.369833,2.476176,11.385415,10.719005,11.89303,0.688889,0.655555,0.722222,0.759004,0.737659,0.787501,0.100855,0.094609,0.110351,0.112766,0.106106,0.121291,0.576123,0.538338,0.605446,0.101357,0.096828,0.106163,2.977975,2.933779,3.027039,19.681346,18.809989,20.86015,0.3,0.233333,0.333333,0.43118,0.405346,0.464939,0.059139,0.055774,0.064555,0.08711,0.083917,0.091336,0.232483,0.149677,0.283067,0.051957,0.046287,0.057627,3.582167,3.526815,3.641906,36.034393,34.034671,38.104305,0.033333,0.0,0.066666,0.146201,0.117739,0.174323,0.029417,0.027453,0.03138,0.065278,0.063277,0.067425,0.047897,0.027395,0.067053,0.0252,0.024971,0.025428,4.844543,4.799692,4.879931,0.857785,0.857785,0.857785,0.857785,0.9,0.9,0.716667
phase_cued_retrieval,alibi,5,0,0.719318,3.168861,3.089972,3.233005,23.874859,22.003831,25.538491,0.088889,0.022222,0.188889,0.255385,0.204135,0.31845,0.047879,0.042898,0.057063,0.079933,0.074093,0.085834,0.082589,0.032865,0.133949,0.038341,0.03734,0.039566,3.425824,3.380077,3.481849,30.804249,29.377834,32.868328,0.1,0.0,0.2,0.237281,0.18836,0.30994,0.036236,0.03464,0.038734,0.067607,0.062174,0.072569,0.118009,0.063972,0.204129,0.025576,0.024492,0.026968,4.019964,3.970129,4.087973,55.816444,53.210633,59.631268,0.016667,0.0,0.05,0.096872,0.085745,0.108917,0.020138,0.019128,0.020982,0.055042,0.05246,0.057666,0.050637,0.040707,0.057545,0.014658,0.014534,0.014817,6.537702,6.484952,6.582061,0.857613,0.857613,0.857613,0.857613,0.733333,0.6,0.5
phase_cued_retrieval,rope_relative,5,0,1.299761,2.986664,2.932301,3.030696,19.859109,18.552514,20.745941,0.211111,0.133333,0.333333,0.420717,0.362196,0.494003,0.055471,0.051842,0.061602,0.07579,0.071701,0.079206,0.147217,0.084382,0.260554,0.049644,0.04815,0.051664,3.315085,3.251419,3.379115,27.61222,25.665664,29.516235,0.133333,0.033333,0.233333,0.284677,0.232778,0.348674,0.039544,0.037018,0.041952,0.065007,0.060337,0.071129,0.117616,0.069287,0.191718,0.03089,0.029392,0.03269,3.950686,3.902456,4.019453,52.088705,49.527268,55.582842,0.033333,0.0,0.1,0.118764,0.087077,0.162269,0.021503,0.020374,0.022562,0.053943,0.052092,0.055369,0.06711,0.054112,0.091767,0.016187,0.015828,0.016497,6.060964,6.003154,6.098419,0.857679,0.857679,0.857679,0.857679,0.811111,0.733333,0.55
phase_cued_retrieval,phasewrap_bias,5,0,0.702985,3.560728,3.385134,3.749398,35.804224,30.570444,42.706792,0.055556,0.011111,0.088889,0.155741,0.109409,0.205755,0.035946,0.027724,0.044613,0.115273,0.107596,0.122732,0.094771,0.078812,0.104678,0.021874,0.020343,0.023655,3.802751,3.667285,3.941769,45.434634,39.183133,52.769637,0.0,0.0,0.0,0.08995,0.065171,0.119952,0.025522,0.020358,0.031945,0.09311,0.087712,0.098741,0.09311,0.088003,0.098895,0.01535,0.014799,0.016052,4.35528,4.262545,4.459259,78.397753,71.059076,86.825087,0.0,0.0,0.0,0.052907,0.044211,0.061043,0.015152,0.013042,0.016988,0.082862,0.074349,0.090574,0.082862,0.075149,0.09033,0.009608,0.009356,0.009789,7.227481,7.097534,7.331818,0.857586,0.857586,0.857586,0.857586,0.566667,0.533333,0.433333
phase_cued_retrieval,phasewrap_adapter,5,0,0.703148,3.572267,3.376554,3.722235,36.219126,30.992946,41.680733,0.055556,0.022222,0.077778,0.156598,0.117668,0.221148,0.034907,0.027605,0.044638,0.112758,0.105354,0.12087,0.074067,0.056986,0.090643,0.022117,0.020518,0.024759,3.853803,3.755096,3.972739,47.692507,42.426565,53.45797,0.0,0.0,0.0,0.086424,0.063029,0.12082,0.02404,0.019773,0.028307,0.092796,0.084532,0.106231,0.092796,0.084041,0.105666,0.014759,0.014175,0.015301,4.375599,4.276665,4.465437,80.048442,72.114115,89.222341,0.0,0.0,0.0,0.050487,0.042604,0.062345,0.014996,0.012846,0.01718,0.081126,0.073859,0.087415,0.081126,0.073859,0.08779,0.009212,0.008914,0.009435,7.212733,7.08674,7.306227,0.857573,0.857573,0.857573,0.857573,0.555556,0.5,0.416667
exact_offset_passkey,no_position,5,0,1.0,3.108448,3.063259,3.150927,22.416746,21.190076,23.368887,0.111111,0.066667,0.166667,0.315201,0.275349,0.354398,0.048319,0.045861,0.051533,0.072569,0.071241,0.073909,0.083622,0.049777,0.124403,0.038239,0.037991,0.03855,3.306985,3.222894,3.391045,27.428744,25.332517,29.837857,0.066667,0.0,0.133334,0.255831,0.186715,0.3244,0.040714,0.036232,0.044916,0.064459,0.059699,0.068589,0.095671,0.060209,0.144671,0.028569,0.027946,0.029141,3.878347,3.806511,3.949996,48.551527,44.442568,52.249696,0.016667,0.0,0.05,0.121751,0.069302,0.1742,0.022458,0.020246,0.024735,0.05162,0.049404,0.053209,0.047049,0.038593,0.052737,0.018485,0.018337,0.018646,6.553513,6.501463,6.591735,0.857596,0.857596,0.857596,0.857596,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,1.299388,2.161374,2.131938,2.190997,8.688118,8.43173,8.95865,0.977778,0.955555,1.0,0.988889,0.977778,1.0,0.118366,0.114337,0.122477,0.118744,0.114943,0.122695,0.859033,0.837948,0.879511,0.120312,0.1195,0.121104,2.363332,2.338669,2.396659,10.63299,10.358128,10.994378,0.966667,0.9,1.0,0.983333,0.95,1.0,0.096534,0.092547,0.099323,0.097465,0.09329,0.101187,0.869202,0.798787,0.906256,0.093291,0.091961,0.094366,2.872645,2.817014,2.908757,17.709951,16.716232,18.334178,0.333333,0.233333,0.433333,0.615834,0.573611,0.672778,0.05807,0.055502,0.06186,0.067097,0.064182,0.069133,0.273177,0.181013,0.353662,0.059945,0.058443,0.061118,4.844543,4.803359,4.880128,0.857785,0.857785,0.857785,0.857785,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,0.719318,3.125215,3.077162,3.167448,22.794287,21.82123,23.648979,0.088889,0.033334,0.144445,0.279517,0.232372,0.317714,0.047656,0.044698,0.050982,0.079179,0.074564,0.083272,0.063093,0.034637,0.089319,0.038961,0.037954,0.039968,3.299549,3.210037,3.389062,27.242587,24.831278,29.419308,0.1,0.033333,0.166667,0.277623,0.186382,0.355875,0.040374,0.037379,0.043577,0.070712,0.065401,0.074825,0.121636,0.079823,0.161834,0.029484,0.027431,0.031323,3.923266,3.793978,4.002271,50.90848,44.81459,54.792111,0.0,0.0,0.0,0.097396,0.058608,0.133918,0.02177,0.019303,0.024528,0.053278,0.049679,0.055829,0.053278,0.050082,0.055829,0.018139,0.01702,0.019029,6.537702,6.486638,6.57666,0.857613,0.857613,0.857613,0.857613,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,1.299761,2.801042,2.746907,2.855177,16.495409,15.608327,17.377811,0.422222,0.344445,0.5,0.606323,0.537368,0.652408,0.064128,0.059669,0.068587,0.076463,0.073189,0.079322,0.353084,0.270117,0.421871,0.055685,0.055304,0.056055,2.969207,2.911935,3.041359,19.527709,18.422908,20.91037,0.266667,0.1,0.4,0.483095,0.387064,0.5725,0.055238,0.050529,0.058965,0.068627,0.061457,0.073776,0.22794,0.127502,0.336974,0.043791,0.042889,0.04454,3.532217,3.478858,3.582212,34.26643,32.373758,36.08029,0.083333,0.016667,0.183333,0.232073,0.160257,0.327882,0.030512,0.028499,0.032525,0.050485,0.048559,0.052563,0.073342,0.035654,0.137519,0.028596,0.028335,0.02883,6.060964,6.001452,6.096717,0.857679,0.857679,0.857679,0.857679,1.0,1.0,1.0
